timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-3.47263885 -2.8538866 ],"[ 1.19858357  1.74087829 -0.0289222   0.00546784 -1.31054352  0.49823041
  1.33938455 -0.12048761  2.36837681 -0.41060778  0.        ]","[[-0.0953293   0.06352989 -0.15172506  0.05708127]
 [-0.00255232  0.00096041  0.          0.        ]]",-0.36795403826,[-2.69543767 -4.17617551],-2.81925,[-0.00974387 -0.46542659]
1,[-3.04335761 -2.55679297],"[ 1.19228247  1.74318726 -0.08755244 -0.06255548 -1.3105421   0.49823016
  1.23123846 -0.6675578   2.36083256 -0.50264634  0.        ]","[[-0.13505492  0.0238365  -0.15172506  0.05708127]
 [-3.9568468  -3.95711432  0.          0.        ]]",-0.369519948796,[-2.62199335 -3.16099075],-2.33987,[-0.00974387 -0.46542659]
2,[-2.495754   -1.96093917],"[ 1.16089156  1.73764604 -0.25952812 -0.26485596 -1.31054069  0.49822991
  1.12523023 -1.20379957  2.3038536  -0.77040022  0.        ]","[[-0.25308205 -0.09423244 -0.15172506  0.05708127]
 [-7.83297937 -7.83684995  0.          0.        ]]",-0.371724103532,[-4.33476397 -1.30458184],-0.579258,[-0.00974387 -0.46542659]
3,[-1.74686611 -0.90199178],"[ 1.06875553  1.68820143 -0.53091838 -0.59254613 -1.31053928  0.49822967
  1.02131076 -1.72941885  2.10384916 -1.16869407  0.        ]","[[ -0.44786489  -0.28912525  -0.15172506   0.05708127]
 [-11.63274406 -11.63974354   0.           0.        ]]",-0.367313392498,[-0.5942028  -0.74418029],-1.1096,[-0.00974387 -0.46542659]
4,[-0.95502067  0.28311199],"[ 0.87876519  1.54744602 -0.84672471 -0.99886987 -1.31053787  0.49822942
  0.96331782 -2.10469009  1.68059398 -1.54516272  0.        ]","[[ -0.70179338  -0.54916229  -0.15172506   0.05708127]
 [-13.75321753 -14.3548789    0.           0.        ]]",-0.346561687589,[-0.45567176  0.15919206],0.543461,[-0.00974387 -0.46542659]
5,[-0.59471697  1.05058014],"[ 0.57952239  1.31279762 -1.13149944 -1.36594508 -1.31053646  0.49822918
  0.92140111 -1.97813099  1.09895156 -1.70059199  0.        ]","[[ -0.99223427  -0.82707344  -0.15172506   0.05708127]
 [-15.28586931 -13.43924527   0.           0.        ]]",-0.305593172833,[-0.57914959  1.23336466],1.37419,[-0.00974387 -0.46542659]
6,[-0.92189527  1.15239763],"[ 0.17018896  1.06944839 -1.32606961 -1.5944084  -1.31053505  0.49822893
  0.86692055 -1.39386527  0.52963402 -1.57739575  0.        ]","[[ -1.31793916  -1.0534461   -0.15172506   0.05708127]
 [-17.27791805  -9.21206028   0.           0.        ]]",-0.250377590873,[-0.54679376  0.64145571],1.05837,[-0.00974387 -0.46542659]
7,[-1.42087328  1.16607451],"[-0.32786229  0.88019742 -1.36417078 -1.7086714  -1.31053364  0.49822868
  0.81704058 -1.01735611  0.08476262 -1.23642636  0.        ]","[[ -1.68179714  -1.2103564   -0.15172506   0.05708127]
 [-19.1017494   -6.48799933   0.           0.        ]]",-0.186751089319,[-0.82619696  2.28569886],-0.411156,[-0.00974387 -0.46542659]
8,[-2.30517721  0.83011109],"[-0.86310587  0.76776539 -1.17538882 -1.75596208 -1.31053223  0.49822844
  0.73791534 -0.45198816 -0.18581454 -0.74822622  0.        ]","[[ -2.09286148  -1.29907615  -0.15172506   0.05708127]
 [-21.99493063  -2.39752901   0.           0.        ]]",-0.116604530968,[-1.64653407  0.42822725],-0.862084,[-0.00974387 -0.46542659]
9,[-2.99575782  0.57275641],"[-1.33410818  0.72850669 -0.6936454  -1.76920278 -1.31053082  0.49822819
  0.64157431 -0.21063024 -0.23884305 -0.16165951  0.        ]","[[ -2.56810468  -1.3295073   -0.15172506   0.05708127]
 [-25.51760684  -0.65129086   0.           0.        ]]",-0.0379291550405,[-6.33515506  1.2291562 ],-1.30471,[-0.00974387 -0.46542659]
10,[-3.56051922 -0.27071762],"[-1.55430438  0.76318576  0.07018563 -1.75758582 -1.31052941  0.49822794
  0.54714244  0.33896867 -0.01604084  0.42859743  0.        ]","[[ -3.11310209  -1.30263809  -0.15172506   0.05708127]
 [-28.9704765    3.32508942   0.           0.        ]]",-0.0493297318385,[-3.39672289  1.4323843 ],-2.31714,[-0.00974387 -0.46542659]
11,[-4.07378387 -1.20332146],"[-1.32550924  0.89679353  0.93282134 -1.70045109 -1.310528    0.4982277
  0.45460564  0.87779468  0.4850083   0.86812891  0.        ]","[[ -3.72646178  -1.19702329  -0.15172506   0.05708127]
 [-32.35405502   7.22352907   0.           0.        ]]",-0.139721928993,[-4.64079517 -1.68696117],-1.33721,[-0.00974387 -0.46542659]
12,[-3.85741448 -1.34568   ],"[-0.59014784  1.02230531  1.52949529 -1.62729868 -1.31052659  0.49822745
  0.36395993  0.31149902  1.2404552   0.94215796  0.        ]","[[ -4.40679648  -1.09366225  -0.15172506   0.05708127]
 [-35.66848749   3.12635079   0.           0.        ]]",-0.230811378242,[-4.70397644 -0.79020266],-0.519373,[-0.00974387 -0.46542659]
13,[-3.85006118 -1.6868186 ],"[ 0.41320555  1.05823605  1.45656898 -1.60250206 -1.31052517  0.4982272
  0.2750812  -0.12866084  1.96970989  0.39598644  0.        ]","[[ -5.15277136  -1.06308857  -0.15172506   0.05708127]
 [-38.91831111  -0.05822847   0.           0.        ]]",-0.306825255097,[-2.51466844 -1.4178777 ],0.528644,[-0.00974387 -0.46542659]
14,[-3.26274347 -1.35098863],"[ 1.1347658   1.01014261  0.580012   -1.63527898 -1.31052376  0.49822696
  0.18793688 -0.6747926   2.1124424  -0.65193599  0.        ]","[[ -5.96310531  -1.10389957  -0.15172506   0.05708127]
 [-42.10471662  -4.00952072   0.           0.        ]]",-0.340586914588,[-3.68662101 -1.96233771],2.85666,[-0.00974387 -0.46542659]
15,[-1.709355    0.29142475],"[ 0.99891824  0.86445099 -0.66837247 -1.71613627 -1.31052235  0.49822671
  0.10246905 -1.20994037  1.34328263 -1.48158874  0.        ]","[[ -6.83655133  -1.22293963  -0.15172506   0.05708127]
 [-45.2298219   -7.88134815   0.           0.        ]]",-0.30525046883,[-1.85911324 -0.41593772],2.73329,[-0.00974387 -0.46542659]
16,[-1.38694644  1.53114915],"[-0.06187984  0.64249518 -1.36831295 -1.79256897 -1.31052094  0.49822647
  0.01862889 -1.41464519  0.22085174 -1.24467222  0.        ]","[[ -7.77190349  -1.39542909  -0.15172506   0.05708127]
 [-48.29541235  -9.36240944   0.           0.        ]]",-0.192358049189,[-0.51638013  1.95641148],0.401105,[-0.00974387 -0.46542659]
17,[-2.7503171   1.32640529],"[-1.2514029   0.44954956 -0.81714474 -1.81811441 -1.31051953  0.49822622
 -0.01123581 -0.84029672 -0.13641334 -0.16205043  0.        ]","[[ -8.74877136  -1.54098539  -0.15172506   0.05708127]
 [-49.38740588  -5.20697332   0.           0.        ]]",-0.0360079492828,[-3.70895595  0.14985103],-0.905892,[-0.00974387 -0.46542659]
18,[-3.27985001  0.81007856],"[-1.47510278  0.32019992  0.61034954 -1.81499869 -1.31051812  0.49822597
 -0.09280895 -0.74241845  0.55371815  0.6620498   0.        ]","[[ -9.76644599  -1.6380218   -0.15172506   0.05708127]
 [-52.37010237  -4.49882247   0.           0.        ]]",-0.127409943042,[-3.93369303  0.59608443],-1.4323,[-0.00974387 -0.46542659]
19,[-3.73085737 -0.07003821],"[-0.38447453  0.23358929  1.58111347 -1.80383416 -1.31051671  0.49822573
 -0.17275894 -0.40209658  1.56778564  0.41902512  0.        ]","[[-10.84318073  -1.70329581  -0.15172506   0.05708127]
 [-55.29344865  -2.03657864   0.           0.        ]]",-0.250408343666,[-4.38498785  1.2639612 ],-0.702045,[-0.00974387 -0.46542659]
20,[-3.83872676 -1.00394177],"[ 0.97266055  0.23298257  0.93740929 -1.80372695 -1.3105153   0.49822548
 -0.25109108  0.15272038  1.82448992 -0.63061025  0.        ]","[[ -1.19777903e+01  -1.70375466e+00  -1.51725056e-01   5.70812704e-02]
 [ -5.81576394e+01   1.97754801e+00   0.00000000e+00   0.00000000e+00]]",-0.300544121382,[-1.836817   -1.72790383],0.267088,[-0.00974387 -0.46542659]
21,[-2.54394507  0.10959461],"[ 0.96170849  0.2324339  -0.72979141 -1.8036294  -1.31051389  0.49822523
 -0.32784212 -0.39780538  0.96562879 -1.32133118  0.        ]","[[ -1.31690969e+01  -1.70416964e+00  -1.51725056e-01   5.70812704e-02]
 [ -6.09640180e+01  -2.00553093e+00   0.00000000e+00   0.00000000e+00]]",-0.252625979716,[-1.7880239   0.72000768],1.52162,[-0.00974387 -0.46542659]
22,[-3.24970579  0.60152566],"[-0.55478115  0.21798411 -1.31593127 -1.80102928 -1.31051248  0.49822499
 -0.40310881  0.00408562  0.01392146 -0.6866946   0.        ]","[[ -1.44159926e+01  -1.71510879e+00  -1.51725056e-01   5.70812704e-02]
 [ -6.37161225e+01   9.02166788e-01   0.00000000e+00   0.00000000e+00]]",-0.110663654273,[-2.55385373 -0.24560189],-0.334535,[-0.00974387 -0.46542659]
23,[-3.60882163  0.4954001 ],"[-1.55480114  0.22893308  0.12648586 -1.80301317 -1.31051107  0.49822474
 -0.47685683 -0.13023108  0.31939069  0.48267387  0.        ]","[[ -1.57173698e+01  -1.70681827e+00  -1.51725056e-01   5.70812704e-02]
 [ -6.64126983e+01  -6.96199684e-02   0.00000000e+00   0.00000000e+00]]",-0.0857673907758,[-4.26703795  0.62710745],-1.77943,[-0.00974387 -0.46542659]
24,[-4.02480316 -0.37726206],"[-0.45807789  0.26034408  1.56673106 -1.80805192 -1.31050966  0.49822449
 -0.54914603  0.21594107  1.52728811  0.47143311  0.        ]","[[ -1.70721467e+01  -1.68308422e+00  -1.51725056e-01   5.70812704e-02]
 [ -6.90559338e+01   2.43494832e+00   0.00000000e+00   0.00000000e+00]]",-0.246095154182,[-3.83591325 -1.52454787],-0.629811,[-0.00974387 -0.46542659]
25,[-3.52979875 -0.70865113],"[ 1.11131923  0.27188383  0.65022655 -1.80965712 -1.31050824  0.49822425
 -0.61998988 -0.3349982   1.75917062 -0.82454178  0.        ]","[[ -1.84792515e+01  -1.67438142e+00  -1.51725056e-01   5.70812704e-02]
 [ -7.16463221e+01  -1.55111615e+00   0.00000000e+00   0.00000000e+00]]",-0.301948893162,[-4.30465179 -0.1153736 ],2.00168,[-0.00974387 -0.46542659]
26,[-2.61405993  0.5059936 ],"[ 0.46545961  0.2254578  -1.2035665  -1.80238633 -1.31050683  0.498224
 -0.68948418 -0.39068223  0.50728079 -1.23015731  0.        ]","[[ -1.99376725e+01  -1.70944841e+00  -1.51725056e-01   5.70812704e-02]
 [ -7.41873665e+01  -1.95399309e+00   0.00000000e+00   0.00000000e+00]]",-0.205784963431,[-1.65814678  1.23323488],0.745097,[-0.00974387 -0.46542659]
27,[-3.76402903  0.37498215],"[-1.35514548  0.22715102 -0.65743739 -1.80268579 -1.31050542  0.49822376
 -0.75758915  0.16536621  0.00493869  0.04183476  0.        ]","[[ -2.14464096e+01  -1.70816664e+00  -1.51725056e-01   5.70812704e-02]
 [ -7.66776124e+01   2.06903304e+00   0.00000000e+00   0.00000000e+00]]",-0.0239594778424,[-5.53642416  0.2999653 ],-1.44992,[-0.00974387 -0.46542659]
28,[-4.04613066 -0.31246552],"[-0.90505496  0.2975965   1.37333998 -1.8127626  -1.31050401  0.49822351
 -0.824288    0.32753079  1.22019288  0.66613034  0.        ]","[[ -2.30044329e+01  -1.65501727e+00  -1.51725056e-01   5.70812704e-02]
 [ -7.91164468e+01   3.24229882e+00   0.00000000e+00   0.00000000e+00]]",-0.211592432992,[-4.66904994 -0.53567672],-0.953054,[-0.00974387 -0.46542659]
29,[-3.80551863 -1.03886151],"[ 1.02108677  0.35509942  0.85336033 -1.81739686 -1.3105026   0.49822326
 -0.88965904  0.02940234  1.86636756 -0.66259256  0.        ]","[[ -2.46107421e+01  -1.61181578e+00  -1.51725056e-01   5.70812704e-02]
 [ -8.15067330e+01   1.08533304e+00   0.00000000e+00   0.00000000e+00]]",-0.307676033381,[-4.49247377 -0.93831016],1.81382,[-0.00974387 -0.46542659]
30,[-2.5799439   0.50563383],"[ 0.41165491  0.33446683 -1.23233719 -1.81609872 -1.31050119  0.49822302
 -0.95378477 -0.48294279  0.49059689 -1.27312602  0.        ]","[[ -2.62643978e+01  -1.62730371e+00  -1.51725056e-01   5.70812704e-02]
 [ -8.38514878e+01  -2.62149548e+00   0.00000000e+00   0.00000000e+00]]",-0.209988046207,[-4.93167951  0.04215251],1.87635,[-0.00974387 -0.46542659]
31,[-3.42391396  0.71787953],"[-1.48916165  0.26811237 -0.34050912 -1.80912759 -1.31049978  0.49822277
 -1.01669513 -0.44833782  0.08623403  0.24598739  0.        ]","[[ -2.79645075e+01  -1.67722419e+00  -1.51725056e-01   5.70812704e-02]
 [ -8.61518071e+01  -2.37112950e+00   0.00000000e+00   0.00000000e+00]]",-0.0397568039251,[-2.5921078   0.94824074],-2.02654,[-0.00974387 -0.46542659]
32,[-3.96191502 -0.36310184],"[-0.36067694  0.25624773  1.58481833 -1.80742522 -1.31049837  0.49822252
 -1.0783339   0.08168208  1.57981673  0.42059494  0.        ]","[[ -2.97101619e+01  -1.68617474e+00  -1.51725056e-01   5.70812704e-02]
 [ -8.84056347e+01   1.46357248e+00   0.00000000e+00   0.00000000e+00]]",-0.252144812514,[-3.82261873 -0.17545528],-0.821763,[-0.00974387 -0.46542659]
33,[-3.46492171 -0.79416931],"[ 1.19992791  0.28590434 -0.01288709 -1.81141112 -1.31049696  0.49822228
 -1.13870186 -0.01352694  1.46602945 -1.16492588  0.        ]","[[ -3.15004210e+01  -1.66381764e+00  -1.51725056e-01   5.70812704e-02]
 [ -9.06130003e+01   7.74734055e-01   0.00000000e+00   0.00000000e+00]]",-0.289831170868,[-3.15667518 -0.08608002],1.78184,[-0.00974387 -0.46542659]
34,[-3.38304257  0.3958182 ],"[-0.64513483  0.30222843 -1.28441679 -1.8132367  -1.31049555  0.49822203
 -1.19788626 -0.05769348 -0.03012817 -0.66743188  0.        ]","[[ -3.33343936e+01  -1.65153201e+00  -1.51725056e-01   5.70812704e-02]
 [ -9.27770940e+01   4.55188568e-01   0.00000000e+00   0.00000000e+00]]",-0.106861675408,[-5.07004467  0.4365561 ],-0.389888,[-0.00974387 -0.46542659]
35,[-3.93093157 -0.19044685],"[-1.27038908  0.33780988  1.01607744 -1.81632118 -1.31049414  0.49822178
 -1.25589142  0.18528733  0.85112344  0.73451015  0.        ]","[[ -3.52112184e+01  -1.62479299e+00  -1.51725056e-01   5.70812704e-02]
 [ -9.48980743e+01   2.21315678e+00   0.00000000e+00   0.00000000e+00]]",-0.168275821562,[-3.94097462  0.135187  ],-1.53648,[-0.00974387 -0.46542659]
36,[-4.01812792 -1.29298902],"[ 0.98737929  0.40392226  0.91315836 -1.81880163 -1.31049273  0.49822154
 -1.31271638  0.25877407  1.90496547 -0.59988411  0.        ]","[[ -3.71300283e+01  -1.57519839e+00  -1.51725056e-01   5.70812704e-02]
 [ -9.69759066e+01   2.74483435e+00   0.00000000e+00   0.00000000e+00]]",-0.310102960108,[-3.27715354 -1.11064903],0.919246,[-0.00974387 -0.46542659]
37,[-2.87850475  0.31119078],"[ 0.07192983  0.423984   -1.34932962 -1.81871806 -1.31049132  0.49822129
 -1.36843324 -0.29021841  0.27711391 -1.18321129  0.        ]","[[ -3.90899819e+01  -1.56015660e+00  -1.51725056e-01   5.70812704e-02]
 [ -9.90132273e+01  -1.22712748e+00   0.00000000e+00   0.00000000e+00]]",-0.186761070879,[-2.72788237  0.36205869],0.67438,[-0.00974387 -0.46542659]
