timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.63326877 -0.45942399],"[ 1.2862468   1.03819823 -0.05466397  0.56340177  0.47558973  0.21311712
  1.85887496 -0.22577024  0.82345804 -0.24679693  0.        ]",[-3.3199904  -3.85791373],"[[-0.09584438 -0.06815824  0.05569246  0.02474823]
 [-0.00380053  0.00252889  0.          0.        ]]",-3.94709,-0.161091088856,[-2.11978666 -4.20441569]
1,[-0.63326877 -0.45942399],"[ 1.2798618   1.03346651 -0.11195434  0.48766972  0.47558968  0.2131171
  1.75364895 -0.56657994  0.81018073 -0.32483156  0.        ]",[-3.27513766 -3.7855618 ],"[[-0.13559479 -0.10782057  0.05569246  0.02474823]
 [-3.95808456 -3.95557565  0.          0.        ]]",-3.83692,-0.163523620095,[-2.66376875 -3.23617872]
2,[-0.63326877 -0.45942399],"[ 1.24811784  1.00686921 -0.27992293  0.26466633  0.47558962  0.21311708
  1.65050089 -0.90064344  0.74188068 -0.54847431  0.        ]",[-3.21818781 -3.32059813],"[[-0.25364716 -0.22585896  0.05569246  0.02474823]
 [-7.83428528 -7.83533165  0.          0.        ]]",-3.66803,-0.171336503058,[-3.11316419 -2.81907363]
3,[-0.63326877 -0.45942399],"[ 1.15506443  0.92295736 -0.54494366 -0.08896583  0.47558957  0.21311706
  1.54938125 -1.22808896  0.54323905 -0.87031323  0.        ]",[-3.18488979 -2.42689753],"[[ -0.44845797  -0.42072147   0.05569246   0.02474823]
 [-11.63426309 -11.63822922   0.           0.        ]]",-3.27884,-0.185079540833,[-3.17333769 -3.78813698]
4,[-0.63326877 -0.45942399],"[ 0.94869532  0.7300219  -0.87099187 -0.52756693  0.47558952  0.21311704
  1.4502317  -1.54903596  0.13644789 -1.16397997  0.        ]",[-3.21646404 -1.12698126],"[[ -0.71852406  -0.69088501   0.05569246   0.02474823]
 [-15.36020931 -15.36565643   0.           0.        ]]",-3.24711,-0.202601235243,[-2.69387538 -1.77018225]
5,[-0.63326877 -0.45942399],"[ 0.57864696  0.37699757 -1.18332596 -0.95422064  0.47558946  0.21311702
  1.35298594 -1.86359645 -0.45768629 -1.2143301   0.        ]",[-3.35426474  0.68802953],"[[ -1.06238941  -1.03485328   0.05569246   0.02474823]
 [-19.01461554 -19.01891574   0.           0.        ]]",-3.34593,-0.216364657168,[-2.60580748  1.43703768]
6,[-0.63326877 -0.45942399],"[ 0.02942863 -0.04776169 -1.36069834 -1.18513416  0.47558941  0.213117
  1.25756545 -1.49000948 -0.99232446 -0.89396939  0.        ]",[-3.37970209  0.96345115],"[[ -1.47865956  -1.37170024   0.05569246   0.02474823]
 [-22.60043218 -14.68014626   0.           0.        ]]",-3.47653,-0.21764274156,[-2.95441507  1.51708847]
7,[-0.63326877 -0.45942399],"[-0.63408867 -0.38661439 -1.255042   -1.22042758  0.47558936  0.21311698
  1.16404626 -1.12376977 -1.24013161 -0.3543352   0.        ]",[-3.4499104   1.02389729],"[[ -1.96593027e+00  -1.62262796e+00   5.56924635e-02   2.47482324e-02]
 [ -2.61148011e+01  -1.04267038e+01   0.00000000e+00   0.00000000e+00]]",-4.05536,-0.205487190711,[-4.354655   0.5431932]
8,[-0.63326877 -0.45942399],"[-1.23179961 -0.63460628 -0.75750872 -1.16956143  0.4755893   0.21311696
  1.07240114 -0.92047328 -1.1493518   0.20026415  0.        ]",[-3.69144726  2.58554792],"[[ -2.52278109e+00  -1.80747384e+00   5.56924635e-02   2.47482324e-02]
 [ -2.95587453e+01  -8.06565498e+00   0.00000000e+00   0.00000000e+00]]",-5.49053,-0.179211406189,[-3.96022217  1.97920921]
9,[-0.63326877 -0.45942399],"[-1.48974495 -0.79023451  0.09323983 -1.10239216  0.47558925  0.21311694
  0.98258394 -0.56540782 -0.7821674   0.57122715  0.        ]",[-3.99742365  5.44711447],"[[ -3.14782285e+00  -1.92741389e+00   5.56924635e-02   2.47482324e-02]
 [ -3.29339993e+01  -3.94198629e+00   0.00000000e+00   0.00000000e+00]]",-3.99425,-0.140719502717,[-4.16617364  5.72668322]
