timestep,actions,original_rewards,rewards,avg_action_dist,obs,human_obs,logstd_action_dist
0,[ 0.80758966  0.78233055],-0.186262253722,-0.0226429,[ 0.44658861  0.39944708],"[ 1.08825029  1.3278551   0.01891677 -0.24439469  0.21963967 -0.0991552
 -0.63728078 -0.2008384   0.92575141  0.15730125  0.        ]","[[ 0.06201368  0.07174732  0.0256911  -0.01312589]
 [ 0.0004873  -0.00184766  0.          0.        ]]",[-0.05328316 -0.04708495]
1,[ 0.58168658  0.09510179],-0.187000121531,-0.0873273,[ 0.44518968  0.39778233],"[ 1.0847874   1.32452874  0.06773905 -0.18605605  0.21963816 -0.09915455
 -0.39686457  0.22192667  0.91681281  0.22670195  0.        ]","[[ 0.09406496  0.10277858  0.0256911  -0.01312589]
 [ 3.19401481  3.09465746  0.          0.        ]]",[-0.05328316 -0.04708495]
2,[ 0.51377531  0.58542475],-0.188975872255,-0.0352817,[ 0.44292158  0.39719158],"[ 1.06848215  1.31379217  0.19837315 -0.06443923  0.21963666 -0.09915389
 -0.22839615  0.26485306  0.88047921  0.39666123  0.        ]","[[ 0.18039788  0.16782641  0.0256911  -0.01312589]
 [ 5.43183103  3.40907846  0.          0.        ]]",[-0.05328316 -0.04708495]
3,[ 1.15747171  1.16695344],-0.192053627624,0.088673,[ 0.42536351  0.39199534],"[ 1.02578764  1.2903276   0.38792971  0.10289942  0.21963515 -0.09915324
 -0.08353551  0.57201387  0.79253663  0.63143074  0.        ]","[[ 0.3083406   0.25858072  0.0256911  -0.01312589]
 [ 7.35605675  5.65885112  0.          0.        ]]",[-0.05328316 -0.04708495]
4,[ 0.26784447  0.96329202],-0.196465845097,0.0272673,[ 0.38703945  0.37988764],"[ 0.9260987   1.22952841  0.64828557  0.37318438  0.21963365 -0.09915258
  0.20323892  1.09710155  0.58722627  0.93854426  0.        ]","[[  0.49368081   0.41034601   0.0256911   -0.01312589]
 [ 11.16537242   9.50484682   0.           0.        ]]",[-0.05328316 -0.04708495]
5,[ 1.37200572  0.77524451],-0.200429465831,0.0209609,[ 0.32047522  0.36118633],"[ 0.74347001  1.0915314   0.93792948  0.74253995  0.21963214 -0.09915193
  0.26634819  1.592059    0.21178251  1.21611551  0.        ]","[[  7.25397845e-01   6.36818723e-01   2.56910999e-02  -1.31258912e-02]
 [  1.20036884e+01   1.31303194e+01   0.00000000e+00   0.00000000e+00]]",[-0.05328316 -0.04708495]
6,[-0.64936141  0.736526  ],-0.200668286297,-0.0807268,[ 0.23388703  0.33779731],"[ 0.45332802  0.84211842  1.2122547   1.13043319  0.21963064 -0.09915127
  0.54639112  1.97535979 -0.31786904  1.30810759  0.        ]","[[  1.00279137e+00   9.27598106e-01   2.56910999e-02  -1.31258912e-02]
 [  1.57235852e+01   1.59382107e+01   0.00000000e+00   0.00000000e+00]]",[-0.05328316 -0.04708495]
7,[-0.04804789  1.6556551 ],-0.191828549269,0.0109444,[ 0.14799584  0.31567255],"[ 0.09558703  0.46865153  1.39163268  1.42414623  0.21962913 -0.09915062
  0.32970999  2.33034376 -0.82619187  1.09456868  0.        ]","[[  1.28838473e+00   1.27245698e+00   2.56910999e-02  -1.31258912e-02]
 [  1.28454354e+01   1.85390031e+01   0.00000000e+00   0.00000000e+00]]",[-0.05328316 -0.04708495]
8,[-0.48200338 -0.71892122],-0.168609249667,-0.160834,[ 0.09388083  0.30191097],"[-0.24762225 -0.02250578  1.45144897  1.49638836  0.21962762 -0.09914996
  0.29650475  2.82056831 -1.09943121  0.64453924  0.        ]","[[  1.54086614e+00   1.67927634e+00   2.56910999e-02  -1.31258912e-02]
 [  1.24043999e+01   2.21309593e+01   0.00000000e+00   0.00000000e+00]]",[-0.05328316 -0.04708495]
9,[-0.56083796 -1.13481876],-0.134128970986,-0.165936,[ 0.09833196  0.30451378],"[-0.55842197 -0.4950955   1.4226715   1.2597471   0.21962612 -0.09914931
  0.13469009  2.37199183 -1.07337545  0.19255008  0.        ]","[[  1.76739295e+00   2.08893507e+00   2.56910999e-02  -1.31258912e-02]
 [  1.02550484e+01   1.88458762e+01   0.00000000e+00   0.00000000e+00]]",[-0.05328316 -0.04708495]
