timestep,human_obs,rewards,obs,avg_action_dist,actions,logstd_action_dist,original_rewards
0,"[[ 0.06489469 -0.08668792  0.18856901  0.11042348]
 [-0.00460541 -0.00124467  0.          0.        ]]",-0.358811,"[ 1.1916809   1.15904901  0.10129867 -0.62850308  1.64177365  0.96569722
  0.3185944  -0.13040139 -0.03814909 -0.73659386  0.        ]",[-0.33463132  1.47854936],[ 0.57372613  1.55004846],[-0.43134141 -0.18567058],-0.108427241524
1,"[[ 0.08755957 -0.04699357  0.18856901  0.11042348]
 [ 2.26354431  3.95748944  0.          0.        ]]",-0.379747,"[ 1.18930074  1.16247674  0.1348015  -0.55853785  1.64176598  0.96569486
  0.36297174  0.4796335  -0.03960276 -0.67363938  0.        ]",[-0.2600379   1.38093519],[ 0.49338071  2.06924317],[-0.43134141 -0.18567058],-0.0994546931258
2,"[[ 0.15194863  0.07109051  0.18856901  0.11042348]
 [ 4.16902992  7.83798706  0.          0.        ]]",-0.38294,"[ 1.1787071   1.16063301  0.22955977 -0.35006187  1.64175831  0.9656925
  0.40025329  1.07761064 -0.06049519 -0.49223844  0.        ]",[-0.2390442   1.25283957],[ 0.50976843  2.52790274],[-0.43134141 -0.18567058],-0.0730982199525
3,"[[  0.25472119   0.26601351   0.18856901   0.11042348]
 [  6.10185013  11.64163483   0.           0.        ]]",-0.242769,"[ 1.15014024  1.11837489  0.37871809 -0.01112031  1.64175064  0.96569014
  0.43806963  1.66374021 -0.14601533 -0.2127935   0.        ]",[-0.27409452  0.82160562],[-0.85444668  0.55359628],[-0.43134141 -0.18567058],-0.0307167816791
4,"[[  0.34162953   0.51853976   0.18856901   0.11042348]
 [  2.60066569  13.60443666   0.           0.        ]]",-0.234548,"[ 1.11499303  0.99375611  0.50183755  0.40002108  1.64174297  0.96568779
  0.36956587  1.96619281 -0.30700415  0.04248007  0.        ]",[-0.44376785  0.37089875],[-0.90166537 -0.52004947],[-0.43134141 -0.18567058],-0.0234991261501
5,"[[  0.35734942   0.76727833   0.18856901   0.11042348]
 [ -1.01672563  11.27715468   0.           0.        ]]",-0.223296,"[ 1.10757832  0.80124257  0.52373289  0.75081565  1.6417353   0.96568543
  0.29878849  1.60755631 -0.45944051  0.16221398  0.        ]",[-0.58350652  0.34246492],[-0.3260969 -0.4321582],[-0.43134141 -0.18567058],-0.0530556428495
6,"[[ 0.32428069  0.97341659  0.18856901  0.11042348]
 [-2.28597482  9.34310596  0.          0.        ]]",-0.139192,"[ 1.1227941   0.59762009  0.47752854  0.98512957  1.64172763  0.96568307
  0.27395428  1.3095196  -0.56191716  0.18689587  0.        ]",[-0.65831101  0.30684015],[-0.94403629 -0.69305962],[-0.43134141 -0.18567058],-0.0697088840191
7,"[[ 0.24154654  1.13089904  0.18856901  0.11042348]
 [-5.97525807  6.41485584  0.          0.        ]]",-0.172371,"[ 1.1545825   0.4207807   0.35978131  1.12289484  1.64171996  0.96568071
  0.20177025  0.8582819  -0.59682635  0.14530578  0.        ]",[-0.70260936  0.42146122],[-0.09783873  1.49949578],[-0.43134141 -0.18567058],-0.0729895980458
8,"[[  0.11933207   1.29764896   0.18856901   0.11042348]
 [ -6.24526059  10.24735801   0.           0.        ]]",-0.14143,"[ 1.18475989  0.2187656   0.18164601  1.22558815  1.6417123   0.96567835
  0.19648717  1.44885516 -0.61294769  0.06822302  0.        ]",[-0.71622777 -0.15489435],[-0.28855426  0.19371116],[-0.43134141 -0.18567058],-0.0731378331275
9,"[[ -0.01579259   1.50825667   0.18856901   0.11042348]
 [ -7.26383695  10.81151383   0.           0.        ]]",-0.0953957,"[ 1.19437667 -0.0494925  -0.01826107  1.28762553  1.64170463  0.96567599
  0.17655764  1.53578351 -0.65929207 -0.01827062  0.        ]",[-0.73654723 -0.38783723],[-1.25480518  0.37387783],[-0.43134141 -0.18567058],-0.0800081545355
