timestep,human_obs,actions,logstd_action_dist,avg_action_dist,rewards,obs,original_rewards
0,"[[-0.04717696 -0.09363714  0.01584981  0.07538275]
 [ 0.00390035  0.00305582  0.          0.        ]]",[ 0.52381052 -0.28301902],[-0.50232309 -0.27724585],[ 0.45490938  0.51308882],-0.269242,"[ 1.20595126  1.14878905 -0.05694271 -0.58639735  0.1508038   0.64723253
  0.3006234  -0.1226783   1.01375297 -0.6422705   0.        ]",-0.215306994046
1,"[[-0.02630502 -0.10482843  0.01584981  0.07538275]
 [ 2.07639186 -1.11844427  0.          0.        ]]",[ 0.03083255  1.29098441],[-0.50232309 -0.27724585],[ 0.47965544  0.58086824],-0.437196,"[ 1.20700331  1.14729794 -0.02608342 -0.60498128  0.15080365  0.64723161
  0.33826383 -0.30340665  1.01509957 -0.62085819  0.        ]",-0.214131714277
2,"[[ 0.01601902 -0.08724761  0.01584981  0.07538275]
 [ 2.15575132  2.86325725  0.          0.        ]]",[ 1.39155643  0.30093309],[-0.50232309 -0.27724585],[ 0.51318324  0.25485039],-0.221246,"[ 1.20729984  1.14955843  0.0365308  -0.57577607  0.15080349  0.64723068
  0.33970479  0.33824102  1.01929249 -0.54729444  0.        ]",-0.210336519994
3,"[[ 0.09839226 -0.01861102  0.01584981  0.07538275]
 [ 6.06854533  3.99662891  0.          0.        ]]",[ 1.50809915 -1.21886764],[-0.50232309 -0.27724585],[ 0.56126368  0.12646936],-0.0982808,"[ 1.20081767  1.15442959  0.15817082 -0.46141314  0.15080334  0.64722976
  0.41076901  0.52088247  1.01598599 -0.37805685  0.        ]",-0.201487770364
4,"[[ 0.2582651   0.02078484  0.01584981  0.07538275]
 [ 9.90595699 -0.04357476  0.          0.        ]]",[ 0.56425635  0.47315133],[-0.50232309 -0.27724585],[ 0.5649423   0.40100372],-0.35121,"[ 1.16183093  1.15436939  0.3907088  -0.39567052  0.15080318  0.64722883
  0.48046408 -0.13019409  0.97485256 -0.12399905  0.        ]",-0.18759989906
5,"[[  0.4768067    0.03871122   0.01584981   0.07538275]
 [ 11.94142976   1.82996852   0.           0.        ]]",[ 0.91236696 -0.58399911],[-0.50232309 -0.27724585],[ 0.5799076   0.21547592],-0.26782,"[ 1.05398261  1.15365089  0.6918537  -0.36576699  0.15080303  0.64722791
  0.51743201  0.17172654  0.86572369  0.17801357  0.        ]",-0.170506169185
6,"[[  0.74948701   0.05173254   0.01584981   0.07538275]
 [ 15.31536299  -0.52000449   0.           0.        ]]",[ 1.22500284  0.56809404],[-0.50232309 -0.27724585],[ 0.55603898  0.35852489],-0.369428,"[ 0.83871909  1.15285794  1.02078062 -0.34405807  0.15080287  0.64722698
  0.57870922 -0.2069709   0.65325752  0.49860435  0.        ]",-0.15190675951
7,"[[  1.09243664e+00   6.39900237e-02   1.58498101e-02   7.53827518e-02]
 [  1.89674463e+01   1.73822343e+00   0.00000000e+00   0.00000000e+00]]",[-0.24279414  0.82208309],[-0.50232309 -0.27724585],[ 0.53654975  0.14854524],-0.239037,"[ 0.46480555  1.15190365  1.32628328 -0.32363592  0.15080272  0.64722606
  0.64503815  0.15694225  0.29051605  0.78734143  0.        ]",-0.136238372581
8,"[[  1.45837266e+00   1.31072805e-01   1.58498101e-02   7.53827518e-02]
 [  1.76306269e+01   4.95930470e+00   0.00000000e+00   0.00000000e+00]]",[ 0.58331116 -0.55582161],[-0.50232309 -0.27724585],[ 0.39022106 -0.04339874],-0.155284,"[-0.01427354  1.14313311  1.48301446 -0.21223601  0.15080256  0.64722513
  0.62075769  0.67601883 -0.20489191  0.92296121  0.        ]",-0.134133453976
9,"[[  1.83064845e+00   2.07182264e-01   1.58498101e-02   7.53827518e-02]
 [  1.95904218e+01   2.65928201e+00   0.00000000e+00   0.00000000e+00]]",[ 0.29588441 -0.65416076],[-0.50232309 -0.27724585],[ 0.24333417  0.20258397],-0.17682,"[-0.5222346   1.12593624  1.44267918 -0.08706131  0.15080241  0.64722421
  0.65635097  0.3053694  -0.72002488  0.82415793  0.        ]",-0.150230150197
