timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 1.0708837   1.72554597 -0.06640915 -0.52966261 -0.20714294 -0.08892959
  0.19404282 -0.3275161   1.34767402  0.00617152  0.        ]","[[-0.03596706  0.04534072 -0.02171518 -0.01053797]
 [-0.00215737  0.00315563  0.          0.        ]]",[-0.37824322  0.32355692],-0.231782844769,[ 0.00810643  1.00252903],[-0.13094753 -0.15653519],-0.231782844769
1,"[ 1.06996038  1.72467212 -0.08934171 -0.49664777 -0.20714178 -0.08892911
  0.06490685 -0.14747482  1.34721722 -0.0072216   0.        ]","[[-0.05102744  0.05826326 -0.02171518 -0.01053797]
 [-1.49889594  1.28482497  0.          0.        ]]",[ 0.54827371  1.2792782 ],-0.231666061258,[ 0.01920116  1.00690496],[-0.13094753 -0.15653519],-0.231666061258
2,"[ 1.06934137  1.71724134 -0.10141661 -0.33067993 -0.20714063 -0.08892863
  0.25446252  0.40504962  1.3453473   0.03508485  0.        ]","[[-0.05896192  0.12342381 -0.02171518 -0.01053797]
 [ 0.69814267  5.21812492  0.          0.        ]]",[ 0.14740413 -0.91644502],-0.231610157615,[-0.0302681   0.98778242],[-0.13094753 -0.15653519],-0.231610157615
3,"[ 1.07067389  1.70412801 -0.07144195 -0.16164045 -0.20713947 -0.08892815
  0.30370485 -0.1192399   1.33894864  0.1231887   0.        ]","[[-0.03927243  0.19033919 -0.02171518 -0.01053797]
 [ 1.26889759  1.4858523   0.          0.        ]]",[-2.4703786   2.11363491],-0.231546958724,[-0.02614774  0.98150665],[-0.13094753 -0.15653519],-0.231546958724
4,"[ 1.06971754  1.68479782 -0.09364002  0.01079661 -0.20713831 -0.08892767
 -0.03990364  0.4330639   1.3311434   0.15747925  0.        ]","[[-0.05385225  0.25950428 -0.02171518 -0.01053797]
 [-2.71361767  5.41754486  0.          0.        ]]",[ 0.75843339 -0.14367581],-0.230910150475,[-0.01802066  0.97935522],[-0.13094753 -0.15653519],-0.230910150475
5,"[ 1.06754843  1.6459885  -0.12957525  0.25806843 -0.20713716 -0.08892719
  0.22361788  0.33791624  1.31579367  0.20332656  0.        ]","[[-0.07748021  0.36105943 -0.02171518 -0.01053797]
 [ 0.34066425  4.74023663  0.          0.        ]]",[-0.41402366  0.97509908],-0.229490978959,[-0.04146976  0.9637599 ],[-0.13094753 -0.15653519],-0.229490978959
6,"[ 1.06642636  1.57724708 -0.14431119  0.56655083 -0.207136   -0.08892671
  0.08160466  0.86718945  1.2838181   0.29382162  0.        ]","[[-0.08718138  0.49366728 -0.02171518 -0.01053797]
 [-1.30528401  8.50798579  0.          0.        ]]",[ 0.86091853  2.7172745 ],-0.226944336607,[-0.06639856  0.94019562],[-0.13094753 -0.15653519],-0.226944336607
7,"[ 1.06737337  1.43090651 -0.13168066  1.00595587 -0.20713484 -0.08892623
  0.37760834  1.39956669  1.20385752  0.45950903  0.        ]","[[ -7.88667619e-02   7.01852541e-01  -2.17151769e-02  -1.05379702e-02]
 [  2.12544920e+00   1.22979263e+01   0.00000000e+00   0.00000000e+00]]",[ 1.56814459  2.54555184],-0.221086155752,[-0.16339217  0.87668109],[-0.13094753 -0.15653519],-0.221086155752
8,"[ 1.07167938  1.16710065 -0.00715282  1.48604395 -0.20713369 -0.08892575
  0.71533028  1.92136214  1.00806641  0.73546656  0.        ]","[[  2.91260913e-03   9.85082908e-01  -2.17151769e-02  -1.05379702e-02]
 [  6.03972286e+00   1.60127440e+01   0.00000000e+00   0.00000000e+00]]",[-0.7065701   0.88349162],-0.209185293126,[-0.28028497  0.78099871],[-0.13094753 -0.15653519],-0.209185293126
9,"[ 1.06547039  0.76503074  0.13218465  1.84294618 -0.20713253 -0.08892527
  0.4638789   2.36825488  0.69366942  0.93757104  0.        ]","[[  9.44666948e-02   1.33726316e+00  -2.17151769e-02  -1.05379702e-02]
 [  3.12543709e+00   1.91946552e+01   0.00000000e+00   0.00000000e+00]]",[-0.23940003  2.10991448],-0.187762452352,[-0.33114544  0.69835413],[-0.13094753 -0.15653519],-0.187762452352
