timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[ 1.92140174 -2.0075171 ],[ 2.16263277 -2.41011348],-0.171791661663,-0.171791661663,"[ 1.10257206  1.39025745 -0.15869118  1.10874778  0.37821046  0.24466698
 -0.1897647   0.28490176  1.29434285 -0.5474347   0.        ]","[[-0.07082599 -0.06458362  0.04448715  0.0283987 ]
 [ 0.00489851 -0.00129903  0.          0.        ]]",[-0.72691137 -0.7256999 ]
1,[ 1.92455626 -1.85805726],[ 1.18378112 -1.56870072],-0.170864442834,-0.170864442834,"[ 1.10545472  1.38587699 -0.09978861  1.00842743  0.3782103   0.24466688
  0.35634049 -0.33946571  1.29638234 -0.49403396  0.        ]","[[-0.03102302 -0.10435259  0.04448715  0.0283987 ]
 [ 3.9622191  -3.96239079  0.          0.        ]]",[-0.72691137 -0.7256999 ]
2,[ 1.75415206 -1.83123481],[ 1.57454286 -2.00916382],-0.167723122934,-0.167723122934,"[ 1.10073819  1.3607842   0.07514447  0.71332587  0.37821015  0.24466679
  0.8916441  -0.95146174  1.29304728 -0.33558015  0.        ]","[[ 0.08714095 -0.22255604  0.04448715  0.0283987 ]
 [ 7.8412685  -7.84499811  0.          0.        ]]",[-0.72691137 -0.7256999 ]
3,[ 0.72728187 -1.55445981],[ 0.70725911 -1.92901066],-0.161290612976,-0.161290612976,"[ 1.04987229  1.28078891  0.3587136   0.24525484  0.37821     0.2446667
  1.41637371 -1.55131388  1.25711569 -0.07878675  0.        ]","[[  0.28211692  -0.41763899   0.04448715   0.0283987 ]
 [ 11.64370056 -11.65057021   0.           0.        ]]",[-0.72691137 -0.7256999 ]
4,[-0.3635017  -1.37072396],[-0.22098635 -1.70055436],-0.150213760014,-0.150213760014,"[ 0.90304988  1.09599874  0.70903783 -0.33564075  0.37820985  0.24466661
  1.77094477 -2.13916642  1.15160581  0.22144283  0.        ]","[[  0.5407699   -0.68806999   0.04448715   0.0283987 ]
 [ 14.21309766 -15.3800314    0.           0.        ]]",[-0.72691137 -0.7256999 ]
5,[-0.66259271 -1.03766608],[-0.92870334 -0.83335619],-0.133157393918,-0.133157393918,"[ 0.66063036  0.75708699  1.02300097 -0.90136234  0.3782097   0.24466652
  1.61171967 -2.71514057  0.96601584  0.40203745  0.        ]","[[  0.8134561   -1.03233373   0.04448715   0.0283987 ]
 [ 13.05929609 -19.03416266   0.           0.        ]]",[-0.72691137 -0.7256999 ]
6,[-0.17380188 -1.03364193],[-0.51589073 -0.71696377],-0.108470178594,-0.108470178594,"[ 0.40923474  0.25496296  1.22052354 -1.23874587  0.37820955  0.24466643
  1.06904518 -3.17562148  0.72450076  0.31686758  0.        ]","[[  1.03518944  -1.44232785   0.04448715   0.0283987 ]
 [  9.12683762 -21.9556187    0.           0.        ]]",[-0.72691137 -0.7256999 ]
7,[ 0.25965041 -1.14956808],[-0.30018014 -1.12750296],-0.0759156801074,-0.0759156801074,"[ 0.20463886 -0.34108003  1.32486581 -1.11906933  0.3782094   0.24466634
  0.76231113 -3.55446893  0.4031712   0.03334799  0.        ]","[[  1.1954272   -1.90555562   0.04448715   0.0283987 ]
 [  6.90410726 -24.35921373   0.           0.        ]]",[-0.72691137 -0.7256999 ]
8,[ 0.56408972 -1.34400356],[ 1.04796906 -1.50420176],-0.0420032403387,-0.0420032403387,"[ 0.03577691 -0.89871191  1.38175942 -0.38573887  0.37820925  0.24466625
  0.57932555 -4.10251818 -0.06022248 -0.27346328  0.        ]","[[  1.32020666  -2.42762655   0.04448715   0.0283987 ]
 [  5.57811326 -27.83632927   0.           0.        ]]",[-0.72691137 -0.7256999 ]
9,[-1.1265825  -1.63901925],[-1.02295849 -1.00088565],-0.0503335122867,-0.0503335122867,"[-0.17447533 -1.20761885  1.42057629  0.96141748  0.3782091   0.24466616
  1.11035849 -3.76463423 -0.67783005 -0.39368397  0.        ]","[[  1.47037352  -3.01855005   0.04448715   0.0283987 ]
 [  9.42622253 -25.69282884   0.           0.        ]]",[-0.72691137 -0.7256999 ]
