timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.07966022  1.57093132  0.13961218 -1.4092274  -0.48129126 -0.68618678
  0.10199477 -0.31800161  2.08426391  0.76280963  0.        ]",[-1.04698839  1.76171506],-0.274520416455,-0.274520416455,[-2.19153428  1.14508891],"[[ 0.01437163 -0.09047926 -0.05483497 -0.08039717]
 [ 0.00104245 -0.00432243  0.          0.        ]]",[-0.40278366 -0.37828088]
1,"[ 1.07934606  1.57453207  0.08043242 -1.30561141 -0.48129096 -0.68618629
 -0.38114927  0.28711544  2.08405506  0.71737941  0.        ]",[-1.3538405   0.24154731],-0.273463591005,-0.273463591005,[-2.04625344  0.8388499 ],"[[-0.0253137  -0.05082158 -0.05483497 -0.08039717]
 [-3.9563921   3.95688426  0.          0.        ]]",[-0.40278366 -0.37828088]
2,"[ 1.06501842  1.57530364 -0.09487345 -1.07527778 -0.48129067 -0.68618579
 -0.85459085  0.42148262  2.07202743  0.54516579  0.        ]",[-2.23189574  0.21312491],-0.268763875,-0.268763875,[-2.16530418  0.77358514],"[[-0.1433503   0.03714142 -0.05483497 -0.08039717]
 [-7.83435637  4.83647735  0.          0.        ]]",[-0.40278366 -0.37828088]
3,"[ 0.9981453   1.56334301 -0.3765996  -0.80341194 -0.48129038 -0.6861853
 -1.31866531  0.53598665  2.01499165  0.21629079  0.        ]",[-3.35839423  0.2147389 ],-0.258332133352,-0.258332133352,[-2.01801896  0.93427086],"[[ -0.33817635   0.14139179  -0.05483497  -0.08039717]
 [-11.63560265   5.58604303   0.           0.        ]]",[-0.40278366 -0.37828088]
4,"[ 0.82120137  1.53274029 -0.73405167 -0.49775601 -0.48129009 -0.6861848
 -1.77357086  0.64917473  1.85959122 -0.24086416  0.        ]",[-1.30820639  2.1554015 ],-0.240737263041,-0.240737263041,[-1.22722077  1.31457925],"[[ -0.60827384   0.26054724  -0.05483497  -0.08039717]
 [-15.36176284   6.32699475   0.           0.        ]]",[-0.40278366 -0.37828088]
5,"[ 0.47413846  1.46136636 -1.09678107 -0.09114519 -0.4812898  -0.68618431
 -2.21964853  1.23505243  1.5587698  -0.72297278  0.        ]",[ 0.20467282  1.06409496],-0.215427003416,-0.215427003416,[ 0.83877003  1.21879637],"[[ -0.95216896   0.42556837  -0.05483497  -0.08039717]
 [-19.01564104  10.16226049   0.           0.        ]]",[-0.40278366 -0.37828088]
6,"[-0.00500376  1.30068852 -1.32672928  0.44690823 -0.48128951 -0.68618381
 -2.07511256  1.8090057   1.17765642 -1.03270709  0.        ]",[ 2.08956944  0.96341569],-0.186575721785,-0.186575721785,[ 1.80895007  0.69091475],"[[ -1.32060364   0.6665113   -0.05483497  -0.08039717]
 [-17.83178788  13.91948261   0.           0.        ]]",[-0.40278366 -0.37828088]
7,"[-0.45307526  1.00554206 -1.37018076  1.00344558 -0.48128922 -0.68618332
 -1.54925495  2.349315    0.88930012 -1.06560497  0.        ]",[ 1.50569188  0.84365736],-0.160931431557,-0.160931431557,[ 0.89922643 -0.41763183],"[[ -1.63402438   0.98038821  -0.05483497  -0.08039717]
 [-13.52449044  17.45649389   0.           0.        ]]",[-0.40278366 -0.37828088]
8,"[-0.77611328  0.55883726 -1.31031124  1.38864788 -0.48128893 -0.68618282
 -1.03363409  2.80656618  0.76546343 -0.86056128  0.        ]",[-1.49928457 -1.72799799],-0.14029587715,-0.14029587715,[-1.03195584 -1.7078414 ],"[[ -1.86214165   1.35955014  -0.05483497  -0.08039717]
 [ -9.30102706  20.44982919   0.           0.        ]]",[-0.40278366 -0.37828088]
9,"[-1.07237568  0.09152088 -1.17955845  1.41588978 -0.48128864 -0.68618233
 -1.49426289  2.13986467  0.63507513 -0.5987151   0.        ]",[-0.30749575 -1.61464625],-0.117621104207,-0.117621104207,[ 0.13809952 -1.84540629],"[[ -2.08601532   1.72475907  -0.05483497  -0.08039717]
 [-13.07407633  16.08549497   0.           0.        ]]",[-0.40278366 -0.37828088]
