timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 1.0159376   1.48068814  0.21798639 -1.21635235 -0.23633452  0.00195582
  0.32259212 -0.32679028  1.76963696  0.03145907  0.        ]",[ 1.01346963  2.35926232],-0.236205112603,-0.236205112603,"[[ 0.09637993 -0.03387006 -0.02632636  0.00027287]
 [-0.00016602  0.00166845  0.          0.        ]]",[-0.51963466 -0.37207776],[ 0.79962301  2.75667143]
1,"[ 1.00906133  1.48138501  0.27670749 -1.11290468 -0.23633439  0.00195582
  0.69714971  0.31228481  1.7570459   0.18173164  0.        ]",[-0.14909885  2.81513803],-0.236065887353,-0.236065887353,"[[  1.36051703e-01   5.87537875e-03  -2.63263594e-02   2.72867989e-04]
 [  3.95418158e+00   3.95968953e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.39823306  2.35332131]
2,"[ 0.99052678  1.47174983  0.38293759 -0.80620076 -0.23633426  0.00195582
  0.63373303  0.93899601  1.69965698  0.50875565  0.        ]",[-0.78453407  2.95081159],-0.234988125212,-0.234988125212,"[[  2.08417807e-01   1.24013046e-01  -2.63263594e-02   2.72867989e-04]
 [  3.28467345e+00   7.84113939e+00   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.03397334  2.09564424]
3,"[ 0.9792074   1.41797201  0.43216376 -0.31176053 -0.23633413  0.00195582
  0.3334818   1.55345179  1.59139045  0.81782098  0.        ]",[-0.69967115  2.75851045],-0.231630467014,-0.231630467014,"[[  2.42306921e-01   3.19018330e-01  -2.63263594e-02   2.72867989e-04]
 [  1.14814919e-01   1.16466982e+01   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.11050223  1.94798851]
4,"[  9.87881840e-01   1.26930640e+00   3.95144700e-01   3.18744884e-01
  -2.36334000e-01   1.95582009e-03   7.09830978e-02   2.15570616e+00
   1.43860881e+00   1.03618623e+00   0.00000000e+00]",[ 0.39383256  0.36263313],-0.224004634459,-0.224004634459,"[[  2.16797743e-01   5.89376944e-01  -2.63263594e-02   2.72867989e-04]
 [ -2.65647698e+00   1.53767140e+01   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.22685869  1.67915678]
5,"[  9.98766367e-01   9.97555575e-01   3.41132815e-01   9.24211433e-01
  -2.36333872e-01   1.95581909e-03   2.23567979e-01   2.33829837e+00
   1.21154949e+00   1.20790376e+00   0.00000000e+00]",[-0.31333782  0.97996108],-0.210075734697,-0.210075734697,"[[  1.79829681e-01   9.08257841e-01  -2.63263594e-02   2.72867989e-04]
 [ -1.04558363e+00   1.65076234e+01   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.4390263   1.38193583]
6,"[  1.00681670e+00   5.91847253e-01   2.92396652e-01   1.36118615e+00
  -2.36333743e-01   1.95581808e-03   1.08099186e-01   2.91208106e+00
   8.93903449e-01   1.30390238e+00   0.00000000e+00]",[-0.44959106  1.48739105],-0.187705514493,-0.187705514493,"[[  1.46686004e-01   1.27406638e+00  -2.63263594e-02   2.72867989e-04]
 [ -2.26462695e+00   2.00613681e+01   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[-0.15790679  0.84079361]
7,"[  1.01759715e+00   4.85422449e-02   1.99607808e-01   1.44938964e+00
  -2.36333614e-01   1.95581707e-03  -5.61124029e-02   3.48729778e+00
   5.19363416e-01   1.21171443e+00   0.00000000e+00]",[-0.54221014 -0.12733115],-0.153668330545,-0.153668330545,"[[  8.39988022e-02   1.71103982e+00  -2.63263594e-02   2.72867989e-04]
 [ -3.99826484e+00   2.36240665e+01   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.28791872  0.18582767]
8,"[  1.02265784e+00  -4.88643231e-01   4.96952797e-02   1.01588661e+00
  -2.36333485e-01   1.95581606e-03  -2.51781439e-01   3.33036973e+00
   1.83224906e-01   9.06053355e-01   0.00000000e+00]",[ 0.90830235 -1.00725443],-0.111031261245,-0.111031261245,"[[ -1.66907215e-02   2.17377124e+00  -2.63263594e-02   2.72867989e-04]
 [ -6.06400977e+00   2.26522702e+01   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.7130577   0.03990966]
9,"[  1.01529592e+00  -8.41503908e-01  -7.52252968e-02   2.52358919e-01
  -2.36333356e-01   1.95581505e-03   1.00261403e-01   2.61861520e+00
  -6.42703163e-02   5.17974334e-01   0.00000000e+00]",[ 0.17830318 -0.77899549],-0.0690825584731,-0.0690825584731,"[[ -1.00680572e-01   2.58258747e+00  -2.63263594e-02   2.72867989e-04]
 [ -2.34737696e+00   1.82441015e+01   0.00000000e+00   0.00000000e+00]]",[-0.51963466 -0.37207776],[ 0.63219982 -0.04078928]
