timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[ 1.21409786  1.50620008],[ 0.73096675  1.31805309],-0.311677278069,-0.311677278069,"[[-0.00924928 -0.0358945  -0.03549232  0.18629148]
 [ 0.00192367  0.00175647  0.          0.        ]]","[ 1.07634335  2.00084413  0.07875052 -0.85215776 -0.31242997  1.58245689
  0.29066433 -0.35578638  1.50921263 -1.62828956  0.        ]",[-0.15017709 -0.13044448]
1,[ 1.05588388  1.40658236],[ 1.89138918  2.51066025],-0.305389710041,-0.305389710041,"[[  1.97858043e-02   3.85683232e-03  -3.54923231e-02   1.86291484e-01]
 [  2.89196703e+00   3.96018848e+00   0.00000000e+00   0.00000000e+00]]","[ 1.07612495  2.00167011  0.1229785  -0.73497731 -0.31242927  1.58244545
  0.52573631  0.19985815  1.50967773 -1.54131969  0.        ]",[-0.15017709 -0.13044448]
2,[ 0.71045524  1.23863089],[-0.13072756  2.64344314],-0.283742537432,-0.283742537432,"[[ 0.11672676  0.12198654 -0.03549232  0.18629148]
 [ 6.78917492  7.83985486  0.          0.        ]]","[ 1.06689089  1.99177794  0.27025099 -0.38757959 -0.31242856  1.582434
  0.84272897  0.74444548  1.48272511 -1.26642796  0.        ]",[-0.15017709 -0.13044448]
3,[ 0.38477308  1.05075264],[ 0.66641497  0.4391186 ],-0.248019794386,-0.248019794386,"[[  0.24596118   0.31695636  -0.03549232   0.18629148]
 [  6.13649665  11.64444126   0.           0.        ]]","[ 1.0343609   1.93540346  0.46375602  0.1725838  -0.31242785  1.58242256
  0.78963798  1.27848973  1.36639974 -0.88912984  0.        ]",[-0.15017709 -0.13044448]
4,[-0.10395438  0.79947376],[-0.28947498  0.44186491],-0.199595967623,-0.199595967623,"[[  0.3939243    0.56496715  -0.03549232   0.18629148]
 [  8.65156041  13.15160654   0.           0.        ]]","[ 0.96943031  1.79499022  0.67752044  0.83216561 -0.31242714  1.58241111
  0.99420737  1.4900409   1.11850625 -0.51207167  0.        ]",[-0.15017709 -0.13044448]
5,[-0.40361419  0.57218724],[ 0.26278925 -0.99385375],-0.141887735593,-0.141887735593,"[[  0.5537537    0.84294396  -0.03549232   0.18629148]
 [  7.33583313  14.64110006   0.           0.        ]]","[ 0.86769017  1.55650569  0.89393774  1.4549007  -0.31242643  1.58239967
  0.88718379  1.69910723  0.74891563 -0.24193103  0.        ]",[-0.15017709 -0.13044448]
6,[-0.61990762  0.44171533],[ 0.23794063  1.18366951],-0.0872120202296,-0.0872120202296,"[[  0.70947221   1.09336926  -0.03549232   0.18629148]
 [  8.2329548   10.41550544   0.           0.        ]]","[ 0.73942183  1.28287586  1.0851896   1.87229794 -0.31242573  1.58238822
  0.96015124  1.10595845  0.36411308 -0.14828203  0.        ]",[-0.15017709 -0.13044448]
7,[-0.70804912  0.32860965],[-1.09725801 -0.4105295 ],-0.0389538388288,-0.0389538388288,"[[  0.88194729   1.33933338  -0.03549232   0.18629148]
 [  9.01214838  14.16839293   0.           0.        ]]","[ 0.56757615  0.97690831  1.26881495  2.12333038 -0.31242502  1.58237678
  1.023526    1.632736   -0.02127946 -0.21026794  0.        ]",[-0.15017709 -0.13044448]
8,[-0.64403921  0.32847667],[-0.60389237 -0.06425572],-0.0473012002059,-0.0473012002059,"[[  1.02071639   1.60358324  -0.03549232   0.18629148]
 [  4.87830458  12.26294181   0.           0.        ]]","[ 0.40992308  0.62827306  1.39144332  2.20034565 -0.31242431  1.58236534
  0.68727987  1.36526215 -0.31086025 -0.41878886  0.        ]",[-0.15017709 -0.13044448]
9,[-0.61429369  0.32714942],[-0.42968812 -0.10501667],-0.0796071124421,-0.0796071124421,"[[  1.09334479   1.84385639  -0.03549232   0.18629148]
 [  2.39270805  11.76601939   0.           0.        ]]","[ 0.32161232  0.31326005  1.44579652  2.09267298 -0.3124236   1.58235389
  0.48510168  1.29550274 -0.44329005 -0.65565905  0.        ]",[-0.15017709 -0.13044448]
10,[-0.58517039  0.32688606],[-0.56741036 -0.85727902],-0.106773185513,-0.106773185513,"[[  1.12366714   2.07266906  -0.03549232   0.18629148]
 [  0.64526756  11.11739953   0.           0.        ]]","[ 0.28371363  0.03216813  1.46638752  1.83831725 -0.3124229   1.58234245
  0.34296489  1.20445099 -0.47806381 -0.87998843  0.        ]",[-0.15017709 -0.13044448]
11,[-0.52301222  0.33936501],[ 0.45163593 -0.26182507],-0.124803411071,-0.124803411071,"[[ 1.11391406  2.25875209 -0.03549232  0.18629148]
 [-1.61316632  7.50293493  0.          0.        ]]","[ 0.29596501 -0.17246683  1.45988889  1.53128166 -0.31242219  1.58233101
  0.15926426  0.69709309 -0.45192386 -1.04288299  0.        ]",[-0.15017709 -0.13044448]
12,[-0.53061777  0.34000748],[-0.43724016 -0.27346152],-0.137253231666,-0.137253231666,"[[ 1.09991124  2.39691815 -0.03549232  0.18629148]
 [ 0.20683198  6.31763016  0.          0.        ]]","[ 0.31345225 -0.30590503  1.45033566  1.25174164 -0.31242148  1.58231956
  0.30730195  0.53071246 -0.41456596 -1.15666134  0.        ]",[-0.15017709 -0.13044448]
13,[-0.47925508  0.3479844 ],[ 0.51151041  1.42430412],-0.147196690225,-0.147196690225,"[[ 1.08664019  2.51115189 -0.03549232  0.18629148]
 [-1.52818477  5.10976373  0.          0.        ]]","[ 0.32991098 -0.40225645  1.44103562  0.99160837 -0.31242077  1.58230812
  0.16617533  0.36116519 -0.37460568 -1.24649907  0.        ]",[-0.15017709 -0.13044448]
14,[-0.50439113  0.33147979],[-0.88017942  0.0160724 ],-0.159425851289,-0.159425851289,"[[ 1.07669935  2.65206016 -0.03549232  0.18629148]
 [ 0.52730041  8.96821037  0.          0.        ]]","[ 0.34216454 -0.50170046  1.4339115   0.63991678 -0.31242006  1.58229668
  0.33336807  0.90276723 -0.31673691 -1.35407727  0.        ]",[-0.15017709 -0.13044448]
15,[-0.39070392  0.34382871],[-2.18413032  0.93174861],-0.173727100957,-0.173727100957,"[[ 1.05217813  2.83028054 -0.03549232  0.18629148]
 [-2.96781877  8.85419656  0.          0.        ]]","[ 0.3721094  -0.59395651  1.41578674  0.15668135 -0.31241936  1.58228524
  0.04907388  0.88675997 -0.22650044 -1.47451479  0.        ]",[-0.15017709 -0.13044448]
