timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.395771792451,[ 1.43752184  2.72700142],-0.395771792451,[ 0.34865797  2.38586974],"[[-0.01417844  0.00397158 -0.15873529 -0.14635025]
 [ 0.00172252  0.00265029  0.          0.        ]]","[ 0.95926651  1.78238892  0.02670936 -0.90917982 -1.35971283 -1.2543259
  0.28337842 -0.35655729  2.73266749  1.21240018  0.        ]",[-0.18927327 -0.28017133]
1,-0.400303842825,[-1.53764373  2.82819414],-0.400303842825,[ 0.14166224  2.17231345],"[[ 0.02553073  0.04373646 -0.15873529 -0.14635025]
 [ 3.9560352   3.96065104  0.          0.        ]]","[ 0.9589273   1.78117392  0.08771916 -0.79448491 -1.3597086  -1.25432238
  0.64753452  0.23146974  2.73025647  1.33257167  0.        ]",[-0.18927327 -0.28017133]
2,-0.406493038507,[ 0.79438022  2.23862294],-0.406493038507,[ 0.26858056  2.13584518],"[[ 0.06416087  0.16190628 -0.15873529 -0.14635025]
 [-0.07957586  7.84338482  0.          0.        ]]","[ 0.95633439  1.7657403   0.1470126  -0.45552652 -1.35970437 -1.25431885
  0.27588999  0.80831401  2.70717604  1.53039691  0.        ]",[-0.18927327 -0.28017133]
3,-0.411277293407,[ 0.31311302  0.68496157],-0.411277293407,[ 0.12148106  1.98892093],"[[  0.09410124   0.35693169  -0.15873529  -0.14635025]
 [  3.06321698  11.64648914   0.           0.        ]]","[ 0.95279151  1.70217162  0.19287151  0.08749121 -1.35970014 -1.25431533
  0.56531299  1.37332532  2.63534504  1.77895518  0.        ]",[-0.18927327 -0.28017133]
4,-0.412709438767,[ 0.07751422  2.77241078],-0.412709438767,[ 0.10559893  1.96214342],"[[  0.16718116   0.61475549  -0.15873529  -0.14635025]
 [  4.24095846  14.127623     0.           0.        ]]","[ 0.93854915  1.54938656  0.30418036  0.74348763 -1.35969591 -1.2543118
  0.67377172  1.74193179  2.44891122  2.12722521  0.        ]",[-0.18927327 -0.28017133]
5,-0.403463546379,[-0.11024667  2.22183095],-0.403463546379,[ 0.1241383   1.83171701],"[[  0.25423372   0.93422821  -0.15873529  -0.14635025]
 [  4.46373848  17.80738283   0.           0.        ]]","[ 0.91131508  1.26627534  0.4349408   1.39955006 -1.35969168 -1.25430828
  0.69428672  2.28860518  2.11838841  2.43997285  0.        ]",[-0.18927327 -0.28017133]
6,-0.377456168296,[ 0.05627086  1.31496729],-0.377456168296,[ 0.25171483  1.66244268],"[[  0.33825557   1.32656722  -0.15873529  -0.14635025]
 [  3.9403911   21.41449062   0.           0.        ]]","[ 0.87462558  0.81753894  0.55838377  1.87903126 -1.35968745 -1.25430475
  0.6460899   2.82447033  1.6602922   2.5865234   0.        ]",[-0.18927327 -0.28017133]
7,-0.331495411564,[ 0.9300961   2.56724359],-0.331495411564,[ 0.39144874  1.54319024],"[[  0.41853834   1.79033015  -0.15873529  -0.14635025]
 [  4.08760902  24.95002025   0.           0.        ]]","[ 0.83026141  0.23270322  0.67298402  1.89539599 -1.35968322 -1.25430123
  0.65964638  3.3496804   1.16527014  2.45690011  0.        ]",[-0.18927327 -0.28017133]
8,-0.267007445861,[-0.09921722  1.61149386],-0.267007445861,[ 0.15150112  1.2836318 ],"[[  0.53645189   2.32409797  -0.15873529  -0.14635025]
 [  7.69199897  28.41525588   0.           0.        ]]","[ 0.74923337 -0.36064965  0.83380454  1.18398177 -1.35967899 -1.2542977
  0.99157816  3.86441897  0.77732698  2.00860429  0.        ]",[-0.18927327 -0.28017133]
9,-0.211216884701,[-0.12672576  1.82038698],-0.211216884701,[ 0.14617127  1.23312378],"[[  0.68485601   2.9264851   -0.15873529  -0.14635025]
 [  7.1498108   31.81215381   0.           0.        ]]","[ 0.6220328  -0.73337797  1.02045057 -0.30477528 -1.35967476 -1.25429418
  0.94164526  4.36896881  0.7696243   1.36375652  0.        ]",[-0.18927327 -0.28017133]
