timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.311283985613,[ 4.28116463  2.63431069],-0.311283985613,"[ 1.04871696  1.39293137  0.05619462 -1.22996734 -0.34424618  1.69993491
  0.24145012 -0.32784972  2.14422681 -2.56651049  0.        ]","[[ 0.03842502  0.02733349 -0.03986961  0.19713025]
 [-0.00364929 -0.00349484  0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 4.41342306  1.88459837]
1,-0.302971646749,[ 3.28711353  1.46430106],-0.302971646749,"[ 1.04522992  1.39051798  0.11389927 -1.12632643 -0.344246    1.69993179
  0.72035777  0.35597278  2.13248427 -2.40446179  0.        ]","[[ 0.07802784  0.06697668 -0.03986961  0.19713025]
 [ 3.95077291  3.95462757  0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 3.23371434  0.82008576]
2,-0.276299004863,[ 1.70644994 -0.97277947],-0.276299004863,"[ 1.02088742  1.3713889   0.28429225 -0.82004818 -0.34424582  1.69992867
  1.189805    1.02625934  2.04711253 -1.9333378   0.        ]","[[ 0.19593516  0.1849963  -0.03986961  0.19713025]
 [ 7.82708489  7.83440389  0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 2.26962662  0.03077775]
3,-0.23451309262,[ 1.57023483 -0.70050614],-0.23451309262,"[ 0.9358765   1.33520685  0.55591704 -0.52434061 -0.34424564  1.69992556
  1.65034703  0.33373877  1.81117796 -1.317868    0.        ]","[[  0.39063145   0.30146626  -0.03986961   0.19713025]
 [ 11.62987874   3.82593872   0.           0.        ]]",[-0.66663533 -0.5461064 ],[ 1.54887176  0.63236558]
4,-0.182385618706,[-0.48274783  1.10975832],-0.182385618706,"[ 0.73157017  1.31543821  0.89577906 -0.40552704 -0.34424546  1.69992244
  2.10171926 -0.15883403  1.40484395 -0.72390767  0.        ]","[[  0.66062429   0.34937902  -0.03986961   0.19713025]
 [ 15.3569794    0.97481638   0.           0.        ]]",[-0.66663533 -0.5461064 ],[-0.32001692  0.70258933]
5,-0.122370268986,[-1.883343   -0.64252555],-0.122370268986,"[ 0.42251519  1.28725895  1.18362785 -0.26198788 -0.34424527  1.69991933
  1.83348489  0.52199564  0.83901817 -0.28722794  0.        ]","[[  0.94554144   0.40841459  -0.03986961   0.19713025]
 [ 13.14215066   4.91561127   0.           0.        ]]",[-0.66663533 -0.5461064 ],[-1.41506624 -0.21002778]
6,-0.0710792648528,[-1.85529937  0.42084784],-0.0710792648528,"[ 0.13273939  1.24742297  1.34186222 -0.09228938 -0.34424509  1.69991621
  1.32303576  0.06587268  0.31559935 -0.11891204  0.        ]","[[ 1.16609594  0.48023729 -0.03986961  0.19713025]
 [ 8.92728902  2.2754715   0.          0.        ]]",[-0.66663533 -0.5461064 ],[-1.13935471  0.24489583]
7,-0.0368715689347,[-0.34863672 -0.55889013],-0.0368715689347,"[-0.06285838  1.20841983  1.40780977  0.04874824 -0.34424491  1.69991309
  0.82248277  0.34622186 -0.03691865 -0.10971366  0.        ]","[[ 1.30317253  0.54202795 -0.03986961  0.19713025]
 [ 4.79413152  3.89819447  0.          0.        ]]",[-0.66663533 -0.5461064 ],[-0.98563677 -0.32879451]
8,-0.0146511623611,[-1.43021764 -0.54562212],-0.0146511623611,"[-0.18235968  1.17015501  1.434451    0.16994729 -0.34424473  1.69990998
  0.64406676 -0.04935243 -0.26203235 -0.15079967  0.        ]","[[ 1.38427421  0.59701883 -0.03986961  0.19713025]
 [ 3.32091971  1.60852546  0.          0.        ]]",[-0.66663533 -0.5461064 ],[-0.90960687 -0.23445311]
9,-0.00835379616789,[ 0.5907534   1.97941068],-0.00835379616789,"[-0.22120827  1.16270639  1.44101823  0.19192507 -0.34424455  1.69990686
  0.15708498 -0.42786058 -0.32548383 -0.16631829  0.        ]","[[ 1.4103478   0.60720747 -0.03986961  0.19713025]
 [-0.70018074 -0.58236133  0.          0.        ]]",[-0.66663533 -0.5461064 ],[ 0.56468421  0.5324319 ]
