timestep,avg_action_dist,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist
0,[-1.62298107  1.1701355 ],"[ 0.99895952  1.60514631  0.19652665 -1.18349023  1.14896022 -0.38629806
  0.34197008 -0.33355966  0.27940056  0.47847993  0.        ]",[-0.18469137  2.23184915],-0.0956203608842,-0.0956203608842,"[[ 0.06311514 -0.03424914  0.13073617 -0.0443627 ]
 [ 0.00128666 -0.00476771  0.          0.        ]]",[-0.40255624 -0.30626196]
1,[-1.83718574  0.66691726],"[ 0.99961133  1.60586776  0.18552627 -1.07779367  1.14895826 -0.38629774
  0.26809093  0.27381263  0.27835076  0.51066375  0.        ]",[-2.11433827 -0.04346213],-0.0971411307349,-0.0971411307349,"[[ 0.05579468  0.00538715  0.13073617 -0.0443627 ]
 [-0.73088972  3.95519795  0.          0.        ]]",[-0.40255624 -0.30626196]
2,[-1.13610542  0.77352804],"[ 1.00194496  1.60161916  0.10403733 -0.87372113  1.14895629 -0.38629741
 -0.12960194  0.23564095  0.27813994  0.47702756  0.        ]",[-2.51573745 -0.01605773],-0.0954332671214,-0.0954332671214,"[[  1.63238909e-03   8.19941701e-02   1.30736170e-01  -4.43627046e-02]
 [ -4.67221880e+00   3.70632644e+00   0.00000000e+00   0.00000000e+00]]",[-0.40255624 -0.30626196]
3,[ 0.03456112  0.87834883],"[ 0.98916028  1.59071324 -0.09442114 -0.68104581  1.14895433 -0.38629708
 -0.5194357   0.21485928  0.27364468  0.25198411  0.        ]",[-0.69834961  1.48480507],-0.0854395400692,-0.0854395400692,"[[-0.13057498  0.1547614   0.13073617 -0.0443627 ]
 [-8.53566148  3.57083475  0.          0.        ]]",[-0.40255624 -0.30626196]
4,[ 0.97388339  0.44948411],"[ 0.92220151  1.56151389 -0.38240657 -0.39309867  1.14895236 -0.38629676
 -0.78131339  0.81147008  0.23182856 -0.0747993   0.        ]",[ 1.02354845  0.82307089],-0.0739386305933,-0.0739386305933,"[[ -0.32732791   0.26520593   0.13073617  -0.0443627 ]
 [-11.1310016    7.46063428   0.           0.        ]]",[-0.40255624 -0.30626196]
5,[ 0.37936151 -0.07373375],"[ 0.81223983  1.4819625  -0.63074123  0.05739113  1.1489504  -0.38629643
 -0.36005351  1.28841883  0.16578737 -0.26360207  0.        ]",[ 2.26099661 -0.36012967],-0.0673475580736,-0.0673475580736,"[[ -0.50806054   0.44561836   0.13073617  -0.0443627 ]
 [ -6.95612246  10.57026834   0.           0.        ]]",[-0.40255624 -0.30626196]
6,[-0.36735082 -0.13085687],"[ 0.73441737  1.3543062  -0.7559637   0.50189016  1.14894844 -0.3862961
  0.05307647  1.03737545  0.12041505 -0.2368655   0.        ]",[-1.04990984 -1.28290065],-0.0620142060765,-0.0620142060765,"[[-0.60610402  0.64060139  0.13073617 -0.0443627 ]
 [-2.8618136   8.9335215   0.          0.        ]]",[-0.40255624 -0.30626196]
7,[ 0.93150157  0.33764011],"[ 0.6463853   1.24104263 -0.87100366  0.77932737  1.14894647 -0.38629577
 -0.34028083  0.4031213   0.06536299 -0.27283186  0.        ]",[ 1.23061455 -0.61901095],-0.056558319918,-0.056558319918,"[[-0.70245285  0.77778218  0.13073617 -0.0443627 ]
 [-6.76016556  4.79830175  0.          0.        ]]",[-0.40255624 -0.30626196]
8,[ 0.55969763  0.6539349 ],"[ 0.55007476  1.17616719 -0.97471903  0.9083671   1.14894451 -0.38629545
  0.07250512  0.01240394  0.00902439 -0.38133724  0.        ]",[ 0.58148922  0.24845137],-0.0535234284908,-0.0535234284908,"[[-0.79661125  0.84818895  0.13073617 -0.0443627 ]
 [-2.66927184  2.25089713  0.          0.        ]]",[-0.40255624 -0.30626196]
9,[-0.08385324  0.35270518],"[ 0.51763954  1.12314224 -1.00557263  1.00136823  1.14894254 -0.38629512
  0.30994846  0.15634406 -0.01200257 -0.37383829  0.        ]",[-0.21233625 -0.09496064],-0.0511246520407,-0.0511246520407,"[[-0.8263868   0.9026227   0.13073617 -0.0443627 ]
 [-0.31610148  3.18936006  0.          0.        ]]",[-0.40255624 -0.30626196]
10,[ 0.11372276  0.36881399],"[ 0.50130642  1.06264561 -1.02043072  1.09574385  1.14894058 -0.38629479
  0.22582251  0.0890261  -0.02616235 -0.32921893  0.        ]",[-0.90837489  0.67346565],-0.0481884368906,-0.0481884368906,"[[-0.84107374  0.96200631  0.13073617 -0.0443627 ]
 [-1.14982427  2.75046051  0.          0.        ]]",[-0.40255624 -0.30626196]
11,[ 0.8237021  -0.06543702],"[ 0.43374671  0.97579686 -1.07749946  1.21228393  1.14893861 -0.38629447
 -0.13462309  0.48983355 -0.06963522 -0.34462111  0.        ]",[ 0.74093401 -0.91686969],-0.0442448864344,-0.0442448864344,"[[-0.89991066  1.04323474  0.13073617 -0.0443627 ]
 [-4.72199477  5.36364797  0.          0.        ]]",[-0.40255624 -0.30626196]
12,[ 0.57133955  0.38528144],"[ 0.35650118  0.89781041 -1.13500349  1.30028159  1.14893665 -0.38629414
  0.17072375 -0.08341757 -0.1168477  -0.38117819  0.        ]",[ 0.51605449  0.0076429 ],-0.0411101363214,-0.0411101363214,"[[-0.96398875  1.11300811  0.13073617 -0.0443627 ]
 [-1.69587839  1.62616684  0.          0.        ]]",[-0.40255624 -0.30626196]
13,[ 0.04312433  0.26196885],"[ 0.34027377  0.86053095 -1.14613485  1.33731642  1.14893469 -0.38629381
  0.38015058 -0.08379828 -0.12962562 -0.36557049  0.        ]",[-0.41827942  0.04077451],-0.0391900550494,-0.0391900550494,"[[-0.97708219  1.14550648  0.13073617 -0.0443627 ]
 [ 0.3796309   1.6236843   0.          0.        ]]",[-0.40255624 -0.30626196]
14,[ 0.4229185   0.24940228],"[ 0.32892431  0.82120147 -1.15373556  1.37308702  1.14893272 -0.38629348
  0.212384   -0.06390024 -0.14083081 -0.34081138  0.        ]",[ 1.41029892 -0.47748374],-0.0370316296126,-0.0370316296126,"[[-0.98617121  1.17928184  0.13073617 -0.0443627 ]
 [-1.28300236  1.75341495  0.          0.        ]]",[-0.40255624 -0.30626196]
15,[-0.51366091  0.36872455],"[ 0.34674983  0.80268068 -1.14172486  1.38879742  1.14893076 -0.38629316
  0.61426693 -0.35936414 -0.13630043 -0.29482526  0.        ]",[-0.42550644 -0.23414113],-0.0357217725901,-0.0357217725901,"[[-0.97187036  1.1950223   0.13073617 -0.0443627 ]
 [ 2.69982393 -0.1729473   0.          0.        ]]",[-0.40255624 -0.30626196]
16,[-0.09258418  0.5963403 ],"[ 0.39153702  0.81765757 -1.1098641   1.37614151  1.14892879 -0.38629283
  0.43900619 -0.50097211 -0.11490984 -0.2414986   0.        ]",[-0.47052193  0.46810307],-0.0364678047412,-0.0364678047412,"[[-0.93530074  1.18229999  0.13073617 -0.0443627 ]
 [ 0.96292472 -1.09620284  0.          0.        ]]",[-0.40255624 -0.30626196]
17,[ 0.2132007   0.36645272],"[ 0.39199869  0.82130009 -1.1095206   1.37299     1.14892683 -0.3862925
  0.24916951 -0.21328184 -0.11397271 -0.24456882  0.        ]",[ 0.50546844  0.57093422],-0.0366370959296,-0.0366370959296,"[[-0.93491845  1.17919521  0.13073617 -0.0443627 ]
 [-0.91842851  0.77947175  0.          0.        ]]",[-0.40255624 -0.30626196]
18,[-0.55301696 -0.12760174],"[ 0.39426353  0.77626233 -1.10783961  1.40998244  1.14892486 -0.38629218
  0.45276859  0.13101311 -0.12297764 -0.19485621  0.        ]",[ 0.05097571  0.7309768 ],-0.0347695031556,-0.0347695031556,"[[-0.93304255  1.21730666  0.13073617 -0.0443627 ]
 [ 1.09931994  3.02419625  0.          0.        ]]",[-0.40255624 -0.30626196]
19,[-1.06639791 -0.74629593],"[ 0.42270972  0.66881443 -1.08617898  1.48208428  1.1489229  -0.38629185
  0.47087222  0.56575905 -0.14321773 -0.04507436  0.        ]",[-1.54566904 -1.36501574],-0.0331206404761,-0.0331206404761,"[[-0.90925635  1.3062295   0.13073617 -0.0443627 ]
 [ 1.27873792  5.85864131  0.          0.        ]]",[-0.40255624 -0.30626196]
20,[ 0.20783915 -0.07535183],"[ 0.40558186  0.57450887 -1.09934575  1.52774694  1.14892094 -0.38629152
  0.06911371 -0.05921996 -0.17898515  0.01573828  0.        ]",[-0.8454849   0.08313983],-0.0311628564999,-0.0311628564999,"[[-0.92362921  1.38251955  0.13073617 -0.0443627 ]
 [-2.70283695  1.78392667  0.          0.        ]]",[-0.40255624 -0.30626196]
21,[ 1.15349364 -0.11199367],"[ 0.29792852  0.52619041 -1.17373694  1.54506854  1.14891897 -0.38629119
 -0.2631118  -0.01405259 -0.22336529 -0.09590118  0.        ]",[ 0.67546029  0.04952002],-0.0235208151418,-0.0235208151418,"[[-1.0107202   1.42115298  0.13073617 -0.0443627 ]
 [-5.99531424  2.07840687  0.          0.        ]]",[-0.40255624 -0.30626196]
22,[ 0.81180674 -0.1629194 ],"[ 0.17779277  0.4719359  -1.24174136  1.55975207  1.14891701 -0.38629087
  0.01857137  0.00961119 -0.27727874 -0.20427085  0.        ]",[ 1.02810949 -0.89520223],-0.0182726409167,-0.0182726409167,"[[-1.10261787  1.46426883  0.13073617 -0.0443627 ]
 [-3.2037337   2.23268895  0.          0.        ]]",[-0.40255624 -0.30626196]
23,[ 0.1853769   0.27711371],"[ 0.14580563  0.46103279 -1.25747632  1.56209865  1.14891504 -0.38629054
  0.42435883 -0.54096452 -0.29129972 -0.23396867  0.        ]",[ 0.95457619  0.10548373],-0.0178981529657,-0.0178981529657,"[[-1.12634366  1.47290669  0.13073617 -0.0443627 ]
 [ 0.81776506 -1.35692911  0.          0.        ]]",[-0.40255624 -0.30626196]
24,[-0.99845296  0.05176258],"[ 0.21817611  0.48964472 -1.2204912   1.55549892  1.14891308 -0.38629021
  0.80389625 -0.4728991  -0.25888712 -0.16905592  0.        ]",[-0.80796822 -0.24618176],-0.0195264443754,-0.0195264443754,"[[-1.0722494   1.45022071  0.13073617 -0.0443627 ]
 [ 4.57912051 -0.91316277  0.          0.        ]]",[-0.40255624 -0.30626196]
25,[-0.20761047  0.36685356],"[ 0.29419003  0.52466841 -1.17606969  1.54553273  1.14891111 -0.38628989
  0.47213488 -0.61954277 -0.22492973 -0.09965567  0.        ]",[-0.35017455  0.33774266],-0.0233016619311,-0.0233016619311,"[[-1.01365525  1.42236462  0.13073617 -0.0443627 ]
 [ 1.29125687 -1.86924555  0.          0.        ]]",[-0.40255624 -0.30626196]
26,[ 0.01960766  0.22408032],"[ 0.30900212  0.5542191  -1.16669827  1.53549014  1.14890915 -0.38628956
  0.32969904 -0.40870299 -0.2113993  -0.10635892  0.        ]",[-0.6455071   0.38729493],-0.0247199172672,-0.0247199172672,"[[-1.00199301  1.39877168  0.13073617 -0.0443627 ]
 [-0.12032724 -0.4946278   0.          0.        ]]",[-0.40255624 -0.30626196]
27,[ 0.61110532  0.06471801],"[ 0.27323748  0.54721792 -1.18891081  1.53800057  1.14890719 -0.38628923
  0.07214853 -0.17190768 -0.22450467 -0.14928631  0.        ]",[ 1.12519314 -0.25698194],-0.0231554918925,-0.0231554918925,"[[-1.03000863  1.40436907  0.13073617 -0.0443627 ]
 [-2.67273672  1.04921368  0.          0.        ]]",[-0.40255624 -0.30626196]
28,[-0.2650958   0.08607167],"[ 0.25615209  0.53399463 -1.19903839  1.54251484  1.14890522 -0.3862889
  0.47681842 -0.33129238 -0.23381497 -0.1601139   0.        ]",[-0.31407657  0.50890484],-0.0221933136639,-0.0221933136639,"[[-1.04322571  1.41492716  0.13073617 -0.0443627 ]
 [ 1.33767588  0.01006689  0.          0.        ]]",[-0.40255624 -0.30626196]
29,[-0.19673802 -0.22924083],"[ 0.27426222  0.50836    -1.18828899  1.55041538  1.14890326 -0.38628858
  0.34869161 -0.02221344 -0.23587748 -0.11192734  0.        ]",[ 0.10703254  0.57251006],-0.0219693559855,-0.0219693559855,"[[-1.02921227  1.43534676  0.13073617 -0.0443627 ]
 [ 0.06790167  2.02517632  0.          0.        ]]",[-0.40255624 -0.30626196]
30,[-0.6032632  -0.70647645],"[ 0.28144448  0.42906415 -1.18392871  1.56781305  1.14890129 -0.38628825
  0.39125782  0.3193235  -0.26049211 -0.03090378  0.        ]",[-0.87485646 -1.47661487],-0.0212440574808,-0.0212440574808,"[[-1.02362193  1.49819175  0.13073617 -0.0443627 ]
 [ 0.48974923  4.25190315  0.          0.        ]]",[-0.40255624 -0.30626196]
31,[ 0.62114328  0.00230491],"[ 0.24909571  0.37271269 -1.20312678  1.57378012  1.14889933 -0.38628792
  0.04099535 -0.30081841 -0.28889367 -0.02380378  0.        ]",[ 0.32383244 -0.70759626],-0.0187759032587,-0.0187759032587,"[[-1.04865426  1.5426637   0.13073617 -0.0443627 ]
 [-2.98145733  0.20875278  0.          0.        ]]",[-0.40255624 -0.30626196]
32,[ 0.7153669   0.46586716],"[ 0.18821063  0.40311416 -1.23638708  1.57121075  1.14889737 -0.3862876
  0.17631964 -0.73123323 -0.29463118 -0.12804099  0.        ]",[-0.03872873  0.34847783],-0.0153659269429,-0.0153659269429,"[[-1.09482779  1.51868334  0.13073617 -0.0443627 ]
 [-1.64035246 -2.59743286  0.          0.        ]]",[-0.40255624 -0.30626196]
33,[ 0.80913216  0.32213461],"[ 0.14240354  0.45068439 -1.25907184  1.56410477  1.1488954  -0.38628727
  0.16410659 -0.51170418 -0.2952527  -0.2284855   0.        ]",[-0.12111764  2.26599257],-0.0172845552348,-0.0172845552348,"[[-1.12884913  1.48109501  0.13073617 -0.0443627 ]
 [-1.76138604 -1.16617051  0.          0.        ]]",[-0.40255624 -0.30626196]
