timestep,logstd_action_dist,original_rewards,rewards,obs,avg_action_dist,actions,human_obs
0,[-0.29179877 -0.31319767],-0.328220939626,-4.40978,"[ 1.24690479  1.58428388  0.13962901 -0.65166706 -0.5343046   1.62576034
  1.49704836 -0.28394234  1.65615649 -1.24578831  0.        ]",[-2.45060778  1.74934542],[-2.4458037   2.21745941],"[[ 0.02392649 -0.04440426 -0.06173909  0.18430012]
 [ 0.00456101  0.00118919  0.          0.        ]]"
1,[-0.29179877 -0.31319767],-0.33046312823,-4.78284,"[ 1.24712325  1.58547434  0.0812237  -0.56261937 -0.53430319  1.62574819
  1.38250496  0.29583966  1.6562554  -1.27430427  0.        ]",[-2.40933371  1.5512203 ],[-1.05693409  2.12591739],"[[-0.01568915 -0.00463742 -0.06173909  0.18430012]
 [-3.95294201  3.96228788  0.          0.        ]]"
2,[-0.29179877 -0.31319767],-0.33657250393,-3.91381,"[ 1.23498475  1.57753549 -0.09214135 -0.29838989 -0.53430178  1.62573604
  1.27022921  0.86413574  1.65035977 -1.35917756  0.        ]",[-2.37632179  1.38119626],[-2.57240536  1.92059499],"[[-0.13366921  0.1135642  -0.06173909  0.18430012]
 [-7.83214858  7.84492366  0.          0.        ]]"
3,[-0.29179877 -0.31319767],-0.344673804532,-3.02316,"[ 1.17355484  1.52721268 -0.3712729   0.12822208 -0.53430037  1.62572389
  1.16017348  1.42115664  1.6205454  -1.49588843  0.        ]",[-2.33070135  1.2219075 ],[-3.85566645  1.14934981],"[[ -0.32846399   0.30864626  -0.06173909   0.18430012]
 [-11.63469426  11.65056415   0.           0.        ]]"
4,[-0.29179877 -0.31319767],-0.351611866445,-2.92598,"[ 1.00752618  1.38447557 -0.72640032  0.67364035 -0.53429896  1.62571174
  1.05228732  1.96708708  1.53997239 -1.66983841  0.        ]",[-2.27490211  0.99841762],[-2.55555961  0.52600058],"[[ -0.59855745   0.57908221  -0.06173909   0.18430012]
 [-15.36231376  15.38051624   0.           0.        ]]"
5,[-0.29179877 -0.31319767],-0.354490002238,-3.06723,"[ 0.67882276  1.1145997  -1.08844804  1.20874526 -0.53429755  1.62569959
  0.9465357   2.22738715  1.38006253 -1.86212096  0.        ]",[-2.21133375  0.80250752],[-1.41271106  2.93514753],"[[ -0.94246282   0.90453905  -0.06173909   0.18430012]
 [-19.01620939  17.15909296   0.           0.        ]]"
6,[-0.29179877 -0.31319767],-0.348289071895,-1.72795,"[ 0.15847047  0.70137797 -1.3370137   1.59631588 -0.53429614  1.62568744
  0.84283027  2.75706703  1.12601558 -2.01328075  0.        ]",[-2.14062619  0.46844888],[-1.58124373  1.66431417],"[[ -1.35873662   1.28403527  -0.06173909   0.18430012]
 [-22.59942766  20.77826941   0.           0.        ]]"
7,[-0.29179877 -0.31319767],-0.326157973423,-0.564226,"[-0.50650295  0.15095921 -1.31456159  1.65757637 -0.53429473  1.62567529
  0.74114346  3.27604602  0.80085041 -2.03084455  0.        ]",[-2.05462575  0.03458317],[-1.67327172  1.24189102],"[[ -1.84597519   1.735184    -0.06173909   0.18430012]
 [-26.11291549  24.32459032   0.           0.        ]]"
8,[-0.29179877 -0.31319767],-0.284581869232,0.158823,"[-1.15129323 -0.42794711 -0.8884875   1.18140034 -0.53429333  1.62566314
  0.64144581  3.78457648  0.48459195 -1.84977793  0.        ]",[-1.97416377 -0.37187138],[-1.69684818  0.35646015],"[[ -2.40279534   2.25654506  -0.06173909   0.18430012]
 [-29.55768616  27.79986799   0.           0.        ]]"
9,[-0.29179877 -0.31319767],-0.229190618602,-0.148883,"[-1.50191935 -0.817305   -0.06299885  0.15330974 -0.53429192  1.625651
  0.54373288  3.91012394  0.30662239 -1.49209185  0.        ]",[-1.98067451 -0.4926447 ],[-0.82686697 -0.71142285],"[[ -3.02782538   2.82115601  -0.06173909   0.18430012]
 [-32.93388934  28.65857005   0.           0.        ]]"
10,[-0.29179877 -0.31319767],-0.195065620301,-0.991704,"[-1.2918824  -0.87579353  0.90154339 -0.73827726 -0.53429051  1.62563885
  0.46781083  0.48499921  0.34553686 -1.21349105  0.        ]",[-1.9103322   0.21097064],[-1.94955627 -0.37433313],"[[ -3.71282319   3.22473343  -0.06173909   0.18430012]
 [-35.55716265   5.25555642   0.           0.        ]]"
11,[-0.29179877 -0.31319767],-0.204703014915,-1.88314,"[-0.48063468 -0.87770516  1.53081998 -0.69030445 -0.5342891   1.6256267
  0.37358157 -0.88967353  0.31519977 -1.30147197  0.        ]",[-2.02733803  0.8854146 ],[-2.55531906  1.61189929],"[[ -4.45663445   3.20326154  -0.06173909   0.18430012]
 [-38.81300531  -4.1372467    0.           0.        ]]"
12,[-0.29179877 -0.31319767],-0.199225327099,-2.09136,"[ 0.59201276 -0.87976058  1.35938391 -0.50410625 -0.53428769  1.62561455
  0.28123047 -0.81944937  0.20309447 -1.29951076  0.        ]",[-2.03882074  0.98302805],[-1.95895742  0.75194976],"[[ -5.26491084   3.12009838  -0.06173909   0.18430012]
 [-42.0039554   -3.65744273   0.           0.        ]]"
13,[-0.29179877 -0.31319767],-0.18426178103,-1.49227,"[ 1.23245241 -0.87616312  0.32005042 -0.37468717 -0.53428628  1.6256024
  0.19071152 -0.59898508  0.17858297 -1.1945023   0.        ]",[-1.96557784  0.92747736],[-1.84830947 -0.62877874],"[[ -6.13637069   3.06224172  -0.06173909   0.18430012]
 [-45.13160154  -2.1510807    0.           0.        ]]"
14,[-0.29179877 -0.31319767],-0.179615364694,-0.999311,"[ 0.84221633 -0.86675526 -0.9394282  -0.22429066 -0.53428487  1.62559026
  0.10198265 -0.95729941  0.28566265 -1.11925323  0.        ]",[-1.90447903  1.0357635 ],[-2.10057553  1.93909577],"[[ -7.06976324   2.99465692  -0.06173909   0.18430012]
 [-48.19739637  -4.59936899   0.           0.        ]]"
