timestep,avg_action_dist,obs,rewards,actions,original_rewards,logstd_action_dist,human_obs
0,[ 3.26741457  1.20538843],"[ 1.19471556  1.49284942  0.04127146 -2.3745263  -0.76763683  1.48359074
 -1.11621119 -0.2424241   1.56239256 -1.08412466  0.        ]",-2.64346,[ 3.11109241  1.11744294],-0.343635687392,[-0.27599585 -0.72334707],"[[ 0.04605629 -0.08003747 -0.08809257  0.17211911]
 [ 0.00091065  0.00378038  0.          0.        ]]"
1,[ 3.01402235  0.96832728],"[ 1.19110828  1.4994735   0.09989406 -2.25895788 -0.76763599  1.48358748
 -1.00955031  0.70022213  1.56060354 -1.00664494  0.        ]",-3.57714,[ 1.94497012  1.31354463],-0.337213464106,[-0.27599585 -0.72334707],"[[ 0.08574942 -0.04025019 -0.08809257  0.17211911]
 [ 3.95523897  3.96176244  0.          0.        ]]"
2,[ 2.74038911  0.75089866],"[ 1.16764416  1.49330774  0.27262463 -1.91538026 -0.76763515  1.48358421
 -0.90499823  1.62420851  1.52665756 -0.77937284  0.        ]",-2.42802,[ 3.36122802  1.56576745],-0.31591347458,[-0.27599585 -0.72334707],"[[ 0.20374465  0.07791081 -0.08809257  0.17211911]
 [ 7.83139487  7.84140832  0.          0.        ]]"
3,[ 2.45228052  0.38037449],"[ 1.08809714  1.39915619  0.54749098 -1.35759447 -0.76763431  1.48358095
 -0.80250674  2.52988499  1.38157613 -0.43502582  0.        ]",-1.4936,[ 1.41784103  0.44185013],-0.274175249322,[-0.27599585 -0.72334707],"[[  0.39849589   0.27289392  -0.08809257   0.17211911]
 [ 11.63116404  11.64421598   0.           0.        ]]"
4,[ 2.18687105 -0.14845052],"[ 0.89927326  1.13400279  0.89057291 -0.69347602 -0.76763348  1.48357768
 -0.70199937  2.89123454  1.04400592 -0.08806794  0.        ]",-1.20001,[ 2.40455312  0.03467999],-0.207659434114,[-0.27599585 -0.72334707],"[[  0.66850376   0.5210024   -0.08809257   0.17211911]
 [ 15.35737876  13.16153389   0.           0.        ]]"
5,[ 2.07849002 -0.97521991],"[ 0.54775498  0.6947251   1.22842434 -0.08926525 -0.76763264  1.48357442
 -0.60343655  2.86137628  0.52284255  0.08260151  0.        ]",-0.980442,[ 2.06043092 -0.72453953],-0.118288587063,[-0.27599585 -0.72334707],"[[  1.01231253   0.78297671  -0.08809257   0.17211911]
 [ 19.01150541  13.03623987   0.           0.        ]]"
6,[ 1.9417901  -1.25463128],"[ 0.01246807  0.1989003   1.43836371  0.32586056 -0.7676318   1.48357115
 -0.50678036  2.11603592 -0.0412768  -0.05242553  0.        ]",-0.845779,[ 1.07169286 -1.26845056],-0.0183322423954,[-0.27599585 -0.72334707],"[[  1.42849623   1.0123028   -0.08809257   0.17211911]
 [ 22.59494827   9.90669596   0.           0.        ]]"
7,[ 1.95623291 -0.89251775],"[-0.64942435 -0.1851321   1.36618035  0.53592895 -0.76763096  1.48356789
 -0.41203495  1.12553765 -0.46397558 -0.47665245  0.        ]",-1.77038,[ 1.73524924 -0.64706819],-0.0906993394309,[-0.27599585 -0.72334707],"[[  1.91563925   1.16870969  -0.08809257   0.17211911]
 [ 26.10755259   5.7477331    0.           0.        ]]"
8,[ 2.10019255 -0.60315537],"[-1.26491481 -0.41364971  0.89144877  0.6257075  -0.76763012  1.48356462
 -0.31918891  0.48728902 -0.61509303 -1.08288096  0.        ]",-4.65959,[ 1.32399127  0.24176298],-0.189640885343,[-0.27599585 -0.72334707],"[[  2.47232764   1.25677719  -0.08809257   0.17211911]
 [ 29.54974015   3.06781343   0.           0.        ]]"
9,[ 2.17642117 -1.05529761],"[-1.56109995 -0.60092548  0.03885221  0.68200824 -0.76762928  1.48356135
 -0.22820313  0.69965406 -0.39253302 -1.70592642  0.        ]",-3.67308,[ 2.19112379 -1.1234341 ],-0.276515855656,[-0.27599585 -0.72334707],"[[  3.09716617   1.32708164  -0.08809257   0.17211911]
 [ 32.92296112   3.95950863   0.           0.        ]]"
10,[ 2.22903991 -0.48661691],"[-1.28351166 -0.70526469 -0.91940544  0.70701285 -0.76762844  1.48355809
 -0.13899654 -0.26340722  0.17187969 -2.06413355  0.        ]",-3.54862,[ 2.23857773 -1.07142736],-0.336427193801,[-0.27599585 -0.72334707],"[[  3.78881013   1.36570103  -0.08809257   0.17211911]
 [ 36.23021988  -0.08425538   0.           0.        ]]"
11,[ 2.23686337  0.29715893],"[-0.41168079 -0.59328037 -1.48663127  0.67999905 -0.7676276   1.48355482
 -0.05158851 -1.20763544  0.84202937 -1.96068309  0.        ]",-3.46207,[ 2.61874384  0.36409147],-0.358931846943,[-0.27599585 -0.72334707],"[[  4.54593042   1.32423855  -0.08809257   0.17211911]
 [ 39.47079905  -4.04894713   0.           0.        ]]"
12,[ 2.11398935  0.29377857],"[ 0.6568759  -0.41806385 -1.20092829  0.62720644 -0.76762676  1.48355156
  0.03404358 -0.84704679  1.30257625 -1.34803222  0.        ]",-1.78896,[ 2.14866716  0.09761647],-0.331390005985,[-0.27599585 -0.72334707],"[[  5.367199     1.25845229  -0.08809257   0.17211911]
 [ 42.64553662  -2.53488919   0.           0.        ]]"
13,[ 2.00826406  0.54557443],"[ 1.19547636 -0.29664671 -0.07401585  0.58274849 -0.76762593  1.48354829
  0.11799314 -0.74512436  1.1725447  -0.48809633  0.        ]",-1.17316,[ 1.28074289  0.59372756],-0.241414224323,[-0.27599585 -0.72334707],"[[  6.25133691   1.21205002  -0.08809257   0.17211911]
 [ 45.75789571  -2.10693435   0.           0.        ]]"
14,[ 1.90678668  0.3793883 ],"[ 0.65913556 -0.24950679  1.14529608  0.56367246 -0.76762509  1.48354503
  0.20028021 -0.17762854  0.38694646 -0.02927537  0.        ]",-0.90023,[ 1.30722259 -0.62229192],-0.0929080827488,[-0.27599585 -0.72334707],"[[  7.19710224   1.19382095  -0.08809257   0.17211911]
 [ 48.80861969   0.27590083   0.           0.        ]]"
15,[ 2.08739448  0.63654137],"[-0.65521394 -0.19979627  1.36393133  0.542421   -0.76762425  1.48354176
  0.2809703  -0.76836313 -0.46672453 -0.48440731  0.        ]",-2.65071,[ 2.99808587  0.58922254],-0.0919999282161,[-0.27599585 -0.72334707],"[[  8.20329118   1.17445406  -0.08809257   0.17211911]
 [ 51.80013773  -2.20451311   0.           0.        ]]"
16,[ 2.29484224  0.06938085],"[-1.54569291 -0.14796299  0.20320524  0.51899134 -0.76762341  1.4835385
  0.36002903 -0.20518836 -0.54871362 -1.55867681  0.        ]",-4.29025,[ 2.2883395  -0.55552244],-0.258751661807,[-0.27599585 -0.72334707],"[[  9.26870034   1.15409141  -0.08809257   0.17211911]
 [ 54.73117527   0.16017626   0.           0.        ]]"
17,[ 2.37021923  0.2878001 ],"[-0.96583953 -0.09994527 -1.24569373  0.49609912 -0.76762257  1.48353523
  0.43755509 -0.73295829  0.35379238 -2.17053416  0.        ]",-4.69271,[ 1.8378035  -0.18435028],-0.359974998932,[-0.27599585 -0.72334707],"[[ 10.39216343   1.13506272  -0.08809257   0.17211911]
 [ 57.60539173  -2.05585568   0.           0.        ]]"
18,[ 2.27415061  0.57205266],"[ 0.56924192  0.01968667 -1.26748473  0.43389416 -0.76762173  1.48353196
  0.51351794 -0.90051124  1.30004032 -1.53851213  0.        ]",-2.17589,[ 2.63799516  0.22789339],-0.352081349974,[-0.27599585 -0.72334707],"[[ 11.57252834   1.08688846  -0.08809257   0.17211911]
 [ 60.4216554   -2.75939048   0.           0.        ]]"
19,[ 2.17121315  0.74953747],"[ 1.15589097  0.13050216  0.3282485   0.36930302 -0.76762089  1.4835287
  0.58796529 -0.67621801  1.0947221  -0.29920058  0.        ]",-1.57738,[ 3.37702793  0.78825663],-0.220512091165,[-0.27599585 -0.72334707],"[[ 12.80865358   1.04115132  -0.08809257   0.17211911]
 [ 63.18173554  -1.81761929   0.           0.        ]]"
20,[ 2.01990843  0.43396884],"[-0.13110756  0.14205376  1.45226883  0.36216261 -0.76762005  1.48352543
  0.66094746  0.07181615 -0.14911909 -0.11602134  0.        ]",-1.77633,[ 1.72017341  0.78535514],-0.0126382729856,[-0.27599585 -0.72334707],"[[ 14.09943349   1.03631455  -0.08809257   0.17211911]
 [ 65.88749855   1.32326427   0.           0.        ]]"
21,[ 2.23773384 -0.53447533],"[-1.51461401  0.00333589  0.35958881  0.44284347 -0.76761921  1.48352217
  0.73253065  0.80193582 -0.61989744 -1.42512432  0.        ]",-4.04955,[ 1.60291818 -0.8542062 ],-0.241730075822,[-0.27599585 -0.72334707],"[[ 15.44380775   1.09354177  -0.08809257   0.17211911]
 [ 68.54139896   4.38892908   0.           0.        ]]"
22,[ 2.3017292  -0.15987441],"[-0.76815033 -0.12829659 -1.36735935  0.50975324 -0.76761837  1.4835189
  0.80274598 -0.02899972  0.5265184  -2.15186495  0.        ]",-3.7768,[ 2.21848613 -0.56760241],-0.36553078139,[-0.27599585 -0.72334707],"[[ 16.84075753   1.1463175   -0.08809257   0.17211911]
 [ 71.14459171   0.89995843   0.           0.        ]]"
23,[ 2.13007641  0.38287467],"[ 0.9852595  -0.11583092 -0.81355062  0.50379848 -0.76761754  1.48351564
  0.8715205  -0.57359666  1.37218639 -1.04523662  0.        ]",-1.4694,[ 2.10874619 -0.10599823],-0.311895704889,[-0.27599585 -0.72334707],"[[ 18.28923432   1.14137602  -0.08809257   0.17211911]
 [ 73.69437286  -1.38672105   0.           0.        ]]"
24,[ 2.06348395  0.7539258 ],"[  6.31890592e-01  -3.60616539e-02   1.16727243e+00   4.63817537e-01
  -7.67616697e-01   1.48351237e+00   9.38899492e-01  -6.72406344e-01
   4.08474756e-01  -7.65984034e-04   0.00000000e+00]",-1.32501,[ 1.31193654  1.19720351],-0.0968527660942,[-0.27599585 -0.72334707],"[[ 19.78818594   1.10948079  -0.08809257   0.17211911]
 [ 76.19242197  -1.80161006   0.           0.        ]]"
25,[ 2.1964252  -0.09170097],"[-1.27738134 -0.04554232  0.87427102  0.46874166 -0.76761586  1.48350911
  1.00494146  0.27342399 -0.66083774 -1.01508525  0.        ]",-3.84884,[ 1.60710333 -0.13784127],-0.18346338728,[-0.27599585 -0.72334707],"[[ 21.33659672   1.11329738  -0.08809257   0.17211911]
 [ 78.64090858   2.16978091   0.           0.        ]]"
26,[ 2.32174373 -0.31128591],"[-0.99400081 -0.13894934 -1.22430151  0.51477842 -0.76761502  1.48350584
  1.0697387   0.12709566  0.33687716 -2.16491581  0.        ]",-4.95542,[ 2.14201193 -0.04540871],-0.358381428216,[-0.27599585 -0.72334707],"[[ 22.93351888   1.15053165  -0.08809257   0.17211911]
 [ 81.04325504   1.55537243   0.           0.        ]]"
27,[ 2.03740287 -0.0960235 ],"[ 0.9893385  -0.21207839 -0.80653153  0.54777678 -0.76761418  1.48350258
  1.13324562  0.07038409  1.35834499 -1.01830469  0.        ]",-1.41231,[ 1.99128892 -0.07844778],-0.307524003586,[-0.27599585 -0.72334707],"[[ 24.57800773   1.17925305  -0.08809257   0.17211911]
 [ 83.397772     1.31725014   0.           0.        ]]"
28,[ 1.93919683  0.11720006],"[ 0.39739327 -0.27043225  1.31583314  0.57226259 -0.76761334  1.48349931
  1.19549266 -0.01679728  0.16283705 -0.05268164  0.        ]",-1.58303,[ 2.88823671 -0.05041169],-0.0538514091626,[-0.27599585 -0.72334707],"[[ 26.26911855   1.2019283   -0.08809257   0.17211911]
 [ 85.70558873   0.9511902    0.           0.        ]]"
29,[ 2.29591465 -0.14263898],"[-1.51306822 -0.31327773  0.36566267  0.58922614 -0.7676125   1.48349605
  1.25650235 -0.07623906 -0.5601767  -1.47357696  0.        ]",-4.44465,[ 3.0470309  -0.00379745],-0.245946001126,[-0.27599585 -0.72334707],"[[ 28.00592543   1.2184509   -0.08809257   0.17211911]
 [ 87.96754154   0.70160417   0.           0.        ]]"
30,[ 2.22095752 -0.28633463],"[-0.26255485 -0.34825655 -1.50463203  0.60245055 -0.76761166  1.48349278
  1.3163012  -0.09096344  0.90809578 -1.95790183  0.        ]",-3.70136,[ 1.58309849  0.22898647],-0.364216591131,[-0.27599585 -0.72334707],"[[  2.97875208e+01   1.23186561e+00  -8.80925660e-02   1.72119114e-01]
 [  9.01846134e+01   6.39778785e-01   0.00000000e+00   0.00000000e+00]]"
