timestep,avg_action_dist,obs,actions,rewards,human_obs,logstd_action_dist,original_rewards
0,[ 0.03633463 -3.22163367],"[ 1.01226049  1.38411468 -0.127678    0.63535225 -1.07836666  0.44766015
  0.09452082  0.32397907  2.74723975 -0.59835057  0.        ]",[ 0.5352947  -2.22028989],-6.82741,"[[-0.07447181 -0.0254017  -0.12338586  0.05042797]
 [-0.00219497 -0.00231203  0.          0.        ]]",[-0.80981183 -0.59119111],-0.339609949341
1,[-0.04355807 -3.11524725],"[ 1.01412622  1.38201235 -0.09438331  0.53430458 -1.07836604  0.44766001
  0.34358014 -0.3010978   2.74636519 -0.59735671  0.        ]",[-0.3129958 -3.1991563],-6.7927,"[[-0.05325371 -0.06518358 -0.12338586  0.05042797]
 [ 2.11694364 -3.9626748   0.          0.        ]]",[-0.80981183 -0.59119111],-0.339507024216
2,[-0.13522165 -2.9504292 ],"[ 1.01569107  1.3649291  -0.04801659  0.23626287 -1.07836543  0.44765987
  0.1933122  -0.91359152  2.73172247 -0.67305249  0.        ]",[-0.53969928 -2.51098052],-6.83798,"[[-0.0237429  -0.18337278 -0.12338586  0.05042797]
 [ 0.83837968 -7.84331452  0.          0.        ]]",[-0.80981183 -0.59119111],-0.339490639777
3,[-0.37369171 -2.87826896],"[ 1.01551734  1.30195489 -0.05557144 -0.2394668  -1.07836481  0.44765973
 -0.05940851 -1.51390751  2.66539048 -0.91587134  0.        ]",[ 0.22256533 -2.71244614],-6.94113,"[[ -0.02854922  -0.37840066  -0.12338586   0.05042797]
 [ -1.31191032 -11.64680399   0.           0.        ]]",[-0.80981183 -0.59119111],-0.338504032348
4,[-0.65658188 -3.04575372],"[ 1.01464053  1.14746604 -0.08249372 -0.83641649 -1.07836419  0.44765958
  0.04723011 -2.10251672  2.50013244 -1.24007118  0.        ]",[-0.76728822 -3.14907166],-7.04863,"[[ -0.04568302  -0.64875438  -0.12338586   0.05042797]
 [ -0.40456915 -15.37613371   0.           0.        ]]",[-0.80981183 -0.59119111],-0.332367368355
5,[-0.94695407 -2.51186132],"[ 1.01120102  0.85509259 -0.14284732 -1.43001375 -1.07836357  0.44765944
 -0.30861329 -2.67926313  2.17426441 -1.58395517  0.        ]",[-1.38705856 -1.92490324],-7.02865,"[[ -0.08414954  -0.99294051  -0.12338586   0.05042797]
 [ -3.43228399 -19.03032413   0.           0.        ]]",[-0.80981183 -0.59119111],-0.316157279311
6,[-0.47673842 -0.43736622],"[ 0.99079675  0.40521265 -0.31047118 -1.809861   -1.07836295  0.4476593
 -0.76589764 -3.24456779  1.60564319 -1.85340962  0.        ]",[-0.570186    0.44667766],-6.62574,"[[ -0.19182842  -1.40948339  -0.12338586   0.05042797]
 [ -7.32311603 -22.61205363   0.           0.        ]]",[-0.80981183 -0.59119111],-0.282506305945
7,[-0.22039844  1.03370082],"[ 0.92796178 -0.09187322 -0.56389213 -1.75163813 -1.07836233  0.44765916
 -1.01453934 -2.89465069  0.94829921 -1.79857795  0.        ]",[-0.41772611  1.91450208],-5.80916,"[[ -0.35951721  -1.83948077  -0.12338586   0.05042797]
 [ -9.4387022  -20.39508301   0.           0.        ]]",[-0.80981183 -0.59119111],-0.231727820916
8,[-0.12893714  1.81828845],"[ 0.8033269  -0.47213654 -0.84996978 -1.35051559 -1.07836172  0.44765901
 -1.18727655 -2.20588693  0.48158463 -1.45224289  0.        ]",[ 0.29998319  2.00582817],-4.92555,"[[ -0.56303999  -2.2035981   -0.12338586   0.05042797]
 [-10.90845269 -16.03120422   0.           0.        ]]",[-0.80981183 -0.59119111],-0.178635966155
9,[-0.25981137  1.51609254],"[ 0.63002491 -0.70361323 -1.10206251 -0.85967388 -1.0783611   0.44765887
 -1.02250981 -1.53079603  0.28604497 -1.04390389  0.        ]",[-0.21165511  2.09431793],-4.29724,"[[ -0.76714557  -2.48130677  -0.12338586   0.05042797]
 [ -9.50653045 -11.75393709   0.           0.        ]]",[-0.80981183 -0.59119111],-0.13813936434
10,[-0.19106729  1.39074969],"[ 0.42398648 -0.82375927 -1.30220207 -0.44547458 -1.07836048  0.44765873
 -1.09894671 -0.86908478  0.26316393 -0.72685534  0.        ]",[ 0.00981201  1.24974787],-3.93771,"[[ -0.96380261  -2.67432066  -0.12338586   0.05042797]
 [-10.1569035   -7.56143383   0.           0.        ]]",[-0.80981183 -0.59119111],-0.115902129282
