timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
0,[-3.09885287 -5.12981081],[-0.43049693 -0.26970896],[-2.59471724 -4.6513059 ],-6.87246,"[[  2.57893625e-02  -1.05133218e-02  -1.79240061e-01  -8.87690606e-02]
 [ -1.76505593e-03   1.07604640e-05   0.00000000e+00   0.00000000e+00]]","[ 1.080261    1.71983867 -0.04169187  0.60060996 -1.5656289  -0.77096887
  0.17728225  0.36484016  2.99710051  0.99779899  0.        ]",-0.400157668693
1,[-2.61651659 -4.90735722],[-0.43049693 -0.26970896],[-2.37616272 -4.17709028],-6.84841,"[[-0.01392066 -0.0502255  -0.17924006 -0.08876906]
 [-3.95607766 -3.95804263  0.          0.        ]]","[ 1.08057126  1.71837984 -0.10515951  0.47192578 -1.56562635 -0.77096829
 -0.19546662 -0.21919938  2.99542196  0.87887788  0.        ]",-0.397212163902
2,[-1.86042249 -4.57956314],[-0.43049693 -0.26970896],[-1.0786152  -5.00709845],-6.42858,"[[-0.13193291 -0.16831275 -0.17924006 -0.08876906]
 [-7.83227237 -7.83775239  0.          0.        ]]","[ 1.06921472  1.70283972 -0.29318116  0.09157672 -1.5656238  -0.77096771
 -0.56085171 -0.79167851  2.94665393  0.53003699  0.        ]",-0.385864355893
3,[-0.83542198 -3.96339965],[-0.43049693 -0.26970896],[ 0.69206899 -3.80749656],-6.00981,"[[ -0.3267029   -0.36322329  -0.17924006  -0.08876906]
 [-11.63218124 -11.64061153   0.           0.        ]]","[  1.01080370e+00   1.64113350e+00  -5.95874901e-01  -5.17196329e-01
  -1.56562125e+00  -7.70967133e-01  -9.19045451e-01  -1.35281666e+00
   2.73017377e+00   1.62349968e-03   0.00000000e+00]",-0.359043175556
4,[-0.58453709 -3.72183323],[-0.43049693 -0.26970896],[-0.14422263 -4.50669984],-5.34809,"[[ -0.5295628   -0.63345992  -0.17924006  -0.08876906]
 [ -8.66379926 -15.37060571   0.           0.        ]]","[ 0.89970458  1.48567621 -0.8903564  -1.2844369  -1.5656187  -0.77096655
 -0.6392335  -1.90320049  2.29442664 -0.46102683  0.        ]",-0.315464303175
5,[-0.02207964 -2.77584648],[-0.43049693 -0.26970896],[-0.95081545 -3.39247517],-4.69891,"[[ -0.70684877  -0.97754306  -0.17924006  -0.08876906]
 [ -9.06372073 -19.02551449   0.           0.        ]]","[ 0.76410962  1.18758727 -1.12098193 -2.05342936 -1.56561615 -0.77096597
 -0.67693124 -2.44250037  1.71189219 -0.67399261  0.        ]",-0.257416717213
6,[ 0.78126621 -1.05928767],[-0.43049693 -0.26970896],[ 1.40768605 -1.07301832],-3.47938,"[[ -0.92409406  -1.39398819  -0.17924006  -0.08876906]
 [-12.64937231 -22.60704955   0.           0.        ]]","[ 0.55552384  0.72501698 -1.35855951 -2.55686903 -1.5656136  -0.77096539
 -1.01492827 -2.97096644  1.026407   -0.54532657  0.        ]",-0.179676280692
7,[ 1.02834487 -0.51887888],[-0.43049693 -0.26970896],[ 0.52786044  0.98371395],-2.69973,"[[ -1.134904    -1.88136831  -0.17924006  -0.08876906]
 [ -8.44554506 -26.11924632   0.           0.        ]]","[ 0.3172282   0.14375583 -1.53185459 -2.45229895 -1.56561105 -0.77096481
 -0.61865813 -3.48919135  0.56622465 -0.01989942  0.        ]",-0.113405290642
8,[ 1.013201   -1.04529274],[-0.43049693 -0.26970896],[ 0.41859642 -1.50698347],-2.77177,"[[ -1.28121484  -2.35948345  -0.17924006  -0.08876906]
 [ -6.19250992 -21.70696875   0.           0.        ]]","[ 0.13663737 -0.34374575 -1.61476121 -1.65025921 -1.5656085  -0.77096423
 -0.40627765 -2.83812349  0.55649228  0.5534504   0.        ]",-0.120194511853
9,[ 1.33186102 -1.86530364],[-0.43049693 -0.26970896],[ 1.33437039 -2.11951517],-3.44169,"[[ -1.38722772  -2.82903793  -0.17924006  -0.08876906]
 [ -4.41451555 -25.23671603   0.           0.        ]]","[  5.19565486e-04  -6.36038084e-01  -1.65445496e+00  -3.62215251e-01
  -1.56560595e+00  -7.70963651e-01  -2.38676487e-01  -3.35893583e+00
   8.54259826e-01   9.43088174e-01   0.00000000e+00]",-0.169305367708
10,[ 1.51136696 -2.51169372],[-0.43049693 -0.26970896],[ 0.56505015 -2.97054227],-4.14118,"[[-1.4349165  -3.21412478 -0.17924006 -0.08876906]
 [-0.36726923 -5.34756558  0.          0.        ]]","[-0.06168747 -0.69135147 -1.66657431  0.86965043 -1.5656034  -0.77096307
  0.14283366 -0.42420652  1.23147646  1.05926524  0.        ]",-0.212833760528
11,[ 1.02664971 -2.87151432],[-0.43049693 -0.26970896],[ 1.59513359 -3.22266107],-4.13032,"[[-1.41973678 -3.19759783 -0.17924006 -0.08876906]
 [ 1.87761836  3.84201875  0.          0.        ]]","[-0.04183551 -0.69263234 -1.66310225  0.81617896 -1.56560085 -0.77096249
  0.35444598  0.93175558  1.19910297  1.05807069  0.        ]",-0.209521728197
12,[ 0.67699128 -2.95794463],[-0.43049693 -0.26970896],[-0.01410004 -2.47259736],-4.08131,"[[-1.3428322  -3.11810032 -0.17924006 -0.08876906]
 [ 5.79974212  3.55321548  0.          0.        ]]","[ 0.05794087 -0.69419151 -1.63994858  0.55854139 -1.5655983  -0.77096191
  0.72416143  0.88914066  1.11274731  1.04364612  0.        ]",-0.200161252661
13,[ 0.60136467 -2.83464241],[-0.43049693 -0.26970896],[ 0.34239804 -1.79663744],-4.01551,"[[-1.2285502  -3.06180062 -0.17924006 -0.08876906]
 [ 5.62902649  2.09612059  0.          0.        ]]","[ 0.20277627 -0.69068316 -1.58859671  0.3762791  -1.56559574 -0.77096133
  0.70806854  0.67413951  1.05279226  1.01549468  0.        ]",-0.192736433155
14,[ 0.38568029 -2.84313416],[-0.43049693 -0.26970896],[-0.02358523 -1.52609927],-3.95637,"[[-1.10348659 -3.03110985 -0.17924006 -0.08876906]
 [ 6.87319257  1.06230639  0.          0.        ]]","[ 0.3545797  -0.68716327 -1.50992121  0.27723009 -1.56559319 -0.77096075
  0.8253483   0.52159537  1.02166411  0.98467749  0.        ]",-0.188033774679
15,[ 0.23806176 -2.82618237],[-0.43049693 -0.26970896],[ 0.3565673  -2.68510986],-3.79735,"[[-0.96832519 -3.01613476 -0.17924006 -0.08876906]
 [ 6.64371659  0.49837386  0.          0.        ]]","[ 0.50811657 -0.68503508 -1.39987608  0.22901703 -1.56559064 -0.77096017
  0.80371628  0.43838437  1.00863946  0.95528796  0.        ]",-0.185220385274
