timestep,human_obs,avg_action_dist,original_rewards,actions,rewards,obs,logstd_action_dist
0,"[[-0.03712352 -0.08667299  0.05057009  0.10039584]
 [ 0.0009217   0.00370396  0.          0.        ]]",[ 0.81067485 -1.03147757],-0.19743179946,[ 1.16147075 -0.89452142],-1.50602,"[ 0.87670201  1.61609245 -0.07857497  0.71878466  0.42327115  0.86909069
  0.73160925  0.34102926  1.02178956 -0.89437411  0.        ]",[-0.50659674 -0.36170787]
1,"[[  2.59909497e-03  -1.22152445e-01   5.05700862e-02   1.00395844e-01]
 [  3.95816154e+00  -3.53983320e+00   0.00000000e+00   0.00000000e+00]]",[ 0.52922475 -0.83986235],-0.194923738937,[-0.34743977 -0.76213576],-1.49092,"[ 0.87771691  1.61155093 -0.01399221  0.61716814  0.42327089  0.86908989
  0.85220243 -0.1881181   1.02300712 -0.8522156   0.        ]",[-0.50659674 -0.36170787]
2,"[[ 0.06719817 -0.22251826  0.05057009  0.10039584]
 [ 2.50656916 -6.48692911  0.          0.        ]]",[ 0.61403519 -0.57088429],-0.192820110453,[-0.06693208 -0.84065828],-1.48797,"[ 0.87437756  1.59043161  0.09097612  0.33252386  0.42327062  0.8690891
  0.80796553 -0.62820026  1.01556868 -0.82784704  0.        ]",[-0.50659674 -0.36170787]
3,"[[ 0.11418746 -0.38436455  0.05057009  0.10039584]
 [ 2.19337959 -9.68703581  0.          0.        ]]",[ 0.54707932 -0.33636975],-0.194855074021,[ 0.00693664  0.37044163],-1.54068,"[ 0.86807269  1.53113485  0.1670687  -0.1118004   0.42327036  0.8690883
  0.79842062 -1.10606322  0.98547387 -0.90073644  0.        ]",[-0.50659674 -0.36170787]
4,"[[ 0.15788816 -0.56146405  0.05057009  0.10039584]
 [ 2.17675536 -8.02844098  0.          0.        ]]",[ 0.76338255 -0.32427305],-0.196611501637,[ 0.94444106 -0.25697733],-1.56101,"[ 0.85929264  1.43225123  0.23747226 -0.56526047  0.4232701   0.86908751
  0.79791333 -0.85838849  0.93251957 -0.99119551  0.        ]",[-0.50659674 -0.36170787]
5,"[[ 0.23848232 -0.73065987  0.05057009  0.10039584]
 [ 5.87040739 -8.88824304  0.          0.        ]]",[ 0.34219727 -0.29698384],-0.192828045665,[ 0.07108145  0.45720661],-1.60803,"[ 0.83579038  1.30736897  0.36593367 -0.95386212  0.42326984  0.86908671
  0.91047384 -0.98677965  0.87600734 -0.99960594  0.        ]",[-0.50659674 -0.36170787]
6,"[[ 0.35754137 -0.8884948   0.05057009  0.10039584]
 [ 6.03496994 -6.90186579  0.          0.        ]]",[ 0.3468309  -0.33633694],-0.18357061667,[ 1.27677091  0.61497999],-1.60515,"[ 0.78403173  1.16725379  0.55090337 -1.26708717  0.42326958  0.86908591
  0.91548789 -0.69015816  0.82167223 -0.9267843   0.        ]",[-0.50659674 -0.36170787]
7,"[[ 0.51673433 -1.00073902  0.05057009  0.10039584]
 [ 9.87160659 -4.33106777  0.          0.        ]]",[-0.43045926 -0.62196159],-0.168306251709,[-0.24617348  0.00105317],-1.61628,"[ 0.684296    1.05567954  0.7851911  -1.45642968  0.42326932  0.86908512
  1.03240553 -0.30626678  0.78056619 -0.74687628  0.        ]",[-0.50659674 -0.36170787]
8,"[[ 0.70243629 -1.08645154  0.05057009  0.10039584]
 [ 8.70247185 -4.24050119  0.          0.        ]]",[-0.83528841 -0.48522115],-0.149156224565,[-0.37284275  0.55761487],-1.52842,"[ 0.52701536  0.96478621  1.03243001 -1.58058059  0.42326906  0.86908432
  0.99677595 -0.29274251  0.72222962 -0.50737547  0.        ]",[-0.50659674 -0.36170787]
9,"[[ 0.85995196 -1.14825937  0.05057009  0.10039584]
 [ 7.05456349 -1.94794349  0.          0.        ]]",[-1.09984553 -0.58346629],-0.132501292384,[-2.18762709 -0.04172888],-1.4636,"[ 0.36287603  0.89659862  1.21412685 -1.65854045  0.4232688   0.86908352
  0.94655618  0.04960003  0.64816626 -0.30663853  0.        ]",[-0.50659674 -0.36170787]
10,"[[ 0.95994306 -1.18847717  0.05057009  0.10039584]
 [ 2.95816767 -2.07345362  0.          0.        ]]",[-0.78266639 -0.34055665],-0.121911378549,[-0.6029283  -0.38323857],-1.45481,"[ 0.24597901  0.85118044  1.31388842 -1.70389671  0.42326854  0.86908273
  0.82172074  0.03085786  0.58770748 -0.18782384  0.        ]",[-0.50659674 -0.36170787]
11,"[[ 0.99458585 -1.24475329  0.05057009  0.10039584]
 [ 0.51422545 -3.54925277  0.          0.        ]]",[-0.44007927 -0.05426377],-0.118845044708,[-0.81565171  0.44383461],-1.42308,"[ 0.20343705  0.78640138  1.34539314 -1.76009511  0.42326828  0.86908193
  0.74724272 -0.18952009  0.55426855 -0.19138917  0.        ]",[-0.50659674 -0.36170787]
12,"[[ 0.97238    -1.29739299  0.05057009  0.10039584]
 [-2.72403466 -1.7208147   0.          0.        ]]",[ 0.22108804 -0.18670318],-0.122060945144,[ 0.67072422  1.36541911],-1.40852,"[ 0.23082073  0.72467746  1.32538155 -1.80484596  0.42326802  0.86908113
  0.64855854  0.0835169   0.54953025 -0.278165    0.        ]",[-0.50659674 -0.36170787]
13,"[[ 0.9450606  -1.29174571  0.05057009  0.10039584]
 [-0.01691525  2.27223185  0.          0.        ]]",[-0.10711233 -0.77521205],-0.125058144411,[-0.22581035 -1.70478232],-1.51759,"[ 0.26394439  0.73134568  1.29985438 -1.80040643  0.42326776  0.86908034
  0.73105554  0.67979041  0.5636542  -0.31454433  0.        ]",[-0.50659674 -0.36170787]
14,"[[ 0.93576964 -1.28647816  0.05057009  0.10039584]
 [-0.90921119 -1.73213207  0.          0.        ]]",[ 0.06007889 -0.27952939],-0.126028518616,[-0.11130309 -0.10858567],-1.47817,"[ 0.27506286  0.73755575  1.29094663 -1.79618561  0.4232675   0.86907954
  0.70386289  0.08182616  0.56949336 -0.32365211  0.        ]",[-0.50659674 -0.36170787]
