timestep,human_obs,avg_action_dist,original_rewards,logstd_action_dist,rewards,obs,actions
0,"[[ 0.08728601 -0.09997464  0.06996877  0.03437921]
 [ 0.0043497  -0.00212513  0.          0.        ]]",[ 0.29445881  2.61739206],-0.142238882335,[ 0.08350699 -0.08346239],-0.723439,"[ 1.16562221  2.54910699  0.11542047 -1.2218468   0.60567295  0.30187204
  0.55131289 -0.36448727  0.85610282 -0.30062443  0.        ]",[ 0.23060256  2.90405846]
1,"[[ 0.09650947 -0.06029243  0.06996877  0.03437921]
 [ 0.91496733  3.95715194  0.          0.        ]]",[-0.02227405  2.77716494],-0.141030619655,[ 0.08350699 -0.08346239],-0.614503,"[ 1.16445085  2.55393571  0.1290574  -1.06422571  0.60567273  0.30187196
  0.58254715  0.13885863  0.85498709 -0.24462142  0.        ]",[-1.79070062  3.35016027]
2,"[[ 0.07492156  0.05780791  0.06996877  0.03437921]
 [-3.06051426  7.83993688  0.          0.        ]]",[-0.15420923  2.89449906],-0.139330130897,[ 0.08350699 -0.08346239],-0.578602,"[ 1.16700623  2.55415391  0.09712238 -0.59385548  0.60567252  0.30187187
  0.44618679  0.63247996  0.84962275 -0.16963781  0.        ]",[ 2.69203149  4.63176074]
3,"[[  0.05399484   0.25276155   0.06996877   0.03437921]
 [  0.95451822  11.64276242   0.           0.        ]]",[-0.87934577  2.8450582 ],-0.134817997381,[ 0.08350699 -0.08346239],-0.832861,"[ 1.16886982  2.50833681  0.06611587  0.17249477  0.60567231  0.30187179
  0.58390344  1.11593564  0.81920088 -0.02226694  0.        ]",[-0.50173574  1.89421331]
4,"[[  0.05296956   0.52303949   0.06996877   0.03437921]
 [ -1.05032084  15.37259161   0.           0.        ]]",[-1.74888301  2.75615954],-0.125973036659,[ 0.08350699 -0.08346239],-0.657239,"[ 1.16894491  2.35323023  0.06459573  1.16652988  0.6056721   0.3018717
  0.51513666  1.59011041  0.72404702  0.21440698  0.        ]",[-1.92785508  2.76215777]
5,"[[ -7.52997221e-03   8.67179075e-01   6.99687717e-02   3.43792097e-02]
 [ -4.98653312e+00   1.90291312e+01   0.00000000e+00   0.00000000e+00]]",[-2.39307165  2.55237603],-0.112660492029,[ 0.08350699 -0.08346239],-0.700862,"[ 1.17084483  2.0194598  -0.02519595  2.21457841  0.60567188  0.30187162
  0.3801232   2.05496631  0.57073607  0.36900783  0.        ]",[-1.87151226  2.27899119]
6,"[[ -0.14597409   1.28371929   0.06996877   0.03437921]
 [ -8.84509798  22.61285079   0.           0.        ]]",[-2.43425584  2.41645932],-0.0907601545459,[ 0.08350699 -0.08346239],-0.486397,"[ 1.15617392  1.46578373 -0.22998634  2.9979198   0.60567167  0.30187154
  0.24777308  2.51056222  0.36927481  0.39316892  0.        ]",[-3.39251646  2.95324008]
7,"[[ -0.36082902   1.77121551   0.06996877   0.03437921]
 [-12.62792569  26.12493702   0.           0.        ]]",[-2.23068547  2.26021552],-0.056638207802,[ 0.08350699 -0.08346239],-0.632077,"[ 1.08181893  0.73192783 -0.53821759  3.08123055  0.60567146  0.30187145
  0.11802078  2.95704804  0.11295579  0.28624765  0.        ]",[-2.53701797  1.30369739]
8,"[[ -0.65059774   2.32824839   0.06996877   0.03437921]
 [-16.33672595  29.56678402   0.           0.        ]]",[-1.86724019  2.21028781],-0.0145843926818,[ 0.08350699 -0.08346239],-0.491234,"[ 0.88835057 -0.01069647 -0.91329115  2.0714267   0.60567125  0.30187137
 -0.00919235  3.39459992 -0.21370981  0.06847685  0.        ]",[-3.20017368  1.62254977]
9,"[[ -1.01381241   2.95343117   0.06996877   0.03437921]
 [-19.97265207  32.94029734   0.           0.        ]]",[-1.4128921   2.57060409],-0.0591563668285,[ 0.08350699 -0.08346239],-0.607336,"[ 0.51894022 -0.46004823 -1.27437625 -0.07867507  0.60567103  0.30187128
 -0.13390588  3.82345895 -0.62598868 -0.20812795  0.        ]",[-1.84122119  2.07885695]
10,"[[ -1.44904005   3.25140004   0.06996877   0.03437921]
 [-23.53800811   0.82236491   0.           0.        ]]",[ 1.32606244  1.24314094],-0.0889331922066,[ 0.08350699 -0.08346239],-0.759427,"[-0.04421001 -0.47774266 -1.48780277 -1.26081324  0.60567082  0.3018712
 -0.25619882 -0.25967579 -0.83712362 -0.29996684  0.        ]",[ 2.21724239  1.17912194]
11,"[[ -1.87540384   3.19182211   0.06996877   0.03437921]
 [-19.1130238   -4.5319188    0.           0.        ]]",[ 0.46455276  1.45396209],-0.0762892610945,[ 0.08350699 -0.08346239],-0.698454,"[-0.62700222 -0.4849886  -1.4304414  -1.02418365  0.60567061  0.30187111
 -0.10442018 -0.9403626  -0.74604615 -0.2664331   0.        ]",[ 0.45344773  2.41838151]
12,"[[ -2.2358546    3.1087998    0.06996877   0.03437921]
 [-16.93927186  -3.44843356   0.           0.        ]]",[-0.45585546  1.58542407],-0.0674733259156,[ 0.08350699 -0.08346239],-0.701763,"[-1.06569401 -0.48608961 -1.18235765 -0.69343911  0.60567039  0.30187103
 -0.02985965 -0.80261935 -0.65831745 -0.31560432  0.        ]",[ 0.9008248   1.28506115]
