timestep,human_obs,obs,original_rewards,actions,rewards,avg_action_dist,logstd_action_dist
0,"[[ 0.00936848 -0.05224677  0.01542016  0.15506765]
 [ 0.00063168 -0.00117126  0.          0.        ]]","[ 0.98565138  1.3448431   0.18804174 -1.24972622  0.13944969  1.3400632
 -0.31643675 -0.2992972   1.42443672 -2.15752889  0.        ]",-0.25110220473,[ 3.03705856  5.02316522],-2.8162,[ 2.75844383  5.46213722],[-0.75560641 -0.43677509]
1,"[[ 0.04905606 -0.01255755  0.01542016  0.15506765]
 [ 3.95496363  3.95690694  0.          0.        ]]","[ 0.98375351  1.34642076  0.24686765 -1.14602148  0.13944964  1.34006198
 -0.11231015  0.32511897  1.42344379 -2.00037286  0.        ]",-0.243202583704,[ 1.79656695  4.14215889],-2.85743,[ 1.75074589  4.30112362],[-0.75560641 -0.43677509]
2,"[[ 0.16704595  0.10550726  0.01542016  0.15506765]
 [ 7.8311397   7.83664522  0.          0.        ]]","[ 0.96293838  1.33968757  0.42072014 -0.83785981  0.13944959  1.34006075
  0.08778196  0.93717616  1.36410133 -1.53821505  0.        ]",-0.218207735273,[ 1.0610334   3.84103377],-2.59641,[ 1.02874601  2.98864961],[-0.75560641 -0.43677509]
3,"[[  0.36179253   0.300396     0.01542016   0.15506765]
 [ 11.6309598   11.63954005   0.           0.        ]]","[ 0.87976263  1.29152293  0.69904299 -0.33958141  0.13944955  1.34005953
  0.28393249  1.53710963  1.09020331 -0.83495443  0.        ]",-0.17287993373,[-0.48965058  0.4663272 ],-2.52884,[-0.46985722  0.84847438],[-0.75560641 -0.43677509]
4,"[[  0.572669     0.54940712   0.01542016   0.15506765]
 [  9.46396971  13.25616869   0.           0.        ]]","[ 0.72458543  1.16578921  0.97772853  0.25202292  0.1394495   1.34005831
  0.17207014  1.79214233  0.5426429  -0.2123791   0.        ]",-0.116357727949,[-1.49235787 -2.64863174],-2.21498,[-1.45546365 -1.68111324],[-0.75560641 -0.43677509]
5,"[[ 0.72039938  0.77218222  0.01542016  0.15506765]
 [ 5.32271733  9.0354027   0.          0.        ]]","[  5.79050237e-01   9.98229636e-01   1.15243155e+00   7.10905822e-01
   1.39449454e-01   1.34005708e+00  -4.17057012e-02   1.12628481e+00
   6.76787313e-04   6.42014250e-02   0.00000000e+00]",-0.0713521613747,[-1.98544911 -2.94660238],-1.60119,[-1.51461363 -2.30690455],[-0.75560641 -0.43677509]
6,"[[ 0.78611831  0.91138013  0.01542016  0.15506765]
 [ 1.26257549  4.89817056  0.          0.        ]]","[ 0.505485    0.87083949  1.22351012  0.95313297  0.13944941  1.34005586
 -0.25129452  0.47360607 -0.3039293   0.11679055  0.        ]",-0.0482103254953,[-0.8393823  -1.62556454],-1.38858,[-1.00831163 -1.8412559 ],[-0.75560641 -0.43677509]
7,"[[ 0.77781058  0.96865279  0.01542016  0.15506765]
 [-2.08225443  0.84260162  0.          0.        ]]","[ 0.51506688  0.81404814  1.21476774  1.0414308   0.13944936  1.34005464
 -0.42395815 -0.16618962 -0.35740494  0.09944271  0.        ]",-0.043444527954,[ 0.37964131 -0.14465825],-1.49078,[ 0.08035612 -0.69901556],[-0.75560641 -0.43677509]
8,"[[ 0.75165149  0.97958585  0.01542016  0.15506765]
 [-0.53879269  0.25267419  0.          0.        ]]","[ 0.54470966  0.80294151  1.18677593  1.05749116  0.13944932  1.34005342
 -0.34428281 -0.25925494 -0.3182699   0.07952821  0.        ]",-0.0456128649633,[ 0.19636842 -0.74555893],-1.45297,[-0.21226987 -0.51534063],[-0.75560641 -0.43677509]
9,"[[ 0.74878678  0.95496737  0.01542016  0.15506765]
 [ 0.24969721 -2.70466543  0.          0.        ]]","[ 0.54790632  0.82783209  1.18366724  1.02096222  0.13944927  1.34005219
 -0.30357997 -0.72579689 -0.28233159  0.08240551  0.        ]",-0.0485387278262,[-0.13851556 -0.25306564],-1.43481,[-0.15490645  0.4081555 ],[-0.75560641 -0.43677509]
10,"[[ 0.74823561  0.89135923  0.01542016  0.15506765]
 [-0.30296574 -3.65298753  0.          0.        ]]","[ 0.54852004  0.89011747  1.18306743  0.92064979  0.13944922  1.34005097
 -0.33210894 -0.87540127 -0.202675    0.09071143  0.        ]",-0.0551934212105,[-0.05361869  0.99377507],-1.45332,[ 0.16193193  0.95307326],[-0.75560641 -0.43677509]
11,"[[ 0.7400957   0.85850628  0.01542016  0.15506765]
 [-0.51034254  0.35433725  0.          0.        ]]","[ 0.5575444   0.92108008  1.17418637  0.86559072  0.13944918  1.34004975
 -0.34281384 -0.24321577 -0.14559448  0.08599185  0.        ]",-0.0596957349118,[ 0.15074424  0.80858626],-1.46247,[ 0.00036269 -0.06305477],[-0.75560641 -0.43677509]
12,"[[ 0.73596422  0.89764412  0.01542016  0.15506765]
 [ 0.09519456  3.54880178  0.          0.        ]]","[ 0.56209406  0.88409709  1.16965289  0.93093331  0.13944913  1.34004852
 -0.3115552   0.26073494 -0.1858676   0.08004489  0.        ]",-0.0562137594424,[-0.08910881 -0.72708043],-1.42429,[-0.43660057 -1.14262748],[-0.75560641 -0.43677509]
13,"[[ 0.73432108  0.93903097  0.01542016  0.15506765]
 [-0.25834669  0.59971102  0.          0.        ]]","[ 0.56389763  0.84371457  1.1678446   0.99662293  0.13944908  1.3400473
 -0.3298053  -0.20450637 -0.23383282  0.07406503  0.        ]",-0.0521242099,[-0.26047904 -0.60331881],-1.41905,[-0.19584465 -0.40435627],[-0.75560641 -0.43677509]
14,"[[ 0.7188723   0.92694059  0.01542016  0.15506765]
 [-1.28311502 -1.800751    0.          0.        ]]","[ 0.58069566  0.85564248  1.15072015  0.97780084  0.13944904  1.34004608
 -0.38270493 -0.58319728 -0.18819883  0.06309529  0.        ]",-0.0555040783974,[ 0.51486166 -0.12696877],-1.45329,[ 0.28849113  0.43283868],[-0.75560641 -0.43677509]
15,"[[ 0.71390489  0.88623275  0.01542016  0.15506765]
 [ 0.77949662 -2.26847349  0.          0.        ]]","[ 0.58603447  0.89500221  1.14516365  0.91219844  0.13944899  1.34004485
 -0.27623031 -0.65698378 -0.1278587   0.06169038  0.        ]",-0.0604671511412,[-0.10233953  0.32449376],-1.428,[-0.10040274  0.68037421],[-0.75560641 -0.43677509]
16,"[[ 0.72527345  0.85420663  0.01542016  0.15506765]
 [ 0.35876067 -0.93857117  0.          0.        ]]","[ 0.57377028  0.92506648  1.15784201  0.85822266  0.13944894  1.34004363
 -0.29794911 -0.4471813  -0.1106854   0.0728226   0.        ]",-0.0622035219957,[-0.23733279  0.38151688],-1.42833,[-0.07406127  0.3644163 ],[-0.75560641 -0.43677509]
17,"[[ 0.72295137  0.85078147  0.01542016  0.15506765]
 [-0.58781432  0.59095712  0.          0.        ]]","[ 0.5762879   0.92823288  1.15526162  0.85232891  0.1394489   1.34004241
 -0.34681237 -0.20588633 -0.10181757  0.07071606  0.        ]",-0.0628852267478,[ 0.52304668  0.99097558],-1.48013,[ 0.06046724 -0.03134366],[-0.75560641 -0.43677509]
18,"[[ 0.73206279  0.90184599  0.01542016  0.15506765]
 [ 1.49206438  4.50246317  0.          0.        ]]","[ 0.56637012  0.88005278  1.16535179  0.93776089  0.13944885  1.34004119
 -0.23944632  0.41118398 -0.18327409  0.07642694  0.        ]",-0.0563130767224,[-1.28334155 -0.99194855],-1.3736,[-0.78163928 -1.51190698],[-0.75560641 -0.43677509]
19,"[[ 0.72192321  0.95160499  0.01542016  0.15506765]
 [-2.49279415  0.48680714  0.          0.        ]]","[ 0.57740016  0.83119346  1.15411601  1.01586672  0.1394488   1.34003996
 -0.44514963 -0.22231705 -0.22477414  0.06259204  0.        ]",-0.052489746409,[ 0.2007779   0.16333903],-1.46152,[ 0.37724817 -0.28484067],[-0.75560641 -0.43677509]
20,"[[ 0.68053057  0.96773085  0.01542016  0.15506765]
 [-1.64927725  1.12365973  0.          0.        ]]","[ 0.62110662  0.81497436  1.10721846  1.04005692  0.13944876  1.34003874
 -0.40160605 -0.12184851 -0.16333258  0.02651409  0.        ]",-0.0565740843114,[ 0.35175924 -1.33109968],-1.41632,[ 0.2038914  -0.38649455],[-0.75560641 -0.43677509]
21,"[[ 0.66184832  0.95024873  0.01542016  0.15506765]
 [-0.22369154 -2.85859722  0.          0.        ]]","[ 0.64012358  0.83254823  1.08552275  1.01380546  0.13944871  1.34003752
 -0.32801534 -0.75008067 -0.10542278  0.01131749  0.        ]",-0.06113482839,[-0.32056996  1.64309666],-1.44641,[ 0.23023587  0.88158613],[-0.75560641 -0.43677509]
22,"[[ 0.64468112  0.93337625  0.01542016  0.15506765]
 [-1.4888191   1.15796072  0.          0.        ]]","[ 0.65720117  0.84930235  1.06530582  0.9878529   0.13944867  1.34003629
 -0.39332274 -0.11643675 -0.05138172 -0.0044266   0.        ]",-0.0654587474517,[ 0.55005916 -0.43912521],-1.44263,[ 0.31814831 -0.13145797],[-0.75560641 -0.43677509]
23,"[[ 0.63704152  0.93885328  0.01542016  0.15506765]
 [ 0.71751166 -0.60438105  0.          0.        ]]","[ 0.66467704  0.84388569  1.05622386  0.99634251  0.13944862  1.34003507
 -0.27942891 -0.39446008 -0.04354408 -0.01200621  0.        ]",-0.065998482649,[-0.12642144 -0.53076076],-1.41833,[-0.01097953  0.30076709],[-0.75560641 -0.43677509]
24,"[[ 0.64623707  0.90580128  0.01542016  0.15506765]
 [ 0.20375857 -2.69385506  0.          0.        ]]","[ 0.6556685   0.87623366  1.06714755  0.94415393  0.13944857  1.34003385
 -0.30594943 -0.72409102 -0.02016297 -0.00309409  0.        ]",-0.0681777456631,[-0.34958163  0.69080348],-1.41486,[ 0.23506314  1.05116677],[-0.75560641 -0.43677509]
25,"[[ 0.636386    0.87990769  0.01542016  0.15506765]
 [-1.18424366  0.09520038  0.          0.        ]]","[ 0.66531434  0.90099907  1.05544076  0.9016954   0.13944853  1.34003262
 -0.37759985 -0.28409497  0.03085121 -0.01464937  0.        ]",-0.0724032125653,[-0.23518661  0.71639944],-1.43086,[ 0.44212836  0.40010875],[-0.75560641 -0.43677509]
26,"[[ 0.60359117  0.91025653  0.01542016  0.15506765]
 [-2.09221452  2.93023163  0.          0.        ]]","[ 0.69650102  0.8719197   1.01585997  0.95131984  0.13944848  1.3400314
 -0.4244704   0.16315412  0.05539195 -0.04788849  0.        ]",-0.074072172896,[ 0.42429676 -0.55505203],-1.48984,[ 0.52515578 -0.39094335],[-0.75560641 -0.43677509]
27,"[[ 0.57901239  0.94622278  0.01542016  0.15506765]
 [-0.37139256  0.67391917  0.          0.        ]]","[ 0.71892614  0.83656173  0.98559939  1.00766414  0.13944843  1.34003018
 -0.33563905 -0.19279749  0.05673042 -0.07237298  0.        ]",-0.0739082718865,[ 0.2275262  -0.04852374],-1.47377,[ 0.34161013  0.16063918],[-0.75560641 -0.43677509]
28,"[[ 0.58069115  0.95763684  0.01542016  0.15506765]
 [ 0.53624675  0.46817329  0.          0.        ]]","[ 0.71742028  0.82514405  0.98768135  1.02497474  0.13944839  1.34002896
 -0.28878533 -0.22525552  0.03945455 -0.06993498  0.        ]",-0.0724168424237,[ 0.79380955 -0.93603667],-1.48583,[ 0.14659929  0.12826578],[-0.75560641 -0.43677509]
29,"[[ 0.62283311  0.92971114  0.01542016  0.15506765]
 [ 3.66750773 -3.24836375  0.          0.        ]]","[ 0.67837498  0.85291109  1.03919361  0.98213187  0.13944834  1.34002773
 -0.12714514 -0.81156945 -0.00511233 -0.02643694  0.        ]",-0.06909262258,[-0.61560038  1.92456572],-1.42838,[-0.36433583  1.0441395 ],[-0.75560641 -0.43677509]
30,"[[ 0.67100516  0.90512433  0.01542016  0.15506765]
 [ 1.15806774  0.7762758   0.          0.        ]]","[ 0.63085547  0.87688474  1.09619005  0.94305769  0.13944829  1.34002651
 -0.25668596 -0.17664923 -0.06716328  0.02138967  0.        ]",-0.0646190308851,[ 0.50861443 -0.38724164],-1.44386,[-0.23924923 -0.15560219],[-0.75560641 -0.43677509]
31,"[[ 0.71413196  0.90510515  0.01542016  0.15506765]
 [ 3.14797991 -0.77303304  0.          0.        ]]","[ 0.5857862   0.87690276  1.14540575  0.94302615  0.13944825  1.34002529
 -0.15396374 -0.42106543 -0.15172626  0.0608917   0.        ]",-0.058457838289,[-0.95346041  1.50554221],-1.42538,[-0.71214062  0.03791702],[-0.75560641 -0.43677509]
32,"[[ 0.73860497  0.92953751  0.01542016  0.15506765]
 [-0.68789706  3.2030158   0.          0.        ]]","[ 0.55918228  0.85308048  1.17253602  0.98185854  0.1394482   1.34002406
 -0.35197723  0.20618944 -0.23063865  0.0787189   0.        ]",-0.0525368994522,[ 0.65081034 -0.32669381],-1.47658,[-0.29744029 -1.13003206],[-0.75560641 -0.43677509]
33,"[[ 0.75082359  0.97997497  0.01542016  0.15506765]
 [ 1.90114414  1.8452604   0.          0.        ]]","[ 0.54562737  0.80253226  1.18585805  1.05804293  0.13944815  1.34002284
 -0.218327   -0.00800788 -0.3170902   0.07887066  0.        ]",-0.0456794372116,[-0.03165647 -0.68285899],-1.44858,[-0.8819443  -1.07609367],[-0.75560641 -0.43677509]
34,"[[ 0.78722059  0.98938548  0.01542016  0.15506765]
 [ 1.73908386 -0.89507672  0.          0.        ]]","[ 0.50419956  0.79290422  1.22464092  1.07165091  0.13944811  1.34002162
 -0.22669272 -0.44031908 -0.40160197  0.09991469  0.        ]",-0.040223470736,[-1.02172474 -0.01837192],-1.43713,[-0.80308843 -0.45988449],[-0.75560641 -0.43677509]
35,"[[ 0.78195905  0.97094353  0.01542016  0.15506765]
 [-2.25193713 -0.9489416   0.          0.        ]]","[ 0.51028404  0.81171425  1.2191182   1.04480007  0.13944806  1.3400204
 -0.43271511 -0.44881654 -0.36854968  0.10154028  0.        ]",-0.0427093613863,[ 0.04018114  0.10161173],-1.4802,[ 0.23273689 -0.20830715],[-0.75560641 -0.43677509]
36,"[[ 0.73896131  0.95618923  0.01542016  0.15506765]
 [-2.04851651 -0.52789045  0.          0.        ]]","[ 0.55878867  0.82659346  1.17292287  1.02278929  0.13944802  1.34001917
 -0.42221406 -0.38239198 -0.26421702  0.07496017  0.        ]",-0.0497119214278,[ 0.47982451  0.85106208],-1.49763,[ 0.28650093 -0.098995  ],[-0.75560641 -0.43677509]
37,"[[ 0.71743552  0.97954129  0.01542016  0.15506765]
 [-0.11050461  2.85183832  0.          0.        ]]","[ 0.58223659  0.80297274  1.14909688  1.05740825  0.13944797  1.34001795
 -0.32217078  0.1507892  -0.25026854  0.05475063  0.        ]",-0.0501634228728,[-0.06204922 -1.92210865],-1.39962,[-0.43419909 -1.14012849],[-0.75560641 -0.43677509]
38,"[[ 0.71279592  0.99628444  0.01542016  0.15506765]
 [-0.35265873 -1.1641397   0.          0.        ]]","[ 0.5872158   0.78580635  1.14390127  1.08150191  0.13944792  1.34001673
 -0.33467103 -0.48276582 -0.26178615  0.04824025  0.        ]",-0.0490183284418,[-0.61846274  0.28263994],-1.4324,[-0.0880993  -0.01654749],[-0.75560641 -0.43677509]
39,"[[ 0.68125758  0.98446863  0.01542016  0.15506765]
 [-2.79304672 -0.02125686  0.          0.        ]]","[ 0.62035222  0.79793984  1.10804095  1.06456097  0.13944788  1.3400155
 -0.46064752 -0.30246603 -0.18547418  0.02517729  0.        ]",-0.0546775892986,[ 0.58446951  0.22497023],-1.47367,[ 0.53750217 -0.08161582],[-0.75560641 -0.43677509]
40,"[[ 0.64915081  0.99297821  0.01542016  0.15506765]
 [-0.42551302  0.86925437  0.          0.        ]]","[ 0.65278673  0.78921021  1.07058046  1.07679107  0.13944783  1.34001428
 -0.33843155 -0.16198006 -0.13387758 -0.00345227  0.        ]",-0.0583888164231,[-0.32226675  0.38956355],-1.43423,[-0.02663636 -0.32557985],[-0.75560641 -0.43677509]
