timestep,human_obs,obs,original_rewards,logstd_action_dist,rewards,avg_action_dist,actions
0,"[[-0.014842    0.08990983  0.18310145 -0.01963634]
 [-0.00174556 -0.00391476  0.          0.        ]]","[ 0.95921236  1.84817137 -0.01556414  0.35858545  1.57776771 -0.15690304
 -0.2847885   0.06020348 -0.04330101  0.27803286  0.        ]",-0.0374624806231,[-0.14128542 -0.12953186],-0.557024,[-0.10490106 -0.39112121],[ 0.92225293  0.79631742]
1,"[[ 0.02171595  0.12145407  0.18310145 -0.01963634]
 [ 3.64540441  3.14783848  0.          0.        ]]","[ 0.95902757  1.84384819  0.04148477  0.4263563   1.57776074 -0.15690283
  0.01147958  0.45502016 -0.04928102  0.37392953  0.        ]",-0.0454881360425,[-0.14128542 -0.12953186],-0.635369,[-0.59573889 -0.59190828],[-0.4722756   0.20754883]
2,"[[ 0.0751529   0.1920385   0.18310145 -0.01963634]
 [ 1.70475379  3.90806829  0.          0.        ]]","[ 0.95526864  1.82955868  0.12477094  0.57695945  1.57775377 -0.15690263
 -0.14616485  0.55025267 -0.07122295  0.53545766  0.        ]",-0.0606054461691,[-0.14128542 -0.12953186],-0.665423,[-0.6318202  -0.54750264],[ 0.02473073  0.00302728]
3,"[[ 0.10989177  0.26954356  0.18310145 -0.01963634]
 [ 1.76892047  3.84265587  0.          0.        ]]","[ 0.95060572  1.80657411  0.17874986  0.73993511  1.57774681 -0.15690243
 -0.14095222  0.54205761 -0.10186504  0.66646149  0.        ]",-0.0736992757824,[-0.14128542 -0.12953186],-0.730011,[-0.74320996 -0.47939152],[-0.36873407  0.8394791 ]
4,"[[ 0.13027173  0.37898973  0.18310145 -0.01963634]
 [ 0.27406633  7.09113177  0.          0.        ]]","[ 0.94705815  1.76138758  0.21032517  0.9639674   1.57773984 -0.15690222
 -0.26238346  0.94899019 -0.14794638  0.79530248  0.        ]",-0.0870988016364,[-0.14128542 -0.12953186],-0.837132,[-0.77095336 -0.25167564],[-2.10153289 -0.46241597]
5,"[[ 0.09601444  0.50104766  0.18310145 -0.01963634]
 [-3.68664678  5.12120986  0.          0.        ]]","[ 0.95267223  1.69402996  0.15720707  1.20241399  1.57773288 -0.15690202
 -0.58412375  0.70221775 -0.18181345  0.83691735  0.        ]",-0.0913711967287,[-0.14128542 -0.12953186],-0.831072,[-0.35893008  0.14531086],[-1.03790679  0.01833073]
6,"[[-0.01668019  0.60319623  0.18310145 -0.01963634]
 [-7.56991856  5.09370684  0.          0.        ]]","[ 0.95915646  1.62460713 -0.01843437  1.39023653  1.57772591 -0.15690182
 -0.89957242  0.69877114 -0.17390564  0.7313215   0.        ]",-0.079309198333,[-0.14128542 -0.12953186],-0.689176,[ 0.12779436  0.47447753],[ 1.20185603  1.30390613]
7,"[[-0.12689649  0.74377114  0.18310145 -0.01963634]
 [-3.465307    8.95096537  0.          0.        ]]","[ 0.94767976  1.51104627 -0.18990955  1.62744268  1.57771895 -0.15690161
 -0.56614052  1.18196498 -0.19324913  0.66008456  0.        ]",-0.0708494471839,[-0.14128542 -0.12953186],-0.734914,[-0.09949183  0.62927496],[-0.74402465  0.67627911]
8,"[[ -0.22505733   0.94788819   0.18310145  -0.01963634]
 [ -6.34123205  11.45236617   0.           0.        ]]","[ 0.92273168  1.31334548 -0.34067416  1.91936569  1.57771198 -0.15690141
 -0.79975981  1.4953083  -0.2579274   0.65556975  0.        ]",-0.0701574035046,[-0.14128542 -0.12953186],-0.731693,[ 0.0354086   0.80653471],[-0.86487221 -1.43006061]
9,"[[-0.38494729  1.13494016  0.18310145 -0.01963634]
 [-9.63690524  7.26672039  0.          0.        ]]","[ 0.85307821  1.10437983 -0.57843048  2.12314578  1.57770502 -0.15690121
 -1.06747554  0.97097262 -0.30709023  0.54305547  0.        ]",-0.0579271211579,[-0.14128542 -0.12953186],-0.642271,[ 0.38154987  0.86061651],[ 0.42560945 -1.89730146]
