timestep,rewards,actions,avg_action_dist,original_rewards,logstd_action_dist,human_obs,obs
0,0.347912,[-1.42523423  0.58298954],[-1.18301368  0.26342714],-0.303310881051,[-0.01462712 -0.17454191],"[[-0.03121202  0.05502396 -0.04176455 -0.16977159]
 [ 0.00233177  0.0013281   0.          0.        ]]","[ 1.16416629  1.28931917  0.21050113  0.27329348 -0.34822417 -1.44671929
  0.56724409  0.19501479  1.41837034  1.25709909  0.        ]"
1,0.242326,[-0.72598107  0.97420315],[-1.07036555  0.12322426],-0.299984832012,[-0.01462712 -0.17454191],"[[-0.07086538  0.0782266  -0.04176455 -0.16977159]
 [-3.95449106  2.31123119  0.          0.        ]]","[ 1.16131901  1.28741145  0.15038579  0.31406539 -0.34822267 -1.44670215
  0.29273533  0.52525989  1.41726652  1.21713254  0.        ]"
2,0.557153,[-1.80066767 -0.23000245],[-0.96496069 -0.13016492],-0.291892552539,[-0.01462712 -0.17454191],"[[-0.17799996  0.16270588 -0.04176455 -0.16977159]
 [-6.74966095  6.12398058  0.          0.        ]]","[ 1.14267063  1.27495029 -0.01091927  0.46172761 -0.34822118 -1.446685
  0.09881726  1.07036276  1.40888142  1.12622735  0.        ]"
3,0.723699,[-1.92436644 -0.11240735],[-0.83755684 -0.14659077],-0.276235951678,[-0.01462712 -0.17454191],"[[ -0.35134108   0.27484569  -0.04176455  -0.16977159]
 [-10.57174487   5.09341046   0.           0.        ]]","[ 1.07915033  1.24510241 -0.2645853   0.65441877 -0.34821968 -1.44666786
 -0.16634396  0.9230149   1.37862975  0.96388459  0.        ]"
4,0.788919,[-1.21099979 -1.50950505],[-0.66000324 -0.22394224],-0.247677508556,[-0.01462712 -0.17454191],"[[ -0.6003684    0.37124882  -0.04176455  -0.16977159]
 [-14.31853409   4.54867664   0.           0.        ]]","[ 0.91957316  1.20756933 -0.59976218  0.8153565  -0.34821819 -1.44665072
 -0.42628121  0.84512834  1.29153584  0.69605469  0.        ]"
5,0.685507,[-0.05881881  0.24999063],[-0.46408463 -0.13756555],-0.201926602938,[-0.01462712 -0.17454191],"[[ -0.92357558   0.42160062  -0.04176455  -0.16977159]
 [-17.98994845   0.49994676   0.           0.        ]]","[ 0.60801953  1.18371506 -0.95319423  0.89714536 -0.34821669 -1.44663358
 -0.68098812  0.26627664  1.08581139  0.34114689  0.        ]"
6,0.868704,[-0.47473964 -0.52181979],[-0.23721543 -0.30594543],-0.143818143444,[-0.01462712 -0.17454191],"[[ -1.28214305   0.44142558  -0.04176455  -0.16977159]
 [-17.86721612   1.47928295   0.           0.        ]]","[ 0.16162138  1.17353465 -1.19739346  0.92885394 -0.34821519 -1.44661644
 -0.67246959  0.40629192  0.74261907  0.02848836  0.        ]"
7,0.848924,[ 0.26684637 -0.91753405],[ 0.02002259 -0.26352668],-0.079712446371,[-0.01462712 -0.17454191],"[[ -1.65477768   0.44998589  -0.04176455  -0.16977159]
 [-19.39115153  -0.61629042   0.           0.        ]]","[-0.35522469  1.16899786 -1.25483747  0.94245088 -0.3482137  -1.4465993
 -0.7781909   0.10668344  0.29976257 -0.14149747  0.        ]"
8,0.950349,[-0.059493   -1.22186526],[ 0.26441339 -0.03070652],-0.0309819522896,[-0.01462712 -0.17454191],"[[ -2.02814591   0.40131891  -0.04176455  -0.16977159]
 [-17.95043223  -4.23830813   0.           0.        ]]","[-0.85684496  1.19363147 -1.10415741  0.86438714 -0.3482122  -1.44658216
 -0.67823415 -0.41116336 -0.20842893 -0.1220185   0.        ]"
9,0.840716,[ 0.38048066 -0.11779596],[ 0.4368872  0.2148585],-0.0875898125041,[-0.01462712 -0.17454191],"[[ -2.38593544   0.27766135  -0.04176455  -0.16977159]
 [-17.828901    -8.11450109   0.           0.        ]]","[-1.25827138  1.24409325 -0.78313761  0.65915466 -0.34821071 -1.44656502
 -0.66979892 -0.96534667 -0.70088058  0.13074561  0.        ]"
