timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 1.21559143  2.57246101 -0.16490362 -1.03613971 -0.15366061  0.41565459
 -0.24454556 -0.36884048  1.54816044 -0.53387184  0.        ]",-0.830496,[ 1.69390222  6.05629335],-0.235417240951,[ 1.2349546   5.90853596],[-0.38005993 -0.12643686],"[[ -1.19865697e-02  -5.59102935e-02  -1.85592306e-02   4.87930346e-02]
 [  3.89225740e-03   8.12688249e-05   0.00000000e+00   0.00000000e+00]]"
1,"[ 1.21515208  2.57463668 -0.10631538 -0.87470348 -0.15366053  0.41565435
 -0.14931332  0.13586588  1.5497828  -0.42726454  0.        ]",-0.832571,[ 1.56854517  5.76974353],-0.232853818062,[ 1.4040674   5.69994926],[-0.38005993 -0.12643686],"[[ 0.02776558 -0.01619627 -0.01855923  0.04879303]
 [ 3.95815985  3.95813491  0.          0.        ]]"
2,"[ 1.20087196  2.56690789  0.06693706 -0.39505295 -0.15366045  0.4156541
 -0.05596336  0.63058278  1.51670786 -0.11300629  0.        ]",-0.848532,[ 0.76138724  5.32217428],-0.224260191518,[ 1.58361256  5.3856163 ],[-0.38005993 -0.12643686],"[[ 0.14581873  0.10189286 -0.01855923  0.04879303]
 [ 7.83427068  7.83784935  0.          0.        ]]"
3,"[ 1.13983132  2.50805526  0.33200943  0.38090658 -0.15366037  0.41565385
  0.01281431  1.11554787  1.35029443  0.35385979  0.        ]",-0.841766,[ 1.61862576  5.90019983],-0.207842869115,[ 1.75132203  4.90081024],[-0.38005993 -0.12643686],"[[  0.33115649   0.29680915  -0.01855923   0.04879303]
 [ 10.6900818   11.6410926    0.           0.        ]]"
4,"[ 0.98543325  2.33585697  0.66364766  1.37614356 -0.15366029  0.41565361
  0.10298691  1.59084631  0.93353388  0.84270935  0.        ]",-0.829925,[ 1.56941233  4.70650018],-0.181624391312,[ 1.61730218  4.25004578],[-0.38005993 -0.12643686],"[[  0.58252224   0.56703008  -0.01855923   0.04879303]
 [ 14.43426034  15.36854001   0.           0.        ]]"
5,"[ 0.67857599  1.98377701  1.01470686  2.40539576 -0.15366021  0.41565336
  0.19142347  2.05669021  0.22252645  1.09495716  0.        ]",-0.762768,[ 1.22393099  4.76627946],-0.146601850939,[ 0.63708955  3.88314152],[-0.38005993 -0.12643686],"[[  9.08046324e-01   9.11056614e-01  -1.85592306e-02   4.87930346e-02]
 [  1.81063554e+01   1.90218655e+01   0.00000000e+00   0.00000000e+00]]"
6,"[ 0.18451748  1.41589414  1.27548892  3.13912893 -0.15366013  0.41565312
  0.27818593  2.5132419  -0.56776286  0.7976043   0.        ]",-0.637938,[-0.69625403  2.77556738],-0.113534433884,[-0.65763569  3.5874877 ],[-0.38005993 -0.12643686],"[[  1.30631320e+00   1.32741908e+00  -1.85592306e-02   4.87930346e-02]
 [  2.17089377e+01   2.26023547e+01   0.00000000e+00   0.00000000e+00]]"
7,"[-0.37222455  0.67923972  1.31276833  3.13860299 -0.15366005  0.41565287
  0.20162653  2.96091567 -0.91459266  0.0261285   0.        ]",-0.616576,[-1.12543358  4.4735064 ],-0.0977044903445,[-1.45797348  3.70435691],[-0.38005993 -0.12643686],"[[  1.70859625e+00   1.81469202e+00  -1.85592306e-02   4.87930346e-02]
 [  1.85300219e+01   2.61132717e+01   0.00000000e+00   0.00000000e+00]]"
8,"[-0.806589   -0.04808215  1.17018881  2.02321998 -0.15365997  0.41565262
  0.09760644  3.39977604 -0.62761942 -0.59162439  0.        ]",-0.706186,[-2.15100994  5.41820099],-0.0875147861923,[-1.80664682  4.13937283],[-0.38005993 -0.12643686],"[[  2.03586519e+00   2.37149019e+00  -1.85592306e-02   4.87930346e-02]
 [  1.42108755e+01   2.95551393e+01   0.00000000e+00   0.00000000e+00]]"
9,"[-1.08707885 -0.46284376  0.97365437 -0.22046491 -0.15365989  0.41565238
 -0.00443678  3.82998077 -0.08653491 -0.60432701  0.        ]",-0.60669,[-1.31578706  5.13633931],-0.0669717724368,[-1.81218171  4.24524927],[-0.38005993 -0.12643686],"[[  2.27757830e+00   2.99644566e+00  -1.85592306e-02   4.87930346e-02]
 [  9.97381315e+00   3.29292127e+01   0.00000000e+00   0.00000000e+00]]"
10,"[-1.24261297 -0.46337712  0.80935956 -1.38737221 -0.15365981  0.41565213
 -0.10458032 -0.36513155  0.09662727 -0.39690537  0.        ]",-0.392121,[-2.20680154  4.66267553],-0.0549346832053,[-0.98394197  4.29244375],[-0.38005993 -0.12643686],"[[ 2.43533293  3.28430291 -0.01855923  0.04879303]
 [ 5.81562964  0.02925164  0.          0.        ]]"
11,"[-1.30787125 -0.47530793  0.7221328  -1.08763031 -0.15365973  0.41565189
 -0.2027119  -1.02376127  0.05637397 -0.4553601   0.        ]",-0.406021,[-1.56085214  4.49954554],-0.0572729925224,[-0.73614389  4.41583633],[-0.38005993 -0.12643686],"[[ 2.51076234  3.21018674 -0.01855923  0.04879303]
 [ 1.74098689 -5.13602521  0.          0.        ]]"
12,"[-1.30353029 -0.47846853  0.72837    -0.71231763 -0.15365965  0.41565164
 -0.29889433 -0.85159924  0.0107879  -0.52807912  0.        ]",-0.375298,[-0.98536457  6.00800721],-0.0620526333254,[-0.47824025  4.37546921],[-0.38005993 -0.12643686],"[[ 2.50551174  3.11786677 -0.01855923  0.04879303]
 [-2.25272323 -3.78585941  0.          0.        ]]"
13,"[-1.23021412 -0.4738089   0.82448764 -0.47697666 -0.15365957  0.41565139
 -0.3917765  -0.6356381  -0.0284522  -0.57115711  0.        ]",-0.480543,[ 0.15969528  3.23110744],-0.0650120824065,[-0.197142    4.32321167],[-0.38005993 -0.12643686],"[[ 2.421762    3.05992384 -0.01855923  0.04879303]
 [-6.10939999 -2.09219943  0.          0.        ]]"
14,"[-1.11804764 -0.46935971  0.94487732 -0.35485217 -0.15365949  0.41565115
 -0.3736346  -0.49992887 -0.06003546 -0.5883479   0.        ]",-0.491937,[-1.50975154  3.49449776],-0.0658469846773,[-0.05751205  4.26303577],[-0.38005993 -0.12643686],"[[ 2.30713198  3.02975952 -0.01855923  0.04879303]
 [-5.35611876 -1.02790995  0.          0.        ]]"
15,"[-0.95783047 -0.46675521  1.07709047 -0.2968319  -0.15365941  0.4156509
 -0.46643381 -0.42924557 -0.08706938 -0.58952164  0.        ]",-0.461114,[-0.25914347  5.26373798],-0.0652246980394,[ 0.31386289  4.17555428],[-0.38005993 -0.12643686],"[[ 2.16134891  3.01539456 -0.01855923  0.04879303]
 [-9.20935017 -0.47358236  0.          0.        ]]"
16,"[-0.72141408 -0.46547525  1.21158018 -0.27064117 -0.15365934  0.41565066
 -0.48675274 -0.39557464 -0.11349576 -0.57839799  0.        ]",-0.519115,[ 0.38297551  3.69296926],-0.0633526101697,[ 0.71441042  4.03525114],[-0.38005993 -0.12643686],"[[  1.96869683   3.00890173  -0.01855923   0.04879303]
 [-10.05304713  -0.20952202   0.           0.        ]]"
17,"[-0.47700074 -0.46489606  1.29309271 -0.25920966 -0.15365926  0.41565041
 -0.44544113 -0.38035279 -0.1338796  -0.56140899  0.        ]",-0.583306,[ 1.00127933  1.74349562],-0.0610264325108,[ 1.03182828  3.87626696],[-0.38005993 -0.12643686],"[[ 1.78484639  3.00606607 -0.01855923  0.04879303]
 [-8.3377145  -0.09014741  0.          0.        ]]"
18,"[-0.30407741 -0.46464531  1.3209376  -0.25433809 -0.15365918  0.41565016
 -0.34611183 -0.37370374 -0.14542268 -0.54733124  0.        ]",-0.504693,[ 1.12358018  5.15786279],-0.059223623062,[ 1.14671314  3.76593065],[-0.38005993 -0.12643686],"[[ 1.65947305  3.00485734 -0.01855923  0.04879303]
 [-4.21336473 -0.03800438  0.          0.        ]]"
19,"[-0.24319953 -0.46453951  1.32523709 -0.2522988  -0.1536591   0.41564992
 -0.24874896 -0.37086923 -0.14912764 -0.54202164  0.        ]",-0.592126,[ 1.1315595   1.67509422],-0.0585577829836,[ 1.1053406   3.72813416],[-0.38005993 -0.12643686],"[[ 1.61576748  3.00435131 -0.01855923  0.04879303]
 [-0.17066433 -0.01577661  0.          0.        ]]"
20,"[-0.29383857 -0.46449555  1.32185492 -0.25145679 -0.15365902  0.41564967
 -0.15331354 -0.36968241 -0.14657789 -0.54641855  0.        ]",-0.537578,[ 0.63207095  3.9725112 ],-0.059104024301,[ 0.90698779  3.7555666 ],[-0.38005993 -0.12643686],"[[ 1.65211294  3.00414238 -0.01855923  0.04879303]
 [ 3.79200424 -0.00647072  0.          0.        ]]"
21,"[-0.43246095 -0.46447741  1.30250888 -0.25111278 -0.15365894  0.41564943
 -0.09485091 -0.36919243 -0.13841933 -0.55799278  0.        ]",-0.514654,[ 0.54465753  4.40606056],-0.0605655254529,[ 0.64767224  3.84408498],[-0.38005993 -0.12643686],"[[  1.75230876e+00   3.00405704e+00  -1.85592306e-02   4.87930346e-02]
 [  6.21948810e+00  -2.62977154e-03   0.00000000e+00   0.00000000e+00]]"
