timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-0.904226,"[ 1.3134045   2.64723306 -0.15966136 -1.10605592 -0.74347609 -0.8164993
 -0.2235334  -0.36964161  2.10384704  0.74918504  0.        ]",[-0.22890394  7.00572715],-0.310798884808,[ 0.63590252  7.40016031],[-0.68951797 -0.20869109],"[[ 0.04264383 -0.06591362 -0.08543033 -0.09518891]
 [ 0.00301256  0.00452496  0.          0.        ]]"
1,-0.878196,"[ 1.3138804   2.65007675 -0.17308313 -0.93713761 -0.74347573 -0.81649887
 -0.24347858  0.13107046  2.10431171  0.76979798  0.        ]",[ 0.9470187   7.17226833],-0.311639228257,[ 1.02984822  7.24102736],[-0.68951797 -0.20869109],"[[ 0.03360274 -0.02609265 -0.08543033 -0.09518891]
 [-0.90409731  3.96437429  0.          0.        ]]"
2,-0.904369,"[ 1.3126969   2.64399993 -0.14388894 -0.43568701 -0.74347537 -0.81649845
 -0.1607458   0.62164043  2.09479338  0.91163538  0.        ]",[ 2.2623059   7.09514826],-0.316340189864,[ 1.63809168  7.00080252],[-0.68951797 -0.20869109],"[[ 0.05327276  0.0921205  -0.08543033 -0.09518891]
 [ 2.85858463  7.84401603  0.          0.        ]]"
3,-1.03944,"[  1.29920755e+00   2.58685690e+00  -1.64109317e-03   3.76430676e-01
  -7.43475007e-01  -8.16498026e-01  -7.50360413e-02   1.10249024e+00
   2.01715765e+00   1.24532534e+00   0.00000000e+00]",[ 1.66959701  5.85514974],-0.324311659698,[ 2.28839111  6.61920547],[-0.68951797 -0.20869109],"[[  0.14955426   0.28715528  -0.08543033  -0.09518891]
 [  6.7566592   11.64678968   0.           0.        ]]"
4,-0.974504,"[ 1.24305974  2.41489931  0.248603    1.42040855 -0.74347465 -0.8164976
  0.00899589  1.57381533  1.7591413   1.70341998  0.        ]",[ 2.92874343  6.96869854],-0.327854870703,[ 2.79030943  6.2033391 ],[-0.68951797 -0.20869109],"[[  0.32303032   0.55749     -0.08543033  -0.09518891]
 [ 10.57842645  15.37424557   0.           0.        ]]"
5,-0.949513,"[ 1.09415606  2.05959802  0.58144222  2.5045119  -0.74347429 -0.81649718
  0.0914048   2.0357879   1.22188302  2.09449904  0.        ]",[ 2.34493232  6.65254371],-0.315345932155,[ 2.77651119  5.77568102],[-0.68951797 -0.20869109],"[[  0.57219919   0.90163212  -0.08543033  -0.09518891]
 [ 14.32637886  19.02775159   0.           0.        ]]"
6,-0.934252,"[ 0.79560404  1.48314713  0.93666669  3.28549008 -0.74347393 -0.81649675
  0.1722476   2.48857357  0.47004023  2.11499927  0.        ]",[ 2.14557308  3.96464026],-0.27384825539,[ 2.86898589  5.07819128],[-0.68951797 -0.20869109],"[[  0.89561077   1.31811583  -0.08543033  -0.09518891]
 [ 18.00310479  22.60862544   0.           0.        ]]"
7,-0.633138,"[ 0.31150014  0.73200738  1.20520421  3.30389559 -0.74347357 -0.81649633
  0.25156644  2.93235107 -0.13436487  1.57416191  0.        ]",[ 2.50541492  3.5504339 ],-0.196214264828,[ 2.56942201  4.51258039],[-0.68951797 -0.20869109],"[[  1.29186173   1.80550233  -0.08543033  -0.09518891]
 [ 21.61052107  26.11828971   0.           0.        ]]"
8,-0.469766,"[-0.32941179 -0.01345958  1.23623138  2.15785813 -0.74347321 -0.81649591
  0.32936307  3.36734348 -0.11635391  0.79192143  0.        ]",[ 2.88403023  4.20770115],-0.10218161534,[ 2.17668986  4.2249465 ],[-0.68951797 -0.20869109],"[[  1.75957073   2.36238438  -0.08543033  -0.09518891]
 [ 25.14870772  29.55851855   0.           0.        ]]"
9,-0.490493,"[-0.98920778 -0.44411105  0.88747464 -0.17411073 -0.74347285 -0.81649548
  0.40558024  3.79383969  0.44390645  0.587777    0.        ]",[ 1.83479181  3.37532872],-0.110341463754,[ 2.09491205  4.34804058],[-0.68951797 -0.20869109],"[[  2.29733165   2.98739539  -0.08543033  -0.09518891]
 [ 28.61506188  32.9316079    0.           0.        ]]"
10,-0.322897,"[-1.41493852 -0.44825111  0.12715443 -1.40121822 -0.74347249 -0.81649506
  0.48014949 -0.3454197   0.591455    0.85235548  0.        ]",[-0.06369134  6.41806562],-0.146703702224,[ 0.76166582  5.0051403 ],[-0.68951797 -0.20869109],"[[  2.90365973   3.27738073  -0.08543033  -0.09518891]
 [ 32.00646908   0.19613655   0.           0.        ]]"
11,-0.409225,"[-1.34824132 -0.45931938 -0.79235404 -1.10103964 -0.74347213 -0.81649463
  0.46066985 -1.00357676  0.54321923  0.82381033  0.        ]",[ 1.4938223   5.55508309],-0.139963935925,[ 0.57964873  4.85356188],[-0.68951797 -0.20869109],"[[  3.53489923   3.20632349  -0.08543033  -0.09518891]
 [ 31.12054599  -5.00892397   0.           0.        ]]"
12,-0.5408,"[-0.75931082 -0.46206782 -1.5111128  -0.7174982  -0.74347177 -0.81649421
  0.53418149 -0.83994902  0.5527243   0.79540176  0.        ]",[ 1.15583421  4.47067577],-0.138225618071,[ 1.14565492  4.36146355],[-0.68951797 -0.20869109],"[[  4.19085468   3.11595965  -0.08543033  -0.09518891]
 [ 34.46385309  -3.71487243   0.           0.        ]]"
13,-0.634886,"[ 0.2062244  -0.45727835 -1.67881792 -0.47617703 -0.74347141 -0.81649378
  0.60623663 -0.63033656  0.5498522   0.82841069  0.        ]",[ 0.96026013  3.41229952],-0.140949652735,[ 1.2991749   4.00057697],[-0.68951797 -0.20869109],"[[  4.91301171   3.05904274  -0.08543033  -0.09518891]
 [ 37.74091993  -2.05714814   0.           0.        ]]"
14,-0.721653,"[ 1.08469318 -0.45278716 -1.04298805 -0.35076339 -0.74347105 -0.81649336
  0.67340493 -0.49814684  0.48910523  0.86314506  0.        ]",[ 2.13968339  1.90868884],-0.139180484652,[ 1.56101477  3.7609787 ],[-0.68951797 -0.20869109],"[[  5.6984801    3.02936883  -0.08543033  -0.09518891]
 [ 40.79573604  -1.01172338   0.           0.        ]]"
15,-0.649666,"[ 1.26711976 -0.450167    0.16299258 -0.29113055 -0.74347069 -0.81649294
  0.74270291 -0.42919423  0.40133182  0.82663417  0.        ]",[ 1.86882374  3.07090678],-0.128893010588,[ 1.88889039  3.99832201],[-0.68951797 -0.20869109],"[[  6.5460166    3.01522596  -0.08543033  -0.09518891]
 [ 43.94741142  -0.46641109   0.           0.        ]]"
16,-0.48548,"[ 0.4669072  -0.44888055  1.14649361 -0.26419733 -0.74347033 -0.81649251
  0.81062898 -0.39632183  0.3667488   0.71275819  0.        ]",[ 1.63488126  3.97988838],-0.11511115578,[ 2.07165766  4.40674543],[-0.68951797 -0.20869109],"[[  7.45596061   3.00883016  -0.08543033  -0.09518891]
 [ 47.0366949   -0.20644004   0.           0.        ]]"
17,-0.383482,"[-0.82025509 -0.44829857  1.02526174 -0.25243689 -0.74346997 -0.81649209
  0.87721032 -0.38145361  0.438055    0.60527655  0.        ]",[ 1.58758852  4.10049869],-0.111295209186,[ 1.92343199  4.80296326],[-0.68951797 -0.20869109],"[[  8.4270767    3.00603574  -0.08543033  -0.09518891]
 [ 50.06482287  -0.08885548   0.           0.        ]]"
18,-0.460863,"[-1.45316613 -0.44804663 -0.2725709  -0.24742313 -0.74346961 -0.81649166
  0.94247353 -0.37495687  0.5689144   0.61297837  0.        ]",[ 2.11477092  3.56898195],-0.12444261172,[ 1.60092103  4.79610825],[-0.68951797 -0.20869109],"[[  9.45815390e+00   3.00484409e+00  -8.54303261e-02  -9.51889055e-02]
 [  5.30330057e+01  -3.74768690e-02   0.00000000e+00   0.00000000e+00]]"
19,-0.547163,"[-0.66872846 -0.44794036 -1.56228425 -0.24532327 -0.74346925 -0.81649124
  1.00644469 -0.37218637  0.63003073  0.74805123  0.        ]",[ 1.87369018  4.85906943],-0.141230336897,[ 1.60953379  4.43767309],[-0.68951797 -0.20869109],"[[  1.05480052e+01   3.00434496e+00  -8.54303261e-02  -9.51889055e-02]
 [  5.59424296e+01  -1.55673558e-02   0.00000000e+00   0.00000000e+00]]"
