timestep,human_obs,rewards,logstd_action_dist,obs,avg_action_dist,actions,original_rewards
0,"[[-0.0947996  -0.06230808 -0.14067523 -0.11418658]
 [-0.00236245  0.00359495  0.          0.        ]]",-4.36249,[-0.3667199  -0.34126404],"[ 1.21483005  2.54017608 -0.11112135  0.64281745 -1.21010122 -0.98974931
  0.07769863  0.38912576  2.52315807  0.80182559  0.        ]",[-4.86350346 -2.71224666],[-5.47396549 -4.0267616 ],-0.359679426435
1,"[[-0.13452152 -0.10194931 -0.14067523 -0.11418658]
 [-3.95667334 -3.95453042  0.          0.        ]]",-4.26871,[-0.3667199  -0.34126404],"[ 1.20855161  2.53522913 -0.16916437  0.48596106 -1.21010045 -0.9897488
  0.00473036 -0.1524355   2.50644763  0.69623139  0.        ]",[-4.64056873 -2.47998452],[-5.40546714 -3.16401095],-0.354732984332
2,"[[-0.2525459  -0.21996699 -0.14067523 -0.11418658]
 [-7.83289689 -7.83430725  0.          0.        ]]",-4.16032,[-0.3667199  -0.34126404],"[ 1.17721106  2.50649571 -0.3394369   0.02369243 -1.21009968 -0.9897483
 -0.06679698 -0.68327683  2.41935321  0.3932198   0.        ]",[-4.13124657 -2.19110489],[-3.41066073 -2.51288037],-0.337727957724
3,"[[ -0.44732912  -0.41480923  -0.14067523  -0.11418658]
 [-11.63289059 -11.63722596   0.           0.        ]]",-3.69985,[-0.3667199  -0.34126404],"[ 1.08510405  2.41422262 -0.60817061 -0.71013453 -1.21009891 -0.98974779
 -0.13691767 -1.20360178  2.1639192  -0.04370804  0.        ]",[-3.21314955 -1.77875185],[-3.66211763 -1.84626927],-0.302690419086
4,"[[ -0.71736785  -0.68495292  -0.14067523  -0.11418658]
 [-15.35884438 -15.36467462   0.           0.        ]]",-3.18678,[-0.3667199  -0.34126404],"[ 0.88055683  2.20031716 -0.9389144  -1.62185356 -1.21009814 -0.98974729
 -0.2056721  -1.71359968  1.63833078 -0.44423429  0.        ]",[-2.07659698 -1.26305485],[-3.09383417 -1.36334688],-0.242031801282
5,"[[ -1.06120592  -1.02890176  -0.14067523  -0.11418658]
 [-19.01325189 -19.01795491   0.           0.        ]]",-2.49676,[-0.3667199  -0.34126404],"[ 0.51347954  1.80716251 -1.25597221 -2.51163306 -1.21009737 -0.98974678
 -0.27310629 -2.21344779  0.8678796  -0.51698394  0.        ]",[-1.21711159 -0.75318354],[-2.26940816 -1.3548026 ],-0.151317056939
6,"[[ -1.47743729  -1.4451854   -0.14067523  -0.11418658]
 [-22.59853454 -22.59838537   0.           0.        ]]",-1.82328,[-0.3667199  -0.34126404],"[-0.03163501  1.21371567 -1.43646284 -3.04918865 -1.21009661 -0.98974628
 -0.33926493 -2.70332547  0.15438754 -0.01578017  0.        ]",[-1.16871405 -0.96134031],[-1.58522291 -0.07212234],-0.0436238480815
7,"[[ -1.96469794  -1.89549912  -0.14067523  -0.11418658]
 [-26.11597402 -22.43349159   0.           0.        ]]",-1.74579,[-0.3667199  -0.34126404],"[-0.69061037  0.53846107 -1.33021736 -2.87298681 -1.21009584 -0.98974578
 -0.40417166 -2.68075867 -0.02451872  0.8588463   0.        ]",[-1.6540823  -1.66049147],[-2.50931359 -1.52973332],-0.0962549985737
8,"[[ -2.52161494  -2.3794097   -0.14067523  -0.11418658]
 [-29.56435078 -25.94594217   0.           0.        ]]",-2.21242,[-0.3667199  -0.34126404],"[-1.2847671  -0.07599474 -0.82654761 -1.85159457 -1.21009507 -0.98974527
 -0.46780397 -3.16133046  0.44277759  1.44910635  0.        ]",[-2.33855605 -1.50712752],[-0.76504459 -1.59384317],-0.18255244868
9,"[[ -3.13747556  -2.93288093  -0.14067523  -0.11418658]
 [-32.01293514 -29.39001078   0.           0.        ]]",-2.44331,[-0.3667199  -0.34126404],"[-1.54185362 -0.46349273  0.02206649  0.06736515 -1.2100943  -0.98974477
 -0.51298723 -3.63254067  0.97093307  1.21999198  0.        ]",[-2.18612862 -0.22658834],[-2.70602625  0.15864065],-0.201825270334
10,"[[ -3.81109305  -3.20099354  -0.14067523  -0.11418658]
 [-35.33759977  -1.13744622   0.           0.        ]]",-2.10166,[-0.3667199  -0.34126404],"[-1.24365369 -0.49379358  0.94101053  1.12576823 -1.21009353 -0.98974426
 -0.57433667  0.23301243  0.93320115  0.92321298  0.        ]",[-1.87797809 -0.38723385],[-2.2422456  -0.66937721],-0.1758373777
11,"[[ -4.55054828  -3.15674103  -0.14067523  -0.11418658]
 [-38.59715448   3.63205588   0.           0.        ]]",-2.04819,[-0.3667199  -0.34126404],"[-0.38301574 -0.49629953  1.47988911  0.95019882 -1.21009276 -0.98974376
 -0.63448462  0.88558175  0.90985305  0.94121815  0.        ]",[-2.06074095 -0.72181714],[-3.68063504 -0.15403492],-0.174646908298
12,"[[ -5.35455005  -3.08729085  -0.14067523  -0.11418658]
 [-41.79236822   3.15797528   0.           0.        ]]",-2.2123,[-0.3667199  -0.34126404],"[ 0.66697152 -0.4942336   1.20609437  0.67455367 -1.210092   -0.98974325
 -0.69344527  0.82071705  0.90418703  0.93041644  0.        ]",[-2.08076572 -0.80337971],[-2.15549815 -0.40874042],-0.173298020659
13,"[[ -6.22182145  -3.04063342  -0.14067523  -0.11418658]
 [-44.92432991   1.58570503   0.           0.        ]]",-2.35929,[-0.3667199  -0.34126404],"[ 1.21843192 -0.48873473  0.11832975  0.48987406 -1.21009123 -0.98974275
 -0.75123871  0.60559666  0.84518683  0.92862339  0.        ]",[-2.1773231  -0.85404766],[-2.4639549  -0.75083872],-0.167085882207
14,"[[ -7.15110979  -3.01903226  -0.14067523  -0.11418658]
 [-47.99427301   0.69195188   0.           0.        ]]",-2.42588,[-0.3667199  -0.34126404],"[ 0.73256738 -0.48507329 -1.09422795  0.40464288 -1.21009046 -0.98974224
 -0.80788769  0.48331195  0.78744127  1.01275859  0.        ]",[-2.24501801 -0.78697139],[-1.80976505 -1.18835009],-0.167764103355
15,"[[ -8.14118722  -3.00997401  -0.14067523  -0.11418658]
 [-51.00344191   0.27653179   0.           0.        ]]",-2.3269,[-0.3667199  -0.34126404],"[-0.55174472 -0.48332825 -1.38261492  0.36896699 -1.21008969 -0.98974174
 -0.86341517  0.42647346  0.82543499  1.13504076  0.        ]",[-2.35459733 -0.77207154],[-3.16108221 -1.09250711],-0.181266867577
16,"[[ -9.19085035  -3.00636248  -0.14067523  -0.11418658]
 [-53.95304158   0.10992575   0.           0.        ]]",-2.19735,[-0.3667199  -0.34126404],"[-1.50423903 -0.48259793 -0.31285326  0.35475469 -1.21008892 -0.98974123
 -0.91784339  0.40367806  0.95385986  1.16668854  0.        ]",[-2.21427107 -0.70273727],[-3.72205853  1.0210228 ],-0.195946610995
17,"[[-10.29891691  -2.96444055  -0.14067523  -0.11418658]
 [-56.8439255    4.06920104   0.           0.        ]]",-2.38246,[-0.3667199  -0.34126404],"[-1.04683253 -0.47268757  1.15635813  0.19034102 -1.21008815 -0.98974073
 -0.97118807  0.9453915   1.06885608  1.07860146  0.        ]",[-2.22062564 -0.96440709],[-1.84235397 -2.43943055],-0.200848103829
