timestep,logstd_action_dist,rewards,human_obs,obs,avg_action_dist,actions,original_rewards
0,[-0.38304982 -0.36970359],-2.63981,"[[-0.02162505  0.06491853  0.12311594 -0.14057217]
 [ 0.00201332  0.00366281  0.          0.        ]]","[ 1.22236097  2.54242181 -0.00563458  1.16382334  1.06685919 -1.21132015
  0.08477789  0.39022264  0.50793417  1.26676787  0.        ]",[-2.01056218 -2.02246165],[-2.34053251 -2.73707055],-0.167405828123
1,[-0.38304982 -0.36970359],-2.61487,"[[-0.06126027  0.02527864  0.12311594 -0.14057217]
 [-3.95237154 -3.95446548  0.          0.        ]]","[ 1.22009169  2.54513445 -0.06385785  1.00494582  1.06685866 -1.21131946
  0.01342495 -0.15133817  0.50690902  1.15995804  0.        ]",[-1.66675138 -1.62288785],[-1.77289804 -0.64924539],-0.156632510258
2,[-0.38304982 -0.36970359],-2.36521,"[[-0.17920416 -0.07880312  0.12311594 -0.14057217]
 [-7.8291229  -6.44541076  0.          0.        ]]","[ 1.20055769  2.54089731 -0.23592342  0.58767098  1.06685813 -1.21131877
 -0.05652717 -0.49215537  0.46824523  0.85810889  0.        ]",[-0.74174005 -1.11885118],[-0.592903   -0.21668844],-0.12502310597
3,[-0.38304982 -0.36970359],-1.93434,"[[ -0.35776364  -0.21503067   0.12311594  -0.14057217]
 [-10.0195579   -7.17490517   0.           0.        ]]","[ 1.13520307  2.51059527 -0.48872406  0.04738447  1.06685761 -1.21131808
 -0.09605139 -0.59196644  0.32355867  0.44724871  0.        ]",[ 0.42210048 -0.62927449],[ 0.41650945  0.27709263],-0.0779668313333
4,[-0.38304982 -0.36970359],-1.73893,"[[-0.5396413  -0.34610135  0.12311594 -0.14057217]
 [-8.17434689 -5.93628521  0.          0.        ]]","[ 1.02634834  2.4554483  -0.72934162 -0.45759224  1.06685708 -1.21131739
 -0.06275635 -0.42249521  0.08514403  0.09382241  0.        ]",[ 1.25188792 -0.40163153],[ 0.269622    0.26922874],-0.0325180983945
5,[-0.38304982 -0.36970359],-1.65476,"[[-0.69081052 -0.45295562  0.12311594 -0.14057217]
 [-6.94665094 -4.75308294  0.          0.        ]]","[ 0.90592436  2.39227765 -0.91068361 -0.85237575  1.06685655 -1.2113167
 -0.04060377 -0.26060638 -0.16902522 -0.13604024  0.        ]",[ 1.51971364 -0.36471903],[ 0.46169716 -0.32163131],-0.0232719315782
6,[-0.38304982 -0.36970359],-1.58054,"[[-0.81003652 -0.55985721  0.12311594 -0.14057217]
 [-4.98249396 -5.93314337  0.          0.        ]]","[ 0.79365921  2.31347441 -1.0388235  -1.22729023  1.06685603 -1.21131601
 -0.00516247 -0.42206519 -0.41525658 -0.27410126  0.        ]",[ 1.57619345 -0.34698108],[ 1.42070454 -0.82087986],-0.0510877102242
7,[-0.38304982 -0.36970359],-1.50989,"[[-0.8689954  -0.70996723  0.12311594 -0.14057217]
 [-0.92689661 -9.06740412  0.          0.        ]]","[ 0.73303777  2.17823104 -1.09670781 -1.7117551   1.0668555  -1.21131532
  0.06801683 -0.85090261 -0.6266064  -0.32590295  0.        ]",[ 1.67393863 -0.39516929],[ 1.98738837 -1.61734565],-0.075047374806
8,[-0.38304982 -0.36970359],-1.48393,"[[ -0.84764449  -0.929255     0.12311594  -0.14057217]
 [  3.04876452 -12.84873859   0.           0.        ]]","[ 0.75535966  1.93502991 -1.07618572 -2.31105829  1.06685497 -1.21131463
  0.13975376 -1.36827381 -0.78177039 -0.29454821  0.        ]",[ 1.76388609 -0.59957534],[ 1.44918761 -1.62469443],-0.0899054579114
9,[-0.38304982 -0.36970359],-1.53536,"[[ -0.74756778  -1.22341575   0.12311594  -0.14057217]
 [  6.94598304 -16.55491656   0.           0.        ]]","[ 0.85427223  1.54276098 -0.97345774 -2.86914306  1.06685445 -1.21131394
  0.21007527 -1.87536075 -0.88407279 -0.18202989  0.        ]",[ 1.76399183 -0.9110719 ],[ 1.19587376 -0.33440748],-0.0969884755423
10,[-0.38304982 -0.36970359],-1.39887,"[[ -0.57032135  -1.56451653   0.12311594  -0.14057217]
 [ 10.76609782 -17.55173879   0.           0.        ]]","[ 1.00401232  1.03469376 -0.76767694 -3.10872272  1.06685392 -1.21131325
  0.27900551 -2.01174614 -0.92375535  0.00629105  0.        ]",[ 1.56471407 -1.34286523],[ 1.95841225 -1.65153002],-0.0979597524379
11,[-0.38304982 -0.36970359],-1.4486,"[[ -0.31741766  -1.95179196   0.12311594  -0.14057217]
 [ 14.51190738 -21.16365343   0.           0.        ]]","[ 1.15366124  0.45977535 -0.43275095 -2.82109117  1.06685339 -1.21131256
  0.34659498 -2.50593283 -0.93221722  0.27173815  0.        ]",[ 1.38505077 -1.7123723 ],[ 1.4264143  -1.94261371],-0.101983037907
12,[-0.38304982 -0.36970359],-1.75806,"[[  9.66488820e-03  -2.41058203e+00   1.23115943e-01  -1.40572172e-01]
 [  1.81841917e+01  -2.47034865e+01   0.00000000e+00   0.00000000e+00]]","[ 1.22261382 -0.10682698  0.04037312 -1.7751863   1.06685287 -1.21131187
  0.41285775 -2.99025392 -0.97458098  0.6273873   0.        ]",[ 1.49130774 -1.89826179],[ 1.42827421 -2.11096151],-0.124135558144
13,[-0.38304982 -0.36970359],-2.48259,"[[  0.40946653  -2.93946364   0.12311594  -0.14057217]
 [ 21.78393329 -28.17317015   0.           0.        ]]","[ 1.10846653 -0.46434679  0.61153383  0.09803532  1.06685234 -1.21131118
  0.47781154 -3.46497258 -1.10758228  1.04807616  0.        ]",[ 0.66878146 -1.45947695],[ 0.31254167 -2.15932979],-0.168788944213
14,[-0.38304982 -0.36970359],-2.51572,"[[  0.85324902  -3.19964107   0.12311594  -0.14057217]
 [ 22.59142093  -1.09450013   0.           0.        ]]","[ 0.74953724 -0.4927399   1.13394579  1.13630931  1.06685181 -1.21131049
  0.49238175  0.23997586 -1.21587209  1.22645965  0.        ]",[ 0.5221588  -2.42913103],[ 0.36857999 -3.00094137],-0.193608053459
15,[-0.38304982 -0.36970359],-2.42431,"[[  1.31523516  -3.15578299   0.12311594  -0.14057217]
 [ 23.60373766   3.58311777   0.           0.        ]]","[ 0.19033902 -0.49514762  1.44874561  0.96046485  1.06685129 -1.2113098
  0.51064791  0.87997507 -1.15442483  1.16750565  0.        ]",[ 0.25928274 -2.90935111],[-0.24481297 -2.74388188],-0.183071987168
16,[-0.38304982 -0.36970359],-2.38049,"[[  1.77289613  -3.0892715    0.12311594  -0.14057217]
 [ 22.16712694   2.78663444   0.           0.        ]]","[-0.43623213 -0.49321992  1.46657336  0.69369656  1.06685076 -1.21130911
  0.48472547  0.77099859 -1.06191506  1.17315376  0.        ]",[ -7.99138099e-04  -3.15873981e+00],[ 1.12647856 -2.84015701],-0.175483326086
17,[-0.38304982 -0.36970359],-2.55531,"[[  2.25155978  -3.04623499   0.12311594  -0.14057217]
 [ 25.68750699   1.56672085   0.           0.        ]]","[-1.02846283 -0.48839288  1.16874863  0.52150374  1.06685023 -1.21130842
  0.54824728  0.60408774 -1.01098767  1.2382274   0.        ]",[-0.07520388 -3.25946474],[-0.48349936 -2.62731605],-0.177255476797
18,[-0.38304982 -0.36970359],-2.58226,"[[  2.74100011  -3.02355199   0.12311594  -0.14057217]
 [ 23.26460666   0.77628785   0.           0.        ]]","[-1.43111693 -0.48471992  0.5995388   0.43101155  1.06684971 -1.21130773
  0.50452815  0.49593919 -1.01535901  1.31514468  0.        ]",[ 0.00697528 -3.22321224],[-0.71234049 -3.11950599],-0.184870974641
19,[-0.38304982 -0.36970359],-2.62168,"[[  3.17337334  -3.01267737   0.12311594  -0.14057217]
 [ 19.9836543    0.35945456   0.           0.        ]]","[-1.53979829 -0.48268335 -0.02056079  0.38771132  1.06684918 -1.21130704
  0.44532629  0.43890721 -1.05358411  1.36649124  0.        ]",[ 0.2822811  -3.07057619],[-0.78947019 -3.28346011],-0.192697878406
20,[-0.38304982 -0.36970359],-2.72187,"[[  3.53771544  -3.00774157   0.12311594  -0.14057217]
 [ 16.46229273   0.15955896   0.           0.        ]]","[-1.43351021 -0.48170007 -0.54116189  0.36807789  1.06684865 -1.21130635
  0.38178648  0.41155702 -1.09998761  1.38835933  0.        ]",[ 0.61554325 -2.87392616],[ 0.83204857 -2.88973911],-0.198364907995
21,[-0.38304982 -0.36970359],-2.785,"[[  3.89674441  -3.00557967   0.12311594  -0.14057217]
 [ 19.43071328   0.06881999   0.           0.        ]]","[-1.16493399 -0.48125775 -0.9816087   0.35948237  1.06684813 -1.21130566
  0.43534877  0.39914185 -1.14913448  1.38831235  0.        ]",[ 1.01339805 -2.61909008],[-0.00683073 -2.45752284],-0.202269744277
22,[-0.38304982 -0.36970359],-2.72764,"[[  4.28122789  -3.00465614   0.12311594  -0.14057217]
 [ 19.01900654   0.02906597   0.           0.        ]]","[-0.73630789 -0.48106657 -1.30961393  0.35581121  1.0668476  -1.21130497
  0.42791978  0.39370252 -1.19733052  1.36644216  0.        ]",[ 1.42030513 -2.31423211],[ 1.18659873 -3.38734058],-0.204244299347
23,[-0.38304982 -0.36970359],-2.74003,"[[  4.69755521e+00  -3.00426882e+00   1.23115943e-01  -1.40572172e-01]
 [  2.26017862e+01   1.20875298e-02   0.00000000e+00   0.00000000e+00]]","[-0.1794001  -0.48098593 -1.4440149   0.35427166  1.06684707 -1.21130428
  0.49256763  0.3913794  -1.23636061  1.32229203  0.        ]",[ 1.76602876 -2.01522756],[ 1.96960218 -2.23833758],-0.203673228928
24,[-0.38304982 -0.36970359],-2.65549,"[[  5.18482650e+00  -3.00410862e+00   1.23115943e-01  -1.40572172e-01]
 [  2.61136402e+01   4.96648525e-03   0.00000000e+00   0.00000000e+00]]","[ 0.4697959  -0.48095243 -1.28311754  0.35363488  1.06684655 -1.21130359
  0.55593566  0.39040498 -1.25637022  1.25430091  0.        ]",[ 1.85654628 -1.88959289],[ 2.3904963  -1.23610332],-0.199625454352
25,[-0.38304982 -0.36970359],-2.53881,"[[  5.74163734e+00  -3.00404308e+00   1.23115943e-01  -1.40572172e-01]
 [  2.95559723e+01   2.02235233e-03   0.00000000e+00   0.00000000e+00]]","[ 1.02499152 -0.48093863 -0.73174248  0.35337427  1.06684602 -1.2113029
  0.61804922  0.39000205 -1.24046993  1.17485733  0.        ]",[ 1.69991755 -1.9082408 ],[ 1.69150509 -1.98158139],-0.191562059677
26,[-0.38304982 -0.36970359],-2.37788,"[[  6.36661110e+00  -3.00401646e+00   1.23115943e-01  -1.40572172e-01]
 [  3.29301585e+01   8.18997257e-04   0.00000000e+00   0.00000000e+00]]","[ 1.21787471 -0.48093295  0.14868447  0.35326838  1.06684549 -1.21130221
  0.67893312  0.3898373  -1.18009325  1.11185885  0.        ]",[ 1.29677129 -2.18733311],[ 0.26346156 -2.93980073],-0.180772726348
27,[-0.38304982 -0.36970359],-2.24514,"[[  7.02913951e+00  -3.00400573e+00   1.23115943e-01  -1.40572172e-01]
 [  3.33213789e+01   3.27885703e-04   0.00000000e+00   0.00000000e+00]]","[ 0.85578588 -0.48093057  1.02404107  0.35322565  1.06684497 -1.21130152
  0.68599211  0.38977001 -1.09217277  1.10021165  0.        ]",[ 0.66977644 -2.67536759],[ 1.28936387 -2.89692272],-0.17175662324
28,[-0.38304982 -0.36970359],-2.26291,"[[  7.72867349e+00  -3.00400139e+00   1.23115943e-01  -1.40572172e-01]
 [  3.66210235e+01   1.34783171e-04   0.00000000e+00   0.00000000e+00]]","[ 0.01376313 -0.48092953  1.48497095  0.35320833  1.06684444 -1.21130083
  0.74553095  0.38974348 -1.01309635  1.15403228  0.        ]",[ 0.23427169 -3.04442191],[ 0.44455242 -3.40458625],-0.169665304892
29,[-0.38304982 -0.36970359],-2.43847,"[[  8.47147991e+00  -3.00399962e+00   1.23115943e-01  -1.40572172e-01]
 [  3.76561690e+01   5.45845968e-05   0.00000000e+00   0.00000000e+00]]","[-0.95884369 -0.48092903  1.22497078  0.3532012   1.06684391 -1.21130014
  0.76420894  0.38973241 -0.9848489   1.2569078   0.        ]",[ 0.0222948  -3.24992037],[-0.51808504 -3.73081835],-0.176978988413
