timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
0,[-0.75049132 -0.49772748],-3.38082,"[ 1.03077737  1.68137183 -0.00583884  0.76229403 -0.57035576  1.05959733
  0.41103369  0.37690866  2.09048341 -1.08689795  0.        ]",-0.300093402278,[ 1.20813715 -0.54617882],[ 1.33389663 -0.78036512],"[[ 0.06796957 -0.07939192 -0.06618918  0.12346342]
 [-0.0019977  -0.00239804  0.          0.        ]]"
1,[-0.75049132 -0.49772748],-3.34079,"[ 1.02573895  1.67765205  0.05396522  0.67750953 -0.57035552  1.05959659
  0.53320565 -0.11319495  2.0873264  -1.03813774  0.        ]",-0.297888583527,[ 1.26810956 -0.14333439],[ 0.20373724  0.11438175],"[[ 0.10763262 -0.11045703 -0.06618918  0.12346342]
 [ 3.95512399 -3.09380346  0.          0.        ]]"
2,[-0.75049132 -0.49772748],-3.32198,"[ 1.00693752  1.66774125  0.1832298   0.52351671 -0.57035527  1.05959586
  0.55566764 -0.03172468  2.07495197 -0.92053092  0.        ]",-0.292357420029,[ 1.21850121 -0.33936659],[ 1.72455444 -0.87119748],"[[ 0.19403475 -0.16717714 -0.06618918  0.12346342]
 [ 4.68266873 -2.57991722  0.          0.        ]]"
3,[-0.75049132 -0.49772748],-3.23064,"[ 0.95761109  1.64518199  0.37679903  0.29375697 -0.57035502  1.05959512
  0.67498402 -0.57074358  2.04106521 -0.74202261  0.        ]",-0.283143938662,[ 1.40269458  0.12840256],[ 1.4896596 -0.169044 ],"[[ 0.32646303 -0.25288842 -0.06618918  0.12346342]
 [ 8.54729993 -5.97986259  0.          0.        ]]"
4,[-0.75049132 -0.49772748],-3.11986,"[ 0.83140999  1.59618955  0.66364597 -0.03219152 -0.57035478  1.05959439
  0.7919107  -0.65829285  1.95064656 -0.4620546   0.        ]",-0.26661514431,[ 1.43120158  0.06920889],[ 1.30713915  1.01002212],"[[  0.53540717  -0.37802678  -0.06618918   0.12346342]
 [ 12.33453242  -6.53209476   0.           0.        ]]"
5,[-0.75049132 -0.49772748],-2.87658,"[ 0.57450942  1.54976386  0.99741837 -0.25620447 -0.57035453  1.05959365
  0.90647554 -0.01020476  1.73688521 -0.03667679  0.        ]",-0.238059205492,[ 0.43046349 -1.19381011],[ 0.59329714 -0.72241807],"[[  0.81932861  -0.46765384  -0.06618918   0.12346342]
 [ 16.04526872  -2.44418209   0.           0.        ]]"
6,[-0.75049132 -0.49772748],-2.4979,"[ 0.1632159   1.50257175  1.27951611 -0.44103372 -0.57035428  1.05959292
  0.96918053 -0.45604621  1.34952201  0.40455785  0.        ]",-0.198420405618,[-0.34730825 -1.0762521 ],[-0.7744547  -0.59023531],"[[  1.1606114   -0.54475377  -0.06618918   0.12346342]
 [ 18.07628321  -5.256394     0.           0.        ]]"
7,[-0.75049132 -0.49772748],-2.1333,"[-0.29438142  1.41059312  1.39987544 -0.72768901 -0.57035404  1.05959218
  0.86358277 -0.80977057  0.924129    0.64865321  0.        ]",-0.160095797349,[-0.46267858 -0.239273  ],[-0.27230049  0.53029235],"[[  1.48782069  -0.67226733  -0.06618918   0.12346342]
 [ 14.65602144  -7.48756487   0.           0.        ]]"
8,[-0.75049132 -0.49772748],-1.68821,"[-0.69714344  1.3028694   1.37597428 -0.98599398 -0.57035379  1.05959145
  0.82135976 -0.45321916  0.54652832  0.73757172  0.        ]",-0.127067815417,[-1.18688023 -0.64876091],[-0.61754422 -0.21644924],"[[  1.76721998  -0.79945357  -0.06618918   0.12346342]
 [ 13.2884463   -5.23856613   0.           0.        ]]"
9,[-0.75049132 -0.49772748],-1.39836,"[-1.02493688  1.19585555  1.2640773  -1.18781888 -0.57035354  1.05959071
  0.73782655 -0.57244315  0.226988    0.73503704  0.        ]",-0.0988547055592,[-1.48888898 -0.13144946],[-1.09602378  0.16614424],"[[  2.00584305  -0.91176981  -0.06618918   0.12346342]
 [ 10.58284484  -5.99059015   0.           0.        ]]"
10,[-0.75049132 -0.49772748],-1.32054,"[-1.23820959  1.07943314  1.13647697 -1.36188601 -0.57035329  1.05958998
  0.60920552 -0.4491087   0.0377191   0.67850103  0.        ]",-0.0802287354341,[-1.25157094  0.14827159],[-1.76941761  0.52334174],"[[ 2.17570189 -1.02377563 -0.06618918  0.12346342]
 [ 6.41686101 -5.21264169  0.          0.        ]]"
11,[-0.75049132 -0.49772748],-1.28183,"[-1.33902488  0.98842721  1.05662174 -1.4713324  -0.57035305  1.05958924
  0.4831083  -0.10403212 -0.03126201  0.62813511  0.        ]",-0.0714997350924,[-0.80137587  0.03299263],[-0.13966087  0.08620122],"[[ 2.26306105 -1.10618936 -0.06618918  0.12346342]
 [ 2.3326208  -3.03602281  0.          0.        ]]"
12,[-0.75049132 -0.49772748],-1.34067,"[-1.38356968  0.92355768  1.01639986 -1.53699931 -0.5703528   1.05958851
  0.46461886 -0.04036299 -0.04479646  0.59446884  0.        ]",-0.0679919927246,[-0.70375752  0.07785729],[-0.2939519   1.17826876],"[[ 2.30370494 -1.16288039 -0.06618918  0.12346342]
 [ 1.73376012 -2.634421    0.          0.        ]]"
13,[-0.75049132 -0.49772748],-1.16955,"[-1.40770359  0.90910675  0.99317342 -1.55032633 -0.57035255  1.05958777
  0.42761711  0.59569973 -0.06967226  0.58379061  0.        ]",-0.0654181760812,[-0.63760269 -0.76161838],[ 0.01727429 -1.97495311],"[[ 2.32635554 -1.17531452 -0.06618918  0.12346342]
 [ 0.53529189  1.37763311  0.          0.        ]]"
14,[-0.75049132 -0.49772748],-1.25542,"[-1.4195485   0.89456327  0.98137838 -1.56327734 -0.57035231  1.05958704
  0.42943153 -0.03637158 -0.07618891  0.57552868  0.        ]",-0.0643300801304,[-0.58349562  0.1902062 ],[-0.83380397  0.04933378],"[[ 2.33765113 -1.18776348 -0.06618918  0.12346342]
 [ 0.59406557 -2.60924221  0.          0.        ]]"
