timestep,logstd_action_dist,avg_action_dist,obs,original_rewards,rewards,actions,human_obs
0,[-0.70324886 -0.55928731],[ 3.64975762  2.10007143],"[ 1.03767598  1.17142692 -0.39019568  1.36860983  1.63067725  1.13584698
  0.05591839  0.27418125 -0.5004109  -2.0009405   0.        ]",-0.138873903209,-3.01632,[ 3.98013777  1.86802528],"[[-0.07070163  0.08356584  0.18799116  0.13151088]
 [ 0.00304814 -0.00482279  0.          0.        ]]"
1,[-0.70324886 -0.55928731],[ 2.09644508  0.93213779],"[ 1.04050932  1.16635443 -0.32708046  1.47059071  1.63067535  1.13584615
  0.46483511  0.92944683 -0.50316886 -1.82073437  0.        ]",-0.126324793143,-2.96563,[ 2.51942304  1.11842688],"[[-0.03096608  0.12318276  0.18799116  0.13151088]
 [ 3.95735159  3.95332798  0.          0.        ]]"
2,[-0.70324886 -0.55928731],[-0.05440791 -0.97735333],"[ 1.03586371  1.13984681 -0.13951932  1.77075162  1.63067345  1.13584532
  0.86567788  1.57174044 -0.56493824 -1.29300732  0.        ]",-0.0887671861987,-2.67477,[-0.25471583  0.13905151],"[[ 0.08707189  0.24117664  0.18799116  0.13151088]
 [ 7.83358028  7.83312826  0.          0.        ]]"
3,[-0.70324886 -0.55928731],[-0.74934995 -2.14810562],"[ 1.00354679  1.07694008  0.08799134  2.16477585  1.63067155  1.1358445
  0.74546298  1.63727479 -0.75664122 -0.66758329  0.        ]",-0.0434067379671,-2.22667,[-0.41894123 -2.19797377],"[[ 0.23207967  0.40181119  0.18799116  0.13151088]
 [ 6.6710835   8.22900184  0.          0.        ]]"
4,[-0.70324886 -0.55928731],[-0.59030849 -2.17045879],"[ 0.95724262  1.00864378  0.26391876  2.44987806  1.63066965  1.13584367
  0.56060576  0.95489721 -0.98515761 -0.23870391  0.        ]",-0.0267389793582,-2.11359,[-0.76270939 -2.52071931],"[[ 0.34756632  0.52503468  0.18799116  0.13151088]
 [ 4.8834825   4.10708322  0.          0.        ]]"
5,[-0.70324886 -0.55928731],[ 0.3918995 -1.5542165],"[ 0.92258571  0.98184597  0.36200883  2.5419084   1.63066776  1.13584284
  0.23874049  0.28611156 -1.11405547 -0.04962249  0.        ]",-0.0352300309284,-2.07297,[ 0.21343385 -1.51931815],"[[ 0.41400772  0.56664351  0.18799116  0.13151088]
 [ 1.77098764  0.0672643   0.          0.        ]]"
6,[-0.70324886 -0.55928731],[ 0.19154316 -1.19570315],"[ 0.89677911  1.00664083  0.42480391  2.45704884  1.63066586  1.13584201
  0.32257951 -0.3696618  -1.13891246  0.01093015  0.        ]",-0.0377920626945,-2.08263,[-0.12196231 -1.27362199],"[[ 0.45756191  0.5282446   0.18799116  0.13151088]
 [ 2.5817271  -3.89395379  0.          0.        ]]"
7,[-0.70324886 -0.55928731],[ 0.65772694 -0.36217004],"[ 0.86673082  1.07222602  0.49008729  2.18758131  1.63066396  1.13584118
  0.26755122 -1.01237211 -1.09398978  0.00519442  0.        ]",-0.033602300623,-2.05147,[ 0.76146853 -0.32718901],"[[ 0.50385726  0.411413    0.18799116  0.13151088]
 [ 2.04959475 -7.77626614  0.          0.        ]]"
8,[-0.70324886 -0.55928731],[-0.65620565  0.09294151],"[ 0.81569647  1.13887441  0.58671482  1.77888328  1.63066206  1.13584036
  0.57491394 -1.20154579 -1.04626611 -0.00575009  0.        ]",-0.0291120732558,-2.06509,[-0.74167126 -0.05232125],"[[ 0.57467086  0.2444225   0.18799116  0.13151088]
 [ 5.02184781 -8.91898036  0.          0.        ]]"
9,[-0.70324886 -0.55928731],[ 0.38955358  1.36234331],"[ 0.75944034  1.17306894  0.67797852  1.32259778  1.63066016  1.13583953
  0.26123914 -1.20641784 -1.00036728 -0.04668093  0.        ]",-0.0246757738988,-2.03803,[  9.21634405e-04   1.50083589e+00],"[[ 0.64467384  0.06574753  0.18799116  0.13151088]
 [ 1.9885597  -8.94841582  0.          0.        ]]"
