timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.27047411 -0.13051337],"[ 1.03210725  2.03165279 -0.14649121  0.4871418  -1.60499222  0.27885619
 -0.55166154  0.34296461  2.63823523 -0.29596055  0.        ]",[-1.82129261 -1.9378786 ],-3.24695,-0.397667521381,"[[-0.01867316 -0.06135325 -0.18565757  0.03277637]
 [ 0.00397637 -0.00347749  0.          0.        ]]",[-0.93533862 -2.38570547]
1,[-0.27047411 -0.13051337],"[ 1.0299466   2.02731368 -0.20736893  0.37316064 -1.60498445  0.27885578
 -0.79708434 -0.20457195  2.62944594 -0.40226465  0.        ]",[-0.84384788 -1.68228984],-3.15329,-0.3980605657,"[[-0.05826957 -0.10113451 -0.18565757  0.03277637]
 [-3.95045973 -3.96146276  0.          0.        ]]",[-0.66025615 -2.18866563]
2,[-0.27047411 -0.13051337],"[ 1.0119297   2.0020608  -0.37804026  0.0380203  -1.60497668  0.27885538
 -0.99932185 -0.74130314  2.56995359 -0.70032205  0.        ]",[-0.48286623 -1.44123087],-3.00844,-0.396670332779,"[[-0.16997311 -0.21929189 -0.18565757  0.03277637]
 [-7.20908043 -7.84134331  0.          0.        ]]",[-0.1320266  -1.84180284]
3,[-0.27047411 -0.13051337],"[ 0.9550274   1.92079726 -0.61909756 -0.49381036 -1.60496891  0.27885497
 -1.1089544  -1.26747785  2.3864222  -1.10970687  0.        ]",[-0.42167215 -1.61980594],-2.82078,-0.387183385684,"[[ -0.33187783  -0.4142815   -0.18565757   0.03277637]
 [ -8.97560265 -11.64493294   0.           0.        ]]",[ 0.35570696 -1.48877549]
4,[-0.27047411 -0.13051337],"[ 0.84056431  1.73224896 -0.89076023 -1.15451154 -1.60496115  0.27885456
 -1.20144541 -1.78323069  2.01874102 -1.49673714  0.        ]",[ 1.85041286  0.62776491],-2.49658,-0.362240826736,"[[ -0.52634093  -0.68458756  -0.18565757   0.03277637]
 [-10.46594016 -15.37322974   0.           0.        ]]",[ 0.88845646 -1.0503459 ]
5,[-0.27047411 -0.13051337],"[ 0.70467922  1.45826442 -1.10182956 -1.69832694 -1.60495338  0.27885416
 -0.94318393 -1.39740987  1.5938624  -1.66816071  0.        ]",[-0.3900324  -1.58079931],-2.34692,-0.32641924108,"[[ -0.69391036  -0.96406977  -0.18565757   0.03277637]
 [ -6.30470476 -12.58427796   0.           0.        ]]",[ 0.9698087 -0.9057638]
6,[-0.27047411 -0.13051337],"[ 0.56722043  1.1130248  -1.25760191 -2.06744501 -1.60494561  0.27885375
 -1.03125861 -1.91060975  1.1945208  -1.63610809  0.        ]",[ 1.10715728  0.75453751],-1.91075,-0.283585041933,"[[ -0.834241    -1.25297772  -0.18565757   0.03277637]
 [ -7.72386649 -16.29414983   0.           0.        ]]",[ 1.15748644 -0.63198483]
7,[-0.27047411 -0.13051337],"[ 0.44248672  0.728036   -1.36711471 -2.21049287 -1.60493784  0.27885334
 -0.77631239 -1.4527741   0.88515511 -1.44985525  0.        ]",[ 1.47712691  0.50931026],-1.6683,-0.23872874802,"[[ -0.94750612  -1.54565517  -0.18565757   0.03277637]
 [ -3.61603716 -12.98461046   0.           0.        ]]",[ 0.93898249 -0.66070992]
8,[-0.27047411 -0.13051337],"[ 0.40536286  0.41278567 -1.39512555 -2.1471782  -1.60493008  0.27885293
 -0.52630896 -1.13831341  0.75960101 -1.24893694  0.        ]",[ 0.58225273  0.29412867],-1.49632,-0.209516371232,"[[ -0.97941276  -1.7825405   -0.18565757   0.03277637]
 [  0.41216098 -10.71147199   0.           0.        ]]",[ 0.65317655 -0.75427574]
9,[-0.27047411 -0.13051337],"[ 0.44176334  0.15765967 -1.36766719 -1.97062439 -1.60492231  0.27885253
 -0.38380897 -0.94789616  0.73880921 -1.08411423  0.        ]",[-1.07863156  0.55412109],-1.42692,-0.193321305952,"[[-0.9481336  -1.98295963 -0.18565757  0.03277637]
 [ 2.7081988  -9.33500661  0.          0.        ]]",[ 0.44542626 -0.82148325]
10,[-0.27047411 -0.13051337],"[ 0.45768937 -0.03424152 -1.3550618  -1.74908327 -1.60491454  0.27885212
 -0.63282877 -0.61876797  0.73078855 -0.94061133  0.        ]",[ 1.95536062  1.27712227],-1.27406,-0.180829876154,"[[-0.9342266  -2.14578837 -0.18565757  0.03277637]
 [-1.30417596 -6.95582232  0.          0.        ]]",[ 0.57790852 -0.70487189]
11,[-0.27047411 -0.13051337],"[ 0.47343338 -0.14076185 -1.34223302 -1.58451696 -1.60490678  0.27885171
 -0.38555797 -0.05198632  0.73759546 -0.85565004  0.        ]",[-0.21255368 -2.51224653],-1.46662,-0.175024859465,"[[-0.92033655 -2.24379711 -0.18565757  0.03277637]
 [ 2.6799857  -2.85869103  0.          0.        ]]",[ 0.33721688 -0.84724951]
12,[-0.27047411 -0.13051337],"[ 0.52288264 -0.23765547 -1.29944182 -1.40173045 -1.60489901  0.27885131
 -0.44106566 -0.59190502  0.76522627 -0.78440396  0.        ]",[-0.076781    0.35872895],-1.29323,-0.172879583049,"[[-0.87571016 -2.34013044 -0.18565757  0.03277637]
 [ 1.78560306 -6.76163942  0.          0.        ]]",[ 0.30812448 -0.81114817]
13,[-0.27047411 -0.13051337],"[ 0.55755867 -0.34586409 -1.26698907 -1.1482754  -1.60489124  0.2788509
 -0.46212772 -0.37688847  0.79146842 -0.68626951  0.        ]",[ 1.95939755  0.89549586],-1.20675,-0.169336349157,"[[-0.84340325 -2.45976845 -0.18565757  0.03277637]
 [ 1.44622732 -5.20734283  0.          0.        ]]",[ 0.25832441 -0.81766045]
14,[-0.27047411 -0.13051337],"[ 0.62764689 -0.40047176 -1.19441636 -0.99351303 -1.60488348  0.27885049
 -0.21819518  0.12789231  0.82764474 -0.64727364  0.        ]",[ 0.41366766 -1.38145721],-1.35586,-0.171188798187,"[[-0.77504436 -2.52730456 -0.18565757  0.03277637]
 [ 5.37659265 -1.55841191  0.          0.        ]]",[ 0.08813429 -0.93339336]
