timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.34367895 -0.19805799],"[[-0.07407872 -0.07892641 -0.0693698  -0.15101575]
 [-0.00097924  0.00358817  0.          0.        ]]",[-1.80257968 -4.63764247],"[  1.15150082e+00   1.82950439e+00  -2.73242318e-01   4.27659465e-01
  -5.90486012e-01  -1.29021291e+00   5.83725994e-04   3.57224593e-01
   1.84630810e+00   1.06562187e+00   0.00000000e+00]",-1.48699,-0.305400555653,[-1.58623219 -3.29079103]
1,[-0.34367895 -0.19805799],"[[-0.11377329 -0.11856778 -0.0693698  -0.15101575]
 [-3.95532219 -3.95453787  0.          0.        ]]",[-1.66990792 -2.91732649],"[ 1.14629412  1.82457601 -0.33238634  0.30994148 -0.5904853  -1.29020983
 -0.09958199 -0.20389488  1.83030823  0.94977385  0.        ]",-1.42036,-0.29853299155,[-1.28601635 -2.97045088]
2,[-0.34367895 -0.19805799],"[[-0.23177104 -0.23658561 -0.0693698  -0.15101575]
 [-7.83158691 -7.83431425  0.          0.        ]]",[-1.78559408 -2.56832514],"[ 1.11794874  1.79833071 -0.50626068 -0.03651967 -0.59048459 -1.29020676
 -0.19776993 -0.7539068   1.74479958  0.6168966   0.        ]",-1.28609,-0.27621058787,[-0.84698284 -2.50159025]
3,[-0.34367895 -0.19805799],"[[ -0.4265286   -0.43142797  -0.0693698   -0.15101575]
 [-11.63163894 -11.63723059   0.           0.        ]]",[-0.37032638 -2.68667499],"[ 1.03007575  1.71801132 -0.78166622 -0.58498524 -0.59048388 -1.29020369
 -0.29402734 -1.29302091  1.49024223  0.13570428  0.        ]",-0.839494,-0.23385077837,[-0.22602566 -1.966717  ]
4,[-0.34367895 -0.19805799],"[[ -0.67154905  -0.70158122  -0.0693698   -0.15101575]
 [-12.8665043  -15.36563972   0.           0.        ]]",[ 0.42114534 -1.81376226],"[ 0.85175826  1.53597392 -1.09370241 -1.26318947 -0.59048317 -1.29020062
 -0.32530696 -1.8215683   0.99607906 -0.28559053  0.        ]",-0.199089,-0.170330078615,[ 0.54652476 -1.46345997]
5,[-0.34367895 -0.19805799],"[[ -0.90961734  -1.04557115  -0.0693698   -0.15101575]
 [-10.94691315 -19.02115209   0.           0.        ]]",[ 0.16972057 -2.53083042],"[ 0.61575544  1.20550409 -1.34374903 -1.91908616 -0.59048245 -1.29019755
 -0.27668217 -2.33977398  0.37156245 -0.3858209   0.        ]",0.292016,-0.0943814149921,[ 0.60958487 -1.52535665]
6,[-0.34367895 -0.19805799],"[[ -1.11966896  -1.46194141  -0.0693698   -0.15101575]
 [-10.06143802 -22.60392259   0.           0.        ]]",[-0.66910342 -1.4533335 ],"[ 0.3668121   0.71087844 -1.50940838 -2.30365985 -0.59048174 -1.29019448
 -0.25425224 -2.84765582 -0.17479507 -0.08508567  0.        ]",0.342533,-0.0199379800236,[-0.02102917 -1.85557652]
7,[-0.34367895 -0.19805799],"[[ -1.34551029  -1.94924858  -0.0693698   -0.15101575]
 [-12.5148804  -26.11510284   0.           0.        ]]",[-0.20946545 -3.17508668],"[ 0.06959809  0.1087632  -1.62131605 -2.11013793 -0.59048103 -1.29019141
 -0.31639936 -3.34537238 -0.46281088  0.54215434  0.        ]",-0.152543,-0.0723491872615,[-0.83463681 -2.13698626]
8,[-0.34367895 -0.19805799],"[[ -1.60169228  -2.50608475  -0.0693698   -0.15101575]
 [-13.10125003 -29.55708446   0.           0.        ]]",[-2.26682296 -1.43198979],"[-0.28588709 -0.43940832 -1.6584169  -1.10845946 -0.59048032 -1.29018834
 -0.3312522  -3.83325743 -0.30025615  1.20186466  0.        ]",-0.336857,-0.141611581745,[-1.21667707 -2.05360889]
9,[-0.34367895 -0.19805799],"[[ -1.90087136  -3.13108038  -0.0693698   -0.15101575]
 [-16.80341229 -26.63217124   0.           0.        ]]",[-1.60738306 -1.3756    ],"[-0.69582065 -0.68519716 -1.57833273  0.63159423 -0.59047961 -1.29018527
 -0.4250303  -3.41858511  0.23048976  1.38043735  0.        ]",-0.495449,-0.176026817508,[-1.26837397 -1.73265493]
10,[-0.34367895 -0.19805799],"[[ -2.27330899  -3.29257621  -0.0693698   -0.15101575]
 [-20.42868283   2.28789014   0.           0.        ]]",[-0.13271161  0.14595248],"[-1.14601687 -0.67093921 -1.30474213  1.11182988 -0.5904789  -1.29018219
 -0.5168606   0.68106184  0.36423796  1.2421372   0.        ]",-0.426939,-0.170699375197,[-1.23332119 -0.75474632]
11,[-0.34367895 -0.19805799],"[[ -2.68309564  -3.19783412  -0.0693698   -0.15101575]
 [-20.54964666   5.5586594    0.           0.        ]]",[-1.20399487  0.45735477],"[-1.49633273 -0.68327381 -0.82487723  0.83071347 -0.59047819 -1.29017912
 -0.51992412  1.14471716  0.30475206  1.27664698  0.        ]",-0.346453,-0.170152268347,[-1.26643205 -0.81369627]
12,[-0.34367895 -0.19805799],"[[ -3.12973125  -3.0695973   -0.0693698   -0.15101575]
 [-24.10205245   7.25940342   0.           0.        ]]",[-1.83021339 -1.27490075],"[-1.64061914 -0.68200173 -0.18020033  0.44829271 -0.59047747 -1.29017605
 -0.60990865  1.38580753  0.28905031  1.36373085  0.        ]",-0.349941,-0.177578033265,[-1.31368113 -1.01932144]
13,[-0.34367895 -0.19805799],"[[ -3.6467105   -2.96557741  -0.0693698   -0.15101575]
 [-27.58425648   3.15632892   0.           0.        ]]",[-1.6597509  -1.31807196],"[-1.46612425 -0.66580558  0.56180802  0.14039067 -0.59047676 -1.29017298
 -0.69811479  0.80416339  0.34360166  1.40831715  0.        ]",-0.461672,-0.185033948605,[-1.43854856 -1.28584874]
14,[-0.34367895 -0.19805799],"[[ -4.23264233  -2.94280026  -0.0693698   -0.15101575]
 [-30.99757864  -0.86516825   0.           0.        ]]",[-0.85694972 -2.44481482],"[-0.88795139 -0.66046074  1.16526718  0.07360872 -0.59047605 -1.29016991
 -0.78457593  0.23408426  0.39296821  1.31790323  0.        ]",-0.505818,-0.179601330036,[-1.47384024 -1.52828181]
