timestep,obs,logstd_action_dist,actions,rewards,original_rewards,human_obs,avg_action_dist
0,"[ 1.3274215   2.10234651  0.28128028 -1.0545751   0.8037055  -1.48767774
 -0.72501451 -0.40409043  0.50423678  1.67243594  0.        ]",[-0.78157789 -0.61503828],[-1.48584392  0.32146771],-4.31959,-0.189610412075,"[[-0.09026993 -0.01531353  0.09289906 -0.17053153]
 [-0.00075073 -0.00496947  0.          0.        ]]",[-1.96533966  1.22744155]
1,"[ 1.32106917  2.10250456  0.22203827 -1.01978372  0.80370512 -1.48767635
 -0.82945643 -0.20117906  0.49826609  1.60278178  0.        ]",[-0.78157789 -0.61503828],[-1.81087504  0.10224041],-4.29842,-0.183710537713,"[[ -1.29980261e-01  -2.62526951e-03   9.28990586e-02  -1.70531528e-01]
 [ -3.95710767e+00   1.26954295e+00   0.00000000e+00   0.00000000e+00]]",[-1.65297997  1.17948925]
2,"[ 1.28880762  2.10200493  0.04809843 -0.93967988  0.80370474 -1.48767496
 -0.93182335 -0.14048975  0.46848447  1.3885903   0.        ]",[-0.78157789 -0.61503828],[-1.03361055  2.17332385],-4.54261,-0.16505011697,"[[-0.2480291   0.02659033  0.09289906 -0.17053153]
 [-7.83486521  1.65074009  0.          0.        ]]",[-1.30310524  1.23387825]
3,"[ 1.19293194  2.09555766 -0.22666345 -0.74150618  0.80370435 -1.48767358
 -1.03220211  0.48493188  0.39024909  1.0731126   0.        ]",[-0.78157789 -0.61503828],[-0.0367923   1.44192428],-4.03781,-0.135688880306,"[[ -0.44287749   0.09901973   0.09289906  -0.17053153]
 [-11.63731423   5.57909402   0.           0.        ]]",[-0.61062968  0.85651672]
4,"[ 1.01437832  2.05869582 -0.52115679 -0.33625134  0.80370397 -1.48767219
 -1.0300086   1.09771999  0.27190753  0.79075675  0.        ]",[-0.78157789 -0.61503828],[ 0.37768982 -1.13591258],-2.97917,-0.105890128306,"[[ -0.67479024   0.24922006   0.09289906  -0.17053153]
 [-11.55424539   9.42809766   0.           0.        ]]",[ 0.02560819  0.21584103]
5,"[ 0.79560324  1.99267769 -0.74847711  0.04556531  0.80370359 -1.4876708
 -0.9844945   0.43747979  0.13355054  0.5712318   0.        ]",[-0.78157789 -0.61503828],[ 0.10469123  0.64881596],-2.90625,-0.0785759104849,"[[-0.88857682  0.39617328  0.09289906 -0.17053153]
 [-9.83015729  5.28104656  0.          0.        ]]",[ 0.15162781  0.54023445]
6,"[ 0.56509678  1.91046635 -0.90661262  0.36538829  0.8037032  -1.48766941
 -0.9684554   0.82978086 -0.01126266  0.40686664  0.        ]",[-0.78157789 -0.61503828],[ 0.68047671 -0.07719001],-2.45293,-0.0539051880439,"[[-1.07908422  0.52651729  0.09289906 -0.17053153]
 [-9.22260445  7.74514111  0.          0.        ]]",[ 0.64012724 -0.10635349]
7,"[ 0.35795543  1.78997173 -1.0004604   0.7048012   0.80370282 -1.48766803
 -0.89257121  0.75652433 -0.12128265  0.33868015  0.        ]",[-0.78157789 -0.61503828],[ 1.48340017 -0.67274159],-2.08457,-0.0378911393093,"[[-1.23469553  0.67680322  0.09289906 -0.17053153]
 [-6.34807006  7.28500988  0.          0.        ]]",[ 0.75726038 -0.37454471]
8,"[ 0.2381698   1.67823704 -1.03774443  0.94358218  0.80370243 -1.48766664
 -0.78479104  0.30924505 -0.17002103  0.34358804  0.        ]",[-0.78157789 -0.61503828],[ 0.04251789 -0.10230995],-2.10899,-0.0326268408461,"[[-1.32069346  0.79431531  0.09289906 -0.17053153]
 [-2.26528765  4.47559421  0.          0.        ]]",[ 0.50825572 -0.15963069]
9,"[ 0.17698336  1.58926114 -1.05242109  1.0988835   0.80370205 -1.48766525
 -0.77916283  0.23062923 -0.18512852  0.37395428  0.        ]",[-0.78157789 -0.61503828],[ 0.96797403  0.49796468],-2.09326,-0.0328687376431,"[[-1.36386023  0.87887277  0.09289906 -0.17053153]
 [-2.05210075  3.98179909  0.          0.        ]]",[ 0.51857668 -0.26264694]
10,"[ 0.17382886  1.47737412 -1.05309971  1.26087436  0.80370167 -1.48766386
 -0.67700091  0.53180653 -0.15286242  0.47049405  0.        ]",[-0.78157789 -0.61503828],[-0.22667856 -0.926299  ],-1.94336,-0.0425618397303,"[[-1.3660744   0.97748897  0.09289906 -0.17053153]
 [ 1.81786028  5.87353108  0.          0.        ]]",[ 0.28956294 -0.83045626]
11,"[ 0.21220505  1.38150584 -1.04432185  1.37545649  0.80370128 -1.48766248
 -0.70159582 -0.07060016 -0.10372937  0.58816501  0.        ]",[-0.78157789 -0.61503828],[-0.75485131 -0.29669178],-2.10773,-0.0555861501244,"[[-1.33906461  1.05699562  0.09289906 -0.17053153]
 [ 0.88617475  2.08974304  0.          0.        ]]",[-0.0143105  -0.32765636]
12,"[ 0.19459243  1.34465442 -1.04848876  1.41429717  0.8037009  -1.48766109
 -0.78089617 -0.26408946 -0.10901662  0.60374578  0.        ]",[-0.78157789 -0.61503828],[-0.60332491  0.63883472],-2.22442,-0.0563394936281,"[[-1.35148072  1.08659676  0.09289906 -0.17053153]
 [-2.11779604  0.87441362  0.          0.        ]]",[ 0.11676216 -0.14372155]
13,"[ 0.10036789  1.29048602 -1.06681208  1.46657154  0.80370051 -1.4876597
 -0.8428286   0.13596634 -0.1632722   0.56659905  0.        ]",[-0.78157789 -0.61503828],[ 0.91659573 -1.87422213],-1.91947,-0.0491142166645,"[[-1.41737529  1.1292969   0.09289906 -0.17053153]
 [-4.46385877  3.38721041  0.          0.        ]]",[ 0.51550442 -0.70975137]
14,"[ 0.02532194  1.2552252  -1.07672786  1.49766617  0.80370013 -1.48765832
 -0.74472554 -0.5052643  -0.20837387  0.53375235  0.        ]",[-0.78157789 -0.61503828],[ 0.45622463  0.16030246],-2.2061,-0.0431644972936,"[[-1.46936678  1.15663025  0.09289906 -0.17053153]
 [-0.74765417 -0.64043308  0.          0.        ]]",[ 0.18856661  0.02175359]
15,"[ 0.03010808  1.26341293 -1.07621653  1.49064316  0.80369975 -1.48765693
 -0.69668346 -0.40226681 -0.20665756  0.53090167  0.        ]",[-0.78157789 -0.61503828],[ 0.01397412 -0.25672219],-2.1536,-0.0430376660124,"[[-1.46606066  1.15031252  0.09289906 -0.17053153]
 [ 1.07220398  0.00650481  0.          0.        ]]",[ 0.09638357 -0.10248101]
16,"[ 0.0616067   1.27641667 -1.07244259  1.47924303  0.80369936 -1.48765554
 -0.69577656 -0.56412593 -0.18730035  0.54585778  0.        ]",[-0.78157789 -0.61503828],[-0.40903824 -0.16023097],-2.21767,-0.0456451411978,"[[-1.44427199  1.14024217  0.09289906 -0.17053153]
 [ 1.10654648 -1.01015153  0.          0.        ]]",[ 0.00847455  0.12073687]
17,"[ 0.06979544  1.31017378 -1.07134325  1.44820663  0.80369898 -1.48765415
 -0.73907612 -0.66188191 -0.18836095  0.52474043  0.        ]",[-0.78157789 -0.61503828],[ 0.53064559  0.22792706],-2.25783,-0.0438223621656,"[[-1.43859807  1.11387849  0.09289906 -0.17053153]
 [-0.53368495 -1.62416929  0.          0.        ]]",[ 0.10972577  0.30874923]
18,"[ 0.08492764  1.33940957 -1.06918386  1.41959126  0.80369859 -1.48765277
 -0.68337532 -0.51316887 -0.1839246   0.51291098  0.        ]",[-0.78157789 -0.61503828],[-0.08620171  0.80494957],-2.26638,-0.0431954589611,"[[-1.42810167  1.09076707  0.09289906 -0.17053153]
 [ 1.57629057 -0.69008777  0.          0.        ]]",[ 0.01517614  0.1611975 ]
19,"[ 0.12486542  1.31626711 -1.06268011  1.44237345  0.80369821 -1.48765138
 -0.69322485 -0.00354151 -0.15129694  0.56599887  0.        ]",[-0.78157789 -0.61503828],[-0.04847203  0.05809517],-2.09837,-0.0499808275813,"[[-1.40031961  1.10908223  0.09289906 -0.17053153]
 [ 1.20317216  2.51093615  0.          0.        ]]",[ 0.09238662 -0.51878643]
20,"[ 0.15621509  1.24939811 -1.05674816  1.502577    0.80369783 -1.48764999
 -0.69891609  0.02517532 -0.11952562  0.64949213  0.        ]",[-0.78157789 -0.61503828],[-0.15972889 -0.75161803],-2.04027,-0.0591522967232,"[[-1.37841934  1.1611107   0.09289906 -0.17053153]
 [ 0.98757235  2.69130961  0.          0.        ]]",[-0.00750397 -0.67265832]
21,"[ 0.1750784   1.21877036 -1.05282427  1.527477    0.80369744 -1.4876486
 -0.71609577 -0.45709905 -0.10368668  0.69207393  0.        ]",[-0.78157789 -0.61503828],[-0.75275702 -0.1485269 ],-2.2214,-0.0638138615825,"[[-1.36519733  1.18454378  0.09289906 -0.17053153]
 [ 0.33678202 -0.3379065   0.          0.        ]]",[-0.17129785 -0.13038072]
22,"[ 0.14192586  1.2352543  -1.05954113  1.51427545  0.80369706 -1.48764722
 -0.79489856 -0.54954535 -0.12678891  0.64855809  0.        ]",[-0.78157789 -0.61503828],[ 0.53819438  0.01187118],-2.22221,-0.0585350486607,"[[-1.38841236  1.1719597   0.09289906 -0.17053153]
 [-2.64833724 -0.91857242  0.          0.        ]]",[ 0.07071388  0.03093469]
23,"[ 0.09733046  1.25832178 -1.06728646  1.49500515  0.80369667 -1.48764583
 -0.73729683 -0.53925736 -0.15967738  0.5906623   0.        ]",[-0.78157789 -0.61503828],[ 0.08407732  0.6660656 ],-2.27222,-0.0513548438981,"[[-1.41948657  1.15423654  0.09289906 -0.17053153]
 [-0.46635598 -0.85395381  0.          0.        ]]",[ 0.03419885  0.05803967]
24,"[ 0.08883289  1.24591122 -1.06859564  1.50548597  0.80369629 -1.48764444
 -0.72828853 -0.11669391 -0.16329907  0.59369161  0.        ]",[-0.78157789 -0.61503828],[-0.35458147  0.30168915],-2.15536,-0.0513440602539,"[[-1.42539009  1.16378754  0.09289906 -0.17053153]
 [-0.12512764  1.80020895  0.          0.        ]]",[ 0.13218552 -0.49644342]
25,"[ 0.06496111  1.18327553 -1.07199244  1.55431658  0.80369591 -1.48764305
 -0.76526932  0.06787167 -0.16940019  0.62491213  0.        ]",[-0.78157789 -0.61503828],[ 0.58555493 -0.783929  ],-2.0158,-0.0535550003003,"[[-1.44194797  1.21142315  0.09289906 -0.17053153]
 [-1.5259986   2.95948347  0.          0.        ]]",[ 0.25901783 -0.81547356]
26,"[ 0.05490876  1.14665553 -1.07329839  1.57981816  0.80369552 -1.48764167
 -0.70328449 -0.43573477 -0.17091106  0.64625156  0.        ]",[-0.78157789 -0.61503828],[-0.27698062 -0.25500119],-2.19108,-0.0552914727591,"[[-1.44890957  1.23887534  0.09289906 -0.17053153]
 [ 0.82201741 -0.20371768  0.          0.        ]]",[-0.05395532 -0.25636098]
27,"[ 0.06253793  1.16559081 -1.07231277  1.56690297  0.80369514 -1.48764028
 -0.73264048 -0.59580169 -0.1685059   0.63728177  0.        ]",[-0.78157789 -0.61503828],[ 0.40095132 -0.1292145 ],-2.23765,-0.0546741159771,"[[-1.44362665  1.22471351  0.09289906 -0.17053153]
 [-0.29001958 -1.20911457  0.          0.        ]]",[-0.01565363 -0.01686406]
28,"[ 0.07721991  1.20416621 -1.07029763  1.53876626  0.80369475 -1.48763889
 -0.69060238 -0.67350988 -0.16444591  0.61816237  0.        ]",[-0.78157789 -0.61503828],[ 0.12315467  0.66628097],-2.32125,-0.0533165889422,"[[-1.43344975  1.19563402  0.09289906 -0.17053153]
 [ 1.30240074 -1.6972087   0.          0.        ]]",[-0.1266443   0.14073867]
29,"[ 0.12133882  1.21356908 -1.063295    1.53152744  0.80369437 -1.48763751
 -0.67843559 -0.24815811 -0.13711991  0.64835015  0.        ]",[-0.78157789 -0.61503828],[ 0.58516044  0.32532651],-2.18142,-0.0577667597433,"[[-1.40277768  1.18849562  0.09289906 -0.17053153]
 [ 1.76327599  0.97446444  0.          0.        ]]",[-0.11673899 -0.39806709]
30,"[ 0.20431194  1.17092434 -1.04620637  1.56315371  0.80369399 -1.48763612
 -0.61823803 -0.0462406  -0.08134144  0.75878548  0.        ]",[-0.78157789 -0.61503828],[ 0.22486289 -1.8010902 ],-2.01169,-0.0709505653449,"[[-1.34463328  1.22070985  0.09289906 -0.17053153]
 [ 4.04358972  2.24272647  0.          0.        ]]",[-0.38383523 -0.73955762]
31,"[ 0.32909465  1.16468738 -1.01049562  1.56752389  0.8036936  -1.48763473
 -0.59683451 -0.68375201 -0.01046766  0.88660454  0.        ]",[-0.78157789 -0.61503828],[-0.86420814 -0.51525068],-2.33649,-0.0866704675227,"[[-1.25562649  1.22538829  0.09289906 -0.17053153]
 [ 4.85436018 -1.76154093  0.          0.        ]]",[-0.83787596  0.01528636]
32,"[ 0.41371597  1.23774538 -0.97902432  1.51221773  0.80369322 -1.48763334
 -0.68963154 -1.00287943  0.03367951  0.91499316  0.        ]",[-0.78157789 -0.61503828],[-0.0428476   0.44108369],-2.49762,-0.0923032958567,"[[-1.19380886  1.17004578  0.09289906 -0.17053153]
 [ 1.33913769 -3.76601188  0.          0.        ]]",[-0.81191391  0.55767381]
33,"[ 0.44712185  1.31128013 -0.96488582  1.44711688  0.80369283 -1.48763196
 -0.6948188  -0.71294301  0.04996475  0.88867716  0.        ]",[-0.78157789 -0.61503828],[-0.61511256 -0.39660102],-2.34684,-0.0915031649178,"[[-1.16899769  1.11299737  0.09289906 -0.17053153]
 [ 1.14262948 -1.94489781  0.          0.        ]]",[-0.7361865   0.31317872]
34,"[ 0.44472342  1.3793335  -0.9659337   1.37776736  0.80369245 -1.48763057
 -0.75965453 -0.95672293  0.04481215  0.82594567  0.        ]",[-0.78157789 -0.61503828],[-1.16751223  2.60964088],-2.73866,-0.0862386193042,"[[-1.17078746  1.0587363   0.09289906 -0.17053153]
 [-1.31340246 -3.47610392  0.          0.        ]]",[-0.59645146  0.76204658]
