timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 0.98469881  1.4669818   0.48263506 -1.16937311  0.49311913  1.704335
  0.47422297 -0.38153035  0.81325031 -2.30009672  0.        ]","[[ -3.11305077e-02   6.88498925e-02   5.74009383e-02   1.96577175e-01]
 [  4.39837879e-05  -2.10722298e-04   0.00000000e+00   0.00000000e+00]]",[ 1.21199768  2.28782443],-3.44108,-0.2479603401,[-0.74666893 -0.8275848 ],[ 1.98109627  2.11228371]
1,"[ 0.9853389   1.4623426   0.55257281 -1.06578318  0.4931188   1.7043315
  0.65774895  0.36825612  0.80671496 -2.14062359  0.        ]","[[ 0.00854552  0.10855813  0.05740094  0.19657717]
 [ 3.95440254  3.95784793  0.          0.        ]]",[ 1.08944504  0.92291978],-3.27914,-0.237696742604,[-0.74666893 -0.8275848 ],[ 1.53133273  1.35076237]
2,"[ 0.97395066  1.43728965  0.75997265 -0.76882583  0.49311848  1.704328
  0.837656    1.04538429  0.73705696 -1.67927439  0.        ]","[[ 0.12652615  0.22357928  0.05740094  0.19657717]
 [ 7.83078989  7.53235306  0.          0.        ]]",[ 0.58553885  0.40439156],-3.0214,-0.206025207057,[-0.74666893 -0.8275848 ],[ 0.70144492  0.53502131]
3,"[ 0.91941676  1.37171839  1.0666168  -0.35670607  0.49311816  1.70432451
  0.93795959  1.32028315  0.50307211 -1.04985231  0.        ]","[[ 0.30482548  0.38878658  0.05740094  0.19657717]
 [ 9.99200306  8.98352969  0.          0.        ]]",[ 0.78767694  0.2590541 ],-2.60611,-0.155842241693,[-0.74666893 -0.8275848 ],[-0.22616626 -0.19607735]
4,"[ 0.78619124  1.25671429  1.43473861  0.07914589  0.49311784  1.70432101
  1.07342213  1.48064776  0.0355178  -0.43131845  0.        ]","[[  0.53394956   0.57695129   0.05740094   0.19657717]
 [ 12.9107752    9.83009356   0.           0.        ]]",[-1.39042935 -1.71801725],-1.85532,-0.090702158098,[-0.74666893 -0.8275848 ],[-1.21655846 -1.25127923]
5,"[ 0.60148871  1.1325191   1.73911048  0.40078843  0.49311751  1.70431751
  0.87804837  0.6939189  -0.5035612  -0.07548171  0.        ]","[[ 0.74993006  0.73188391  0.05740094  0.19657717]
 [ 8.70116823  5.67702071  0.          0.        ]]",[-1.71068622 -1.12333302],-1.76154,-0.031746419933,[-0.74666893 -0.8275848 ],[-1.17608333 -1.39087033]
6,"[ 0.46331922  1.06594295  1.89913238  0.53768876  0.49311719  1.70431402
  0.68651011 -0.07721906 -0.83759274  0.03491053  0.        ]","[[ 0.88254712  0.8045808   0.05740094  0.19657717]
 [ 4.57419752  1.60624895  0.          0.        ]]",[-1.33303594 -0.91086075],-1.85996,-0.012082139588,[-0.74666893 -0.8275848 ],[-1.08536625 -1.02950764]
7,"[ 0.40591588  1.0700818   1.95432906  0.52973742  0.49311687  1.70431052
  0.4987429  -0.76621638 -0.93177489  0.06536648  0.        ]","[[ 0.93343924  0.8002129   0.05740094  0.19657717]
 [ 0.52847639 -2.03091066  0.          0.        ]]",[-1.0559094  -0.04190107],-2.03626,-0.0175013326103,[-0.74666893 -0.8275848 ],[-0.72677839 -0.16608536]
8,"[ 0.43916474  1.10886309  1.92305839  0.45173013  0.49311655  1.70430702
  0.31464072 -0.78978557 -0.82719247  0.0555415   0.        ]","[[ 0.90420896  0.75834636  0.05740094  0.19657717]
 [-3.43827782 -2.15533387  0.          0.        ]]",[-0.00876648  0.82224195],-2.08309,-0.0101626118951,[-0.74666893 -0.8275848 ],[-0.19135977  0.1589542 ]
9,"[ 0.51401053  1.11789126  1.84526383  0.43260007  0.49311623  1.70430353
  0.31613765 -0.16496617 -0.68349899  0.005679    0.        ]","[[ 0.83576715  0.74833326  0.05740094  0.19657717]
 [-3.40602026  1.14303093  0.          0.        ]]",[ 0.05122271 -0.95100946],-1.7963,-0.0148698326219,[-0.74666893 -0.8275848 ],[-0.07030453 -0.42782211]
