timestep,avg_action_dist,rewards,obs,actions,human_obs,logstd_action_dist,original_rewards
0,[ 0.07441657 -0.22319545],-1.09267,"[ 1.03845202  1.20571058 -0.1627517   0.2381696   1.16240918  1.75436275
 -0.22563047  0.12699895  0.15574687 -1.49445765  0.        ]",[-0.12326711  0.55444933],"[[-0.08840327  0.00198852  0.13408223  0.19447075]
 [ 0.00194893  0.0024622   0.          0.        ]]",[-0.07612995 -0.08089751],-0.225662465793
1,[ 0.07383323 -0.22312063],-1.07798,"[ 1.03780904  1.20531283 -0.17020525  0.27608638  1.16237355  1.75426949
 -0.27164726  0.42164879  0.15637511 -1.48475238  0.        ]",[ 0.94651226 -1.37739444],"[[-0.09326577  0.02406625  0.13408223  0.19447075]
 [-0.48656991  2.19799345  0.          0.        ]]",[-0.07612995 -0.08089751],-0.224374396056
2,[ 0.07459426 -0.22274175],-1.07715,"[ 1.04086674  1.20515174 -0.12730816  0.2825748   1.16233793  1.75417625
  0.08213684 -0.11579657  0.15886474 -1.44160134  0.        ]",[-0.61477994 -1.15508618],"[[-0.06531744  0.02784702  0.13408223  0.19447075]
 [ 3.26889315 -1.80656617  0.          0.        ]]",[-0.07612995 -0.08089751],-0.218617756383
3,[ 0.07453508 -0.22415727],-1.09492,"[ 1.04337633  1.20418024 -0.06525715  0.15293078  1.1623023   1.75408302
 -0.1529193  -0.64227276  0.15867732 -1.44033893  0.        ]",[-0.16370415 -1.3983667 ],"[[-0.02497393 -0.04764355  0.13408223  0.19447075]
 [ 0.77376065 -5.72941983  0.          0.        ]]",[-0.07612995 -0.08089751],-0.21844281506
4,[ 0.0744466  -0.22593324],-1.16911,"[ 1.04360116  1.18046053 -0.05164978 -0.10791593  1.16226668  1.75398981
 -0.21522996 -1.15840153  0.14478741 -1.54208929  0.        ]",[-0.58958361  1.06735933],"[[-0.01613501 -0.20081912  0.13408223  0.19447075]
 [ 0.11231293 -9.57532097  0.          0.        ]]",[-0.07612995 -0.08089751],-0.231670594104
5,[ 0.07388176 -0.22724782],-1.15079,"[ 1.04278309  1.12951066 -0.08426999 -0.35540448  1.16223107  1.75389661
 -0.43531818 -0.60140938  0.11018802 -1.67987477  0.        ]",[ 2.01590615 -2.11783202],"[[-0.03732898 -0.35068671  0.13408223  0.19447075]
 [-2.22392683 -5.42527432  0.          0.        ]]",[-0.07612995 -0.08089751],-0.249185840851
6,[ 0.0737584 -0.227955 ],-1.21936,"[ 1.04251629  1.05388245 -0.09093377 -0.58559257  1.16219545  1.75380343
 -0.05835105 -1.11858299  0.06452539 -1.78509796  0.        ]",[ 0.70496295 -0.46982484],"[[-0.04166089 -0.49785729  0.13408223  0.19447075]
 [ 1.77741195 -9.27892667  0.          0.        ]]",[-0.07612995 -0.08089751],-0.262153940918
7,[ 0.0735177  -0.22761539],-1.27497,"[ 1.04337464  0.91155571  0.00633362 -0.87225207  1.16215985  1.75371026
  0.20113194 -1.34367999  0.01135359 -1.82783003  0.        ]",[-0.79456888  1.10860133],"[[  0.02152179  -0.70026743   0.13408223   0.19447075]
 [  4.53170744 -10.95647307   0.           0.        ]]",[-0.07612995 -0.08089751],-0.266408102537
8,[ 0.0728009  -0.22851489],-1.26485,"[ 1.03924396  0.75469466  0.09579094 -1.08646022  1.16212424  1.75361711
 -0.10361587 -0.7829906  -0.04432232 -1.85429423  0.        ]",[-1.11084812 -0.17486254],"[[ 0.07970134 -0.87748164  0.13408223  0.19447075]
 [ 1.29700613 -6.77889879  0.          0.        ]]",[-0.07612995 -0.08089751],-0.268616328683
9,[ 0.0733888  -0.22784105],-1.28924,"[ 1.04063467  0.6115851   0.07426678 -1.22774765  1.16208864  1.75352397
 -0.4787951  -0.85772443 -0.12377988 -1.93884505  0.        ]",[-0.47660629  0.8753069 ],"[[ 0.06568664 -1.01864785  0.13408223  0.19447075]
 [-2.68529152 -7.33588232  0.          0.        ]]",[-0.07612995 -0.08089751],-0.279123898674
10,[ 0.07314956 -0.22769815],-1.24477,"[ 1.04358389  0.49033777 -0.03669413 -1.31813111  1.16205304  1.75343085
 -0.65156848 -0.37299576 -0.22856211 -2.05749568  0.        ]",[ 0.46469016 -0.62336946],"[[-0.00642012 -1.12912872  0.13408223  0.19447075]
 [-4.51924752 -3.72424065  0.          0.        ]]",[-0.07612995 -0.08089751],-0.295112776267
