timestep,human_obs,rewards,obs,actions,avg_action_dist,logstd_action_dist,original_rewards
0,"[[ 0.04148234  0.02833666  0.19600331 -0.08646194]
 [-0.00450442  0.00248999  0.          0.        ]]",-0.799144,"[ 1.18618273  2.47525104  0.079019    1.03913417  1.69453689 -0.76027882
 -0.05415815  0.38840535 -0.0934961   0.90992214  0.        ]",[ 0.89362651 -0.77863161],[ 0.2109876  -1.20565486],[-0.26500118 -0.37462059],-0.0992251839945
1,"[[  7.68736527e-02  -2.56118562e-03   1.96003314e-01  -8.64619355e-02]
 [  3.53185726e+00  -3.08199073e+00   0.00000000e+00   0.00000000e+00]]",-0.867931,"[ 1.18330006  2.47581695  0.13154512  0.91512825  1.69452647 -0.76027691
  0.06758994 -0.03014681 -0.09533939  0.9445404   0.        ]",[-0.60288905 -1.62793386],[ 0.22189468 -1.20026481],[-0.26500118 -0.37462059],-0.103180450361
2,"[[ 0.12289611 -0.10330705  0.19600331 -0.08646194]
 [ 1.07854844 -6.97960954  0.          0.        ]]",-0.77015,"[ 1.17698539  2.4678414   0.19962581  0.51148828  1.69451605 -0.76027501
 -0.01687153 -0.5590384  -0.09667017  0.93225468  0.        ]",[ 0.18565839  0.31667328],[ 0.23629136 -1.19568443],[-0.26500118 -0.37462059],-0.101741923227
3,"[[ 0.1516164  -0.22893483  0.19600331 -0.08646194]
 [ 1.7911123  -5.58780463  0.          0.        ]]",-0.829559,"[ 1.17157747  2.43684826  0.24192492  0.0145086   1.69450563 -0.7602731
  0.00766035 -0.37017464 -0.10194452  0.86504602  0.        ]",[ 0.33087476 -2.09874002],[ 0.02084792 -1.28500438],[-0.26500118 -0.37462059],-0.093906207278
4,"[[ 0.20023048 -0.37931361  0.19600331 -0.08646194]
 [ 3.06603732 -9.43723902  0.          0.        ]]",-0.74624,"[ 1.15987453  2.36971549  0.31308337 -0.56084403  1.69449521 -0.7602712
  0.05155299 -0.89252768 -0.11912323  0.81075865  0.        ]",[-0.02073742 -1.5941549 ],[-0.06024094 -1.31252253],[-0.26500118 -0.37462059],-0.0873602880496
5,"[[  0.26013253  -0.60591093   0.19600331  -0.08646194]
 [  2.92458689 -13.20991916   0.           0.        ]]",-0.618174,"[ 1.14107982  2.21018817  0.39978582 -1.36050745  1.69448479 -0.76026929
  0.0466831  -1.40446151 -0.16519842  0.70875585  0.        ]",[ 0.09786516 -1.40195708],[-0.1905503  -1.34531212],[-0.26500118 -0.37462059],-0.0750156808891
6,"[[  0.32193761  -0.907214     0.19600331  -0.08646194]
 [  3.25473434 -16.90805767   0.           0.        ]]",-0.513991,"[ 1.11669292  1.90284212  0.48780131 -2.23662447  1.69447437 -0.76026738
  0.05804926 -1.90627211 -0.26740521  0.55762505  0.        ]",[-0.72664285 -0.17416607],[-0.33475193 -1.35409582],[-0.26500118 -0.37462059],-0.0581096152
7,"[[  0.35753256  -1.24892718   0.19600331  -0.08646194]
 [  0.31438589 -17.2621211    0.           0.        ]]",-0.488857,"[ 1.10037911  1.45594694  0.53769698 -2.88222295  1.69446395 -0.76026548
 -0.04318057 -1.95430213 -0.4463661   0.37307601  0.        ]",[-0.37557883 -1.71948935],[-0.44256189 -1.32501268],[-0.26500118 -0.37462059],-0.04889504248
8,"[[  0.34883871  -1.63046528   0.19600331  -0.08646194]
 [ -1.17904551 -20.87965279   0.           0.        ]]",-0.513304,"[ 1.10451026  0.89514201  0.52556735 -3.08115199  1.69445353 -0.76026357
 -0.09459614 -2.44515734 -0.7283957   0.19519644  0.        ]",[-0.01463302 -0.81732998],[-0.33549258 -1.17132831],[-0.26500118 -0.37462059],-0.0722757940489
9,"[[  0.32489208  -2.07638146   0.19600331  -0.08646194]
 [ -1.21558469 -23.70255816   0.           0.        ]]",-0.693549,"[ 1.11539003  0.26168008  0.49196319 -2.58611351  1.69444311 -0.76026167
 -0.09585396 -2.82816908 -1.10756405  0.15185411  0.        ]",[ 0.46217505 -1.83277163],[-0.06148922 -0.89654863],[-0.26500118 -0.37462059],-0.121428669621
