timestep,human_obs,original_rewards,obs,logstd_action_dist,rewards,actions,avg_action_dist
0,"[[ 0.09559513 -0.02952539  0.10930826 -0.15376576]
 [ 0.00106584 -0.00318516  0.          0.        ]]",-0.197722574351,"[ 1.15508182  2.17135519  0.09630568  0.58374456  0.94976361 -1.34291953
 -0.22642131  0.35124588  0.48380122  1.46185567  0.        ]",[-0.2781978  -0.05661706],-1.01991,[-0.75762265 -1.04375152],[-1.17830229 -1.75060773]
1,"[[ 0.06556123 -0.0693046   0.10930826 -0.15376576]
 [-2.99448938 -3.96154756  0.          0.        ]]",-0.188856039015,"[ 1.15840566  2.1686297   0.05153337  0.45444462  0.94976052 -1.34291308
 -0.31907181 -0.17555289  0.48724962  1.37178429  0.        ]",[-0.2781978  -0.05661706],-0.911956,[-2.15849814 -2.57686015],[-1.17949867 -1.75261235]
2,"[[-0.03341016 -0.18746121  0.10930826 -0.15376576]
 [-6.88971193 -7.84118516  0.          0.        ]]",-0.159864767038,"[ 1.16059068  2.14779958 -0.09641196  0.07327766  0.94975742 -1.34290663
 -0.43954848 -0.69187399  0.46923356  1.08817023  0.        ]",[-0.2781978  -0.05661706],-0.845601,[ 0.00336532 -0.28888622],[-1.08180273 -1.71261561]
3,"[[-0.1697016  -0.35420426  0.10930826 -0.15376576]
 [-6.73995983 -8.82981959  0.          0.        ]]",-0.117641672418,"[ 1.14157563  2.08645192 -0.29904672 -0.44901834  0.94975432 -1.34290018
 -0.43491582 -0.82344448  0.37266194  0.71244736  0.        ]",[-0.2781978  -0.05661706],-0.432836,[-1.12103372 -3.0195907 ],[-0.91240513 -1.63462687]
4,"[[ -0.34284596  -0.56875917   0.10930826  -0.15376576]
 [-10.5619109  -12.61304839   0.           0.        ]]",-0.0619030627955,"[ 1.08121713  1.95519452 -0.54923684 -1.07306406  0.94975123 -1.34289372
 -0.55312622 -1.32693118  0.14130767  0.30154357  0.        ]",[-0.2781978  -0.05661706],-0.345121,[-1.07610188 -1.91064144],[-0.7835601  -1.52577686]
5,"[[ -0.59168333  -0.85822584   0.10930826  -0.15376576]
 [-14.3096651  -16.3212211    0.           0.        ]]",-0.0171921651752,"[ 0.92727795  1.69534025 -0.88065357 -1.78287306  0.94974813 -1.34288727
 -0.66904146 -1.82042117 -0.3269888  -0.07350916  0.        ]",[-0.2781978  -0.05661706],-0.360972,[-0.57039506 -1.83189839],[-0.7688573  -1.40469491]
6,"[[ -0.89769919  -1.22112218   0.10930826  -0.15376576]
 [-16.28574395 -19.95625308   0.           0.        ]]",-0.105871034554,"[ 0.64281845  1.26702507 -1.21587501 -2.37778951  0.94974503 -1.34288082
 -0.73015912 -2.30416383 -0.98142184 -0.13356137  0.        ]",[-0.2781978  -0.05661706],-0.383777,[-2.31983466 -1.30536186],[-0.97511822 -1.44177437]
7,"[[ -1.2599278   -1.65599004   0.10930826  -0.15376576]
 [-19.92553369 -23.51861164   0.           0.        ]]",-0.189001112034,"[ 0.20561611  0.67837763 -1.47038559 -2.5629054   0.94974194 -1.34287437
 -0.84273443 -2.77821467 -1.56711343  0.30782307  0.        ]",[-0.2781978  -0.05661706],-0.504276,[-1.38809551 -2.33545506],[-1.27546191 -1.58075905]
8,"[[ -1.69425891  -2.16139547   0.10930826  -0.15376576]
 [-23.49600073 -27.01031033   0.           0.        ]]",-0.240710995917,"[-0.38512464  0.02905335 -1.53068079 -2.02339428  0.94973884 -1.34286791
 -0.95316502 -3.24283397 -1.7021216   1.09013492  0.        ]",[-0.2781978  -0.05661706],-0.93043,[-1.33493287 -0.31190925],[-1.48540068 -1.64942479]
9,"[[ -2.19929638  -2.70860844   0.10930826  -0.15376576]
 [-26.99566585 -27.7088142    0.           0.        ]]",-0.232832951855,"[-1.02508537 -0.4538558  -1.25625947 -0.68569686  0.94973575 -1.34286146
 -1.06140498 -3.33572162 -1.28594457  1.54803584  0.        ]",[-0.2781978  -0.05661706],-0.981531,[-1.60057228 -1.37180577],[-1.50785267 -1.65374196]
10,"[[ -2.77359397  -3.20829072   0.10930826  -0.15376576]
 [-30.42131945 -10.39270983   0.           0.        ]]",-0.188784571329,"[-1.50027218 -0.57780852 -0.58447766  0.89675258  0.94973265 -1.34285501
 -1.16735491 -1.03132848 -0.9569123   1.36900278  0.        ]",[-0.2781978  -0.05661706],-0.90003,[-0.36361361 -2.09125234],[-1.11942697 -1.50861239]
11,"[[ -3.39041338  -3.23028832   0.10930826  -0.15376576]
 [-31.2580906    3.72741113   0.           0.        ]]",-0.174615159809,"[-1.55004428 -0.57545721  0.32189101  0.96812389  0.94972955 -1.34284856
 -1.19323107  0.8477438  -0.97009292  1.21390833  0.        ]",[-0.2781978  -0.05661706],-0.925688,[-1.96093058 -1.37457605],[-0.90457386 -1.44164753]
12,"[[ -4.04909162  -3.14296214   0.10930826  -0.15376576]
 [-34.59862581   4.15202745   0.           0.        ]]",-0.178655669151,"[-1.06332544 -0.58086494  1.1320805   0.68429438  0.94972646 -1.34284211
 -1.29654694  0.90424802 -0.97508457  1.2516978   0.        ]",[-0.2781978  -0.05661706],-0.846825,[-1.19880157 -2.54680166],[-0.95916921 -1.4580152 ]
13,"[[ -4.77391746  -3.07568075   0.10930826  -0.15376576]
 [-37.87303707   2.55258579   0.           0.        ]]",-0.176519789295,"[-0.1308751  -0.57787625  1.4463679   0.46547886  0.94972336 -1.34283566
 -1.39781637  0.6913959  -0.9700009   1.23380422  0.        ]",[-0.2781978  -0.05661706],-0.793126,[-0.01137031 -0.0071573 ],[-1.0220207  -1.44438124]
14,"[[ -5.52430674  -3.02541501   0.10930826  -0.15376576]
 [-37.1682339    2.47429612   0.           0.        ]]",-0.174889968028,"[ 0.78355128 -0.57158543  0.98271903  0.30258104  0.94972027 -1.3428292
 -1.37601024  0.68097556 -1.00274179  1.18789524  0.        ]",[-0.2781978  -0.05661706],-0.698873,[-1.30601526  0.91758297],[-1.00875044 -1.3674438 ]
15,"[[ -6.30001051  -2.93995956   0.10930826  -0.15376576]
 [-40.39135124   6.05942398   0.           0.        ]]",-0.176591108056,"[ 1.16116371 -0.55297816 -0.07160131  0.02804972  0.94971717 -1.34282275
 -1.47569189  1.15807312 -1.07587978  1.1349216   0.        ]",[-0.2781978  -0.05661706],-0.595754,[-3.25896597 -0.98613941],[-0.90209287 -1.29744649]
16,"[[ -7.13953737  -2.85913568   0.10930826  -0.15376576]
 [-43.55082921   2.03652143   0.           0.        ]]",-0.193825105165,"[ 0.68659654 -0.52632032 -1.17632241 -0.22725813  0.94971407 -1.3428163
 -1.57340367  0.6227115  -1.21013213  1.18615508  0.        ]",[-0.2781978  -0.05661706],-0.71572,[ 0.116905   -0.76564028],[-0.96593839 -1.36761773]
17,"[[ -7.99725992  -2.84920337   0.10930826  -0.15376576]
 [-42.22589559  -1.03307111   0.           0.        ]]",-0.215256748104,"[-0.41215557 -0.52244382 -1.52673452 -0.25825676  0.94971098 -1.34280985
 -1.53241542  0.21421521 -1.23712183  1.40264134  0.        ]",[-0.2781978  -0.05661706],-0.835004,[-0.86676374 -1.66782895],[-1.04455674 -1.47359943]
18,"[[ -8.86782641  -2.90936618   0.10930826  -0.15376576]
 [-44.82216748  -4.97012736   0.           0.        ]]",-0.213672001635,"[-1.3843592  -0.54391205 -0.83701831 -0.06917911  0.94970788 -1.3428034
 -1.61270653 -0.3097215  -1.07056042  1.5328081   0.        ]",[-0.2781978  -0.05661706],-0.953333,[-1.91183696 -0.9901541 ],[-1.08223474 -1.49952221]
19,"[[ -9.79509695  -3.02259162   0.10930826  -0.15376576]
 [-47.89449675  -3.89707713   0.           0.        ]]",-0.190730781016,"[-1.49910431 -0.57112366  0.49486146  0.29345886  0.94970479 -1.34279695
 -1.70772003 -0.16692114 -0.91738676  1.41625373  0.        ]",[-0.2781978  -0.05661706],-0.964662,[-1.86967716 -1.35321174],[-1.06206906 -1.49500966]
20,"[[-10.78319725  -3.0462239    0.10930826  -0.15376576]
 [-50.90551927   0.33474138   0.           0.        ]]",-0.175952706203,"[-0.50576641 -0.57460201  1.41559605  0.36992797  0.94970169 -1.3427905
 -1.80083542  0.39624368 -0.93109522  1.25948808  0.        ]",[-0.2781978  -0.05661706],-0.781603,[ 0.80757657 -1.03760645],[-1.04424369 -1.47153211]
21,"[[-11.75911507  -3.03257309   0.10930826  -0.15376576]
 [-46.70028502   0.77422417   0.           0.        ]]",-0.175328036272,"[ 0.73656923 -0.57268396  1.03399628  0.32573186  0.94969859 -1.34278404
 -1.67076058  0.45472869 -1.00207335  1.19311789  0.        ]",[-0.2781978  -0.05661706],-0.654624,[-1.22044062 -0.7915756 ],[-1.02771902 -1.36648285]
22,"[[-12.7235696   -3.01910011   0.10930826  -0.15376576]
 [-49.73505647   0.54003909   0.           0.        ]]",-0.186170687512,"[ 1.14438529 -0.57054089 -0.28057999  0.28217616  0.9496955  -1.34277759
 -1.76461051  0.42356266 -1.09755296  1.21987341  0.        ]",[-0.2781978  -0.05661706],-0.55031,[-0.48126978 -2.30032634],[-0.98520213 -1.30764556]
23,"[[-13.7275104   -3.01113724   0.10930826  -0.15376576]
 [-50.65595574   0.27754492   0.           0.        ]]",-0.200854517918,"[ 0.33287017 -0.56915714 -1.41830906  0.25646689  0.9496924  -1.34277114
 -1.79307992  0.38862932 -1.13751832  1.3418766   0.        ]",[-0.2781978  -0.05661706],-0.665481,[-1.20176453 -1.69081983],[-0.99590451 -1.38835704]
24,"[[-14.7702928   -3.00720983   0.10930826  -0.15376576]
 [-53.6124329    0.13124091   0.           0.        ]]",-0.205520575182,"[-1.0302129  -0.56844213 -1.2521753   0.24379623  0.94968931 -1.34276469
 -1.88450535  0.36915852 -1.06445822  1.45478538  0.        ]",[-0.2781978  -0.05661706],-0.827395,[-0.4058616 -1.3759327],[-0.98760349 -1.45604038]
25,"[[-15.84801549  -3.00539612   0.10930826  -0.15376576]
 [-54.15801829   0.05905865   0.           0.        ]]",-0.194059086069,"[-1.57895781 -0.56810413  0.16235609  0.23794683  0.94968621 -1.34275824
 -1.90136451  0.35955182 -0.93869945  1.43411519  0.        ]",[-0.2781978  -0.05661706],-0.885839,[-0.55431928 -2.35955428],[-0.9922393 -1.4704802]
26,"[[ -1.69424390e+01  -3.00459240e+00   1.09308260e-01  -1.53765756e-01]
 [ -5.52805914e+01   2.57163727e-02   0.00000000e+00   0.00000000e+00]]",-0.176272072089,"[-0.66993394 -0.56795221  1.36540656  0.23535498  0.94968312 -1.34275179
 -1.93606822  0.35511395 -0.89448526  1.29014162  0.        ]",[-0.2781978  -0.05661706],-0.764019,[-0.80993429 -2.4426049 ],[-1.04438734 -1.47891974]
27,"[[ -1.80692453e+01  -3.00424617e+00   1.09308260e-01  -1.53765756e-01]
 [ -5.73929959e+01   1.09403177e-02   0.00000000e+00   0.00000000e+00]]",-0.172466447467,"[ 0.76302511 -0.56788575  1.0057414   0.23423829  0.94968002 -1.34274534
 -2.00138419  0.35314687 -0.98713534  1.17610279  0.        ]",[-0.2781978  -0.05661706],-0.615133,[-0.99435049 -0.78548416],[-1.01785505 -1.3505888 ]
28,"[[ -1.92452059e+01  -3.00387251e+00   1.09308260e-01  -1.53765756e-01]
 [ -6.01937383e+01   2.02963174e-02   0.00000000e+00   0.00000000e+00]]",-0.189094332034,"[ 1.05499604 -0.56781395 -0.62286076  0.23303324  0.94967692 -1.34273889
 -2.08798684  0.35439128 -1.11847467  1.2312405   0.        ]",[-0.2781978  -0.05661706],-0.570962,[-1.07755917 -0.57941548],[-0.96456689 -1.29693401]
29,"[[ -2.04768496e+01  -3.00331077e+00   1.09308260e-01  -1.53765756e-01]
 [ -6.29614032e+01   2.85686261e-02   0.00000000e+00   0.00000000e+00]]",-0.205212603393,"[-0.29328888 -0.56770631 -1.53966843  0.23122194  0.94967383 -1.34273244
 -2.17356382  0.35549148 -1.12238383  1.40246105  0.        ]",[-0.2781978  -0.05661706],-0.744672,[-0.65854229 -1.06034925],[-0.99621469 -1.42520094]
30,"[[ -2.17497325e+01  -3.00328334e+00   1.09308260e-01  -1.53765756e-01]
 [ -6.43223523e+01  -1.25285934e-02   0.00000000e+00   0.00000000e+00]]",-0.199956904959,"[-1.55250836 -0.56769982 -0.4039977   0.2311331   0.94967073 -1.34272599
 -2.21563253  0.35002156 -0.9811093   1.46221613  0.        ]",[-0.2781978  -0.05661706],-0.868695,[-0.43403601 -1.65254244],[-0.98161513 -1.46032345]
31,"[[ -2.30406456e+01  -3.00356436e+00   1.09308260e-01  -1.53765756e-01]
 [ -6.47674736e+01  -1.30922792e-02   0.00000000e+00   0.00000000e+00]]",-0.17885055242,"[-0.90123883 -0.5677518   1.2505385   0.2320386   0.94966764 -1.34271954
 -2.22937625  0.34994587 -0.89129619  1.31782847  0.        ]",[-0.2781978  -0.05661706],-0.829394,[-0.83725133 -1.39211025],[-1.03297102 -1.47471571]
32,"[[ -2.43563904e+01  -3.00377500e+00   1.09308260e-01  -1.53765756e-01]
 [ -6.68002287e+01  -7.94286785e-03   0.00000000e+00   0.00000000e+00]]",-0.172444548219,"[ 0.76685625 -0.56779038  1.0015244   0.23271721  0.94966454 -1.34271309
 -2.29221945  0.35063048 -0.98730818  1.17566675  0.        ]",[-0.2781978  -0.05661706],-0.589736,[-1.26267207 -1.15826934],[-0.99612445 -1.33063316]
33,"[[ -2.57188516e+01  -3.00389199e+00   1.09308260e-01  -1.53765756e-01]
 [ -6.94371113e+01  -4.07238551e-03   0.00000000e+00   0.00000000e+00]]",-0.19238840645,"[ 0.93156333 -0.5678112  -0.87369991  0.23309396  0.94966145 -1.34270664
 -2.37374372  0.3511449  -1.13085877  1.2553416   0.        ]",[-0.2781978  -0.05661706],-0.549811,[-0.251879  -2.0456978],[-0.94433409 -1.29009783]
34,"[[ -2.71038078e+01  -3.00394953e+00   1.09308260e-01  -1.53765756e-01]
 [ -6.90597652e+01  -1.91967022e-03   0.00000000e+00   0.00000000e+00]]",-0.206208673361,"[-0.75206933 -0.56782078 -1.42383113  0.23327903  0.94965835 -1.34270019
 -2.36204694  0.35143071 -1.09207378  1.43909188  0.        ]",[-0.2781978  -0.05661706],-0.812962,[-0.79352935 -0.11532718],[-0.98926574 -1.43873239]
35,"[[ -2.85028089e+01  -3.00303782e+00   1.09308260e-01  -1.53765756e-01]
 [ -7.08344329e+01   6.39672297e-02   0.00000000e+00   0.00000000e+00]]",-0.192800145122,"[-1.55665045 -0.56764675  0.29232218  0.23033957  0.94965526 -1.34269374
 -2.41690315  0.36019836 -0.93023277  1.42754318  0.        ]",[-0.2781978  -0.05661706],-0.911905,[-0.89892926 -0.56230154],[-0.99203438 -1.46457517]
36,"[[ -2.99411380e+01  -3.00235896e+00   1.09308260e-01  -1.53765756e-01]
 [ -7.29912831e+01   1.46112558e-02   0.00000000e+00   0.00000000e+00]]",-0.17200182393,"[-0.08353676 -0.5675161   1.44230702  0.22815097  0.94965216 -1.34268729
 -2.48357626  0.35362928 -0.91453839  1.23223402  0.        ]",[-0.2781978  -0.05661706],-0.673542,[-1.33628711 -1.78979848],[-1.03255439 -1.42211473]
37,"[[ -3.14261907e+01  -3.00268600e+00   1.09308260e-01  -1.53765756e-01]
 [ -7.55056077e+01  -2.99739979e-02   0.00000000e+00   0.00000000e+00]]",-0.182308167358,"[ 1.16130231 -0.56757721 -0.06178228  0.2292047   0.94964907 -1.34268084
 -2.5613014   0.34769511 -1.08264695  1.19182594  0.        ]",[-0.2781978  -0.05661706],-0.530803,[-2.11280624 -0.41188266],[-0.92026788 -1.25083303]
38,"[[ -3.29610304e+01  -3.00262932e+00   1.09308260e-01  -1.53765756e-01]
 [ -7.79701518e+01   1.90519898e-02   0.00000000e+00   0.00000000e+00]]",-0.204723563478,"[-0.18015886 -0.56756512 -1.54155726  0.22902159  0.94964597 -1.34267439
 -2.63748352  0.35421892 -1.12828276  1.39187797  0.        ]",[-0.2781978  -0.05661706],-0.722449,[-1.8337052  -0.34421464],[-0.98119849 -1.39606571]
39,"[[ -3.45446715e+01  -3.00215652e+00   1.09308260e-01  -1.53765756e-01]
 [ -8.03859067e+01   2.30514844e-02   0.00000000e+00   0.00000000e+00]]",-0.196805256004,"[-1.59231638 -0.56747354 -0.06564052  0.22749725  0.94964288 -1.34266794
 -2.71215315  0.3547505  -0.95473906  1.4497709   0.        ]",[-0.2781978  -0.05661706],-0.85094,[-1.39057889 -2.23277508],[-0.98405999 -1.45660102]
40,"[[ -3.61761479e+01  -3.00247520e+00   1.09308260e-01  -1.53765756e-01]
 [ -8.27538447e+01  -3.36574602e-02   0.00000000e+00   0.00000000e+00]]",-0.172328355487,"[-0.1496893  -0.56753315  1.44748363  0.22852399  0.94963978 -1.34266149
 -2.78534026  0.34720285 -0.91114292  1.23813596  0.        ]",[-0.2781978  -0.05661706],-0.706024,[-1.30737653 -0.35822259],[-1.01969826 -1.41259444]
41,"[[ -3.78545127e+01  -3.00244432e+00   1.09308260e-01  -1.53765756e-01]
 [ -8.50748994e+01   1.91290545e-02   0.00000000e+00   0.00000000e+00]]",-0.184775535037,"[ 1.14478539 -0.56752597 -0.27791707  0.22842405  0.94963669 -1.34265504
 -2.8570736   0.35422716 -1.09765661  1.20408514  0.        ]",[-0.2781978  -0.05661706],-0.498902,[-2.39745839 -0.85972461],[-0.89120299 -1.23050475]
42,"[[ -3.95788376e+01  -3.00256654e+00   1.09308260e-01  -1.53765756e-01]
 [ -8.73500102e+01  -1.81019380e-02   0.00000000e+00   0.00000000e+00]]",-0.206227714325,"[-0.63416043 -0.56754801 -1.47124527  0.22881758  0.94963359 -1.3426486
 -2.92738213  0.34927166 -1.10207409  1.43074493  0.        ]",[-0.2781978  -0.05661706],-0.749261,[-0.56809864 -0.81905154],[-0.98012942 -1.41706491]
43,"[[ -4.13310556e+01  -3.00288603e+00   1.09308260e-01  -1.53765756e-01]
 [ -8.78700587e+01  -1.29356633e-02   0.00000000e+00   0.00000000e+00]]",-0.188265062701,"[-1.43018281 -0.56760759  0.65791665  0.22984699  0.94963049 -1.34264215
 -2.94341539  0.34995854 -0.90941466  1.397416    0.        ]",[-0.2781978  -0.05661706],-0.863823,[ 0.00861594  0.21085288],[-1.00076079 -1.46028066]
44,"[[-43.07066078  -2.99471845   0.10930826  -0.15376576]
 [-86.09635109   0.82690661   0.           0.        ]]",-0.17074045611,"[ 0.62776684 -0.56600651  1.13587124  0.20353424  0.9496274  -1.3426357
 -2.88851964  0.46172682 -0.96482998  1.17753636  0.        ]",[-0.2781978  -0.05661706],-0.587048,[-0.86118159  0.90943611],[-0.94531626 -1.30553436]
45,"[[-44.80969326  -2.94216383   0.10930826  -0.15376576]
 [-87.80112405   4.41691428   0.           0.        ]]",-0.195005588353,"[ 0.71635785 -0.55354387 -1.14746267  0.03506152  0.9496243  -1.34262925
 -2.94118812  0.93949561 -1.17040186  1.24372323  0.        ]",[-0.2781978  -0.05661706],-0.558351,[-0.60286012 -2.13732417],[-0.82964331 -1.25600362]
46,"[[-46.57222146  -2.8943568    0.10930826  -0.15376576]
 [-88.44963086   0.37753333   0.           0.        ]]",-0.215245284983,"[-1.38816508 -0.53897003 -0.83029409 -0.11665756  0.94962121 -1.3426228
 -2.96119222  0.40191858 -1.07792716  1.54275451  0.        ]",[-0.2781978  -0.05661706],-0.882645,[-0.84629006 -0.97604954],[-0.99303764 -1.45493019]
47,"[[-48.35726765  -2.92557519   0.10930826  -0.15376576]
 [-90.04977153  -3.48662197   0.           0.        ]]",-0.176185896347,"[-0.67134753 -0.54883261  1.3648596  -0.01776804  0.94961811 -1.34261635
 -3.01062053 -0.1123385  -0.84009842  1.32625585  0.        ]",[-0.2781978  -0.05661706],-0.769267,[-0.9061688 -0.4738808],[-1.08091748 -1.47560167]
48,"[[-50.17638126  -3.01337476   0.10930826  -0.15376576]
 [-91.85552048  -4.20951149   0.           0.        ]]",-0.181720772454,"[ 1.1559211  -0.56952251  0.08665683  0.26368188  0.94961502 -1.3426099
 -3.06640324 -0.20854332 -1.07337818  1.19447299  0.        ]",[-0.2781978  -0.05661706],-0.400188,[-0.86273638 -3.31980314],[-0.94869477 -1.23812127]
