timestep,logstd_action_dist,original_rewards,obs,human_obs,rewards,actions,avg_action_dist
0,[-0.41461217  0.05689673],-0.296690277801,"[ 1.19038265  2.35368393 -0.01146383  0.44647239 -0.54706898  0.94140223
 -0.15971643  0.36765005  1.79217497 -0.98533302  0.        ]","[[ 0.01965171 -0.08201704 -0.06409487  0.10923592]
 [ 0.00340055  0.00242629  0.          0.        ]]",-1.31431,[ 3.25540203 -4.37781404],[ 1.80208552 -3.24447346]
1,[-0.41461217  0.05689673],-0.295036580034,"[ 1.18821471  2.34785142  0.04752985  0.30051412 -0.54706834  0.94140063
 -0.06523482 -0.15219849  1.79101865 -0.95061508  0.        ]","[[ 0.05942504 -0.12171224 -0.06409487  0.10923592]
 [ 3.96075247 -3.95873756  0.          0.        ]]",-1.29972,[ 0.85220957 -3.75612018],[ 1.80062199 -3.31119823]
2,[-0.41461217  0.05689673],-0.290023615977,"[ 1.17039125  2.31723782  0.21299542 -0.12876884 -0.5470677   0.94139904
  0.0134197  -0.66171704  1.78120557 -0.85901515  0.        ]","[[ 0.17169408 -0.23984106 -0.06409487  0.10923592]
 [ 7.25518769 -7.84119059  0.          0.        ]]",-1.13715,[ 1.8143764  -4.96744865],[ 1.78878462 -3.43714046]
3,[-0.41461217  0.05689673],-0.28015932871,"[ 1.10472455  2.22432596  0.47545501 -0.80788425 -0.54706706  0.94139744
  0.10447928 -1.16115571  1.74550577 -0.71596816  0.        ]","[[  0.35506471  -0.43484868  -0.06409487   0.10923592]
 [ 11.06920746 -11.64684686   0.           0.        ]]",-1.42365,[ 1.92666857 -3.00644913],[ 1.72415364 -3.64452219]
4,[-0.41461217  0.05689673],-0.262711323248,"[ 0.93908792  2.0146236   0.81460354 -1.64666334 -0.54706643  0.94139585
  0.1937455  -1.65065289  1.65642358 -0.52768963  0.        ]","[[  0.6139616   -0.70521011  -0.06409487   0.10923592]
 [ 14.80811318 -15.37677518   0.           0.        ]]",-1.18167,[ 2.01948037 -3.85814832],[ 1.62368631 -3.87148142]
5,[-0.41461217  0.05689673],-0.235250227791,"[ 0.61791754  1.63489603  1.16420132 -2.45593883 -0.54706579  0.94139426
  0.28126181 -2.13035902  1.48434854 -0.33307695  0.        ]","[[  0.94690061  -1.04942262  -0.06409487   0.10923592]
 [ 18.47372471 -19.03214177   0.           0.        ]]",-1.03618,[ 1.30449376 -3.40216803],[ 1.4590863  -4.05126286]
6,[-0.41461217  0.05689673],-0.196531186455,"[ 0.11162568  1.06766409  1.40861435 -2.92675088 -0.54706515  0.94139266
  0.3670706  -2.60042202  1.21351762 -0.20002766  0.        ]","[[  1.35243387  -1.46600632  -0.06409487   0.10923592]
 [ 22.06781817 -22.61409785   0.           0.        ]]",-0.693111,[-0.09246818 -3.75026568],[ 1.29728258 -4.02641392]
7,[-0.41461217  0.05689673],-0.154147305396,"[-0.48058285  0.37853702  1.40969427 -2.67960561 -0.54706451  0.94139107
  0.34796507 -3.06099805  0.89171028 -0.25081417  0.        ]","[[  1.78576297  -1.95350228  -0.06409487   0.10923592]
 [ 21.26760355 -26.12386172   0.           0.        ]]",-0.56427,[ 0.94880449 -3.86667196],[ 1.20467055 -3.69720507]
8,[-0.41461217  0.05689673],-0.123400430429,"[-1.04620316 -0.24704724  1.11943211 -1.43161012 -0.54706387  0.94138947
  0.42763182 -3.51250091  0.57317698 -0.513265    0.        ]","[[  2.24459444  -2.51050184  -0.06409487   0.10923592]
 [ 24.60443766 -29.56461813   0.           0.        ]]",-0.421393,[ 0.71643094 -3.76655671],[ 1.18310761 -3.29027152]
9,[-0.41461217  0.05689673],-0.134319412738,"[-1.46522313 -0.52469544  0.51181577  0.72729297 -0.54706324  0.94138788
  0.4837483  -3.1258725   0.32197225 -0.96981176  0.        ]","[[  2.7602654   -3.13563743  -0.06409487   0.10923592]
 [ 26.95487838 -26.61872358   0.           0.        ]]",-0.525153,[ 1.97142329 -2.91446496],[ 1.32406366 -2.91712737]
