timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.192994667362,[-0.08406975 -0.17610563],"[ 1.11360243  1.86127019  0.17351189 -0.80985053  0.10781227  0.02191334
  0.70227727 -0.33314378  1.13275835  0.05728322  0.        ]",-0.665618,"[[ 0.07254667 -0.04989795  0.01687499  0.0018603 ]
 [ 0.00180233  0.00470488  0.          0.        ]]",[-0.55655509  1.26872134],[-0.69866763  1.82494978]
1,-0.19306564546,[-0.08406975 -0.17610563],"[ 1.115838    1.86277632  0.13167861 -0.70083674  0.10781189  0.02191326
  0.57447104  0.21551308  1.13361914  0.04556555  0.        ]",-0.617982,"[[  4.48364475e-02  -1.00661595e-02   1.68749885e-02   1.86029749e-03]
 [ -2.76361187e+00   3.96527147e+00   0.00000000e+00   0.00000000e+00]]",[-0.59397811  1.21128893],[-0.46388723  0.53022175]
2,-0.192889718097,[-0.08406975 -0.17610563],"[ 1.11666373  1.85766315  0.02109118 -0.42846955  0.10781151  0.02191319
  0.49215038  0.49557023  1.13305649  0.0095244   0.        ]",-0.307612,"[[ -2.83071562e-02   8.95231148e-02   1.68749885e-02   1.86029749e-03]
 [ -4.54481661e+00   5.98691440e+00   0.00000000e+00   0.00000000e+00]]",[-0.58448005  1.19903684],[-2.96267742  1.39975172]
3,-0.191592175805,[-0.08406975 -0.17610563],"[  1.10000715e+00   1.82350244e+00  -1.74068372e-01  -1.63421196e-03
   1.07811127e-01   2.19131090e-02   3.13411088e-01   1.02786978e+00
   1.12294568e+00  -7.03603731e-02   0.00000000e+00]",-0.337859,"[[ -1.58007335e-01   2.47814798e-01   1.68749885e-02   1.86029749e-03]
 [ -8.41233347e+00   9.82942808e+00   0.00000000e+00   0.00000000e+00]]",[-0.57397377  1.16254687],[-2.3326274   0.55321302]
4,-0.187888473906,[-0.08406975 -0.17610563],"[ 1.0265896   1.7265516  -0.47491281  0.55322509  0.10781074  0.02191303
  0.13823114  1.30452358  1.08495687 -0.22377964  0.        ]",-0.701455,"[[ -3.64284764e-01   4.64441869e-01   1.68749885e-02   1.86029749e-03]
 [ -1.22028371e+01   1.18265722e+01   0.00000000e+00   0.00000000e+00]]",[-0.49803907  1.16353607],[ 0.04792642  1.30843183]
5,-0.179885856199,[-0.08406975 -0.17610563],"[ 0.87286022  1.52788339 -0.79504629  1.16970112  0.10781036  0.02191296
  0.15807321  1.82051513  1.00391749 -0.36642519  0.        ]",-0.674444,"[[ -6.04033881e-01   7.38347101e-01   1.68749885e-02   1.86029749e-03]
 [ -1.17734869e+01   1.55515201e+01   0.00000000e+00   0.00000000e+00]]",[-0.48611417  1.09308982],[-0.06380985  1.53543655]
6,-0.164207915437,[-0.08406975 -0.17610563],"[ 0.65830938  1.17611278 -1.06194232  1.7493775   0.10780998  0.02191288
  0.15710109  2.32626623  0.87881047 -0.41188501  0.        ]",-0.655832,"[[ -8.39715003e-01   1.08601175e+00   1.68749885e-02   1.86029749e-03]
 [ -1.17945092e+01   1.92027544e+01   0.00000000e+00   0.00000000e+00]]",[-0.56593591  0.95567703],[ 0.65395697  1.11491993]
7,-0.137618425909,[-0.08406975 -0.17610563],"[ 0.42664217  0.66018444 -1.24587372  2.05909357  0.1078096   0.0219128
  0.28744542  2.82187198  0.70496766 -0.33240487  0.        ]",-0.291744,"[[ -1.04731035e+00   1.50596851e+00   1.68749885e-02   1.86029749e-03]
 [ -8.97414570e+00   2.27810706e+01   0.00000000e+00   0.00000000e+00]]",[-0.77447444  0.73043704],[-1.70347004  1.21604827]
8,-0.0979814735846,[-0.08406975 -0.17610563],"[ 0.15242872  0.04553583 -1.37810049  1.82010131  0.10780921  0.02191272
  0.11272668  3.30775475  0.44818661 -0.20087011  0.        ]",-0.118219,"[[ -1.26472258e+00   1.99679377e+00   1.68749885e-02   1.86029749e-03]
 [ -1.27546209e+01   2.62896439e+01   0.00000000e+00   0.00000000e+00]]",[-0.8672905   0.58246571],[-3.64601354  1.7162074 ]
9,-0.0449014582091,[-0.08406975 -0.17610563],"[-0.24459307 -0.49549022 -1.44822742  0.83754712  0.10780883  0.02191265
 -0.05857042  3.78385523  0.09006752 -0.08307304  0.        ]",-0.169709,"[[ -1.55700175e+00   2.55708727e+00   1.68749885e-02   1.86029749e-03]
 [ -1.64610603e+01   2.97281863e+01   0.00000000e+00   0.00000000e+00]]",[-0.85012215  0.52711362],[-0.72577352  1.27611225]
