timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.0982378911791,[ 0.33183352  1.16559365],"[ 1.11990304  1.85189008 -0.09125654 -0.38600857  1.06358694  0.33405504
  0.70754096 -0.3298603   0.35270788 -0.39655985  0.        ]",-0.287271,"[[-0.09871732  0.09614551  0.12405357  0.03831145]
 [ 0.00267256  0.0012149   0.          0.        ]]",[-0.06983599  1.42078137],[-0.09357021 -0.19228597]
1,-0.0949062491698,[ 0.653149    0.54612008],"[ 1.12157359  1.84595309 -0.07144399 -0.27963989  1.06357955  0.33405383
  0.76651493  0.2153478   0.35258391 -0.33825926  0.        ]",-0.299413,"[[-0.08550911  0.1358923   0.12405357  0.03831145]
 [ 1.3137917   3.96027108  0.          0.        ]]",[-0.17241229  1.33155859],[-0.09357021 -0.19228597]
2,-0.0859005618092,[ 0.35883506  0.44443729],"[ 1.1258351   1.82216213  0.00663803 -0.01467404  1.06357216  0.33405262
  0.88153367  0.50220263  0.34009578 -0.16047653  0.        ]",-0.240482,"[[-0.03357779  0.23599728  0.12405357  0.03831145]
 [ 3.87084599  6.04328748  0.          0.        ]]",[-0.30855396  1.24338412],[-0.09357021 -0.19228597]
3,-0.0769050309927,[ 0.14109164  0.90382726],"[ 1.12433719  1.76926477  0.14349252  0.33800059  1.06356476  0.33405141
  0.9419174   0.72799378  0.28517033  0.10826598  0.        ]",-0.243003,"[[ 0.05730849  0.37331377  0.12405357  0.03831145]
 [ 5.21334293  7.68289642  0.          0.        ]]",[-0.48822862  1.13180327],[-0.09357021 -0.19228597]
4,-0.0765299901436,[ 0.38310479  1.15552532],"[ 1.10757256  1.66058006  0.30632123  0.78965848  1.06355737  0.3340502
  0.96234143  1.19985084  0.15302856  0.41909404  0.        ]",-0.342166,"[[  0.16613143   0.56135047   0.12405357   0.03831145]
 [  5.66751606  11.10935071   0.           0.        ]]",[-0.72331476  0.95601416],[-0.09357021 -0.19228597]
5,-0.0916130326911,[-0.55818227  1.83802062],"[ 1.06747601  1.44848958  0.49310345  1.32728034  1.06354998  0.33404899
  1.02545572  1.7147441  -0.10127394  0.72960298  0.        ]",-0.416173,"[[  0.29355894   0.82105271   0.12405357   0.03831145]
 [  7.070738    14.84840797   0.           0.        ]]",[-0.98018587  0.74178106],[-0.09357021 -0.19228597]
6,-0.116144296881,[-1.53272154  2.04992566],"[ 1.01127764  1.09218278  0.65963134  1.81994082  1.06354259  0.33404778
  0.91984053  2.21957697 -0.46277996  0.9118508   0.        ]",-0.464315,"[[  0.41141674   1.15480498   0.12405357   0.03831145]
 [  4.72297024  18.51458643   0.           0.        ]]",[-1.09356129  0.59303123],[-0.09357021 -0.19228597]
7,-0.13415750373,[-0.51365968 -0.12734524],"[ 0.97970331  0.58544778  0.7330462   2.04957166  1.06353519  0.33404656
  0.73768853  2.7144165  -0.81849287  0.85999762  0.        ]",-0.457478,"[[  0.4652489    1.56115579   0.12405357   0.03831145]
 [  0.67370362  22.10847021   0.           0.        ]]",[-1.01805019  0.54946429],[-0.09357021 -0.19228597]
8,-0.141348847701,[ 0.19581742  0.35749329],"[ 0.98402801  0.0456275   0.72355407  1.81210205  1.0635278   0.33404535
  0.64572481  2.58467579 -1.06974595  0.61948688  0.        ]",-0.427183,"[[  0.45821344   1.99387735   0.12405357   0.03831145]
 [ -1.37063627  21.16679068   0.           0.        ]]",[-0.88852191  0.54112113],[-0.09357021 -0.19228597]
9,-0.143492991508,[-1.00985736  2.13201181],"[ 0.99561563 -0.39747776  0.69728687  1.12050794  1.06352041  0.33404414
  0.68187539  2.72181395 -1.20968014  0.27797861  0.        ]",-0.329845,"[[  0.43886472   2.42721055   0.12405357   0.03831145]
 [ -0.56691722  22.16321958   0.           0.        ]]",[-0.77990657  0.52843386],[-0.09357021 -0.19228597]
10,-0.141259495789,[-0.6998698   1.69114117],"[ 1.02388133 -0.67602565  0.6270223  -0.01526946  1.06351302  0.33404293
  0.50432842  3.20650416 -1.21545955 -0.14086061  0.        ]",-0.234747,"[[  0.3879276    2.90579976   0.12405357   0.03831145]
 [ -4.51382782  25.68393336   0.           0.        ]]",[-0.68277562  0.51017314],[-0.09357021 -0.19228597]
11,-0.13989020624,[-0.75824543  0.91213254],"[ 1.07621675 -0.71149429  0.46006044 -0.6737887   1.06350563  0.33404172
  0.38365308 -0.09287815 -1.16540417 -0.35470969  0.        ]",-0.278932,"[[ 0.27073469  3.15238455  0.12405357  0.03831145]
 [-7.1964616   1.72284154  0.          0.        ]]",[-0.65312302  0.62387091],[-0.09357021 -0.19228597]
12,-0.139372920548,[-1.76264357  0.29134937],"[ 1.11989662 -0.7114007   0.20473983 -0.6015395   1.06349824  0.33404051
  0.25500562 -0.70501792 -1.17322532 -0.30985701  0.        ]",-0.279179,"[[  0.09811076   3.12556994   0.12405357   0.03831145]
 [-10.05632314  -2.722709     0.           0.        ]]",[-0.62808418  0.67711508],[-0.09357021 -0.19228597]
13,-0.135883874516,[-1.93391895 -0.02291067],"[ 1.11287028 -0.70850808 -0.15414269 -0.45902833  1.06349085  0.3340393
  0.08585831 -0.64455798 -1.16282921 -0.24170079  0.        ]",-0.280831,"[[ -0.14074308   3.07262488   0.12405357   0.03831145]
 [-13.81651375  -2.28365485   0.           0.        ]]",[-0.60746449  0.69188511],[-0.09357021 -0.19228597]
14,-0.1288945408,[ 0.57851141  0.35417577],"[ 0.98651655 -0.70305856 -0.60356298 -0.33526563  1.06348345  0.33403809
 -0.07994042 -0.65085733 -1.12252604 -0.18774366  0.        ]",-0.360188,"[[ -0.45405374   3.02649272   0.12405357   0.03831145]
 [-17.50226445  -2.32942422   0.           0.        ]]",[-0.56722528  0.72574675],[-0.09357021 -0.19228597]
15,-0.120791323711,[-2.47815069  0.97661094],"[ 0.72934889 -0.69767099 -0.99973431 -0.24963933  1.06347606  0.33403688
  0.03868528 -0.45140284 -1.06810837 -0.16931483  0.        ]",-0.297859,"[[ -0.77764038   2.99443721   0.12405357   0.03831145]
 [-14.86519288  -0.88095216   0.           0.        ]]",[-0.56965852  0.72089142],[-0.09357021 -0.19228597]
16,-0.116075338413,[ 0.74327898  1.77783236],"[ 0.35702069 -0.69973891 -1.29326991 -0.2801491   1.06346867  0.33403567
 -0.12617823 -0.18910353 -1.03120719 -0.1913436   0.        ]",-0.425801,"[[ -1.11171527   3.00587519   0.12405357   0.03831145]
 [-18.53013329   1.02391688   0.           0.        ]]",[-0.59310412  0.69668746],[-0.09357021 -0.19228597]
17,-0.114561128752,[-0.88120556  1.04218369],"[-0.08756698 -0.7009222  -1.43809344 -0.29886342  1.06346128  0.33403445
  0.02270307 -0.33461306 -1.0137372  -0.22600752  0.        ]",-0.45324,"[[ -1.44911145   3.01288233   0.12405357   0.03831145]
 [-15.22049725  -0.03280987   0.           0.        ]]",[-0.59475648  0.72584921],[-0.09357021 -0.19228597]
18,-0.112854348488,[ 0.32445768  0.31329157],"[-0.54971292 -0.70048641 -1.4146291  -0.2919263   1.06345389  0.33403324
 -0.12069052 -0.35251433 -0.99198819 -0.26650454  0.        ]",-0.537579,"[[ -1.78550406   3.01028619   0.12405357   0.03831145]
 [-18.40813801  -0.16282137   0.           0.        ]]",[-0.60045099  0.73039043],[-0.09357021 -0.19228597]
19,-0.113526434054,[-0.64896996  0.2271652 ],"[-0.9966915  -0.69987117 -1.21402179 -0.28234099  1.0634465   0.33403203
 -0.04650904 -0.35291884 -0.98281399 -0.31650362  0.        ]",-0.554667,"[[ -2.13712146   3.00669737   0.12405357   0.03831145]
 [-16.75909639  -0.16576838   0.           0.        ]]",[-0.61394906  0.72906488],[-0.09357021 -0.19228597]
20,-0.116805580821,[-0.86266695  0.58069077],"[-1.35797144 -0.69938782 -0.8506467  -0.27499866  1.06343911  0.33403082
 -0.14716999 -0.34473277 -0.9901956  -0.36802805  0.        ]",-0.560707,"[[ -2.4947548    3.00394725   0.12405357   0.03831145]
 [-18.99678049  -0.10632919   0.           0.        ]]",[-0.63733649  0.71661353],[-0.09357021 -0.19228597]
21,-0.122887103707,[-0.22116323  1.39228594],"[-1.59865704 -0.69917015 -0.2955911  -0.27176771  1.06343172  0.33402961
 -0.28389913 -0.33421307 -1.01789228 -0.41759483  0.        ]",-0.559868,"[[ -2.90518644   3.00273694   0.12405357   0.03831145]
 [-22.03625509  -0.02994283   0.           0.        ]]",[-0.66565657  0.70054805],[-0.09357021 -0.19228597]
22,-0.130624681957,[-0.14167903  1.23414646],"[-1.60708039 -0.69918724  0.36938842 -0.2720742   1.06342433  0.3340284
 -0.30366477 -0.32691071 -1.06418773 -0.45051277  0.        ]",-0.534438,"[[ -3.35032025   3.00285215   0.12405357   0.03831145]
 [-22.47566261   0.023079     0.           0.        ]]",[-0.6959672   0.68621087],[-0.09357021 -0.19228597]
23,-0.138039444203,[-0.2799541   2.31041536],"[-1.34737203 -0.69926778  0.9801415  -0.27333624  1.06341694  0.33402719
 -0.30888242 -0.32718905 -1.11845379 -0.45645786  0.        ]",-0.446537,"[[ -3.80099747e+00   3.00332542e+00   1.24053574e-01   3.83114511e-02]
 [ -2.25916734e+01   2.10490947e-02   0.00000000e+00   0.00000000e+00]]",[-0.72110891  0.66886169],[-0.09357021 -0.19228597]
24,-0.14384724851,[-2.23212473  1.39829773],"[-0.8599191  -0.69932326  1.41176121 -0.27422369  1.06340955  0.33402598
 -0.33862474 -0.32838252 -1.17032535 -0.43361306  0.        ]",-0.305804,"[[ -4.25946483e+00   3.00365831e+00   1.24053574e-01   3.83114511e-02]
 [ -2.32528586e+01   1.23734617e-02   0.00000000e+00   0.00000000e+00]]",[-0.73276579  0.65002024],[-0.09357021 -0.19228597]
25,-0.147121799696,[-1.17441175  0.41923301],"[-0.18999045 -0.69935181  1.56195535 -0.27470574  1.06340216  0.33402477
 -0.49602485 -0.32922358 -1.21082825 -0.38102074  0.        ]",-0.294802,"[[ -4.75962827e+00   3.00383929e+00   1.24053574e-01   3.83114511e-02]
 [ -2.67518247e+01   6.25699195e-03   0.00000000e+00   0.00000000e+00]]",[-0.71791708  0.63618302],[-0.09357021 -0.19228597]
26,-0.146312288983,[-2.03615794 -0.02226462],"[ 0.54390928 -0.69925513  1.28613836 -0.27329617  1.06339478  0.33402356
 -0.65030836 -0.33554104 -1.22493957 -0.3017568   0.        ]",-0.250595,"[[ -5.32907606   3.00331149   0.12405357   0.03831145]
 [-30.18152417  -0.03962923   0.           0.        ]]",[-0.68250442  0.63135451],[-0.09357021 -0.19228597]
27,-0.139849413834,[-1.60202857  0.52643046],"[ 1.05782488 -0.69895251  0.5264137  -0.26881328  1.06338739  0.33402235
 -0.80153652 -0.34769604 -1.19516958 -0.21728596  0.        ]",-0.259486,"[[ -5.96643661   3.0016319    0.12405357   0.03831145]
 [-33.54332707  -0.12790787   0.           0.        ]]",[-0.63059556  0.64724833],[-0.09357021 -0.19228597]
28,-0.128152357344,[-1.53850447  1.13783615],"[ 1.02427346 -0.69880564 -0.51160237 -0.26668232  1.06338     0.33402114
 -0.94976901 -0.32852675 -1.11985826 -0.16942921  0.        ]",-0.257263,"[[ -6.67036537e+00   3.00083354e+00   1.24053574e-01   3.83114511e-02]
 [ -3.68385697e+01   1.12901192e-02   0.00000000e+00   0.00000000e+00]]",[-0.5750699   0.68020964],[-0.09357021 -0.19228597]
29,-0.116111863514,[-0.20992866  0.43009046],"[ 0.30116273 -0.69897017 -1.3216981  -0.26917537  1.06337261  0.33401992
 -1.09506534 -0.32207646 -1.03044948 -0.19650333  0.        ]",-0.369612,"[[ -7.43954455e+00   3.00176830e+00   1.24053574e-01   3.83114511e-02]
 [ -4.00685861e+01   5.81233293e-02   0.00000000e+00   0.00000000e+00]]",[-0.56739861  0.71569884],[-0.09357021 -0.19228597]
30,-0.11238722647,[ 0.67165156 -0.08437724],"[-0.77717866 -0.6990406  -1.33762883 -0.27027631  1.06336522  0.33401871
 -1.09676495 -0.33019109 -0.98122519 -0.2933047   0.        ]",-0.509494,"[[ -8.24129711e+00   3.00218125e+00   1.24053574e-01   3.83114511e-02]
 [ -4.01065423e+01  -8.13103695e-04   0.00000000e+00   0.00000000e+00]]",[-0.60237825  0.72598952],[-0.09357021 -0.19228597]
31,-0.120076250709,[-1.49007913  2.80417937],"[-1.51921555 -0.69842729 -0.55153609 -0.26126925  1.06335783  0.3340175
 -0.9414141  -0.3762971  -1.00259609 -0.40140355  0.        ]",-0.407,"[[ -9.00878067   2.99880533   0.12405357   0.03831145]
 [-36.65331947  -0.33564037   0.           0.        ]]",[-0.64445949  0.71234179],[-0.09357021 -0.19228597]
32,-0.132836144258,[-1.46266136  0.2691382 ],"[-1.55350292 -0.69953788  0.57307732 -0.27788766  1.06335044  0.33401629
 -1.08687496 -0.29843364 -1.07986797 -0.45347185  0.        ]",-0.395499,"[[ -9.77429124e+00   3.00503378e+00   1.24053574e-01   3.83114511e-02]
 [ -3.98869934e+01   2.29786743e-01   0.00000000e+00   0.00000000e+00]]",[-0.69772536  0.67768657],[-0.09357021 -0.19228597]
33,-0.144202809756,[-0.81733771  1.60999671],"[-0.78280429 -0.69964518  1.44951455 -0.27958039  1.06334306  0.33401508
 -1.22945475 -0.34001553 -1.17475936 -0.42805538  0.        ]",-0.307935,"[[ -1.06038336e+01   3.00566823e+00   1.24053574e-01   3.83114511e-02]
 [ -4.30566770e+01  -7.21838368e-02   0.00000000e+00   0.00000000e+00]]",[-0.71773165  0.64602941],[-0.09357021 -0.19228597]
34,-0.146827102466,[-1.76065453 -0.04515461],"[ 0.39911668 -0.69947198  1.38400888 -0.27698476  1.06333567  0.33401387
 -1.33667456 -0.33430366 -1.22437132 -0.32019324  0.        ]",-0.229567,"[[ -1.14888836e+01   3.00469628e+00   1.24053574e-01   3.83114511e-02]
 [ -4.54403803e+01  -3.07140217e-02   0.00000000e+00   0.00000000e+00]]",[-0.68075109  0.62516427],[-0.09357021 -0.19228597]
35,-0.137193210981,[-0.99703671  0.96725619],"[ 1.11344298 -0.69904092  0.2643908  -0.2705301   1.06332828  0.33401266
 -1.47430237 -0.35905147 -1.17905473 -0.20012472  0.        ]",-0.258201,"[[ -1.24283906e+01   3.00227817e+00   1.24053574e-01   3.83114511e-02]
 [ -4.85001127e+01  -2.10437617e-01   0.00000000e+00   0.00000000e+00]]",[-0.59943646  0.65429497],[-0.09357021 -0.19228597]
36,-0.120101926128,[ 0.1574062   1.69166952],"[ 0.64421336 -0.69883697 -1.08639561 -0.26754129  1.06332089  0.33401145
 -1.60867279 -0.32608664 -1.06199657 -0.17644772  0.        ]",-0.303374,"[[ -1.34283664e+01   3.00115839e+00   1.24053574e-01   3.83114511e-02]
 [ -5.14875256e+01   2.89375998e-02   0.00000000e+00   0.00000000e+00]]",[-0.55355823  0.70806432],[-0.09357021 -0.19228597]
37,-0.112181502313,[-0.69409393 -0.4413692 ],"[-0.6694955  -0.69900652 -1.37992922 -0.27011531  1.06331351  0.33401024
 -1.53476895 -0.3228997  -0.98294916 -0.2815584   0.        ]",-0.427439,"[[ -1.44416374e+01   3.00212343e+00   1.24053574e-01   3.83114511e-02]
 [ -4.98450410e+01   5.20720000e-02   0.00000000e+00   0.00000000e+00]]",[-0.60015464  0.72354048],[-0.09357021 -0.19228597]
38,-0.123242554182,[ 0.55149608 -0.43690918],"[-1.59348693 -0.69587928 -0.31804294 -0.22608525  1.06330612  0.33400903
 -1.61398537 -0.56393528 -1.01504999 -0.43131955  0.        ]",-0.545089,"[[ -1.54562109e+01   2.98560345e+00   1.24053574e-01   3.83114511e-02]
 [ -5.16064253e+01  -1.69828566e+00   0.00000000e+00   0.00000000e+00]]",[-0.64551044  0.72281444],[-0.09357021 -0.19228597]
39,-0.146695210273,[-1.87205629  0.26670063],"[-1.26795609 -0.68405042  1.08207607 -0.09092341  1.06329873  0.33400782
 -1.46978233 -0.79777918 -1.1708347  -0.49164622  0.        ]",-0.35092,"[[ -1.64561801e+01   2.93460023e+00   1.24053574e-01   3.83114511e-02]
 [ -4.84011450e+01  -3.39642874e+00   0.00000000e+00   0.00000000e+00]]",[-0.69343567  0.70195282],[-0.09357021 -0.19228597]
40,-0.158347357173,[-1.59412996  0.64109939],"[-0.01388686 -0.66706978  1.54046135  0.05758696  1.06329134  0.33400661
 -1.60475062 -0.64345961 -1.30660346 -0.32266812  0.        ]",-0.293868,"[[ -1.74543106e+01   2.87791654e+00   1.24053574e-01   3.83114511e-02]
 [ -5.14019019e+01  -2.27582396e+00   0.00000000e+00   0.00000000e+00]]",[-0.68294919  0.66092998],[-0.09357021 -0.19228597]
41,-0.139984719335,[-1.06741529  0.37069814],"[ 1.04854373 -0.66025589  0.5562883   0.10851112  1.06328396  0.3340054
 -1.73704679 -0.28815527 -1.21051824 -0.09182687  0.        ]",-0.266018,"[[ -1.85118607e+01   2.85828815e+00   1.24053574e-01   3.83114511e-02]
 [ -5.43433625e+01   3.04286144e-01   0.00000000e+00   0.00000000e+00]]",[-0.61718309  0.64680737],[-0.09357021 -0.19228597]
42,-0.109296679767,[-1.58754558  0.7723839 ],"[ 0.72896123 -0.66742654 -1.00020774  0.05475998  1.06327657  0.33400419
 -1.86673157 -0.08737331 -0.99445879 -0.11178     0.        ]",-0.201489,"[[ -1.96276590e+01   2.87900279e+00   1.24053574e-01   3.83114511e-02]
 [ -5.72268915e+01   1.76230031e+00   0.00000000e+00   0.00000000e+00]]",[-0.56910193  0.68528372],[-0.09357021 -0.19228597]
43,-0.108391276652,[-1.37891863  1.68362981],"[-0.76803742 -0.68660188 -1.34164031 -0.11718315  1.06326918  0.33400297
 -1.99385066  0.32848887 -0.9436358  -0.31929347  0.        ]",-0.260658,"[[ -2.08005569e+01   2.94454702e+00   1.24053574e-01   3.83114511e-02]
 [ -6.00535201e+01   4.78216124e+00   0.00000000e+00   0.00000000e+00]]",[-0.63394022  0.66420728],[-0.09357021 -0.19228597]
44,-0.125460378612,[-1.48097122  0.66726487],"[-1.63601789 -0.7040578   0.11485617 -0.35589945  1.0632618   0.33400176
 -2.11845735 -0.10432973 -1.04051301 -0.40903822  0.        ]",-0.298328,"[[ -2.20294286e+01   3.03420295e+00   1.24053574e-01   3.83114511e-02]
 [ -6.28244472e+01   1.63918373e+00   0.00000000e+00   0.00000000e+00]]",[-0.69005799  0.66414285],[-0.09357021 -0.19228597]
45,-0.14184143084,[-0.42531644 -0.04786091],"[-0.59544609 -0.70454863  1.51723611 -0.36568233  1.06325441  0.33400055
 -2.24057236 -0.40929171 -1.16264953 -0.41100175  0.        ]",-0.237615,"[[ -2.33131656e+01   3.03785425e+00   1.24053574e-01   3.83114511e-02]
 [ -6.55401488e+01  -5.75346079e-01   0.00000000e+00   0.00000000e+00]]",[-0.7102282   0.63420153],[-0.09357021 -0.19228597]
46,-0.141941505868,[-0.21006792 -0.34702838],"[ 0.95418012 -0.70239975  0.78586857 -0.32540162  1.06324703  0.33399934
 -2.25791089 -0.44767894 -1.20279145 -0.25694247  0.        ]",-0.229993,"[[ -2.46278460e+01   3.02281321e+00   1.24053574e-01   3.83114511e-02]
 [ -6.59266025e+01  -8.54111551e-01   0.00000000e+00   0.00000000e+00]]",[-0.6246416   0.63793492],[-0.09357021 -0.19228597]
47,-0.120046081404,[-0.17000966  0.28790235],"[ 0.69865008 -0.69711785 -1.03272834 -0.24335987  1.06323964  0.33399813
 -2.23657062 -0.63491036 -1.06257959 -0.16941327  0.        ]",-0.263393,"[[ -2.59416280e+01   2.99209039e+00   1.24053574e-01   3.83114511e-02]
 [ -6.54531502e+01  -2.21372916e+00   0.00000000e+00   0.00000000e+00]]",[-0.53255647  0.74637961],[-0.09357021 -0.19228597]
48,-0.110856517827,[ 0.61878339  2.2120623 ],"[-0.96673324 -0.69024275 -1.23416314 -0.15718055  1.06323225  0.33399692
 -2.20851323 -0.47230455 -0.95502081 -0.34011768  0.        ]",-0.358305,"[[ -2.72444419e+01   2.95966365e+00   1.24053574e-01   3.83114511e-02]
 [ -6.48303262e+01  -1.03296952e+00   0.00000000e+00   0.00000000e+00]]",[-0.59916842  0.74150348],[-0.09357021 -0.19228597]
49,-0.132911988486,[-0.64077048  0.17164928],"[-1.60086516 -0.69447815  0.39953927 -0.208266    1.06322487  0.33399571
 -2.04054905  0.07539299 -1.07315355 -0.47138072  0.        ]",-0.355056,"[[ -2.85035891e+01   2.97890701e+00   1.24053574e-01   3.83114511e-02]
 [ -6.10969041e+01   2.94416553e+00   0.00000000e+00   0.00000000e+00]]",[-0.69994485  0.65348846],[-0.09357021 -0.19228597]
