timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.108816442729,[ 2.57263796  2.81296606],-0.28578,"[[-0.07453776 -0.00601     0.17051093 -0.11794068]
 [-0.00471848  0.00455387  0.          0.        ]]","[ 1.2807249   2.58150195 -0.19400047 -0.85844914  1.48031388 -1.02770187
 -1.75735924 -0.37045222  0.1803082   0.71701381  0.        ]",[ 2.43129373  3.34788966],[-0.59029096 -0.42742014]
1,-0.120921053675,[ 2.96466737  4.65182623],-0.166598,"[[-0.03495614  0.03379257  0.17051093 -0.11794068]
 [ 3.94972062  3.962517    0.          0.        ]]","[ 1.28373192  2.58064909 -0.13650898 -0.69701715  1.48031237 -1.0277012
 -1.65407258  0.14109587  0.18461453  0.81860236  0.        ]",[ 2.37823629  3.15364861],[-0.59029096 -0.42742014]
2,-0.156059822261,[ 2.7438488   4.02006351],-0.145708,"[[ 0.08293015  0.15196842  0.17051093 -0.11794068]
 [ 7.82602957  7.84213941  0.          0.        ]]","[ 1.27980593  2.56386951  0.03483783 -0.21998421  1.48031087 -1.02770053
 -1.55282692  0.6425187   0.15979952  1.11936255  0.        ]",[ 2.3532362   3.01642227],[-0.59029096 -0.42742014]
3,-0.21018746536,[ 2.31803667  3.05722083],-0.116414,"[[  0.27757626   0.34696586   0.17051093  -0.11794068]
 [ 11.62603239  11.64491501   0.           0.        ]]","[  1.23141302e+00   2.49026273e+00   3.12972528e-01   5.45317029e-01
   1.48030936e+00  -1.02769985e+00  -1.45357456e+00   1.13400900e+00
   2.95605202e-04   1.58313128e+00   0.00000000e+00]",[ 2.34458399  2.87727475],[-0.59029096 -0.42742014]
4,-0.274231924099,[ 2.86660855  1.20024537],-0.174061,"[[  0.54747715   0.61726199   0.17051093  -0.11794068]
 [ 15.35190292  15.3722318    0.           0.        ]]","[ 1.08157044  2.29894109  0.67158252  1.51383278  1.48030785 -1.02769918
 -1.35625869  1.61574552 -0.42481996  2.07536703  0.        ]",[ 2.33126569  2.58906627],[-0.59029096 -0.42742014]
5,-0.331576568797,[ 2.52617464  1.57222696],-0.415163,"[[  0.89117492   0.96136069   0.17051093  -0.11794068]
 [ 19.00615705  19.02538286   0.           0.        ]]","[ 0.76858316  1.92675306  1.04585503  2.49211229  1.48030635 -1.0276985
 -1.26081355  2.08789452 -1.15045539  2.31862578  0.        ]",[ 2.36875916  2.49215889],[-0.59029096 -0.42742014]
6,-0.358194350454,[ 2.30289882  2.50812567],-1.18299,"[[  1.30726289   1.37779146   0.17051093  -0.11794068]
 [ 22.59130275  22.60566356   0.           0.        ]]","[ 0.2574453   1.34396917  1.31886006  3.14706249  1.48030484 -1.02769783
 -1.16717361  2.55062233 -1.93911718  2.01070395  0.        ]",[ 2.47337246  2.28571963],[-0.59029096 -0.42742014]
7,-0.330171899159,[ 2.68195821  1.19023869],-1.8405,"[[  1.79437783   1.86511143   0.17051093  -0.11794068]
 [ 26.10899901  26.11459042   0.           0.        ]]","[-0.41232649  0.60607614  1.33287403  3.04794825  1.48030334 -1.02769716
 -1.0752955   3.00412372 -2.27775282  1.19294396  0.        ]",[ 2.61933804  1.78057456],[-0.59029096 -0.42742014]
8,-0.24722764102,[ 2.97200251  0.8318727 ],-1.76264,"[[  2.3511714    2.42191273   0.17051093  -0.11794068]
 [ 29.55887715  29.55418957   0.           0.        ]]","[-1.08155005 -0.10125168  0.94814957  1.83970603  1.48030183 -1.02769648
 -0.98518884  3.44865914 -1.87149789  0.5371171   0.        ]",[ 2.73595309  1.21534228],[-0.59029096 -0.42742014]
9,-0.194140973902,[ 3.70721089  1.73379063],-1.6786,"[[  2.97626007   3.0401551    0.17051093  -0.11794068]
 [ 32.93753021  26.50494459   0.           0.        ]]","[-1.47436625 -0.47310164  0.15375337 -0.42330094  1.48030033 -1.02769581
 -0.89694258  3.05455202 -1.33679752  0.74712405  0.        ]",[ 2.74323964  0.93902326],[-0.59029096 -0.42742014]
