timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.40106642949,[-0.25102785 -0.17195335],[ 2.21961975 -2.69752908],-2.24873,"[ 1.13682252  2.32130574  0.00745065  0.55958933 -1.50510955  0.99825765
 -0.74260883  0.36551324  2.58405666 -1.02686071  0.        ]","[[ 0.00056806 -0.06272665 -0.17252644  0.1144273 ]
 [ 0.00219362  0.00486579  0.          0.        ]]",[ 3.63198183 -3.28007425]
1,-0.399803702105,[-0.25102785 -0.17195335],[ 2.1239686 -2.6632483],-2.32431,"[ 1.13569193  2.31660264  0.06678059  0.42085314 -1.50510546  0.99825599
 -0.60153249 -0.16352124  2.58345409 -0.99258867  0.        ]","[[ 0.04031747 -0.10237356 -0.17252644  0.1144273 ]
 [ 3.95956758 -3.95634823  0.          0.        ]]",[ 3.01517449 -2.28720275]
2,-0.395389636823,[-0.25102785 -0.17195335],[ 1.96783245 -2.63918638],-2.36738,"[ 1.11942482  2.2893739   0.24215026  0.01183287 -1.50510137  0.99825433
 -0.46324661 -0.68207331  2.57491252 -0.89150725  0.        ]","[[ 0.15842894 -0.22045736 -0.17252644  0.1144273 ]
 [ 7.83866886 -7.8390758   0.          0.        ]]",[ 1.23994984 -3.64357163]
3,-0.385988030482,[-0.25102785 -0.17195335],[ 1.73874533 -2.60609341],-2.30237,"[ 1.05100906  2.20204302  0.52325269 -0.63744215 -1.50509728  0.99825267
 -0.3276922  -1.19033548  2.53902668 -0.72956419  0.        ]","[[  0.35335341  -0.41542305  -0.17252644   0.1144273 ]
 [ 11.64115092 -11.64476664   0.           0.        ]]",[ 3.1149487  -2.37808095]
4,-0.368891062672,[-0.25102785 -0.17195335],[ 1.49390042 -2.52866554],-2.27472,"[ 0.87542456  1.9997099   0.87843306 -1.4439241  -1.50509319  0.99825101
 -0.19480704 -1.68847924  2.44695033 -0.52498747  0.        ]","[[  0.62357578  -0.68574313  -0.17252644   0.1144273 ]
 [ 15.36875759 -15.37471848   0.           0.        ]]",[ 1.47958389 -2.24114624]
5,-0.341267594112,[-0.25102785 -0.17195335],[ 1.31601453 -2.35057569],-2.02136,"[ 0.53580198  1.62797049  1.23614836 -2.23050675 -1.5050891   0.99824935
 -0.06452606 -2.17665647  2.26886861 -0.31897897  0.        ]","[[  0.96761672  -1.02991458  -0.17252644   0.1144273 ]
 [ 19.02331385 -19.03008773   0.           0.        ]]",[ 2.16658979 -2.96699835]
6,-0.301761546949,[-0.25102785 -0.17195335],[ 1.27678323 -2.03398156],-1.77741,"[ 0.00583143  1.06708455  1.47364461 -2.70462264 -1.505085    0.99824769
  0.06321425 -2.65501651  1.99098963 -0.18223764  0.        ]","[[  1.38403328  -1.44645698  -0.17252644   0.1144273 ]
 [ 22.60660065 -22.61201597   0.           0.        ]]",[ 0.89894965 -2.12143896]
7,-0.254399656982,[-0.25102785 -0.17195335],[ 1.38151574 -1.59702706],-1.50715,"[-0.65798539  0.37944061  1.43440977 -2.50274865 -1.50508091  0.99824603
  0.1742069  -3.12374205  1.64273065 -0.20869751  0.        ]","[[  1.86740265  -1.93391449  -0.17252644   0.1144273 ]
 [ 25.72009359 -26.12189835   0.           0.        ]]",[ 0.41325241 -2.10515789]
8,-0.216399396655,[-0.25102785 -0.17195335],[ 1.40738261 -1.15614772],-1.38866,"[-1.26973002 -0.25258969  1.02259686 -1.3473802  -1.50507682  0.99824437
  0.21446634 -3.58313234  1.31993034 -0.47543211  0.        ]","[[  2.39313704  -2.49086704  -0.17252644   0.1144273 ]
 [ 26.84942797 -29.56200595   0.           0.        ]]",[ 1.68718883 -0.91294216]
9,-0.21499660101,[-0.25102785 -0.17195335],[ 1.378896   -0.86338937],-1.52091,"[-1.61919857 -0.54522235  0.26956876  0.67753384 -1.50507273  0.99824271
  0.33670607 -3.16783613  1.13176747 -0.95652377  0.        ]","[[  2.96452959  -3.11248908  -0.17252644   0.1144273 ]
 [ 30.2784152  -26.45256007   0.           0.        ]]",[ 0.56459479 -0.40517648]
