timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.405082933615,"[[ 0.00770844  0.04241207 -0.15988728  0.17175065]
 [ 0.00087338  0.00303399  0.          0.        ]]",[ 1.55741739 -1.86004436],-2.11157,"[ 1.10861305  2.06716841  0.02189077  0.74960396 -1.42806258  1.4842505
 -0.54952773  0.34717854  2.45832793 -1.31605374  0.        ]",[-0.13879825 -0.09410618],[ 2.39841988 -0.46714247]
1,-0.402322219729,"[[ 0.04742346  0.02389814 -0.15988728  0.17175065]
 [ 3.95745176 -1.84825216  0.          0.        ]]",[ 1.46431661 -1.88303208],-2.03524,"[ 1.10708307  2.06795696  0.08162956  0.69402984 -1.42804839  1.48423496
 -0.36178583  0.09681449  2.45646269 -1.26427225  0.        ]",[-0.13879825 -0.09410618],[ 1.08988121 -2.62189819]
2,-0.394591610444,"[[ 0.16549293 -0.05244275 -0.15988728  0.17175065]
 [ 7.83657699 -5.77274968  0.          0.        ]]",[ 1.27820802 -1.92406058],-2.13772,"[ 1.08964146  2.06645849  0.25819919  0.46483522 -1.4280342   1.48421942
 -0.1777193  -0.43392569  2.44431958 -1.13017061  0.        ]",[-0.13879825 -0.09410618],[-0.13474339 -1.43915566]
3,-0.386397971888,"[[ 0.31533642 -0.20647597 -0.15988728  0.17175065]
 [ 7.15005436 -9.61775415  0.          0.        ]]",[ 1.12830174 -1.94831371],-2.12793,"[ 1.04007233  2.03974484  0.47700247  0.0065562  -1.42802001  1.48420388
 -0.21029444 -0.95391248  2.41892594 -1.01432021  0.        ]",[-0.13879825 -0.09410618],[ 0.4719454  -0.73643643]
4,-0.378359312582,"[[  0.47566163  -0.42618349  -0.15988728   0.17175065]
 [  8.87672873 -12.34388993   0.           0.        ]]",[ 0.99192858 -1.96639621],-1.98347,"[ 0.95427399  1.94811161  0.69940543 -0.61928476 -1.42800582  1.48418834
 -0.12836216 -1.32257929  2.3781113  -0.94633389  0.        ]",[-0.13879825 -0.09410618],[ 1.27098677 -1.96257784]
5,-0.363978489764,"[[  0.69114269  -0.71034857  -0.15988728   0.17175065]
 [ 12.658851   -16.06015474   0.           0.        ]]",[ 0.8319751  -1.96988821],-1.8965,"[ 0.78954331  1.74340194  0.96951209 -1.33615529 -1.42799164  1.4841728
  0.05110247 -1.82513455  2.29346799 -0.86083654  0.        ]",[-0.13879825 -0.09410618],[ 0.52207672 -2.73071664]
6,-0.341768351466,"[[  0.96254831  -1.06808951  -0.15988728   0.17175065]
 [ 14.47570276 -19.70172489   0.           0.        ]]",[ 0.71247792 -1.93192863],-1.77701,"[ 0.51272392  1.3722864   1.24524435 -2.00940801 -1.42797745  1.48415726
  0.1373134  -2.31756206  2.14560653 -0.78805281  0.        ]",[-0.13879825 -0.09410618],[ 1.66439    -2.86840113]
7,-0.311312955387,"[[  1.28890829  -1.49793745  -0.15988728   0.17175065]
 [ 18.14822137 -23.2710092    0.           0.        ]]",[ 0.67323565 -1.83761096],-1.79035,"[ 0.10496392  0.82301343  1.45573402 -2.37294595 -1.42796326  1.48414172
  0.31157743 -2.80017427  1.92127661 -0.76543902  0.        ]",[-0.13879825 -0.09410618],[ 0.2411106  -2.41455382]
8,-0.277153278136,"[[  1.657862    -1.99844937  -0.15988728   0.17175065]
 [ 18.74508835 -26.76852169   0.           0.        ]]",[ 0.76988244 -1.67529869],-1.77398,"[-0.40271857  0.16828812  1.50941199 -2.11041226 -1.42794908  1.48412618
  0.33989829 -3.27302543  1.62968713 -0.85054405  0.        ]",[-0.13879825 -0.09410618],[-0.36312703 -1.17971596]
9,-0.252416165936,"[[  2.01462867  -2.56821783  -0.15988728   0.17175065]
 [ 16.93734332 -30.19704631   0.           0.        ]]",[ 0.83333057 -1.56550574],-1.59077,"[-0.87886724 -0.40291659  1.36929692 -1.00682662 -1.42793489  1.48411065
  0.25411736 -3.73647506  1.30985568 -1.10052775  0.        ]",[-0.13879825 -0.09410618],[ 1.79504444 -2.13815787]
