Pretrain Labels,Total Labels,Environment,Experiment Name,Run Time,Run Name,Pretrain Iterations,Network Type,Label Schedule
100 ,1000 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510639366 ,10000 ,,Annealing 
75 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511691984 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511708615 ,10000 ,Tiny ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511463304 ,10000 ,MLP ,Annealing 
10 ,800 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511244799 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511705173 ,10000 ,MLP ,Annealing 
100 ,1000 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510642825 ,10000 ,,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511580748 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511609625 ,10000 ,Tiny ,Annealing 
25 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511432559 ,10000 ,MLP ,Annealing 
10 ,200 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511555753 ,10000 ,MLP ,Annealing 
10 ,800 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511334339 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,900 ,reacher/ToySyntheticRecordData-1511538425 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511448072 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,900 ,reacher/ToySyntheticRecordData-1511284824 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511712914 ,10000 ,Deep ,Annealing 
10 ,100 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511307800 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,1800 ,reacher/ToySyntheticRecordData-1511207926 ,10000 ,MLP ,Annealing 
50 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511435981 ,10000 ,MLP ,Annealing 
10 ,300 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510685306 ,10000 ,,Annealing 
10 ,700 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511495825 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511338344 ,10000 ,MLP ,Annealing 
100 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511600010 ,10000 ,MLP ,Annealing 
10 ,800 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511499238 ,10000 ,MLP ,Annealing 
100 ,1000 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1510646924 ,10000 ,,Annealing 
10 ,400 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511319430 ,10000 ,MLP ,Annealing 
100 ,900 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511523635 ,10000 ,MLP ,Annealing 
10 ,300 ,reacher ,toysyntheticrecorddata ,3600 ,reacher/ToySyntheticRecordData-1511644979 ,10000 ,MLP ,Annealing 
10 ,900 ,reacher ,toysyntheticrecorddata ,900 ,reacher/ToySyntheticRecordData-1511306630 ,10000 ,MLP ,Annealing 
