timestep,obs,human_obs,actions,rewards,avg_action_dist,logstd_action_dist,original_rewards
0,"[ 0.98191617  1.86533376  0.17054565 -0.72707163 -0.81728088 -0.74718714
  0.25873203 -0.36209263  2.05267874  0.86420246  0.        ]","[[ 0.06664122  0.03462807 -0.09371664 -0.08838602]
 [ 0.00342111  0.00216157  0.          0.        ]]",[-0.35398533  0.68438493],-0.320995991404,[-0.57445228  1.34674358],[-0.28459194 -0.16123588],-0.320995991404
1,"[ 0.98312376  1.86363268  0.14899579 -0.64600734 -0.81727878 -0.74718534
  0.11452218  0.03056332  2.05208613  0.86467122  0.        ]","[[ 0.05264854  0.06186548 -0.09371664 -0.08838602]
 [-1.3980196   2.71254379  0.          0.        ]]",[ 0.5581144   1.55204107],-0.320943780485,[-0.55537748  1.28061855],[-0.28459194 -0.16123588],-0.320943780485
2,"[ 0.98352208  1.85061219  0.14044939 -0.36934792 -0.81727667 -0.74718354
  0.34440209  0.59628749  2.0403285   0.94661599  0.        ]","[[ 0.04710232  0.15529667 -0.09371664 -0.08838602]
 [ 0.83597341  6.61756442  0.          0.        ]]",[-0.49929072  0.87446069],-0.322630032625,[-0.65798748  1.15432453],[-0.28459194 -0.16123588],-0.322630032625
3,"[ 0.98373518  1.80038644  0.13540011  0.1101489  -0.81727457 -0.74718174
  0.13933021  1.07903172  2.0012242   1.10000455  0.        ]","[[ 0.04382632  0.32108156 -0.09371664 -0.08838602]
 [-1.15692301  9.94981418  0.          0.        ]]",[-0.8529285   0.62076411],-0.324453180034,[-0.64356238  0.98148656],[-0.28459194 -0.16123588],-0.324453180034
4,"[ 0.98500422  1.6813469   0.04783515  0.7088392  -0.81727246 -0.74717994
 -0.20560132  1.40675328  1.94040011  1.19725175  0.        ]","[[ -0.0129442    0.54277546  -0.09371664  -0.08838602]
 [ -4.50898267  12.21201368   0.           0.        ]]",[-0.76411048  0.70357288],-0.321969567232,[-0.48925585  0.86013365],[-0.28459194 -0.16123588],-0.321969567232
5,"[ 0.9723883   1.46461887 -0.13612517  1.33317404 -0.81727036 -0.74717815
 -0.50757929  1.7754365   1.85995925  1.21228657  0.        ]","[[ -0.13256762   0.8125508   -0.09371664  -0.08838602]
 [ -7.44362021  14.75699595   0.           0.        ]]",[-0.88695592  1.28441986],-0.313567240375,[-0.25549021  0.79340428],[-0.28459194 -0.16123588],-0.313567240375
6,"[ 0.91362513  1.11229086 -0.41045824  1.88279501 -0.81726825 -0.74717635
 -0.85366407  2.30681546  1.74000563  1.1591512   0.        ]","[[ -0.31518415   1.14449491  -0.09371664  -0.08838602]
 [-10.80689727  18.42510452   0.           0.        ]]",[ 1.08089802  1.19270309],-0.297317517353,[ 0.04246654  0.7452814 ],[-0.28459194 -0.16123588],-0.297317517353
7,"[ 0.8146942   0.60880176 -0.65758322  2.14875258 -0.81726615 -0.74717455
 -0.42451148  2.82737549  1.52592518  1.14813525  0.        ]","[[ -0.48948174   1.54905136  -0.09371664  -0.08838602]
 [ -6.63639789  22.01867277   0.           0.        ]]",[ 0.74733383  0.04554639],-0.272856225886,[ 0.04775696  0.71961945],[-0.28459194 -0.16123588],-0.272856225886
8,"[ 0.73877587  0.06143889 -0.79210628  1.89524264 -0.81726404 -0.74717275
 -0.10651013  2.79023816  1.21306896  1.18154397  0.        ]","[[ -0.59120507   1.98685464  -0.09371664  -0.08838602]
 [ -3.54606485  21.76258161   0.           0.        ]]",[ 0.51080444 -0.73700894],-0.24135616916,[ 0.01668757  0.75888133],[-0.28459194 -0.16123588],-0.24135616916
9,"[ 0.69691101 -0.35678722 -0.85494764  1.20754892 -0.81726193 -0.74717095
  0.10891138  2.30502464  0.88848397  1.14414416  0.        ]","[[ -0.64112137   2.38850207  -0.09371664  -0.08838602]
 [ -1.45260172  18.41335654   0.           0.        ]]",[-0.86165737  0.43753836],-0.2064292312,[-0.06684376  0.79888666],[-0.28459194 -0.16123588],-0.2064292312
10,"[ 0.6399665  -0.61684503 -0.93094072  0.25030299 -0.81725983 -0.74716915
 -0.23910235  2.5031534   0.5989472   0.99413577  0.        ]","[[ -0.70410468   2.77049376  -0.09371664  -0.08838602]
 [ -4.83459     19.7812225    0.           0.        ]]",[ 0.77046491  1.75685399],-0.168332757036,[ 0.09768216  0.7927708 ],[-0.28459194 -0.16123588],-0.168332757036
11,"[ 0.57647624 -0.70430739 -1.0053484  -0.81372403 -0.81725772 -0.74716736
  0.08460947  0.78460714  0.39924452  0.81488678  0.        ]","[[-0.76922903  3.13604665 -0.09371664 -0.08838602]
 [-1.68877386  7.91810811  0.          0.        ]]",[ 0.13453327  0.39827822],-0.136557367799,[-0.08046306  0.73352689],[-0.28459194 -0.16123588],-0.136557367799
12,"[ 0.54769701 -0.70414343 -1.03606672 -0.88040423 -0.81725562 -0.74716556
  0.14281305 -0.71758685  0.343143    0.75165493  0.        ]","[[-0.79733093  3.1584265  -0.09371664 -0.08838602]
 [-1.12315313 -2.45154509  0.          0.        ]]",[ 0.32197217  0.12364856],-0.126616033658,[-0.17968282  0.83430362],[-0.28459194 -0.16123588],-0.126616033658
13,"[ 0.53783735 -0.70313191 -1.04619976 -0.70194191 -0.81725351 -0.74716376
  0.27627727 -0.78967824  0.38400026  0.79655408  0.        ]","[[-0.80678105  3.09852008 -0.09371664 -0.08838602]
 [ 0.17384573 -2.94920507  0.          0.        ]]",[ 0.32812932  1.32481641],-0.133762921808,[-0.21761793  0.84455931],[-0.28459194 -0.16123588],-0.133762921808
14,"[ 0.55496769 -0.69914926 -1.02845798 -0.56316643 -0.81725141 -0.74716196
  0.40961558 -0.61398776  0.4135946   0.82720402  0.        ]","[[-0.79030318  3.05183963 -0.09371664 -0.08838602]
 [ 1.46962202 -1.73642472  0.          0.        ]]",[-0.90155253  0.57534528],-0.138789943009,[-0.24307024  0.83098316],[-0.28459194 -0.16123588],-0.138789943009
15,"[ 0.54802035 -0.69574056 -1.03571762 -0.48650844 -0.8172493  -0.74716016
  0.03931204 -0.49431906  0.43185051  0.84336949  0.        ]","[[-0.79701634  3.02597623 -0.09371664 -0.08838602]
 [-2.12894751 -0.91036037  0.          0.        ]]",[-0.19009544  1.24124208],-0.14167138869,[-0.15331915  0.80076063],[-0.28459194 -0.16123588],-0.14167138869
16,"[ 0.49518509 -0.69378603 -1.08792336 -0.44953746 -0.8172472  -0.74715836
 -0.0337979  -0.42097563  0.4467694   0.84912324  0.        ]","[[-0.84672368  3.01347612 -0.09371664 -0.08838602]
 [-2.8394214  -0.40407794  0.          0.        ]]",[ 1.69741047  1.27517728],-0.14343060142,[-0.14318314  0.78451347],[-0.28459194 -0.16123588],-0.14343060142
17,"[ 0.47711512 -0.69286639 -1.10462457 -0.43336343 -0.81724509 -0.74715656
  0.3794108  -0.38768217  0.45277935  0.85138947  0.        ]","[[-0.86322315  3.00800151 -0.09371664 -0.08838602]
 [ 1.1760905  -0.17425909  0.          0.        ]]",[-0.22101245  0.20423351],-0.144137128396,[-0.24091578  0.79671425],[-0.28459194 -0.16123588],-0.144137128396
18,"[ 0.49301671 -0.69231359 -1.08994841 -0.42396642 -0.81724298 -0.74715477
  0.28696877 -0.38154714  0.45314544  0.85380101  0.        ]","[[-0.84871461  3.00481907 -0.09371664 -0.08838602]
 [ 0.27775739 -0.13191387  0.          0.        ]]",[ 0.43525843  0.00390054],-0.144361709099,[-0.21588385  0.79572093],[-0.28459194 -0.16123588],-0.144361709099
19,"[ 0.51758703 -0.69187773 -1.06640593 -0.41671598 -0.81724088 -0.74715297
  0.46373731 -0.37892009  0.45191649  0.85628306  0.        ]","[[-0.82592406  3.0023627  -0.09371664 -0.08838602]
 [ 1.99557353 -0.11378412  0.          0.        ]]",[ 0.39437929  0.17754421],-0.144452809033,[-0.25587663  0.80464482],[-0.28459194 -0.16123588],-0.144452809033
20,"[ 0.57493847 -0.69164821 -1.00699354 -0.41296149 -0.81723877 -0.74715117
  0.62035126 -0.36684781  0.44541944  0.85944328  0.        ]","[[-0.77074226  3.00109052 -0.09371664 -0.08838602]
 [ 3.51753324 -0.03045438  0.          0.        ]]",[-0.48725533 -0.70259269],-0.144141178071,[-0.28461793  0.81658411],[-0.28459194 -0.16123588],-0.144141178071
21,"[ 0.62445363 -0.68599759 -0.94998797 -0.32900824 -0.81723667 -0.74714937
  0.41465201 -0.76978568  0.45742924  0.87953881  0.        ]","[[-0.72044763  2.97257407 -0.09371664 -0.08838602]
 [ 1.51859333 -2.81191872  0.          0.        ]]",[ 0.45298123 -0.80855847],-0.146798465714,[-0.25276446  0.8530606 ],[-0.28459194 -0.16123588],-0.146798465714
22,"[ 0.66919603 -0.66215854 -0.89310404 -0.07337412 -0.81723456 -0.74714757
  0.59609937 -1.22550398  0.5086696   0.93764399  0.        ]","[[-0.67238418  2.88477267 -0.09371664 -0.08838602]
 [ 3.28187508 -5.95774028  0.          0.        ]]",[-0.94490621  1.1160698 ],-0.155911654613,[-0.30525532  0.94133937],[-0.28459194 -0.16123588],-0.155911654613
23,"[ 0.69357965 -0.63283696 -0.85960939  0.14958216 -0.81723246 -0.74714577
  0.20445482 -0.63482594  0.55762936  0.98690574  0.        ]","[[-0.64493272  2.80652769 -0.09371664 -0.08838602]
 [-0.52404237 -1.88034091  0.          0.        ]]",[-1.0241987   0.73750075],-0.164119714088,[-0.20599747  0.86247098],[-0.28459194 -0.16123588],-0.164119714088
24,"[ 0.64842947 -0.62944382 -0.92018727  0.17188116 -0.81723035 -0.74714398
 -0.20188599 -0.20641507  0.57559879  0.98209925  0.        ]","[[-0.69503246  2.79859232 -0.09371664 -0.08838602]
 [-4.47277557  1.0769441   0.          0.        ]]",[-0.89632187  1.07530229],-0.165316604931,[-0.08549302  0.81716061],[-0.28459194 -0.16123588],-0.165316604931
25,"[ 0.52472651 -0.6535594  -1.05933566 -0.00119933 -0.81722825 -0.74714218
 -0.55794357  0.36408169  0.55650271  0.93026222  0.        ]","[[-0.81920411  2.85964349 -0.09371664 -0.08838602]
 [-7.93287014  5.01503796  0.          0.        ]]",[ 1.18182467  0.98350521],-0.15954876852,[ 0.01872582  0.75887978],[-0.28459194 -0.16123588],-0.15954876852
26,"[ 0.39375137 -0.6910813  -1.17492371 -0.40391152 -0.81722614 -0.74714038
 -0.13434482  0.91386462  0.46962748  0.85218662  0.        ]","[[-0.93656032  2.99802174 -0.09371664 -0.08838602]
 [-3.81644379  8.81015442  0.          0.        ]]",[ 0.48828351 -1.43216726],-0.145686063342,[-0.05049387  0.72986335],[-0.28459194 -0.16123588],-0.145686063342
27,"[ 0.32674854 -0.70108535 -1.22429111 -0.61953733 -0.81722404 -0.74713858
  0.07233026 -0.37924559  0.41760499  0.81293604  0.        ]","[[-0.99273873  3.07081962 -0.09371664 -0.08838602]
 [-1.80802822 -0.11606316  0.          0.        ]]",[-0.72498255  0.33551382],-0.137996263198,[-0.19487831  0.75261533],[-0.28459194 -0.16123588],-0.137996263198
28,"[ 0.24661945 -0.69909399 -1.27601227 -0.56228879 -0.81722193 -0.74713678
 -0.21937143 -0.54688058  0.44146225  0.82181966  0.        ]","[[-1.05734082  3.0515449  -0.09371664 -0.08838602]
 [-4.64270824 -1.27323706  0.          0.        ]]",[ 0.07803745  1.03114029],-0.140797652459,[-0.18389556  0.73084915],[-0.28459194 -0.16123588],-0.140797652459
29,"[ 0.13165099 -0.69624884 -1.33793796 -0.49724663 -0.81721983 -0.74713499
 -0.17811603 -0.48891754  0.46908153  0.82550316  0.        ]","[[-1.14617259  3.0296049  -0.09371664 -0.08838602]
 [-4.24180297 -0.87313133  0.          0.        ]]",[ 0.47577154  0.91706   ],-0.143546278767,[-0.20228544  0.71078289],[-0.28459194 -0.16123588],-0.143546278767
30,"[ 0.04435902 -0.69422774 -1.37629944 -0.4579606  -0.81721772 -0.74713319
  0.02437143 -0.43147034  0.48709734  0.82408231  0.        ]","[[-1.21126594  3.01632747 -0.09371664 -0.08838602]
 [-2.27409113 -0.47658578  0.          0.        ]]",[-1.28104355  0.24689219],-0.14506337575,[-0.23658538  0.71131599],[-0.28459194 -0.16123588],-0.14506337575
31,"[-0.07248423 -0.69297564 -1.41706052 -0.43561738 -0.81721562 -0.74713139
 -0.3784259  -0.40325302  0.50214621  0.81729013  0.        ]","[[-1.29602083  3.00876653 -0.09371664 -0.08838602]
 [-6.18835333 -0.28181035  0.          0.        ]]",[ 0.7592508   2.02402772],-0.145920149709,[-0.18438739  0.66445267],[-0.28459194 -0.16123588],-0.145920149709
