timestep,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist,avg_action_dist
0,"[ 0.95773895  1.68765938  0.08058634 -1.21221115 -0.97742639  1.19103452
  0.26304688 -0.35127111  2.47241485 -1.59268788  0.        ]",[ 5.27905647  1.60310775],-0.350508439657,-0.350508439657,"[[ 0.03384441 -0.07954518 -0.11243874  0.13620037]
 [ 0.002282    0.00087341  0.          0.        ]]",[-0.22935538 -0.29722205],[ 4.36284494  3.18541718]
1,"[ 0.95444422  1.69066163  0.14061271 -1.10424891 -0.97742473  1.19103203
  0.65342691  0.2557588   2.47094398 -1.46297646  0.        ]",[ 3.42615128  3.33640339],-0.345562213461,-0.345562213461,"[[ 0.07356469 -0.03981546 -0.11243874  0.13620037]
 [ 3.95658314  3.958913    0.          0.        ]]",[-0.22935538 -0.29722205],[ 3.45656133  2.43264198]
2,"[ 0.93035885  1.68777383  0.31756971 -0.78296752 -0.97742308  1.19102954
  1.03608873  0.85077386  2.42132923 -1.08187883  0.        ]",[ 1.61095566  0.68821478],-0.328586407449,-0.328586407449,"[[ 0.19158654  0.07828911 -0.11243874  0.13620037]
 [ 7.83271262  7.83861524  0.          0.        ]]",[-0.22935538 -0.29722205],[ 2.30488491  1.57505238]
3,"[ 0.84475441  1.64872073  0.59970382 -0.29382519 -0.97742143  1.19102705
  1.41125155  1.24466592  2.20575101 -0.51351929  0.        ]",[ 1.10522719  0.10883814],-0.294589509765,-0.294589509765,"[[  0.38636851   0.26083037  -0.11243874   0.13620037]
 [ 11.63290069  10.40693841   0.           0.        ]]",[-0.22935538 -0.29722205],[ 1.10540819  0.87003791]
4,"[ 0.63762175  1.55331287  0.95303647  0.23998456 -0.97741978  1.19102456
  1.77912964  1.27889997  1.71676305  0.06255921  0.        ]",[ 0.24192923  0.56904257],-0.240051649314,-0.240051649314,"[[  0.65641389   0.47120932  -0.11243874   0.13620037]
 [ 15.35933028  10.63017471   0.           0.        ]]",[-0.22935538 -0.29722205],[-0.31058794  0.14959916]
5,"[ 0.28696292  1.38961395  1.27797834  0.76686643 -0.97741813  1.19102207
  1.84366578  1.59205383  0.98093274  0.38440686  0.        ]",[-3.1856982  -1.67115216],-0.167131602488,-0.167131602488,"[[  0.97015868   0.70430025  -0.11243874   0.13620037]
 [ 16.01311138  12.67207429   0.           0.        ]]",[-0.22935538 -0.29722205],[-1.57102442 -0.80249894]
6,"[-0.09540488  1.19580758  1.46450239  1.16261653 -0.97741647  1.19101958
  1.42205914  0.94642522  0.30367388  0.3249209   0.        ]",[-0.92376054  0.16455736],-0.0966549787525,-0.0966549787525,"[[  1.24757479   0.9155042   -0.11243874   0.13620037]
 [ 11.74253233   8.46236444   0.           0.        ]]",[-0.22935538 -0.29722205],[-1.81902051 -0.99027729]
7,"[-0.38981463  1.00975705  1.53061254  1.41737212 -0.97741482  1.19101709
  1.03836544  1.02077675 -0.13012441  0.07965481  0.        ]",[-2.02602404 -1.71283567],-0.0434327893502,-0.0434327893502,"[[ 1.44343086  1.08961559 -0.11243874  0.13620037]
 [ 7.85596599  8.94717362  0.          0.        ]]",[-0.22935538 -0.29722205],[-1.86148632 -1.42636168]
8,"[-0.56826997  0.85003792  1.54276761  1.56724615 -0.97741317  1.1910146
  0.63253942  0.38648362 -0.35139203 -0.16372161  0.        ]",[-2.15931534 -0.8916452 ],-0.01065063442,-0.01065063442,"[[ 1.55930725  1.22706308 -0.11243874  0.13620037]
 [ 3.7452011   4.81136767  0.          0.        ]]",[-0.22935538 -0.29722205],[-1.59983683 -1.20920968]
9,"[-0.62150671  0.77777475  1.54246342  1.61753489 -0.97741152  1.19101211
  0.23466523 -0.16944838 -0.41107971 -0.26488524  0.        ]",[-0.53778882  0.44932059],-0.00875356556011,-0.00875356556011,"[[ 1.5937755   1.28692099 -0.11243874  0.13620037]
 [-0.28501994  1.18650226  0.          0.        ]]",[-0.22935538 -0.29722205],[-0.7250911 -0.5594272]
