timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 0.97628979  1.84199997  0.09708483 -1.13297058  0.07445231 -0.41206826
  0.42685667 -0.34226096  1.30817868  0.34727469  0.        ]",[-1.73145382  1.48111168],-0.207155443291,-0.207155443291,[-0.71693349  1.37902665],"[[ 0.07259334 -0.08371092  0.00973483 -0.0479642 ]
 [-0.00420639 -0.00440923  0.          0.        ]]",[-0.26997578 -0.13830787]
1,"[ 0.97943117  1.84527719  0.03686739 -1.02137815  0.07445224 -0.41206782
  0.09400543  0.21735561  1.30986756  0.30999213  0.        ]",[-1.53318032  0.21698892],-0.206355500256,-0.206355500256,[-0.51070821  1.20630801],"[[ 0.03280409 -0.04405496  0.00973483 -0.0479642 ]
 [-3.96153685  3.95679942  0.          0.        ]]",[-0.26997578 -0.13830787]
2,"[ 0.97477903  1.84533321 -0.14201841 -0.77616331  0.07445218 -0.41206738
 -0.23215864  0.32788167  1.30661729  0.16757563  0.        ]",[ 0.77464328  0.6523919 ],-0.202807343074,-0.202807343074,[-0.10545954  1.30847144],"[[-0.08533401  0.0429307   0.00973483 -0.0479642 ]
 [-7.83936252  4.73915212  0.          0.        ]]",[-0.26997578 -0.13830787]
3,"[ 0.94733934  1.8293904  -0.32853346 -0.44047108  0.07445211 -0.41206694
  0.0385486   0.6793883   1.29163349  0.04753025  0.        ]",[ 0.44359375 -0.46194545],-0.1991620052,-0.1991620052,[-0.14737141  1.15996492],"[[-0.20982932  0.16267779  0.00973483 -0.0479642 ]
 [-4.62087809  7.22726973  0.          0.        ]]",[-0.26997578 -0.13830787]
4,"[ 0.92027505  1.79328511 -0.43709928 -0.09778013  0.07445204 -0.4120665
  0.19389739  0.40066488  1.27802941  0.03287598  0.        ]",[ 0.23535252  0.99024946],-0.197321604927,-0.197321604927,[-0.14398007  1.27027547],"[[-0.28371571  0.28742821  0.00973483 -0.0479642 ]
 [-2.77390954  5.2543526   0.          0.        ]]",[-0.26997578 -0.13830787]
5,"[ 0.8996393   1.72795183 -0.50298456  0.28042117  0.07445197 -0.41206606
  0.27670581  0.939849    1.2623398   0.09261867  0.        ]",[ 0.36648934  1.32659557],-0.196160401427,-0.196160401427,[-0.30012947  0.95869088],"[[-0.32931618  0.4308082   0.00973483 -0.0479642 ]
 [-1.78938485  9.07093026  0.          0.        ]]",[-0.26997578 -0.13830787]
6,"[ 0.8891929   1.58180224 -0.53284563  0.80971267  0.0744519  -0.41206562
  0.40153767  1.47378797  1.22159464  0.27392343  0.        ]",[-0.75805009  0.65672652],-0.194829945601,-0.194829945601,[-0.55804533  0.63923329],"[[ -3.50213832e-01   6.50147366e-01   9.73483271e-03  -4.79642027e-02]
 [ -3.05236638e-01   1.28503990e+01   0.00000000e+00   0.00000000e+00]]",[-0.26997578 -0.13830787]
7,"[ 0.86967998  1.32395094 -0.58394158  1.36448799  0.07445183 -0.41206518
  0.1497599   1.80533964  1.12226373  0.4712488   0.        ]",[ 0.4610349   0.34814829],-0.18934060727,-0.18934060727,[-0.41338477  0.48353717],"[[ -3.86352246e-01   9.30702980e-01   9.73483271e-03  -4.79642027e-02]
 [ -3.29865325e+00   1.51973096e+01   0.00000000e+00   0.00000000e+00]]",[-0.26997578 -0.13830787]
8,"[ 0.84158498  0.96370844 -0.64928685  1.77478361  0.07445177 -0.41206474
  0.30871663  1.95749934  0.95822096  0.64475137  0.        ]",[-0.86806703 -0.35542475],-0.178651628868,-0.178651628868,[-0.50094837  0.44335437],"[[ -4.33365034e-01   1.24545594e+00   9.73483271e-03  -4.79642027e-02]
 [ -1.40879420e+00   1.62744226e+01   0.00000000e+00   0.00000000e+00]]",[-0.26997578 -0.13830787]
9,"[ 0.79969575  0.57129444 -0.73375832  1.92228492  0.0744517  -0.4120643
  0.02220478  1.71324833  0.7602464   0.74244777  0.        ]",[ 0.39718727 -0.38167215],-0.163528324073,-0.163528324073,[-0.28151467  0.51986939],"[[ -4.95716127e-01   1.55359858e+00   9.73483271e-03  -4.79642027e-02]
 [ -4.81516439e+00   1.45455476e+01   0.00000000e+00   0.00000000e+00]]",[-0.26997578 -0.13830787]
10,"[ 0.7388169   0.22086304 -0.83744461  1.83104023  0.07445163 -0.41206386
  0.16249003  1.4590157   0.57051868  0.75871677  0.        ]",[-0.8877089   0.26161653],-0.14636830736,-0.14636830736,[-0.35521537  0.49331069],"[[ -5.75285388e-01   1.82645382e+00   9.73483271e-03  -4.79642027e-02]
 [ -3.14729762e+00   1.27460010e+01   0.00000000e+00   0.00000000e+00]]",[-0.26997578 -0.13830787]
11,"[ 0.65333785 -0.09397384 -0.95740448  1.55213454  0.07445156 -0.41206342
 -0.12780659  1.5697354   0.38183773  0.72457023  0.        ]",[ 0.10934907  1.30011801],-0.12723991324,-0.12723991324,[-0.16852394  0.52493399],"[[ -6.72858863e-01   2.08923809e+00   9.73483271e-03  -4.79642027e-02]
 [ -6.59866067e+00   1.35297621e+01   0.00000000e+00   0.00000000e+00]]",[-0.26997578 -0.13830787]
12,"[ 0.52623412 -0.40505336 -1.09920356  1.01402528  0.07445149 -0.41206298
 -0.08041121  2.09124522  0.15270263  0.64891916  0.        ]",[ 0.10001968  0.59626656],-0.103400759488,-0.103400759488,[-0.11885914  0.47200087],"[[ -7.99179280e-01   2.39687191e+00   9.73483271e-03  -4.79642027e-02]
 [ -6.03517418e+00   1.72213309e+01   0.00000000e+00   0.00000000e+00]]",[-0.26997578 -0.13830787]
13,"[ 0.39534268 -0.65596325 -1.21378285  0.1488259   0.07445142 -0.41206255
 -0.03703143  2.37659499 -0.1362672   0.53962883  0.        ]",[ 0.79376594 -0.25516484],-0.0775398201224,-0.0775398201224,[-0.07057159  0.40892813],"[[ -9.14708339e-01   2.76156522e+00   9.73483271e-03  -4.79642027e-02]
 [ -5.51942958e+00   1.92412814e+01   0.00000000e+00   0.00000000e+00]]",[-0.26997578 -0.13830787]
14,"[ 0.30025915 -0.74652767 -1.28197323 -0.74042608  0.07445136 -0.41206211
  0.23646324  0.65737266 -0.35265184  0.4220858   0.        ]",[-0.16390089  0.48526022],-0.0622358936629,-0.0622358936629,[-0.3208141  0.292882 ],"[[-0.99246951  3.08596835  0.00973483 -0.0479642 ]
 [-2.26783386  7.07171949  0.          0.        ]]",[-0.26997578 -0.13830787]
15,"[ 0.23462327 -0.74809229 -1.32287555 -0.82367537  0.07445129 -0.41206167
  0.18562412 -0.55765164 -0.41068247  0.38284005  0.        ]",[ 0.32013644  0.72237836],-0.0591691548859,-0.0591691548859,[-0.28155068  0.50892991],"[[-1.04389178  3.1155167   0.00973483 -0.0479642 ]
 [-2.87226038 -1.52886756  0.          0.        ]]",[-0.26997578 -0.13830787]
