timestep,avg_action_dist,actions,rewards,original_rewards,obs,human_obs,logstd_action_dist
0,[ 0.90967     1.85190618],[ 1.42261845  1.31513486],-0.3639277146,-0.3639277146,"[ 0.99594435  1.52594399 -0.17604209 -1.34127322 -1.29064215 -0.84175207
  0.32152153 -0.31761773  2.92322336  0.55718563  0.        ]","[[-0.09135558 -0.08537003 -0.14935744 -0.0979753 ]
 [-0.00256307 -0.00251984  0.          0.        ]]",[-0.46957034 -0.26440722]
1,[ 0.92364144  1.60097277],[ 0.78766671  1.41526582],-0.367976621558,-0.367976621558,"[ 1.00026246  1.52923454 -0.11724506 -1.23861707 -1.29064025 -0.84175128
  0.71080581  0.28770211  2.93682068  0.69637006  0.        ]","[[-0.05173122 -0.04570749 -0.14935744 -0.0979753 ]
 [ 3.95183452  3.95558737  0.          0.        ]]",[-0.46957034 -0.26440722]
2,[ 1.05934262  1.41114938],[ 1.09347137  0.83479781],-0.377198809094,-0.377198809094,"[ 0.99975749  1.5272403   0.0455831  -0.93262783 -1.29063834 -0.84175048
  1.00970441  0.88109107  2.93274233  1.09362795  0.        ]","[[ 0.05776896  0.07233451 -0.14935744 -0.0979753 ]
 [ 6.98808929  7.83568266  0.          0.        ]]",[-0.46957034 -0.26440722]
3,[ 1.18313241  1.26700771],[ 0.96972814 -0.46685433],-0.384766253155,-0.384766253155,"[ 0.96009167  1.48772834  0.30729122 -0.45163784 -1.29063644 -0.84174969
  1.38542819  1.36263984  2.79468962  1.70984632  0.        ]","[[  0.23582373   0.26064116  -0.14935744  -0.0979753 ]
 [ 10.8047536   10.98447813   0.           0.        ]]",[-0.46957034 -0.26440722]
4,[ 1.12420893  1.53142452],[ 1.46767937  0.65945683],-0.382064456238,-0.382064456238,"[ 0.82409117  1.39898413  0.65760138  0.03051467 -1.29063454 -0.84174889
  1.74216651  1.04643291  2.41184402  2.37889714  0.        ]","[[  0.48827721   0.45958586  -0.14935744  -0.0979753 ]
 [ 14.42858014   8.91685132   0.           0.        ]]",[-0.46957034 -0.26440722]
5,[ 0.77624393  1.2440753 ],[ 1.99787093  1.82291232],-0.361500422122,-0.361500422122,"[ 0.52471317  1.26245512  1.04101682  0.47506399 -1.29063264 -0.8417481
  2.10353373  1.41847106  1.73416899  2.88698017  0.        ]","[[  0.81367806   0.6623318   -0.14935744  -0.0979753 ]
 [ 18.09945632  11.34957456   0.           0.        ]]",[-0.46957034 -0.26440722]
6,[-0.33807325  0.24545985],[-0.65003411  1.02457545],-0.310745082647,-0.310745082647,"[ 0.01311445  1.02389851  1.35258757  0.9542402  -1.29063074 -0.8417473
  2.45785284  1.98928238  0.78212617  2.93320609  0.        ]","[[  1.21177674   0.92677365  -0.14935744  -0.0979753 ]
 [ 21.69877694  15.08207124   0.           0.        ]]",[-0.46957034 -0.26440722]
7,[-1.21176088 -0.74400234],[-1.23685796 -1.0352004 ],-0.229505254402,-0.229505254402,"[-0.59110694  0.64415121  1.44594507  1.35360745 -1.29062884 -0.84174651
  2.16265279  2.54903902 -0.01891598  2.29054522  0.        ]","[[  1.61566422   1.26513961  -0.14935744  -0.0979753 ]
 [ 18.70015381  18.74232227   0.           0.        ]]",[-0.46957034 -0.26440722]
8,[-1.13874876 -1.32273185],[-0.92260851 -2.2186051 ],-0.148481930106,-0.148481930106,"[-1.08198442  0.22997374  1.34377863  1.47297607 -1.29062694 -0.84174571
  1.73708164  1.8866974  -0.26979112  1.42569297  0.        ]","[[  1.94629776   1.59653178  -0.14935744  -0.0979753 ]
 [ 14.37716052  14.41136728   0.           0.        ]]",[-0.46957034 -0.26440722]
9,[-0.79165947 -1.50376415],[-1.87275708 -1.22226371],-0.0959246410866,-0.0959246410866,"[-1.41322511 -0.07727462  1.16742995  1.37890616 -1.29062504 -0.84174492
  1.3498538   1.23750122 -0.17068542  0.82058741  0.        ]","[[  2.19437818   1.84216703  -0.14935744  -0.0979753 ]
 [ 10.44364368  10.16634323   0.           0.        ]]",[-0.46957034 -0.26440722]
