timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[-2.2642982  -1.26357722],[-2.53872481 -1.88985537],-0.194536060641,-0.194536060641,"[[ 0.05067376 -0.05112994  0.12615694 -0.17058717]
 [ 0.00074303 -0.0004461   0.          0.        ]]","[ 1.01986177  1.93533071 -0.05485761  0.73311708  1.08346334 -1.46378104
  0.09711522  0.31174275  0.34087879  1.69283391  0.        ]",[-0.27900162 -0.14690769]
1,[-1.22364104 -0.64196956],[-2.3877903  -0.34196767],-0.183066346795,-0.183066346795,"[[ 0.01101335 -0.09085118  0.12615694 -0.17058717]
 [-3.95362656 -3.95849103  0.          0.        ]]","[ 1.0216297   1.93154472 -0.1154128   0.62743477  1.08346146 -1.46377737
 -0.28263196 -0.22109788  0.33903164  1.57696511  0.        ]",[-0.27900162 -0.14690769]
2,[-0.0410699  -0.20570552],[-0.1697662   1.04483842],-0.150665399951,-0.150665399951,"[[-0.10696059 -0.18280509  0.12615694 -0.17058717]
 [-7.83087537 -5.23265349  0.          0.        ]]","[ 1.01344682  1.91472057 -0.29532639  0.38452758  1.08345958 -1.4637737
 -0.65497283 -0.39262824  0.30011513  1.26233651  0.        ]",[-0.27900162 -0.14690769]
3,[ 0.36891183 -0.46477282],[-1.67007217 -0.44227721],-0.111426511763,-0.111426511763,"[[-0.26877854 -0.24668833  0.12615694 -0.17058717]
 [-8.34917594 -1.16920959  0.          0.        ]]","[ 0.96976351  1.89645752 -0.53791626  0.2180627   1.08345771 -1.46377003
 -0.70474567  0.15440228  0.19692904  0.90894542  0.        ]",[-0.27900162 -0.14690769]
4,[ 1.65888405 -0.03113857],[ 2.69999956 -0.27055152],-0.0649118871138,-0.0649118871138,"[[ -0.47378999  -0.28739542   0.12615694  -0.17058717]
 [-12.13936758  -2.89573389   0.           0.        ]]","[ 0.86232658  1.88204428 -0.82925497  0.11333318  1.08345583 -1.46376636
 -1.06872545 -0.07802671  0.00651971  0.53691302  0.        ]",[-0.27900162 -0.14690769]
5,[ 1.94436431  0.21749604],[ 1.41745233  0.56639397],-0.0162780272673,-0.0162780272673,"[[-0.67447409 -0.35549775  0.12615694 -0.17058717]
 [-7.94301359 -3.91112099  0.          0.        ]]","[ 0.70488469  1.85318469 -1.08624558 -0.05899045  1.08345395 -1.46376269
 -0.66573833 -0.21472062 -0.26827271  0.21481574  0.        ]",[-0.27900162 -0.14690769]
6,[ 1.44037282 -0.01766181],[ 1.79893024 -1.08872935],-0.016639176354,-0.016639176354,"[[-0.79207581 -0.41045639  0.12615694 -0.17058717]
 [-3.83082435 -1.59247366  0.          0.        ]]","[ 0.59105901  1.82563647 -1.2196491  -0.19495417  1.08345207 -1.46375902
 -0.27083412  0.09742195 -0.47015113  0.0589775   0.        ]",[-0.27900162 -0.14690769]
7,[ 1.13704872  0.31778282],[ 2.41903688  0.64942389],-0.0315922755668,-0.0315922755668,"[[-0.82822582 -0.4817322   0.12615694 -0.17058717]
 [ 0.2023879  -5.52200619  0.          0.        ]]","[ 0.55316991  1.7843938  -1.25771626 -0.36643882  1.08345019 -1.46375535
  0.11648569 -0.43158248 -0.58241412  0.0028314   0.        ]",[-0.27900162 -0.14690769]
8,[ 0.1891173  -0.03585362],[ 1.20988771  1.08966145],-0.032140910967,-0.032140910967,"[[-0.78453538 -0.56528947  0.12615694 -0.17058717]
 [ 4.15353488 -2.84263315  0.          0.        ]]","[ 0.59879509  1.72837786 -1.2115225  -0.55941864  1.08344831 -1.46375168
  0.49592445 -0.07087738 -0.59139628  0.02089246  0.        ]",[-0.27900162 -0.14690769]
9,[-1.00811958 -0.68743527],[ 0.11793512 -1.13053761],-0.0130074017113,-0.0130074017113,"[[-0.66260971 -0.58186266  0.12615694 -0.17058717]
 [ 8.02613223  1.17195948  0.          0.        ]]","[ 0.71552296  1.71631046 -1.07201352 -0.59655148  1.08344643 -1.46374801
  0.86781939  0.46957881 -0.4355812   0.13292411  0.        ]",[-0.27900162 -0.14690769]
