timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.0833343763861,[-1.85617576 -1.53356757],-0.0833343763861,[-1.54187238 -1.93063068],"[[-0.0602593  -0.09184823  0.15351645 -0.08526842]
 [-0.00302008  0.00316872  0.          0.        ]]","[ 1.05761914  1.53729192 -0.09813179  1.00569554  1.33148598 -0.7380848
 -0.0223422   0.32868155  0.13202013  0.89465778  0.        ]",[-0.64679378 -0.5774653 ]
1,-0.0729365405025,[ 0.63418151 -1.03026042],-0.0729365405025,[ 0.21003506 -0.65317214],"[[-0.09999432 -0.13149791  0.15351645 -0.08526842]
 [-3.95732681 -3.95494983  0.          0.        ]]","[ 1.05286926  1.53156063 -0.15606279  0.90200981  1.33148377 -0.73808412
 -0.53451869 -0.30507076  0.1127692   0.74636841  0.        ]",[-0.64679378 -0.5774653 ]
2,-0.0537309198733,[ 0.49413693  0.67909634],-0.0537309198733,[ 0.38451588  0.08534735],"[[-0.15316979 -0.2495491   0.15351645 -0.08526842]
 [-1.36885316 -7.83722599  0.          0.        ]]","[ 1.04284546  1.50259097 -0.23321234  0.59714606  1.33148156 -0.73808344
 -0.19924944 -0.92667911  0.04924013  0.47224237  0.        ]",[-0.64679378 -0.5774653 ]
3,-0.0416645926602,[-0.43733602 -1.26065745],-0.0416645926602,[-0.05572212 -0.29059479],"[[-0.16067381 -0.37776534  0.15351645 -0.08526842]
 [ 0.61187909 -4.99386963  0.          0.        ]]","[ 1.04109312  1.45133528 -0.24405363  0.27641544  1.33147935 -0.73808276
  0.05730279 -0.47141565 -0.0176345   0.30602376  0.        ]",[-0.64679378 -0.5774653 ]
4,-0.0304936776154,[ 1.51228455  1.46269385],-0.0304936776154,[ 1.07026088  0.91667473],"[[-0.16590281 -0.51637212  0.15351645 -0.08526842]
 [-1.12903222 -8.8539491   0.          0.        ]]","[ 1.03982258  1.37370659 -0.25160031 -0.05222829  1.33147715 -0.73808208
 -0.16818695 -1.08946993 -0.10647221  0.14661447  0.        ]",[-0.64679378 -0.5774653 ]
5,-0.0235560693938,[ 0.06428505  0.39505039],-0.0235560693938,[-0.22576669  0.07429993],"[[-0.14858213 -0.65197866  0.15351645 -0.08526842]
 [ 2.84793323 -4.72046229  0.          0.        ]]","[ 1.04387116  1.2768177  -0.22657761 -0.34968146  1.33147494 -0.73808139
  0.34692569 -0.42763745 -0.18921452  0.05324152  0.        ]",[-0.64679378 -0.5774653 ]
6,-0.0215608231467,[-0.71432057 -0.01549752],-0.0215608231467,[-0.53980786 -0.22162998],"[[-0.08964242 -0.72975619  0.15351645 -0.08526842]
 [ 3.04538801 -3.06281296  0.          0.        ]]","[ 1.05432612  1.21257869 -0.14098798 -0.50738578  1.33147273 -0.73808071
  0.3725006  -0.16222313 -0.19697056  0.10564374  0.        ]",[-0.64679378 -0.5774653 ]
7,-0.0192651555692,[-0.42653419 -0.00773434],-0.0192651555692,[ 0.27958468  0.14380985],"[[-0.05769405 -0.79101001  0.15351645 -0.08526842]
 [ 0.1590436  -3.06258271  0.          0.        ]]","[ 1.05783571  1.15785378 -0.09438482 -0.62416443  1.33147052 -0.73808003
 -0.00135095 -0.16218616 -0.21786818  0.11775499  0.        ]",[-0.64679378 -0.5774653 ]
8,-0.0158252342724,[ 0.67587114  0.54286739],-0.0158252342724,[ 0.94923067  0.44833449],"[[-0.07147686 -0.85195512  0.15351645 -0.08526842]
 [-1.53170552 -3.03203348  0.          0.        ]]","[ 1.05650615  1.10001108 -0.11450309 -0.73338935  1.33146832 -0.73807935
 -0.22034392 -0.15729467 -0.2805909   0.03992401  0.        ]",[-0.64679378 -0.5774653 ]
9,-0.0154311906066,[-0.0688927  -0.59962038],-0.0154311906066,[ 0.04177248 -0.22320005],"[[-0.07498438 -0.89043501  0.15351645 -0.08526842]
 [ 1.17197139 -0.82331089  0.          0.        ]]","[ 1.05612163  1.06184285 -0.11961983 -0.79858933  1.33146611 -0.73807867
  0.12984809  0.19635504 -0.31722131  0.00368818  0.        ]",[-0.64679378 -0.5774653 ]
10,-0.0138309773878,[ 0.25583052  0.83353468],-0.0138309773878,[ 0.32815799  0.4508709 ],"[[-0.05450513 -0.93055836  0.15351645 -0.08526842]
 [ 0.87692652 -3.18116678  0.          0.        ]]","[ 1.05809867  1.02075959 -0.08972741 -0.86334707  1.3314639  -0.73807798
  0.0916325  -0.18117339 -0.33328638  0.01356986  0.        ]",[-0.64679378 -0.5774653 ]
11,-0.0116145305588,[-1.1868533   0.62478722],-0.0116145305588,[-0.34993723 -0.45259443],"[[-0.02699488 -0.96043819  0.15351645 -0.08526842]
 [ 1.87079952  0.1819789   0.          0.        ]]","[ 1.0597707   0.98935104 -0.0495219  -0.90937049  1.33146169 -0.7380773
  0.22036331  0.35731739 -0.33433569  0.04438154  0.        ]",[-0.64679378 -0.5774653 ]
12,-0.0122685251144,[-0.06936239 -0.52787703],-0.0122685251144,[ 0.53958118 -0.75589275],"[[-0.02965541 -0.93200135  0.15351645 -0.08526842]
 [-2.12354103  2.65346735  0.          0.        ]]","[ 1.05965684  1.01925607 -0.05341196 -0.86561147  1.33145948 -0.73807662
 -0.29700191  0.75303997 -0.31158983  0.06012535  0.        ]",[-0.64679378 -0.5774653 ]
13,-0.0154152176481,[ 1.42952826 -0.82083313],-0.0154152176481,[ 0.94759208 -0.21131194],"[[-0.07445155 -0.90042963  0.15351645 -0.08526842]
 [-2.35530257  0.51084659  0.          0.        ]]","[ 1.05617565  1.05172468 -0.11884253 -0.81502901  1.33145728 -0.73807594
 -0.32702053  0.40997308 -0.3254972  -0.00261017  0.        ]",[-0.64679378 -0.5774653 ]
14,-0.0165154515279,[-0.76256768  0.34844345],-0.0165154515279,[ 0.16814971  0.29327956],"[[-0.08138306 -0.92293634  0.15351645 -0.08526842]
 [ 1.64881683 -2.75064313  0.          0.        ]]","[ 1.05536871  1.02865668 -0.12895064 -0.85129989  1.33145507 -0.73807526
  0.19161192 -0.11224187 -0.35233209 -0.03186968  0.        ]",[-0.64679378 -0.5774653 ]
15,-0.0177032067582,[ 1.30079118  0.18326216],-0.0177032067582,[ 0.96149307  0.30503246],"[[-0.07901045 -0.9635507   0.15351645 -0.08526842]
 [-1.40140628 -1.31558214  0.          0.        ]]","[ 1.05565118  0.98603578 -0.12549121 -0.91405116  1.33145286 -0.73807457
 -0.20346757  0.11753369 -0.38703695 -0.05494575  0.        ]",[-0.64679378 -0.5774653 ]
16,-0.0168518565477,[-0.44658781  0.98522333],-0.0168518565477,[-0.29220706 -0.22698003],"[[-0.06706468 -0.98233214  0.15351645 -0.08526842]
 [ 2.58272566 -0.56505475  0.          0.        ]]","[ 1.05695143  0.96590896 -0.10806431 -0.94186968  1.33145065 -0.73807389
  0.31257652  0.23770474 -0.39253929 -0.04535306  0.        ]",[-0.64679378 -0.5774653 ]
17,-0.0121368482207,[ 0.17950088 -0.97686105],-0.0121368482207,[-0.31340048 -1.14141321],"[[-0.03366313 -0.95437471  0.15351645 -0.08526842]
 [ 0.76347991  3.34775365  0.          0.        ]]","[ 1.05946073  0.99577178 -0.05927078 -0.90017959  1.33144845 -0.73807321
  0.07693872  0.86420616 -0.33506157  0.03607766  0.        ]",[-0.64679378 -0.5774653 ]
18,-0.0123884223995,[-0.45650056 -0.7270486 ],-0.0123884223995,[-0.27114367 -0.31520221],"[[-0.0114078  -0.92689527  0.15351645 -0.08526842]
 [ 1.45974367 -0.58669601  0.          0.        ]]","[ 1.06020817  1.0245532  -0.02672595 -0.85756673  1.33144624 -0.73807253
  0.16712221  0.23423848 -0.29091514  0.09939853  0.        ]",[-0.64679378 -0.5774653 ]
19,-0.0103688416989,[ 0.15326557  1.02371933],-0.0103688416989,[ 0.54308218  0.63587451],"[[ -6.15984532e-04  -9.67391151e-01   1.53516455e-01  -8.52684180e-02]
 [ -3.74474273e-01  -3.45334349e+00   0.00000000e+00   0.00000000e+00]]","[ 1.0603037   0.98193674 -0.01094069 -0.91979814  1.33144403 -0.73807185
 -0.07045505 -0.22475717 -0.31672894  0.0897897   0.        ]",[-0.64679378 -0.5774653 ]
20,-0.00956804592883,[ 0.07797442  0.2617064 ],-0.00956804592883,[ 0.03894339 -0.3499878 ],"[[-0.0019588  -0.99604601  0.15351645 -0.08526842]
 [ 0.23816914  0.57443517  0.          0.        ]]","[ 1.06029977  0.95104812 -0.01290488 -0.96169189  1.33144182 -0.73807117
  0.0088977   0.42015424 -0.34344618  0.066497    0.        ]",[-0.64679378 -0.5774653 ]
21,-0.0100237195738,[-0.07880979 -0.71404102],-0.0100237195738,[-0.21451217 -0.69316339],"[[ 0.00584971 -0.97427526  0.15351645 -0.08526842]
 [ 0.54166911  1.59922425  0.          0.        ]]","[ 1.06027574  0.9745682  -0.00148309 -0.9300246   1.33143961 -0.73807048
  0.04820859  0.58423896 -0.31713559  0.0971065   0.        ]",[-0.64679378 -0.5774653 ]
22,-0.0103402992835,[ 0.25031655  1.14881631],-0.0103402992835,[ 0.1168591   0.03342631],"[[ 0.01345539 -0.97097479  0.15351645 -0.08526842]
 [ 0.21996937 -1.25964972  0.          0.        ]]","[ 1.06016478  0.97810304  0.00964151 -0.92513249  1.33143741 -0.7380698
  0.00654032  0.12648708 -0.30762099  0.11423903  0.        ]",[-0.64679378 -0.5774653 ]
23,-0.0123411009224,[ 0.06843529 -2.14867119],-0.0123411009224,[-0.64697415 -1.10938942],"[[ 0.02773639 -0.95619263  0.15351645 -0.08526842]
 [ 1.20484405  2.72458901  0.          0.        ]]","[ 1.05972429  0.99384049  0.03052632 -0.90293572  1.3314352  -0.73806912
  0.13410655  0.76442756 -0.28279578  0.15334137  0.        ]",[-0.64679378 -0.5774653 ]
24,-0.0166671825164,[-0.60448934  0.78282066],-0.0166671825164,[-0.47735697 -0.18248132],"[[ 0.05432265 -0.94197058  0.15351645 -0.08526842]
 [ 1.45296359 -1.28900743  0.          0.        ]]","[ 1.05809469  1.0088274   0.06938131 -0.88113654  1.33143299 -0.73806844
  0.16624426  0.12178548 -0.24944208  0.21752048  0.        ]",[-0.64679378 -0.5774653 ]
25,-0.017879864344,[ 0.56005912 -0.92413198],-0.017879864344,[-0.08690489 -0.75368714],"[[ 0.05908738 -0.93638762  0.15351645 -0.08526842]
 [-0.96842535  1.83688303  0.          0.        ]]","[ 1.05769015  1.01466787  0.07633963 -0.87246066  1.33143078 -0.73806776
 -0.14738746  0.62229112 -0.24117854  0.23171068  0.        ]",[-0.64679378 -0.5774653 ]
26,-0.0182639138777,[ 0.11614448 -0.30256458],-0.0182639138777,[-0.41728514 -0.0404458 ],"[[ 0.06215518 -0.93673536  0.15351645 -0.08526842]
 [ 1.26775571 -1.85933553  0.          0.        ]]","[ 1.05741129  1.01430348  0.08081876 -0.873002    1.33142858 -0.73806707
  0.14225527  0.03046588 -0.2391171   0.2375886   0.        ]",[-0.64679378 -0.5774653 ]
