timestep,avg_action_dist,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist
0,[-1.17025101  1.64137578],"[ 1.00655061  1.57169743  0.02557935 -1.02952228 -0.17665419 -0.55545201
  0.33143467 -0.32901359  1.6865262   0.53005346  0.        ]",[-0.42530806  1.34318882],-0.238619616733,-0.238619616733,"[[-0.04900944  0.03335821 -0.02185629 -0.06357573]
 [ 0.00196046  0.00272341  0.          0.        ]]",[-0.43584424 -0.33886206]
1,[-1.12826443  1.3626982 ],"[  1.00510120e+00   1.56900500e+00   2.84190093e-04  -9.24647436e-01
  -1.76654068e-01  -5.55451502e-01   1.57883499e-01   2.85545547e-01
   1.68573358e+00   5.39859642e-01   0.00000000e+00]",[-1.16398468  1.04999245],-0.238737681222,-0.238737681222,"[[-0.06586676  0.07314654 -0.02185629 -0.06357573]
 [-1.68207925  3.96290932  0.          0.        ]]",[-0.43584424 -0.33886206]
2,[-1.05093181  1.06418872],"[ 0.99393735  1.54922106 -0.1088593  -0.61550175 -0.17665394 -0.555451
 -0.24652282  0.88806955  1.67754811  0.51309313  0.        ]",[-1.92340609  1.34235195],-0.237324010133,-0.237324010133,"[[-0.13888025  0.19136059 -0.02185629 -0.06357573]
 [-5.60620486  7.84554477  0.          0.        ]]",[-0.43584424 -0.33886206]
3,[-0.9476518   0.81748927],"[ 0.94603452  1.47875947 -0.33000581 -0.12263551 -0.17665382 -0.55545049
 -0.64293614  1.47864377  1.64493171  0.39801672  0.        ]",[-2.02231     1.08394312],-0.231719847594,-0.231719847594,"[[ -0.28959788   0.3864551   -0.02185629  -0.06357573]
 [ -9.45277287  11.65118996   0.           0.        ]]",[-0.43584424 -0.33886206]
4,[-0.66608441  0.58872634],"[ 0.81316192  1.30816499 -0.64302972  0.49442396 -0.17665369 -0.55544999
 -1.03153384  2.05747243  1.55851555  0.21021166  0.        ]",[-0.03050044  0.89231669],-0.219731823415,-0.219731823415,"[[ -0.5164856    0.65690384  -0.02185629  -0.06357573]
 [-13.22350941  15.3811776    0.           0.        ]]",[-0.43584424 -0.33886206]
5,[-0.3581022   0.50741208],"[ 0.57624039  0.99203749 -0.95737154  1.09926642 -0.17665356 -0.55544949
 -1.01716664  2.55840885  1.39990042  0.06305943  0.        ]",[-0.70365107  0.62526565],-0.201110545724,-0.201110545724,"[[ -0.77955742   0.99691624  -0.02185629  -0.06357573]
 [-13.08411254  18.60927733   0.           0.        ]]",[-0.43584424 -0.33886206]
6,[ 0.24894869  0.22147775],"[ 0.23491084  0.5307544  -1.21678502  1.47923339 -0.17665344 -0.55544898
 -1.27755704  2.88538879  1.16267327 -0.00700891  0.        ]",[ 1.2893048   0.42321431],-0.174803884092,-0.174803884092,"[[ -1.06658972   1.3902448   -0.02185629  -0.06357573]
 [-15.61080973  20.71645082   0.           0.        ]]",[-0.43584424 -0.33886206]
7,[-0.11535136 -0.15196157],"[-0.13988312 -0.00698708 -1.36258615  1.44237345 -0.17665331 -0.55544848
 -0.83793366  3.0815364   0.87149468  0.06580325  0.        ]",[-0.5463306  -1.21970164],-0.143662886632,-0.143662886632,"[[ -1.33600842e+00   1.81725565e+00  -2.18562869e-02  -6.35757267e-02]
 [ -1.13449719e+01   2.19805737e+01   0.00000000e+00   0.00000000e+00]]",[-0.43584424 -0.33886206]
8,[ 0.57225913 -0.13231796],"[-0.50527231 -0.45745562 -1.40372088  0.996615   -0.17665318 -0.55544797
 -1.03765945  2.39947103  0.5689938   0.19663233  0.        ]",[ 1.54555822  1.39416451],-0.113184039608,-0.113184039608,"[[ -1.5823509    2.21276908  -0.02185629  -0.06357573]
 [-13.28300802  17.58538007   0.           0.        ]]",[-0.43584424 -0.33886206]
9,[ 0.38206309 -0.33132482],"[-0.83618922 -0.78562221 -1.36255508  0.24160704 -0.17665306 -0.55544747
 -0.60260016  2.95981153  0.25851262  0.38854395  0.        ]",[-0.97663659 -0.19590106],-0.087913448746,-0.087913448746,"[[ -1.80565719   2.60070596  -0.02185629  -0.06357573]
 [ -9.06145402  21.19638545   0.           0.        ]]",[-0.43584424 -0.33886206]
10,[ 1.1129626  -0.03931129],"[-1.14298601 -0.95631497 -1.25216029 -0.77810692 -0.17665293 -0.55544697
 -0.98262129  2.26334562 -0.08050851  0.63055249  0.        ]",[ 2.03534116  0.60601979],-0.0760497282074,-0.0760497282074,"[[ -2.02388206   3.01263777  -0.02185629  -0.06357573]
 [-12.74896689  16.70834453   0.           0.        ]]",[-0.43584424 -0.33886206]
11,[ 0.50699323 -0.10984129],"[-1.41226292 -0.96680182 -1.08278283 -1.09327264 -0.1766528  -0.55544646
 -0.54865861 -0.35454136 -0.1752022   0.69781296  0.        ]",[ 0.79350013 -0.18734389],-0.0766822689625,-0.0766822689625,"[[-2.23661412  3.13238956 -0.02185629 -0.06357573]
 [-8.5380551  -0.16165695  0.          0.        ]]",[-0.43584424 -0.33886206]
12,[ 0.19428889 -0.0553183 ],"[-1.56487314 -0.96552248 -0.94431935 -0.99668818 -0.17665268 -0.55544596
 -0.20747623 -0.7237249  -0.13693056  0.64637983  0.        ]",[-0.93016937  0.07352956],-0.0743331360739,-0.0743331360739,"[[-2.37415906  3.09578511 -0.02185629 -0.06357573]
 [-5.22742653 -2.54072654  0.          0.        ]]",[-0.43584424 -0.33886206]
13,[ 0.64422846 -0.05965078],"[-1.69970612 -0.96133623 -0.78259936 -0.87175105 -0.17665255 -0.55544545
 -0.57634747 -0.67121281 -0.10771929  0.57577357  0.        ]",[ 0.42429179  0.5991066 ],-0.0705021298212,-0.0705021298212,"[[-2.51461999  3.0483365  -0.02185629 -0.06357573]
 [-8.8067355  -2.20233654  0.          0.        ]]",[-0.43584424 -0.33886206]
14,[ 0.53247923 -0.15298361],"[-1.82241873 -0.95747966 -0.58073086 -0.79741653 -0.17665243 -0.55544495
 -0.38524798 -0.46060196 -0.10295754  0.51656095  0.        ]",[ 1.14568971  0.18180806],-0.066459015003,-0.066459015003,"[[-2.67214968  3.02001251 -0.02185629 -0.06357573]
 [-6.95242526 -0.8451375   0.          0.        ]]",[-0.43584424 -0.33886206]
15,[ 0.17295797 -0.20708907],"[-1.88221066 -0.95565658 -0.44639523 -0.76780654 -0.1766523  -0.55544445
  0.03697058 -0.38448879 -0.10784149  0.48688662  0.        ]",[-0.21970722 -0.24622871],-0.0640440508523,-0.0640440508523,"[[-2.77009211  3.00870422 -0.02185629 -0.06357573]
 [-2.85547534 -0.35465734  0.          0.        ]]",[-0.43584424 -0.33886206]
16,[ 0.2765314  -0.13955855],"[-1.9146644  -0.95265074 -0.35388585 -0.72388739 -0.17665217 -0.55544394
 -0.04685526 -0.53470051 -0.11150155  0.4555182   0.        ]",[-0.66853684 -1.43962115],-0.061600733911,-0.061600733911,"[[-2.83536268  2.99189897 -0.02185629 -0.06357573]
 [-3.6688695  -1.32264167  0.          0.        ]]",[-0.43584424 -0.33886206]
17,[ 0.64285755  0.25567678],"[-1.95232075 -0.93745038 -0.20971469 -0.55280491 -0.17665205 -0.55544344
 -0.31216705 -1.14510573 -0.12225775  0.35616801  0.        ]",[-0.4564579  -1.16504529],-0.0540900094942,-0.0540900094942,"[[-2.93457025  2.92597978 -0.02185629 -0.06357573]
 [-6.24329096 -5.25617144  0.          0.        ]]",[-0.43584424 -0.33886206]
18,[ 1.05043793  0.91986203],"[ -1.98107875e+00  -8.85718483e-01   1.20607657e-03  -1.89088616e-01
  -1.76651921e-01  -5.55442935e-01  -4.85671257e-01  -1.74342231e+00
  -1.83020703e-01   1.58468283e-01   0.00000000e+00]",[ 0.9231012   0.14937522],-0.0371609167639,-0.0371609167639,"[[-3.07632851  2.78217143 -0.02185629 -0.06357573]
 [-7.92686994 -9.11182122  0.          0.        ]]",[-0.43584424 -0.33886206]
19,[ 0.79686356  1.06663489],"[-1.98199277 -0.7901423   0.18189681  0.22580333 -0.17665179 -0.55544243
 -0.09282246 -1.62363725 -0.30989798 -0.0424493   0.        ]",[ 0.91082091  1.996342  ],-0.0156568255681,-0.0156568255681,"[[-3.19661904  2.60767956 -0.02185629 -0.06357573]
 [-4.11491675 -8.33993828  0.          0.        ]]",[-0.43584424 -0.33886206]
20,[ 0.19629844  0.47166282],"[-1.97672686 -0.70073733  0.2497717   0.49948727 -0.17665167 -0.55544193
  0.28721052 -0.98356284 -0.41381098 -0.1609167   0.        ]",[-0.14618976  1.88624311],-0.00302546335923,-0.00302546335923,"[[-3.24191781  2.48226542 -0.02185629 -0.06357573]
 [-0.42731984 -4.21522605  0.          0.        ]]",[-0.43584424 -0.33886206]
21,[ 0.17363262 -0.0685026 ],"[-1.97443039 -0.66576922  0.2710933   0.58917077 -0.17665154 -0.55544142
  0.22843829 -0.35616325 -0.45380156 -0.19689475  0.        ]",[ 0.28026546  0.15854326],-0.00570671328527,-0.00570671328527,"[[-3.25618594  2.43852605 -0.02185629 -0.06357573]
 [-0.99760563 -0.17218523  0.          0.        ]]",[-0.43584424 -0.33886206]
22,[-0.07486856 -0.26604867],"[-1.97289339 -0.66813606  0.28396027  0.58334542 -0.17665142 -0.55544092
  0.3448192  -0.25821841 -0.45707914 -0.19189965  0.        ]",[ 1.29200814  0.44230263],-0.00547858635986,-0.00547858635986,"[[-3.26480756  2.44141505 -0.02185629 -0.06357573]
 [ 0.1316807   0.45898213  0.          0.        ]]",[-0.43584424 -0.33886206]
23,[-0.90882242 -0.88437879],"[-1.97933843 -0.68959795  0.22067395  0.52892941 -0.17665129 -0.55544042
  0.75254662  0.01213924 -0.41178583 -0.17862832  0.        ]",[-0.72668025 -1.09275661],-0.00435792284003,-0.00435792284003,"[[-3.22247904  2.46807498 -0.02185629 -0.06357573]
 [ 4.08800491  2.20119907  0.          0.        ]]",[-0.43584424 -0.33886206]
24,[-0.23185661 -0.02721775],"[-1.9836032  -0.69264558  0.14251586  0.52095519 -0.17665116 -0.55543991
  0.44772417 -0.60907579 -0.37697945 -0.18562819  0.        ]",[ 0.00433705  0.07256936],-0.00748426238136,-0.00748426238136,"[[-3.17039529  2.47193363 -0.02185629 -0.06357573]
 [ 1.13021473 -1.8019854   0.          0.        ]]",[-0.43584424 -0.33886206]
25,[-0.24329655 -0.04888725],"[-1.98418779 -0.66626603  0.10862478  0.58794253 -0.17665104 -0.55543941
  0.44718728 -0.55894938 -0.38403048 -0.22204291  0.        ]",[-0.26501212  0.01759374],-0.00913795489322,-0.00913795489322,"[[-3.14784322  2.43913486 -0.02185629 -0.06357573]
 [ 1.12500869 -1.47896855  0.          0.        ]]",[-0.43584424 -0.33886206]
26,[-0.00700234  0.06283194],"[-1.9841876  -0.64242305  0.09096359  0.64483303 -0.17665091 -0.5554389
  0.33676909 -0.54359352 -0.39516453 -0.25209045  0.        ]",[ 0.90348174 -1.06004194],-0.01079503769,-0.01079503769,"[[-3.13609299  2.41054829 -0.02185629 -0.06357573]
 [ 0.05358793 -1.38001686  0.          0.        ]]",[-0.43584424 -0.33886206]
27,[-0.63164341  0.47759289],"[-1.98285562 -0.58350108  0.03544746  0.77254936 -0.17665078 -0.5554384
  0.70527361 -1.15381277 -0.41479565 -0.32380681  0.        ]",[-0.0829701  -0.01039266],-0.016224701517,-0.016224701517,"[[-3.09914473  2.34349373 -0.02185629 -0.06357573]
 [ 3.62931101 -5.31234607  0.          0.        ]]",[-0.43584424 -0.33886206]
28,[-0.47911546  0.65959084],"[-1.97498544 -0.48273674 -0.06729302  0.95625581 -0.17665066 -0.5554379
  0.66401679 -1.14388001 -0.43603906 -0.43776083  0.        ]",[-2.0453544   0.84602141],-0.0258517698749,-0.0258517698749,"[[-3.0305751   2.23788888 -0.02185629 -0.06357573]
 [ 3.22898959 -5.24835008  0.          0.        ]]",[-0.43584424 -0.33886206]
29,[ 0.39432248  0.51413357],"[-1.9705282  -0.41072002 -0.10341912  1.06587013 -0.17665053 -0.55543739
  0.24945179 -0.60789053 -0.4670875  -0.50647897  0.        ]",[-0.88446865  1.96831431],-0.0319454069326,-0.0319454069326,"[[-3.00635602  2.16757656 -0.02185629 -0.06357573]
 [-0.79366107 -1.79437952  0.          0.        ]]",[-0.43584424 -0.33886206]
30,[ 1.06123567  0.09600997],"[-1.9788584  -0.41512231 -0.02746265  1.05962129 -0.17665041 -0.55543689
 -0.10977746  0.01209631 -0.50782147 -0.48644549  0.        ]",[ 0.40461355 -0.09860594],-0.031105382186,-0.031105382186,"[[-3.05720238  2.17177485 -0.02185629 -0.06357573]
 [-4.27937211  2.20088109  0.          0.        ]]",[-0.43584424 -0.33886206]
31,[ 0.59898716 -0.01811129],"[-1.98399153 -0.45607911  0.07559899  0.99872284 -0.17665028 -0.55543638
  0.06401759 -0.05527226 -0.5338274  -0.42946278  0.        ]",[ 1.46523279  0.77088391],-0.027443379738,-0.027443379738,"[[-3.12586986  2.21143661 -0.02185629 -0.06357573]
 [-2.59298681  1.76675097  0.          0.        ]]",[-0.43584424 -0.33886206]
