timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.149499424564,[-1.52622913  2.47171205],-0.149499424564,"[ 1.02583277  1.50607881 -0.01562044 -1.43631884  0.53054332 -0.42696343
  0.31838381 -0.32619728  0.95839529  0.14567051  0.        ]","[[-0.07999988 -0.09784553  0.06022863 -0.05047119]
 [-0.0012536  -0.00428983  0.          0.        ]]",[-0.51042831 -0.39674202],[-1.08377945  2.46990871]
1,-0.14854714701,[-0.95115048  2.17137041],-0.14854714701,"[ 1.01995092  1.51002463 -0.07468348 -1.33339938  0.5305429  -0.42696312
 -0.10700368  0.30602813  0.95464668  0.09754962  0.        ]","[[-0.11973068 -0.05818722  0.06022863 -0.05047119]
 [-3.95864308  3.95691586  0.          0.        ]]",[-0.51042831 -0.39674202],[-0.81511229  2.1060195 ]
2,-0.145515253108,[-0.14716026  2.30426766],-0.145515253108,"[ 0.98946533  1.50989186 -0.24539976 -1.02615496  0.53054247 -0.42696281
 -0.50320189  0.92571944  0.93563406 -0.03877013  0.        ]","[[-0.2358847   0.05990734  0.06022863 -0.05047119]
 [-7.64448468  7.83959246  0.          0.        ]]",[-0.51042831 -0.39674202],[-0.42281252  1.71436429]
3,-0.14112567465,[-0.23386654  0.10947342],-0.14112567465,"[ 0.91732899  1.47090642 -0.46856622 -0.52569457  0.53054205 -0.42696249
 -0.54968614  1.5329322   0.89592508 -0.17051504  0.        ]","[[ -0.39311328   0.25487114   0.06022863  -0.05047119]
 [ -8.07693233  11.64409774   0.           0.        ]]",[-0.51042831 -0.39674202],[-0.27369374  1.35961986]
4,-0.134519221389,[ 0.42553195  0.9404344 ],-0.134519221389,"[ 0.80195888  1.36196273 -0.69282715  0.04263505  0.53054163 -0.42696218
 -0.63198012  1.56534639  0.82980072 -0.26558453  0.        ]","[[ -0.5623331    0.48979117   0.06022863  -0.05047119]
 [ -8.84251891  11.84720971   0.           0.        ]]",[-0.51042831 -0.39674202],[ 0.06281611  1.14335704]
5,-0.125304147661,[-1.54554374 -0.08278359],-0.125304147661,"[ 0.66155188  1.15907561 -0.8820386   0.61464982  0.53054121 -0.42696187
 -0.43235273  2.12209943  0.74244045 -0.26759818  0.        ]","[[ -0.72055112   0.76173529   0.06022863  -0.05047119]
 [ -6.98538761  15.33559173   0.           0.        ]]",[-0.51042831 -0.39674202],[-0.61662751  0.41959959]
6,-0.111016034692,[-0.80121491  0.01522919],-0.111016034692,"[ 0.47045919  0.8567502  -1.0652723   1.09158498  0.53054078 -0.42696155
 -0.84279115  2.02145899  0.60808099 -0.25393478  0.        ]","[[ -0.89856772   1.06212174   0.06022863  -0.05047119]
 [-10.80370399  14.7050676    0.           0.        ]]",[-0.51042831 -0.39674202],[ 0.39982492  0.0403918 ]
7,-0.0904767869081,[ 1.76425732 -0.81749621],-0.0904767869081,"[ 0.16007898  0.50943806 -1.25650276  1.36018271  0.53054036 -0.42696124
 -1.16066331  1.98463048  0.40202819 -0.34902185  0.        ]","[[ -1.14431077   1.35390921   0.06022863  -0.05047119]
 [-13.76088354  14.47435575   0.           0.        ]]",[-0.51042831 -0.39674202],[ 1.68577111 -0.36248326]
8,-0.0698175928684,[ 1.93530019 -0.7338765 ],-0.0698175928684,"[-0.16829447  0.18693204 -1.3623927   1.41936325  0.53053994 -0.42696093
 -0.70598973  1.42204256  0.18854504 -0.40735106  0.        ]","[[ -1.37709046   1.60802875   0.06022863  -0.05047119]
 [ -9.53106173  10.94945668   0.           0.        ]]",[-0.51042831 -0.39674202],[ 1.32812417 -0.45094264]
9,-0.0541472151525,[ 1.56760882 -0.51093968],-0.0541472151525,"[-0.38776215 -0.05042033 -1.38884223  1.35561785  0.53053952 -0.42696061
 -0.26025682  0.92352802  0.03918718 -0.37882952  0.        ]","[[-1.52610788  1.79567846  0.06022863 -0.05047119]
 [-5.3844118   7.82599967  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.69737661 -0.40231013]
10,-0.0433742961982,[-0.41727172  0.24118523],-0.0433742961982,"[-0.48706789 -0.2150572  -1.38996267  1.25470884  0.5305391  -0.4269603
  0.17668666  0.57582565 -0.04490528 -0.29331313  0.        ]","[[-1.59301243  1.93034004  0.06022863 -0.05047119]
 [-1.31952955  5.64745912  0.          0.        ]]",[-0.51042831 -0.39674202],[-0.27902752 -0.36040723]
11,-0.0342484736267,[-0.88989856 -0.68958691],-0.0342484736267,"[-0.55039849 -0.35659659 -1.38718171  1.12584053  0.53053867 -0.42695999
  0.00194773  0.71041872 -0.11515456 -0.19321132  0.        ]","[[-1.63571293  2.05175047  0.06022863 -0.05047119]
 [-2.94512316  6.4907614   0.          0.        ]]",[-0.51042831 -0.39674202],[-0.0342523  -0.65884686]
12,-0.0244550318511,[ 0.20701878  0.60508368],-0.0244550318511,"[-0.68853365 -0.46793661 -1.37157977  0.99246228  0.53053825 -0.42695967
 -0.37043182  0.25413546 -0.20607724 -0.17137331  0.        ]","[[-1.72937269  2.15288214  0.06022863 -0.05047119]
 [-6.40936498  3.63190294  0.          0.        ]]",[-0.51042831 -0.39674202],[ 1.14688468 -0.38418496]
13,-0.0139650884785,[ 0.17636698 -2.26260703],-0.0139650884785,"[-0.86048571 -0.56695665 -1.33325768  0.84534603  0.53053783 -0.42695936
 -0.26872816  0.62502301 -0.30587112 -0.16810355  0.        ]","[[-1.84806717  2.24883566  0.06022863 -0.05047119]
 [-5.46322006  5.95571452  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.84146398 -0.87951827]
14,-0.00540162462494,[ 1.33930244 -2.03068888],-0.00540162462494,"[-1.00263253 -0.64224399 -1.28459844  0.71158358  0.53053741 -0.42695904
 -0.18205008 -0.02577643 -0.38714493 -0.15690219  0.        ]","[[-1.94924112  2.32703794  0.06022863 -0.05047119]
 [-4.65685761  1.87811062  0.          0.        ]]",[-0.51042831 -0.39674202],[ 1.01428246 -0.26882511]
15,-0.0059634254718,[-0.61488089  1.231896  ],-0.0059634254718,"[-1.07426083 -0.63987994 -1.25371967  0.71611385  0.53053698 -0.42695873
  0.25340628 -0.66369247 -0.41306699 -0.20089395  0.        ]","[[-2.00173303  2.324498    0.06022863 -0.05047119]
 [-0.60582146 -2.11877309  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.25238419  0.42617589]
16,-0.00797791250734,[ 0.49482902 -0.67602214],-0.00797791250734,"[-1.12296489 -0.63780316 -1.23009202  0.72007444  0.53053656 -0.42695842
 -0.00696976 -0.02502588 -0.43200475 -0.23100201  0.        ]","[[-2.03815277  2.32227175  0.06022863 -0.05047119]
 [-3.02808889  1.88280799  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.69427609 -0.2448501 ]
17,-0.00955153822547,[-0.79119329  0.38960903],-0.00955153822547,"[-1.17582859 -0.6474873  -1.20188285  0.7014437   0.53053614 -0.4269581
  0.21004789 -0.45820616 -0.45736443 -0.24654279  0.        ]","[[-2.07845827  2.33269639  0.06022863 -0.05047119]
 [-1.00918275 -0.83129415  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.36805245  0.218505  ]
18,-0.0134292169543,[ 0.34294716 -0.47791828],-0.0134292169543,"[-1.24154367 -0.6465786  -1.16283159  0.70320657  0.53053572 -0.42695779
 -0.12449258 -0.20935278 -0.48681103 -0.2830097   0.        ]","[[-2.12986772  2.3317145   0.06022863 -0.05047119]
 [-4.12139567  0.72790024  0.          0.        ]]",[-0.51042831 -0.39674202],[ 1.20724285 -0.00312996]
19,-0.0190503763955,[ 0.96823726  0.59415494],-0.0190503763955,"[-1.32522663 -0.64233651 -1.10606678  0.711397    0.53053529 -0.42695748
  0.0302192  -0.51369102 -0.52758623 -0.33249158  0.        ]","[[-2.19785499  2.32714052  0.06022863 -0.05047119]
 [-2.68212089 -1.17893775  0.          0.        ]]",[-0.51042831 -0.39674202],[ 1.04482651  0.35250676]
20,-0.020169999778,[-0.77399633 -0.6279135 ],-0.020169999778,"[-1.34274541 -0.64257654 -1.09309025  0.7109337   0.53053487 -0.42695716
  0.4479432  -0.13449546 -0.53690294 -0.34106643  0.        ]","[[-2.21250728  2.32739945  0.06022863 -0.05047119]
 [ 1.20394158  1.19691564  0.          0.        ]]",[-0.51042831 -0.39674202],[-0.35774583 -0.22320527]
21,-0.0208103624471,[ 0.89486613 -0.71569387],-0.0208103624471,"[-1.35093114 -0.6414191  -1.08688718  0.71315532  0.53053445 -0.42695685
  0.11602137 -0.5350867  -0.54115347 -0.34680207  0.        ]","[[-2.21940981  2.32615503  0.06022863 -0.05047119]
 [-1.88390354 -1.31299433  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.85885394  0.37594032]
22,-0.025963137462,[ 0.0823939   0.08828006],-0.025963137462,"[-1.35300908 -0.58951315 -1.08529585  0.80744147  0.53053403 -0.42695654
  0.5008382  -0.98324661 -0.53791275 -0.42040866  0.        ]","[[-2.22116925  2.27172205  0.06022863 -0.05047119]
 [ 1.69602215 -4.1209497   0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.03094836  0.81533265]
23,-0.0312581442866,[-0.55373454 -0.49371678],-0.0312581442866,"[-1.30885778 -0.5108229  -1.11782157  0.93235194  0.5305336  -0.42695622
  0.53228863 -0.91443768 -0.50857268 -0.5019826   0.        ]","[[-2.18431316  2.1936286   0.06022863 -0.05047119]
 [ 1.98860699 -3.68983362  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.01903099  0.82879895]
24,-0.0400800015895,[-0.29329015  1.09694086],-0.0400800015895,"[-1.28762314 -0.41158343 -1.13259025  1.06380899  0.53053318 -0.42695591
  0.29245155 -1.21477088 -0.49728565 -0.61457542  0.        ]","[[-2.16692758  2.10095163  0.06022863 -0.05047119]
 [-0.24257549 -5.57158405  0.          0.        ]]",[-0.51042831 -0.39674202],[ 1.13690674  1.43898702]
25,-0.0489508618658,[ 0.68106547  0.66994771],-0.0489508618658,"[-1.30772165 -0.33221997 -1.11861966  1.15106533  0.53053276 -0.4269556
  0.16814963 -0.56518664 -0.51992975 -0.71889677  0.        ]","[[-2.18338111  2.03035528  0.06022863 -0.05047119]
 [-1.3989443  -1.50161338  0.          0.        ]]",[-0.51042831 -0.39674202],[ 1.34864247  0.8536253 ]
26,-0.0493392590238,[-0.49093481 -0.43774571],-0.0493392590238,"[-1.30851408 -0.32864358 -1.1180557   1.15465541  0.53053234 -0.42695528
  0.46089441 -0.1370908  -0.52105275 -0.72342742  0.        ]","[[-2.18403544  2.02723475  0.06022863 -0.05047119]
 [ 1.32443603  1.18062179  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.20786877  0.1861676 ]
27,-0.0482177742315,[ 0.60485828  0.87680596],-0.0482177742315,"[-1.30032217 -0.33550159 -1.123813    1.14774069  0.53053192 -0.42695497
  0.24919982 -0.41743865 -0.5138503  -0.71126308  0.        ]","[[-2.17730602  2.03322344  0.06022863 -0.05047119]
 [-0.6449363  -0.57589928  0.          0.        ]]",[-0.51042831 -0.39674202],[ 1.00206029  0.63564312]
28,-0.0448846569305,[ 0.35066226 -0.55049201],-0.0448846569305,"[-1.28654452 -0.36213266 -1.13331379  1.11989419  0.53053149 -0.42695465
  0.50791224  0.13846486 -0.50056945 -0.67304501  0.        ]","[[-2.16605696  2.05665164  0.06022863 -0.05047119]
 [ 1.7618421   2.90711233  0.          0.        ]]",[-0.51042831 -0.39674202],[-0.18248771 -0.21458632]
