timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-4.81767225 -0.53402466],"[ 1.15984692  1.69441819  0.09043931  0.17241149 -0.02262751 -1.19774709
  1.28297607 -0.05286369  1.31516889  1.08390529  0.        ]","[[-0.03450288  0.06059042 -0.00226287 -0.13792536]
 [-0.00247273 -0.00064889  0.          0.        ]]",-0.252741065307,[-4.64063405  0.02036735],-4.04955,[-0.06765141 -0.60696161]
1,[-4.91122103 -0.46967536],"[ 1.15685704  1.69434759  0.03082648  0.1736375  -0.02262751 -1.19774639
  1.17979525 -0.0408627   1.31386351  1.02721765  0.        ]","[[ -7.42426893e-02   6.14021460e-02  -2.26287136e-03  -1.37925361e-01]
 [ -3.95833680e+00   8.15415437e-02   0.00000000e+00   0.00000000e+00]]",-0.24819630485,[-4.46275386 -0.45258811],-4.05367,[-0.06765141 -0.60696161]
2,[-4.72255135 -0.33442527],"[ 1.13515316  1.69555972 -0.14487853  0.14893025 -0.0226275  -1.1977457
  1.0786744  -0.30254699  1.29473276  0.84558585  0.        ]","[[ -1.92307406e-01   4.50514838e-02  -2.26287136e-03  -1.37925361e-01]
 [ -7.83522741e+00  -1.71064119e+00   0.00000000e+00   0.00000000e+00]]",-0.233065886856,[-5.70768863 -0.59818425],-3.15562,[-0.06765141 -0.60696161]
3,[-4.1157136  0.2243598],"[ 1.05822971  1.69686359 -0.42494919  0.06175636 -0.0226275  -1.19774501
  0.97955933 -0.6432317   1.20400564  0.53411683  0.        ]","[[ -3.87138379e-01  -1.25713723e-02  -2.26287136e-03  -1.37925361e-01]
 [ -1.16352219e+01  -4.04387008e+00   0.00000000e+00   0.00000000e+00]]",-0.204408623773,[-3.78664555 -0.09799673],-3.9808,[-0.06765141 -0.60696161]
4,[-3.52639842  0.93594289],"[ 0.87233076  1.69047767 -0.7755798  -0.06505804 -0.02262749 -1.19774432
  0.88238328 -0.68798145  0.96352838  0.15042787  0.        ]","[[ -6.57223319e-01  -9.65238519e-02  -2.26287136e-03  -1.37925361e-01]
 [ -1.53608785e+01  -4.35034668e+00   0.00000000e+00   0.00000000e+00]]",-0.161645975778,[-4.88248047  0.6533551 ],-3.53729,[-0.06765141 -0.60696161]
5,[-3.55159736  1.73325634],"[ 0.52308587  1.67987688 -1.12284461 -0.1553686  -0.02262748 -1.19774362
  0.78709833 -0.29743295  0.53702104 -0.18356609  0.        ]","[[ -1.00109413e+00  -1.56694580e-01  -2.26287136e-03  -1.37925361e-01]
 [ -1.90140340e+01  -1.67562130e+00   0.00000000e+00   0.00000000e+00]]",-0.110826921341,[-2.06552848  1.0876327 ],-5.73873,[-0.06765141 -0.60696161]
6,[-4.15572023  1.89935875],"[-0.01189517  1.68127507 -1.34246742 -0.14555081 -0.02262748 -1.19774293
  0.69368662  0.28581285 -0.03664198 -0.34763981  0.        ]","[[ -1.41730768e+00  -1.50129587e-01  -2.26287136e-03  -1.37925361e-01]
 [ -2.25953726e+01   2.31881859e+00   0.00000000e+00   0.00000000e+00]]",-0.073128376692,[-4.37682868  1.5292125 ],-5.52478,[-0.06765141 -0.60696161]
7,[-5.07669544  1.77716088],"[-0.67681845  1.69406915 -1.27728199 -0.01671056 -0.02262747 -1.19774224
  0.60212552  0.85750625 -0.67029718 -0.25868574  0.        ]","[[ -1.90443600e+00  -6.44692349e-02  -2.26287136e-03  -1.37925361e-01]
 [ -2.61057612e+01   6.23414132e+00   0.00000000e+00   0.00000000e+00]]",-0.093311099715,[-5.92958795  1.97406559],-4.82142,[-0.06765141 -0.60696161]
8,[-5.86723661  1.25866926],"[-1.29937481  1.69017326 -0.8030321   0.22992014 -0.02262747 -1.19774154
  0.51237325  1.41782843 -1.23116545  0.12395903  0.        ]","[[ -2.46107576e+00   9.87169707e-02  -2.26287136e-03  -1.37925361e-01]
 [ -2.95468016e+01   1.00715910e+01   0.00000000e+00   0.00000000e+00]]",-0.153738008143,[-2.60053864  1.4334377 ],-7.15511,[-0.06765141 -0.60696161]
9,[-5.86239529  0.47140461],"[-1.60555527  1.61807595  0.05857626  0.58240463 -0.02262746 -1.19774085
  0.42438255  1.96692406 -1.54745999  0.7595723   0.        ]","[[ -3.08585777e+00   3.37881943e-01  -2.26287136e-03  -1.37925361e-01]
 [ -3.29203052e+01   1.38321636e+01   0.00000000e+00   0.00000000e+00]]",-0.218628488556,[-6.44755254  0.9694799 ],-4.64395,[-0.06765141 -0.60696161]
10,[-5.4549427   0.04284631],"[-1.33718164  1.41221078  1.03449455  0.99691677 -0.02262746 -1.19774016
  0.33810264  2.4872625  -1.47099523  1.48522756  0.        ]","[[ -3.77745055e+00   6.50283790e-01  -2.26287136e-03  -1.37925361e-01]
 [ -3.62282189e+01   1.73958047e+01   0.00000000e+00   0.00000000e+00]]",-0.271515772438,[-5.79280196 -0.70448763],-4.6153,[-0.06765141 -0.60696161]
