timestep,logstd_action_dist,obs,avg_action_dist,human_obs,rewards,original_rewards,actions
0,[-0.52539724 -0.02163391],"[ 1.2608653   0.9174517   0.19760224  0.39802099 -1.16778911 -1.00039358
  1.60642653 -0.21032103  1.92503119  0.8842632   0.        ]",[-2.25663924  0.70285362],"[[ 0.06821819  0.00487673 -0.13496939 -0.1151041 ]
 [ 0.00127036  0.00231149  0.          0.        ]]",-1.4326,-0.368142696128,[-2.19212491  0.27733883]
1,[-0.52539724 -0.02163391],"[ 1.26351724  0.9172995   0.13951664  0.41872342 -1.16778818 -1.0003929
  1.50155355 -0.09017577  1.92724522  0.84043534  0.        ]",[-2.25639319  0.3779273 ],"[[ 0.02854856  0.01595602 -0.13496939 -0.1151041 ]
 [-3.95505898  1.10194722  0.          0.        ]]",-0.59046,-0.366051939549,[-2.83508347  1.73686022]
2,[-0.52539724 -0.02163391],"[ 1.25854793  0.91352051 -0.0333285   0.53362202 -1.16778725 -1.00039222
  1.39872582  0.34022514  1.92572335  0.72929877  0.        ]",[-2.26613903 -0.59936345],"[[-0.08947363  0.07751901 -0.13496939 -0.1151041 ]
 [-7.83424142  5.04121465  0.          0.        ]]",-0.99252,-0.360162976303,[-2.82275712 -0.25080851]
3,[-0.52539724 -0.02163391],"[ 1.20857051  0.89910115 -0.31352198  0.70025382 -1.16778631 -1.00039155
  1.29798267  0.22096969  1.90007146  0.54021662  0.        ]",[-2.25286555 -0.94483536],"[[ -0.28429039   0.16739221  -0.13496939  -0.1151041 ]
 [-11.63479154   3.94972412   0.           0.        ]]",-1.40043,-0.348209632495,[-1.60097051 -1.97105868]
4,[-0.52539724 -0.02163391],"[ 1.05697725  0.88971611 -0.6740469   0.77093551 -1.16778538 -1.00039087
  1.19926178 -0.22005604  1.80102757  0.23569709  0.        ]",[-2.22547746 -0.96190935],"[[ -0.55435291   0.20588733  -0.13496939  -0.1151041 ]
 [-15.35905863  -0.08678457   0.           0.        ]]",-1.02325,-0.324342227949,[-1.75833667 -0.45450026]
5,[-0.52539724 -0.02163391],"[ 0.74278507  0.89477247 -1.04905281  0.73471164 -1.16778445 -1.00039019
  1.10247264 -0.41636943  1.54881859 -0.13409556  0.        ]",[-2.20670772 -1.27269459],"[[ -0.89816972   0.18612425  -0.13496939  -0.1151041 ]
 [-19.01045578  -1.88355267   0.           0.        ]]",-0.983182,-0.282722262594,[-1.42572654 -1.19711901]
6,[-0.52539724 -0.02163391],"[ 0.23203909  0.90965088 -1.32040491  0.5923961  -1.16778351 -1.00038952
  1.00762232 -0.84479679  1.07263156 -0.43889818  0.        ]",[-2.17668819 -1.0956974 ],"[[ -1.31428071   0.10911044  -0.13496939  -0.1151041 ]
 [-22.58871536  -5.80475557   0.           0.        ]]",-0.712352,-0.216759859984,[-2.51003191 -2.12566397]
7,[-0.52539724 -0.02163391],"[-0.43469318  0.91610081 -1.32961588  0.30382096 -1.16778258 -1.00038884
  0.91464653 -1.26472223  0.38070196 -0.4619842   0.        ]",[-2.14237285 -0.4041425 ],"[[ -1.80124682  -0.04554729  -0.13496939  -0.1151041 ]
 [-26.0962617   -9.64814963   0.           0.        ]]",-0.287162,-0.12045597817,[-1.831362    1.50681969]
8,[-0.52539724 -0.02163391],"[-1.09814485  0.892089   -0.93741356  0.02342484 -1.16778165 -1.00038816
  0.82341955 -0.81103695 -0.26453946 -0.01953672  0.        ]",[-2.15425086 -0.16832699],"[[ -2.35770213  -0.19684916  -0.13496939  -0.1151041 ]
 [-29.53783683  -5.49578077   0.           0.        ]]",-0.388111,-0.0319749899497,[-2.13739328 -1.51101538]
9,[-0.52539724 -0.02163391],"[-1.48419826  0.83987501 -0.13490282 -0.24374738 -1.16778071 -1.00038749
  0.73406768 -1.2315075  -0.52616748  0.82024037  0.        ]",[-2.26188278  2.09524441],"[[ -2.98227807  -0.3453782   -0.13496939  -0.1151041 ]
 [-32.90867534  -9.34416381   0.           0.        ]]",0.277661,-0.139517601335,[-2.73459244  0.67654992]
10,[-0.52539724 -0.02163391],"[-1.31055671  0.75441251  0.84138771 -0.51272332 -1.16777978 -1.00038681
  0.64640182 -0.91823453 -0.14610292  1.68995219  0.        ]",[-2.42125225  3.44854617],"[[ -3.67363393  -0.50349535  -0.13496939  -0.1151041 ]
 [-36.21590978  -6.4769252    0.           0.        ]]",1.46574,-0.260549859939,[-3.08111289  3.12433372]
11,[-0.52539724 -0.02163391],"[-0.50352018  0.69389247  1.50584623 -0.65383303 -1.16777885 -1.00038613
  0.56046496 -0.47111851  0.72547763  2.03239108  0.        ]",[-2.50394416  3.81142402],"[[ -4.43048119  -0.59197665  -0.13496939  -0.1151041 ]
 [-39.45791866  -2.38467946   0.           0.        ]]",0.954973,-0.345831954176,[-1.73105886  3.6292469 ]
