timestep,obs,rewards,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,"[ 0.89233207  0.9421915   0.09396143 -0.38065209  1.60155434 -1.49098828
  0.47584489 -0.24656679 -0.72086827  2.80060106  0.        ]",-4.70848,[-3.35691226 -1.22271652],-0.182984490743,[-3.04206562 -1.3345325 ],[-0.77454734 -0.7373355 ],"[[ 0.04229142  0.00108081  0.18500992 -0.17229917]
 [ 0.00186538  0.00046799  0.          0.        ]]"
1,"[ 0.89381061  0.9412804   0.03309049 -0.4612479   1.60155331 -1.49098741
  0.27917097 -1.03431837 -0.7194989   2.60220864  0.        ]",-4.47174,[-1.64635805 -1.22043932],-0.170445418846,[-2.12854218 -1.0319078 ],[-0.77454734 -0.7373355 ],"[[  2.65330055e-03  -3.86223174e-02   1.85009916e-01  -1.72299170e-01]
 [ -3.95251770e+00  -3.95759452e+00   0.00000000e+00   0.00000000e+00]]"
2,"[ 0.88279362  0.92721597 -0.14769417 -0.6997195   1.60155229 -1.49098655
  0.08638271 -1.80647675 -0.77173667  2.01772374  0.        ]",-3.7213,[-0.41186806 -0.4148033 ],-0.132807711285,[-0.09920593  0.23136023],[-0.77454734 -0.7373355 ],"[[-0.1152884  -0.1567007   0.18500992 -0.17229917]
 [-7.82877455 -7.837314    0.          0.        ]]"
3,"[ 0.8260624   0.87688808 -0.40532429 -1.03765551  1.60155126 -1.49098569
  0.01306552 -2.10235409 -0.99183095  1.22478968  0.        ]",-2.74081,[ 2.87951769  1.50819576],-0.0805630175843,[ 2.64666152  1.77058911],[-0.77454734 -0.7373355 ],"[[-0.28665385 -0.3283631   0.18500992 -0.17229917]
 [-9.30291104 -9.32396167  0.          0.        ]]"
4,"[ 0.74183256  0.80784017 -0.61302828 -1.30833766  1.60155024 -1.49098483
  0.21888337 -1.27784684 -1.29533588  0.65335352  0.        ]",-2.70021,[ 2.66343758  2.94632355],-0.0512222560348,[ 3.0538497   1.91959429],[-0.77454734 -0.7373355 ],"[[-0.43119261 -0.47327687  0.18500992 -0.17229917]
 [-5.16467788 -5.18122083  0.          0.        ]]"
5,"[ 0.69546906  0.77068078 -0.69906349 -1.42007704  1.60154921 -1.49098396
  0.42064742 -0.46966292 -1.45478889  0.44328466  0.        ]",-2.61317,[ 2.35936979  0.65761215],-0.0506199027308,[ 2.08167815  1.33495975],[-0.77454734 -0.7373355 ],"[[-0.49378427 -0.53615869  0.18500992 -0.17229917]
 [-1.10795115 -1.12049372  0.          0.        ]]"
6,"[ 0.70920246  0.77312246 -0.67494797 -1.41321895  1.60154819 -1.4909831
  0.61845083  0.05270465 -1.42258229  0.48738765  0.        ]",-2.76262,[-0.37830317  1.10874797],-0.0502053241115,[ 0.31481406  0.49693391],[-0.77454734 -0.7373355 ],"[[-0.47603992 -0.53223476  0.18500992 -0.17229917]
 [ 2.86914251  1.50414664  0.          0.        ]]"
7,"[ 0.73969823  0.81366173 -0.6173013  -1.28919986  1.60154716 -1.49098224
  0.54112025  0.83494603 -1.28946385  0.657071    0.        ]",-2.72859,[-0.04759554  0.39794654],-0.0511635572433,[-0.22136715 -0.50119787],[-0.77454734 -0.7373355 ],"[[-0.43425705 -0.46271703  0.18500992 -0.17229917]
 [ 1.31431507  5.43452572  0.          0.        ]]"
8,"[ 0.75611522  0.87250857 -0.58348936 -1.058625    1.60154614 -1.49098138
  0.530431    1.12715208 -1.14429886  0.86395711  0.        ]",-2.61265,[-0.8608526  -1.98783472],-0.0588945050552,[-0.86683315 -1.18721724],[-0.77454734 -0.7373355 ],"[[-0.41012708 -0.33929564  0.18500992 -0.17229917]
 [ 1.09939644  6.90271951  0.          0.        ]]"
9,"[ 0.74779989  0.90647821 -0.60088715 -0.87007577  1.60154511 -1.49098051
  0.36005075  0.31215739 -1.08180434  0.956924    0.        ]",-2.7232,[-0.04545647 -0.36560818],-0.063846182101,[ 0.19029135 -0.44136846],[-0.77454734 -0.7373355 ],"[[-0.42251053 -0.24232719  0.18500992 -0.17229917]
 [-2.32631374  2.80777275  0.          0.        ]]"
10,"[ 0.71348958  0.91752045 -0.66719943 -0.7887263   1.60154409 -1.49097965
  0.35342444  0.01298588 -1.11033201  0.88017428  0.        ]",-2.65062,[ 0.45833842 -0.16373528],-0.0593374605449,[ 0.70380682 -0.1079607 ],[-0.77454734 -0.7373355 ],"[[-0.47037352 -0.20125372  0.18500992 -0.17229917]
 [-2.45954256  1.30458349  0.          0.        ]]"
11,"[ 0.68984543  0.92201685 -0.70864466 -0.75021509  1.60154307 -1.49097879
  0.446035   -0.12132878 -1.13508447  0.8229402   0.        ]",-2.59366,[ 1.75976864  0.4203794 ],-0.0561580371584,[ 0.42298463 -0.0659439 ],[-0.77454734 -0.7373355 ],"[[-0.5008818  -0.18193321  0.18500992 -0.17229917]
 [-0.5974882   0.62971856  0.          0.        ]]"
12,"[ 0.71148589  0.92795217 -0.67083235 -0.69184675  1.60154204 -1.49097793
  0.64334058  0.20716879 -1.07740622  0.93922919  0.        ]",-2.77202,[-1.48375859 -0.64574459],-0.06267869227,[-1.22559595 -0.82323104],[-0.77454734 -0.7373355 ],"[[-0.47302865 -0.15277851  0.18500992 -0.17229917]
 [ 3.36959284  2.28025647  0.          0.        ]]"
13,"[ 0.7313996   0.93135137 -0.63360084 -0.65262989  1.60154102 -1.49097706
  0.44332593 -0.31038931 -1.0311303   1.04325794  0.        ]",-2.77374,[-0.06986122  0.07472873],-0.0690089104782,[-0.1502417  -0.15047252],[-0.77454734 -0.7373355 ],"[[-0.44598614 -0.13326472  0.18500992 -0.17229917]
 [-0.65195177 -0.32021668  0.          0.        ]]"
14,"[ 0.71998257  0.93079674 -0.65525427 -0.65941193  1.60153999 -1.4909762
  0.43021624 -0.25021682 -1.05202379  0.99387919  0.        ]",-2.65235,[ 0.3744432  -0.92922815],-0.0659578282367,[ 0.05403086 -0.14286965],[-0.77454734 -0.7373355 ],"[[-0.46166981 -0.1366356   0.18500992 -0.17229917]
 [-0.91553678 -0.01788004  0.          0.        ]]"
15,"[ 0.71756858  0.92375083 -0.65972429 -0.73418425  1.60153897 -1.49097534
  0.50485865 -0.98254456 -1.08279178  0.93251678  0.        ]",-2.6433,[ 0.57237687  0.09767314],-0.0623065530218,[ 0.25205541  0.67650998],[-0.77454734 -0.7373355 ],"[[-0.46492269 -0.1739117   0.18500992 -0.17229917]
 [ 0.58524482 -3.69746438  0.          0.        ]]"
16,"[ 0.742229    0.90620347 -0.61222372 -0.87190278  1.60153794 -1.49097448
  0.61688948 -0.89117447 -1.09257526  0.93309312  0.        ]",-2.71991,[-0.65903099 -0.37345868],-0.062451001697,[-0.53654814  0.57316488],[-0.77454734 -0.7373355 ],"[[-0.43061762 -0.24325486  0.18500992 -0.17229917]
 [ 2.83776799 -3.23837656  0.          0.        ]]"
17,"[ 0.76236618  0.87928933 -0.57000729 -1.02580376  1.60153692 -1.49097361
  0.48445835 -1.17251842 -1.1178555   0.91169442  0.        ]",-2.64137,[ 0.91693845  0.39489316],-0.061435874163,[ 0.50095439  1.07894099],[-0.77454734 -0.7373355 ],"[[-0.4005777  -0.3222056   0.18500992 -0.17229917]
 [ 0.17507672 -4.65199239  0.          0.        ]]"
18,"[ 0.7869507   0.84634663 -0.5131693  -1.17100543  1.60153589 -1.49097275
  0.66466678 -0.84325809 -1.13182937  0.92304375  0.        ]",-2.81567,[-0.86028048  0.99149997],-0.0623710472405,[-0.85933405  0.68388963],[-0.77454734 -0.7373355 ],"[[-0.36072253 -0.39864675  0.18500992 -0.17229917]
 [ 3.79839548 -2.99762429  0.          0.        ]]"
19,"[ 0.80969402  0.83665579 -0.45372346 -1.2081839   1.60153487 -1.49097189
  0.49159174 -0.04983184 -1.09855693  1.01023901  0.        ]",-2.84615,[-0.0523389   1.24716706],-0.0674099360378,[-0.60828     0.03901494],[-0.77454734 -0.7373355 ],"[[-0.31966936 -0.41860056  0.18500992 -0.17229917]
 [ 0.31850851  0.98894776  0.          0.        ]]"
20,"[ 0.81187901  0.86414188 -0.4475726  -1.09676606  1.60153384 -1.49097103
  0.48090677  0.73434288 -1.04597161  1.09959378  0.        ]",-2.80436,[-0.41480923 -0.56252243],-0.0726692730524,[-1.07896554 -0.8996399 ],[-0.77454734 -0.7373355 ],"[[-0.31545462 -0.35928941  0.18500992 -0.17229917]
 [ 0.10367609  4.92903577  0.          0.        ]]"
