timestep,rewards,obs,actions,original_rewards,avg_action_dist,logstd_action_dist,human_obs
0,-1.84589,"[ 0.99184425  1.27576077  0.77546669 -0.69748658  1.54260464 -0.10487253
  0.24890937 -0.32908579 -0.09097423  0.88671865  0.        ]",[-1.89341873  1.45530569],-0.0487141595742,[-1.98390007  0.68001461],[-0.49373356 -0.28730077],"[[ 0.0759748   0.0984757   0.17718104 -0.01100928]
 [ 0.00174205  0.00188783  0.          0.        ]]"
1,-1.91981,"[ 0.99528825  1.27039462  0.7057392  -0.5783735   1.54260316 -0.1048725
 -0.39087392  0.31905503 -0.08905128  0.8371011   0.        ]",[-0.27170356  1.11546834],-0.0458775729278,[-0.73267365  0.41467354],[-0.49373356 -0.28730077],"[[ 0.03630329  0.13825631  0.17718104 -0.01100928]
 [-3.95571338  3.96296448  0.          0.        ]]"
2,-1.71691,"[ 0.99414863  1.2439367   0.54888534 -0.22904811  1.54260168 -0.10487247
 -0.55223113  0.95417386 -0.09493434  0.76455771  0.        ]",[-0.40487855 -0.60334377],-0.0413171568001,[-0.10454356 -0.38663182],[-0.49373356 -0.28730077],"[[-0.05282521  0.25645996  0.17718104 -0.01100928]
 [-4.95380838  7.84445956  0.          0.        ]]"
3,-1.76249,"[ 0.97478244  1.19646629  0.34923788  0.14644589  1.54260021 -0.10487244
 -0.79517979  0.53794172 -0.10933468  0.64531378  0.        ]",[ 1.14761459  0.12698364],-0.0341863001523,[ 0.65120625  0.00470871],[-0.49373356 -0.28730077],"[[-0.16697911  0.38782671  0.17718104 -0.01100928]
 [-6.45659746  5.30068223  0.          0.        ]]"
4,-1.67689,"[ 0.94620904  1.1426626   0.19752429  0.44598231  1.54259873 -0.10487241
 -0.13500608  0.60279113 -0.13024852  0.56628771  0.        ]",[ 0.15297023 -0.34174526],-0.0290454310629,[-0.10303964 -0.74255514],[-0.49373356 -0.28730077],"[[-0.25513957  0.4978166   0.17718104 -0.01100928]
 [-2.37301792  5.69700696  0.          0.        ]]"
5,-1.59432,"[ 0.92898079  1.0836949   0.12822105  0.70137922  1.54259725 -0.10487238
 -0.02949653  0.36288013 -0.1549843   0.59451573  0.        ]",[-1.17877798 -0.58967367],-0.0276049100388,[-0.1471608  -0.84446752],[-0.49373356 -0.28730077],"[[-0.29605176  0.59704584  0.17718104 -0.01100928]
 [-1.72037681  4.23080609  0.          0.        ]]"
6,-1.62724,"[ 0.89168836  1.04323677  0.00553847  0.84873564  1.54259578 -0.10487235
 -0.66344666 -0.03265806 -0.1722787   0.48925396  0.        ]",[ 0.29713132  0.8052614 ],-0.0223800438918,[ 1.31765318  0.14261281],[-0.49373356 -0.28730077],"[[-0.36980332  0.65740855  0.17718104 -0.01100928]
 [-5.64174708  1.81349887  0.          0.        ]]"
7,-1.73479,"[ 0.82868645  0.99380202 -0.15505186  1.00643518  1.5425943  -0.10487232
 -0.45554341  0.48311169 -0.19954067  0.33183223  0.        ]",[ 1.14135275 -0.26081621],-0.0195123172518,[ 1.46164787 -0.45476207],[-0.49373356 -0.28730077],"[[-0.46973548  0.72530444  0.17718104 -0.01100928]
 [-4.35573973  4.96559389  0.          0.        ]]"
8,-1.57145,"[ 0.79459354  0.92394642 -0.22723972  1.19690858  1.54259282 -0.10487229
  0.19805308  0.297824   -0.22959879  0.3353538   0.        ]",[-1.38757812 -0.4848809 ],-0.0161913258028,[ 0.31871864 -0.98830986],[-0.49373356 -0.28730077],"[[-0.51628702  0.81325462  0.17718104 -0.01100928]
 [-0.31284756  3.83322082  0.          0.        ]]"
9,-1.88914,"[ 0.75813508  0.87570102 -0.29655141  1.31071862  1.54259135 -0.10487226
 -0.44046921 -0.02854715 -0.25322156  0.30016176  0.        ]",[ 2.01582311 -0.46880383],-0.0151922568768,[ 1.80077541 -0.13644412],[-0.49373356 -0.28730077],"[[-0.56217168  0.86990681  0.17718104 -0.01100928]
 [-4.26249608  1.83862519  0.          0.        ]]"
10,-1.84515,"[ 0.71996549  0.8600734  -0.36217739  1.34490916  1.54258987 -0.10487223
  0.21288567 -0.33844827 -0.26724804  0.21758645  0.        ]",[ 1.40058668  0.18225106],-0.0188404283915,[ 0.70574796 -0.21293476],[-0.49373356 -0.28730077],"[[-0.60687314  0.88767663  0.17718104 -0.01100928]
 [-0.22110041 -0.055315    0.          0.        ]]"
11,-1.6292,"[ 0.75033541  0.85462657 -0.3104891   1.35653751  1.5425884  -0.1048722
  0.85318979 -0.22039063 -0.26193564  0.30920254  0.        ]",[-1.61042417 -0.99133524],-0.0139613490142,[-0.78679812 -1.04246426],[-0.49373356 -0.28730077],"[[-0.57155661  0.89380942  0.17718104 -0.01100928]
 [ 3.73956951  0.66618564  0.          0.        ]]"
12,-1.81668,"[ 0.77832865  0.87768581 -0.25905368  1.30628065  1.54258692 -0.10487217
  0.2017946  -0.86463253 -0.24867483  0.35675278  0.        ]",[ 1.12678768 -1.05274272],-0.0135410018152,[ 0.50161934  0.25396299],[-0.49373356 -0.28730077],"[[-0.5371922   0.86762943  0.17718104 -0.01100928]
 [-0.28970215 -3.27105533  0.          0.        ]]"
13,-1.49058,"[ 0.80445947  0.96454516 -0.20715913  1.09030575  1.54258544 -0.10487214
  0.842544   -1.50214223 -0.21426328  0.30042574  0.        ]",[-0.52505012  1.60374264],-0.0189708125345,[-0.7125448   0.90465653],[-0.49373356 -0.28730077],"[[-0.5032198   0.76311759  0.17718104 -0.01100928]
 [ 3.67372073 -7.16715843  0.          0.        ]]"
14,-1.5337,"[ 0.84134257  1.04076751 -0.12602454  0.85713074  1.54258397 -0.10487211
  0.49475232 -0.83091023 -0.18223652  0.29074489  0.        ]",[-0.88386099  0.01091112],-0.0225959015793,[-0.35795256  0.49526241],[-0.49373356 -0.28730077],"[[-0.45133007  0.6609329   0.17718104 -0.01100928]
 [ 1.52242133 -3.06497333  0.          0.        ]]"
15,-1.63209,"[ 0.83799224  1.08134481 -0.13383771  0.71044409  1.54258249 -0.10487208
 -0.07542075 -0.81371228 -0.17311433  0.1964966   0.        ]",[ 1.28853104  1.09172866],-0.0275007172638,[ 0.83645189  1.24176514],[-0.49373356 -0.28730077],"[[-0.45626789  0.60068795  0.17718104 -0.01100928]
 [-2.00444108 -2.95987158  0.          0.        ]]"
16,-1.55277,"[ 0.8379839   1.09337369 -0.13385607  0.66313593  1.54258101 -0.10487205
  0.57033901 -0.15645549 -0.17068365  0.17047636  0.        ]",[-1.40975825 -0.23923188],-0.029049597992,[-0.50278538 -0.04043677],[-0.49373356 -0.28730077],"[[-0.45627953  0.58179214  0.17718104 -0.01100928]
 [ 1.98997034  1.05690638  0.          0.        ]]"
17,-1.67211,"[ 0.8377888   1.08613164 -0.13430713  0.6918441   1.54257954 -0.10487202
 -0.07554663 -0.31464817 -0.17218608  0.18555518  0.        ]",[ 1.23316367  0.08952926],-0.028135265737,[ 0.81148136  0.63778508],[-0.49373356 -0.28730077],"[[-0.45656498  0.59323027  0.17718104 -0.01100928]
 [-2.00521777  0.0901227   0.          0.        ]]"
18,-1.58543,"[ 0.83777873  1.08271601 -0.13432949  0.70513949  1.54257806 -0.10487199
  0.57042421 -0.25716386 -0.17290714  0.19272348  0.        ]",[-0.15947003  0.5108291 ],-0.0277080000714,[-0.50609052  0.00817904],[-0.49373356 -0.28730077],"[[-0.45657915  0.59855748  0.17718104 -0.01100928]
 [ 1.99049743  0.44143334  0.          0.        ]]"
19,-1.5543,"[ 0.85958304  1.06363298 -0.08164538  0.77675327  1.54257659 -0.10487196
  0.46195403  0.07240907 -0.17087063  0.31497329  0.        ]",[-1.39376023 -0.50597158],-0.0230581173809,[-0.49220097 -0.55176866],[-0.49373356 -0.28730077],"[[-0.42350113  0.62759488  0.17718104 -0.01100928]
 [ 1.31954596  2.4555935   0.          0.        ]]"
20,-1.63245,"[ 0.85083089  1.04411948 -0.10333796  0.84567804  1.54257511 -0.10487193
 -0.18173763 -0.26314092 -0.17882345  0.31979172  0.        ]",[ 0.50011857  0.27014475],-0.0220705913176,[ 0.84967268  0.31206167],[-0.49373356 -0.28730077],"[[-0.43705879  0.65613162  0.17718104 -0.01100928]
 [-2.66206852  0.40490523  0.          0.        ]]"
