timestep,logstd_action_dist,original_rewards,rewards,obs,avg_action_dist,actions,human_obs
0,[-0.21501008 -0.18101636],-0.325340503516,-1.11768,"[ 1.22163698  1.32924866  0.12361454 -0.50349789 -0.86625451 -0.68570331
  1.32133876 -0.20339645  1.80089339  0.66046668  0.        ]",[-1.61189198  0.32345411],[-4.27224552 -0.09142355],"[[ 0.00900819  0.004821   -0.10390882 -0.08311661]
 [ 0.00404731 -0.00136197  0.          0.        ]]"
1,[-0.21501008 -0.18101636],-0.323081337036,-1.30341,"[ 1.22103719  1.32924863  0.06483893 -0.51053804 -0.86624893 -0.6856996
  1.18852526 -0.25386336  1.80036011  0.60098932  0.        ]",[-1.60639429  0.33155623],[-0.66171671  1.73989629],"[[ -3.06007535e-02   1.17741320e-03  -1.03908818e-01  -8.31166071e-02]
 [ -3.95177101e+00  -3.61800348e-01   0.00000000e+00   0.00000000e+00]]"
2,[-0.21501008 -0.18101636],-0.317864312218,-1.38097,"[ 1.20912153  1.32853283 -0.08968973 -0.44758788 -0.86624335 -0.6856959
  1.10320955  0.30169194  1.79157679  0.47600301  0.        ]",[-1.57283247  0.21760887],[-2.42166561 -0.894879  ],"[[-0.13513128  0.03375102 -0.10390882 -0.08311661]
 [-6.49281651  3.60593373  0.          0.        ]]"
3,[-0.21501008 -0.18101636],-0.307607528313,-1.20621,"[ 1.15879826  1.32623189 -0.33311247 -0.37835886 -0.86623778 -0.68569219
  0.97475597 -0.20423503  1.75302786  0.26616199  0.        ]",[-1.57950807  0.33663738],[-1.40486524  0.1814148 ],"[[ -3.03375591e-01   6.96165954e-02  -1.03908818e-01  -8.31166071e-02]
 [ -1.03188801e+01  -7.34424125e-03   0.00000000e+00   0.00000000e+00]]"
4,[-0.21501008 -0.18101636],-0.287951012134,-0.802743,"[ 1.02051284  1.32557992 -0.66216818 -0.36471687 -0.8662322  -0.68568848
  0.84878831 -0.10343749  1.63253657 -0.05176521  0.        ]",[-1.55124092  0.31680679],[-3.01747115 -0.12516118],"[[ -0.54739874   0.0766926   -0.10390882  -0.08311661]
 [-14.07094245   0.71253498   0.           0.        ]]"
5,[-0.21501008 -0.18101636],-0.256767511514,-0.606595,"[ 0.73723536  1.3246494  -1.01996101 -0.34708739 -0.86622663 -0.68568477
  0.72532912 -0.17461751  1.37655673 -0.40376107  0.        ]",[-1.51960468  0.32381433],[-1.8849045  -0.04290305],"[[ -0.8657138    0.08584289  -0.10390882  -0.08311661]
 [-17.74831942   0.20417432   0.           0.        ]]"
6,[-0.21501008 -0.18101636],-0.210826801615,-0.336984,"[ 0.2701965   1.32438371 -1.30127817 -0.34255862 -0.86622105 -0.68568107
  0.60430836 -0.19879419  0.93889058 -0.6960931   0.        ]",[-1.47512209  0.29709816],[-1.00450358  0.876052  ],"[[ -1.25684789   0.08819406  -0.10390882  -0.08311661]
 [-21.35308729   0.03150372   0.           0.        ]]"
7,[-0.21501008 -0.18101636],-0.1525484741,0.206296,"[-0.35868379  1.31974513 -1.35745256 -0.27444459 -0.86621548 -0.68567736
  0.48563332  0.28698156  0.35933302 -0.78159854  0.        ]",[-1.40873957  0.1564045 ],[-1.86279461  2.03845366],"[[ -1.71937636   0.1236332   -0.10390882  -0.08311661]
 [-24.88799919   3.50081709   0.           0.        ]]"
8,[-0.21501008 -0.18101636],-0.0939389981217,0.36829,"[-1.02165739  1.29588213 -1.0426599  -0.06708549 -0.8662099  -0.68567365
  0.36929467  0.83181101 -0.23051653 -0.56283902  0.        ]",[-1.37376428  0.06203082],[-0.54630345  0.41333172],"[[ -2.25190457   0.23269086  -0.10390882  -0.08311661]
 [-28.35332712   7.39189485   0.           0.        ]]"
9,[-0.21501008 -0.18101636],-0.0775580821738,0.42317,"[-1.46726793  1.23384735 -0.3375702   0.23184236 -0.86620432 -0.68566995
  0.31553005  1.04040007 -0.66556116 -0.04684693  0.        ]",[-1.36952758  0.04639618],[-1.25536855 -0.02460673],"[[ -2.83503817   0.3954771   -0.10390882  -0.08311661]
 [-29.95476818   8.88164294   0.           0.        ]]"
