timestep,avg_action_dist,obs,rewards,actions,original_rewards,logstd_action_dist,human_obs
0,[ 2.22973585  1.10637486],"[ 1.16272049  1.33321699  0.06927943 -1.99153198 -1.34299259 -0.11730593
 -0.93238783 -0.22164247  1.91056541  0.07397957  0.        ]",-9.53327,[ 2.31719445  2.01242596],-0.363106861799,[-0.22012717 -0.66830456],"[[ 0.04623497 -0.04402952 -0.15280246 -0.01241828]
 [ 0.00104198 -0.00086476  0.          0.        ]]"
1,[ 2.11090755  0.86472327],"[ 1.15910142  1.33556716  0.12830265 -1.88504643 -1.34298899 -0.11730581
 -0.82027968  0.66789234  1.90696201  0.15224874  0.        ]",-8.49324,[ 1.33120563  1.21892653],-0.363305464312,[-0.22012717 -0.66830456],"[[ 0.08593067 -0.00433424 -0.15280246 -0.01241828]
 [ 3.95536564  3.95720695  0.          0.        ]]"
2,[ 1.98205078  0.54624707],"[ 1.13559957  1.31974151  0.30220384 -1.56887704 -1.34298539 -0.1173057
 -0.71038739  1.53981738  1.8677622   0.38105049  0.        ]",-6.75985,[ 1.85714103  0.79174211],-0.361495781377,[-0.22012717 -0.66830456],"[[ 0.20392855  0.1137365  -0.15280246 -0.01241828]
 [ 7.83153854  7.83693831  0.          0.        ]]"
3,[ 1.82365334  0.11131491],"[ 1.05597699  1.22579051  0.57892717 -1.07951765 -1.3429818  -0.11730558
 -0.60265145  2.20914039  1.718401    0.7205587   0.        ]",-4.61303,[ 0.76168278 -0.01206363],-0.351050705284,[-0.22012717 -0.66830456],"[[  0.39868622   0.30035739  -0.15280246  -0.01241828]
 [ 11.63165753  10.81521069   0.           0.        ]]"
4,[ 1.66979516 -0.19527061],"[ 0.87506326  1.01866541  0.91321332 -0.55406698 -1.3429782  -0.11730547
 -0.52372502  2.14997474  1.40480698  1.04820045  0.        ]",-3.51154,[ 3.08466946 -0.3150064 ],-0.325532532012,[-0.22012717 -0.66830456],"[[  6.59250521e-01   5.14021037e-01  -1.52802459e-01  -1.24182821e-02]
 [  1.44155887e+01   1.05519979e+01   0.00000000e+00   0.00000000e+00]]"
5,[ 1.55692756 -0.43525463],"[ 0.54793015  0.74229048  1.24169258 -0.12345227 -1.3429746  -0.11730536
 -0.41960502  1.82226549  0.94695775  1.23201234  0.        ]",-2.13591,[ 1.31908824 -0.64327369],-0.282511016438,[-0.22012717 -0.66830456],"[[  9.84409704e-01   7.10431507e-01  -1.52802459e-01  -1.24182821e-02]
 [  1.80881697e+01   9.09384706e+00   0.00000000e+00   0.00000000e+00]]"
6,[ 1.47096634 -0.49117821],"[ 0.04298295  0.47403865  1.46424385  0.16871944 -1.342971   -0.11730524
 -0.3175265   1.20883496  0.42066827  1.1799041   0.        ]",-2.07525,[ 2.04202091 -0.37917999],-0.221645934985,[-0.22012717 -0.66830456],"[[  1.38229880e+00   8.64923042e-01  -1.52802459e-01  -1.24182821e-02]
 [  2.16887442e+01   6.36431591e+00   0.00000000e+00   0.00000000e+00]]"
7,[ 1.41561544 -0.53854305],"[-0.59776572  0.25764477  1.43231723  0.34886292 -1.3429674  -0.11730513
 -0.21747758  0.84242835 -0.05028598  0.84704227  0.        ]",-1.58443,[ 1.65765756 -0.66677723],-0.143973951831,[-0.22012717 -0.66830456],"[[  1.85148108e+00   9.75852392e-01  -1.52802459e-01  -1.24182821e-02]
 [  2.52177301e+01   4.73394458e+00   0.00000000e+00   0.00000000e+00]]"
8,[ 1.32855749 -0.14047386],"[-1.22411272  0.11812973  1.01734056  0.44485091 -1.3429638  -0.11730502
 -0.11940502  0.22719784 -0.31459263  0.26972945  0.        ]",-1.90363,[ 0.5653662   0.11631711],-0.0552952886065,[-0.22012717 -0.66830456],"[[  2.39054441e+00   1.04306576e+00  -1.52802459e-01  -1.24182821e-02]
 [  2.86770053e+01   1.99639209e+00   0.00000000e+00   0.00000000e+00]]"
9,[ 1.29305112 -0.30038273],"[-1.57750614  0.02348763  0.23891836  0.50218643 -1.3429602  -0.1173049
 -0.0720573   0.32097572 -0.23636646 -0.40015088  0.        ]",-1.2594,[ 1.27254244 -0.91280185],-0.0607119301884,[-0.22012717 -0.66830456],"[[  2.98084060e+00   1.08718102e+00  -1.52802459e-01  -1.24182821e-02]
 [  3.03470808e+01   2.41367091e+00   0.00000000e+00   0.00000000e+00]]"
