timestep,avg_action_dist,logstd_action_dist,actions,rewards,human_obs,obs,original_rewards
0,[-4.27380657 -4.9264555 ],[-0.46251029 -0.24931951],[-5.09074221 -4.69367248],-5.84101,"[[ 0.09057421 -0.03203199 -0.07156879 -0.19627028]
 [-0.00156905 -0.0037708   0.          0.        ]]","[ 1.04797626  1.62091807  0.08538217  0.51966905 -0.62304527 -1.70240622
  0.15574185  0.35467938  2.06062624  2.18444097  0.        ]",-0.351828077286
1,[-3.75200701 -4.38279009],[-0.46251029 -0.24931951],[-4.58725444 -4.08505766],-5.7405,"[[ 0.05086805 -0.07181906 -0.07156879 -0.19627028]
 [-3.95588895 -3.96174947  0.          0.        ]]","[ 1.05169762  1.61848315  0.02180735  0.39357865 -0.62304491 -1.70240343
 -0.23210647 -0.23395952  2.06461871  2.06179163  0.        ]",-0.344699508065
2,[-3.04175544 -3.31039858],[-0.46251029 -0.24931951],[-3.81789248 -3.56138348],-5.33905,"[[-0.06714061 -0.1899797  -0.07156879 -0.19627028]
 [-7.83210372 -7.84138453  0.          0.        ]]","[ 1.05042354  1.600323   -0.16750987  0.02200683 -0.62304455 -1.70240063
 -0.61229397 -0.81094676  2.0314867   1.69988898  0.        ]",-0.321318500955
3,[-1.88522124 -1.93186998],[-0.46251029 -0.24931951],[-2.54008132 -3.53259374],-4.69694,"[[ -0.26190761  -0.38496212  -0.07156879  -0.19627028]
 [-11.63205643 -11.64416784   0.           0.        ]]","[ 1.00816637  1.53530068 -0.47545043 -0.57045932 -0.62304418 -1.70239784
 -0.98500114 -1.37650341  1.83569444  1.14434006  0.        ]",-0.276293894061
4,[ 0.15120074  0.18992612],[-0.46251029 -0.24931951],[-0.15840937 -1.31936471],-3.93748,"[[ -0.53192892  -0.65524334  -0.07156879  -0.19627028]
 [-15.35793059 -15.37148729   0.           0.        ]]","[ 0.87009252  1.37754971 -0.87399063 -1.31253857 -0.62304382 -1.70239504
 -1.35044174 -1.93083453  1.32343501  0.5595209   0.        ]",-0.203637936108
5,[ 1.76784086  2.19415236],[-0.46251029 -0.24931951],[ 1.11826087  2.21399019],-2.97585,"[[ -0.84233923  -0.9993393   -0.07156879  -0.19627028]
 [-15.6823372  -19.02588615   0.           0.        ]]","[ 0.60989841  1.08064432 -1.25765369 -2.04805613 -0.62304345 -1.70239225
 -1.38225857 -2.47431655  0.5128047   0.29011171  0.        ]",-0.109830788074
6,[ 1.77544487  2.68404555],[-0.46251029 -0.24931951],[ 1.9227138   2.63510952],-2.2041,"[[ -1.11321588  -1.33635338  -0.07156879  -0.19627028]
 [-11.41917706 -14.6899798    0.           0.        ]]","[ 0.31278168  0.71716444 -1.49991876 -2.46547398 -0.62304309 -1.70238945
 -0.96411766 -1.82947001 -0.18499579  0.49016724  0.        ]",-0.0478192683676
7,[ 1.72282684  2.56231213],[-0.46251029 -0.24931951],[ 2.85751608  2.87015721],-2.47743,"[[ -1.29965484  -1.5875113   -0.07156879  -0.19627028]
 [ -7.23832584 -10.43999015   0.           0.        ]]","[ 0.08199399  0.42382455 -1.60641151 -2.55184001 -0.62304272 -1.70238665
 -0.55405025 -1.19740389 -0.53682852  0.83670119  0.        ]",-0.0726947612544
8,[ 1.52557576  2.08382273],[-0.46251029 -0.24931951],[ 1.37531957  2.17315393],-2.82004,"[[-1.40328984 -1.7545143  -0.07156879 -0.19627028]
 [-3.13862017 -6.27419801  0.          0.        ]]","[-0.05215166  0.22830963 -1.64258768 -2.4988681  -0.62304236 -1.70238386
 -0.1519419  -0.57786077 -0.6593539   1.09961489  0.        ]",-0.101806197409
9,[ 0.88212031  1.23314452],[-0.46251029 -0.24931951],[ 0.36017418  1.22298208],-2.93653,"[[-1.42573455 -1.83902898 -0.07156879 -0.19627028]
 [ 0.88085189 -2.19087084  0.          0.        ]]","[-0.08156702  0.13131141 -1.6481929  -2.43878344 -0.623042   -1.70238106
  0.24229695  0.02941787 -0.67191267  1.20956869  0.        ]",-0.113229079915
