timestep,avg_action_dist,obs,actions,rewards,human_obs,logstd_action_dist,original_rewards
0,[-1.47422862 -3.79039717],"[ 1.01705067  1.44706236 -0.13999105  0.41837984 -1.46109887  0.06602536
  0.11942993  0.33529424  3.04037484 -0.14432701  0.        ]",[-2.15301716 -4.50164995],-6.7622,"[[-0.06736159 -0.07883339 -0.1676556   0.00579583]
 [-0.00064559  0.00254474  0.          0.        ]]",[-0.6368801 -0.4432998],-0.377337094878
1,[-1.23907304 -3.51808906],"[ 1.0123601   1.44257294 -0.20290885  0.305638   -1.46109738  0.06602534
 -0.31225399 -0.27032012  3.02176641 -0.27601097  0.        ]",[-1.30405516 -3.35400281],-6.77509,"[[-0.10704955 -0.11849542 -0.1676556   0.00579583]
 [-3.95499513 -3.95556063  0.          0.        ]]",[-0.6368801 -0.4432998],-0.376545167219
2,[-0.97282743 -3.34471035],"[ 0.98591304  1.41864011 -0.38799766 -0.02606302 -1.4610959   0.06602532
 -0.7354142  -0.86394636  2.92033684 -0.654737    0.        ]",[-0.07461651 -2.67303217],-6.75776,"[[ -2.25040828e-01  -2.36533509e-01  -1.67655602e-01   5.79583317e-03]
 [ -7.83126629e+00  -7.83531676e+00   0.00000000e+00   0.00000000e+00]]",[-0.6368801 -0.4432998],-0.371707765838
3,[-0.96134406 -3.51818347],"[ 0.92178584  1.34536882 -0.62769794 -0.55116479 -1.46109442  0.0660253
 -0.75061075 -1.44603021  2.65685485 -1.13929916  0.        ]",[ 0.29688666 -2.65760466],-6.68379,"[[ -3.83062068e-01  -4.31409965e-01  -1.67655602e-01   5.79583317e-03]
 [ -7.97047442e+00  -1.16396415e+01   0.00000000e+00   0.00000000e+00]]",[-0.6368801 -0.4432998],-0.357771436916
4,[-0.87990957 -3.4792037 ],"[ 0.83458888  1.17927184 -0.83617006 -1.20049453 -1.46109294  0.06602528
 -0.60513187 -2.01666293  2.22712811 -1.526134    0.        ]",[-0.7687505  -3.37734721],-6.49428,"[[ -5.29099739e-01  -7.01622162e-01  -1.67655602e-01   5.79583317e-03]
 [ -6.63784945e+00  -1.53691388e+01   0.00000000e+00   0.00000000e+00]]",[-0.6368801 -0.4432998],-0.3317864893
5,[-0.33794272 -2.15088439],"[ 0.70881788  0.87774005 -1.04719517 -1.82838874 -1.46109146  0.06602526
 -0.92291945 -2.57576861  1.61778293 -1.71589687  0.        ]",[-0.31557961 -1.21249217],-5.90912,"[[ -6.91060499e-01  -1.04566862e+00  -1.67655602e-01   5.79583317e-03]
 [ -9.54887760e+00  -1.90233225e+01   0.00000000e+00   0.00000000e+00]]",[-0.6368801 -0.4432998],-0.288122956374
6,[ 0.70636374  0.16532844],"[ 0.51443852  0.42646568 -1.27224387 -2.19642267 -1.46108997  0.06602524
 -1.03890662 -3.12386924  0.9162394  -1.54288984  0.        ]",[ 0.42184265  0.29296776],-4.85295,"[[ -8.92694776e-01  -1.46207748e+00  -1.67655602e-01   5.79583317e-03]
 [ -1.06113589e+01  -2.26056167e+01   0.00000000e+00   0.00000000e+00]]",[-0.6368801 -0.4432998],-0.222320240892
7,[ 0.73043972  1.10403371],"[ 0.29546238 -0.06747374 -1.44102502 -2.06167107 -1.46108849  0.06602521
 -0.83416595 -2.87787383  0.46859344 -1.01670976  0.        ]",[ 1.73408374  1.36145682],-3.74213,"[[ -1.08610717e+00  -1.89805924e+00  -1.67655602e-01   5.79583317e-03]
 [ -8.73588133e+00  -2.09979156e+01   0.00000000e+00   0.00000000e+00]]",[-0.6368801 -0.4432998],-0.15359127481
8,[ 0.18093635  0.40240061],"[ 0.13029212 -0.44118588 -1.52708129 -1.53539544 -1.46108701  0.06602519
 -0.38344026 -2.20844031  0.40406984 -0.49353428  0.        ]",[ 0.40166353  0.02714304],-3.33739,"[[ -1.21940423e+00  -2.27411969e+00  -1.67655602e-01   5.79583317e-03]
 [ -4.60710968e+00  -1.66227015e+01   0.00000000e+00   0.00000000e+00]]",[-0.6368801 -0.4432998],-0.11653227735
9,[ 0.04529209 -0.23468189],"[ 0.03314902 -0.68388496 -1.5640486  -0.8238759  -1.46108553  0.06602517
 -0.2000139  -2.14163449  0.55620843 -0.12383546  0.        ]",[ 1.06914368  0.54966595],-3.29676,"[[ -1.29468943e+00  -2.60219320e+00  -1.67655602e-01   5.79583317e-03]
 [ -2.92687425e+00  -1.61861010e+01   0.00000000e+00   0.00000000e+00]]",[-0.6368801 -0.4432998],-0.117870092938
10,[-0.05248973 -2.02046919],"[ 0.00927996 -0.81386879 -1.57170416 -0.03770647 -1.46108404  0.06602515
  0.2384835  -1.75957648  0.80068379  0.09404546  0.        ]",[ 1.49047883 -2.26666722],-3.55639,"[[ -1.31292698e+00  -2.90086192e+00  -1.67655602e-01   5.79583317e-03]
 [  1.08988242e+00  -1.36890795e+01   0.00000000e+00   0.00000000e+00]]",[-0.6368801 -0.4432998],-0.140680045139
11,[ 0.1745372  -2.90236759],"[ 0.08901598 -0.84668649 -1.54394489  0.57710488 -1.46108256  0.06602513
  0.66839821 -0.14641562  1.01691883  0.19050405  0.        ]",[ 0.27504743 -2.44021213],-3.81092,"[[-1.25161932 -3.11840066 -0.1676556   0.00579583]
 [ 5.02802034 -3.14585167  0.          0.        ]]",[-0.6368801 -0.4432998],-0.163346626085
12,[ 0.07378184 -2.91133618],"[ 0.22848128 -0.84646165 -1.47966425  0.55631604 -1.46108108  0.06602511
  0.77644003  0.65490756  0.99254859  0.17683266  0.        ]",[ 0.20953346 -2.65667899],-3.79724,"[[ -1.14112815e+00  -3.11112071e+00  -1.67655602e-01   5.79583317e-03]
 [  6.01771612e+00   2.09140255e+00   0.00000000e+00   0.00000000e+00]]",[-0.6368801 -0.4432998],-0.160761156252
13,[-0.12176724 -2.89138246],"[ 0.38072443 -0.8438329  -1.38363574  0.43156251 -1.4610796   0.06602509
  0.85399881  0.6357204   0.94414249  0.13651002  0.        ]",[ 0.07638995 -2.50049728],-3.74604,"[[ -1.01364536e+00  -3.06738590e+00  -1.67655602e-01   5.79583317e-03]
 [  6.72817964e+00   1.96600188e+00   0.00000000e+00   0.00000000e+00]]",[-0.6368801 -0.4432998],-0.155665567999
14,[-0.27181861 -2.8685925 ],"[ 0.53051699 -0.84061576 -1.25680225  0.34274651 -1.46107812  0.06602506
  0.87247063  0.51307868  0.91657025  0.09308014  0.        ]",[ 0.11728757 -2.77338038],-3.73148,"[[ -8.77384024e-01  -3.03616772e+00  -1.67655602e-01   5.79583317e-03]
 [  6.89739097e+00   1.16444728e+00   0.00000000e+00   0.00000000e+00]]",[-0.6368801 -0.4432998],-0.152869775188
15,[-0.40898561 -2.91556144],"[ 0.66877696 -0.83838608 -1.10142447  0.2943148  -1.46107663  0.06602504
  0.90825513  0.42537008  0.90777351  0.05493046  0.        ]",[-0.11585974 -2.76794025],-3.73683,"[[ -7.36147303e-01  -3.01910276e+00  -1.67655602e-01   5.79583317e-03]
 [  7.22519148e+00   5.91206727e-01   0.00000000e+00   0.00000000e+00]]",[-0.6368801 -0.4432998],-0.152130608564
16,[-0.47847503 -2.87410855],"[ 0.78490076 -0.83717559 -0.92841523  0.27068625 -1.46107515  0.06602502
  0.84256086  0.37739371  0.91025564  0.02376414  0.        ]",[ 0.27834581 -2.71429175],-3.75587,"[[ -5.97681275e-01  -3.01076452e+00  -1.67655602e-01   5.79583317e-03]
 [  6.62341878e+00   2.77646147e-01   0.00000000e+00   0.00000000e+00]]",[-0.6368801 -0.4432998],-0.152606778878
17,[-0.63006479 -3.01744151],"[ 0.88179668 -0.83659294 -0.73291722  0.25984444 -1.46107367  0.066025
  0.94855323  0.353944    0.91960204 -0.00289054  0.        ]",[-0.65081154 -2.25410571],-3.78362,"[[ -4.55471318e-01  -3.00693557e+00  -1.67655602e-01   5.79583317e-03]
 [  7.59434230e+00   1.24385591e-01   0.00000000e+00   0.00000000e+00]]",[-0.6368801 -0.4432998],-0.15381526338
