timestep,human_obs,avg_action_dist,original_rewards,logstd_action_dist,rewards,obs,actions
0,"[[ 0.07636007 -0.07196321  0.00457832  0.11976933]
 [-0.00108441  0.00012006  0.          0.        ]]",[ 2.19316912  2.01662397],-0.233549353592,[-0.23323983 -0.26296011],-2.24524,"[ 1.13387688  2.2847367   0.13128958 -1.0697106   0.03794304  1.04376004
 -0.21184592 -0.37738802  1.39271224 -1.05699559  0.        ]",[ 2.62946267  0.4672719 ]
1,"[[ 0.11602192 -0.05341254  0.00457832  0.11976933]
 [ 3.95410165  1.84879084  0.          0.        ]]",[ 1.83513594  1.80049264],-0.22825196264,[-0.23323983 -0.26296011],-2.18656,"[ 1.12859194  2.28639025  0.19027715 -1.00757723  0.03794302  1.04375885
 -0.09678971 -0.11983202  1.38800372 -0.96882109  0.        ]",[ 3.0731784   0.91815509]
2,"[[  2.33995676e-01   1.96572539e-02   4.57832118e-03   1.19769332e-01]
 [  7.83037381e+00   5.44620321e+00   0.00000000e+00   0.00000000e+00]]",[ 1.04233527  1.27842569],-0.210785781507,[-0.23323983 -0.26296011],-2.13846,"[ 1.10011392  2.28814499  0.36376824 -0.76244613  0.03794299  1.04375766
  0.0159709   0.38135779  1.345635   -0.69317929  0.        ]",[ 0.68277897  2.02719427]
3,"[[  4.16134555e-01   1.67217182e-01   4.57832118e-03   1.19769332e-01]
 [  1.03750821e+01   9.29694859e+00   0.00000000e+00   0.00000000e+00]]",[-0.00239806  0.65031433],-0.179679832194,[-0.23323983 -0.26296011],-1.93651,"[ 1.01953558  2.26847371  0.62132302 -0.26984678  0.03794297  1.04375647
  0.08999637  0.91784142  1.18364213 -0.26498117  0.        ]",[-0.07464071  0.18852378]
4,"[[  6.18615304e-01   3.58799954e-01   4.57832118e-03   1.19769332e-01]
 [  9.87469965e+00   9.85944043e+00   0.00000000e+00   0.00000000e+00]]",[-0.3221724   0.59230971],-0.141490137238,[-0.23323983 -0.26296011],-1.6358,"[ 0.88085555  2.19737077  0.8838354   0.35004057  0.03794295  1.04375528
  0.0754402   0.99620651  0.86488253  0.14575753  0.        ]",[-0.68755637  1.90340488]
5,"[[  7.86850943e-01   5.93767506e-01   4.57832118e-03   1.19769332e-01]
 [  6.95864899e+00   1.36247562e+01   0.00000000e+00   0.00000000e+00]]",[-0.35261726  0.26659045],-0.10500694628,[-0.23323983 -0.26296011],-1.31721,"[ 0.73020846  2.04371626  1.07543816  1.04921179  0.03794293  1.04375409
 -0.00938774  1.52078634  0.4569353   0.3984909   0.        ]",[-0.90040379 -0.67964622]
6,"[[  8.88920234e-01   8.36567088e-01   4.57832118e-03   1.19769332e-01]
 [  3.26047651e+00   1.06650547e+01   0.00000000e+00   0.00000000e+00]]",[-0.33825403  0.33082995],-0.0784320870106,[-0.23323983 -0.26296011],-1.01198,"[ 0.62502505  1.81666563  1.17743319  1.66288057  0.03794291  1.0437529
 -0.11696762  1.10844062  0.0984003   0.4623927   0.        ]",[ 0.72070022  1.44066128]
7,"[[  9.82089422e-01   1.08746838e+00   4.57832118e-03   1.19769332e-01]
 [  6.04738199e+00   1.44125909e+01   0.00000000e+00   0.00000000e+00]]",[-0.40961972 -0.09056976],-0.0600197780539,[-0.23323983 -0.26296011],-1.0659,"[ 0.52103937  1.52319536  1.26001641  2.14313275  0.03794289  1.0437517
 -0.0358964   1.63054247 -0.24296476  0.40646318  0.        ]",[ 0.0769806   0.07977065]
8,"[[  1.10490819e+00   1.37602444e+00   4.57832118e-03   1.19769332e-01]
 [  6.23390928e+00   1.44429112e+01   0.00000000e+00   0.00000000e+00]]",[-0.33996233 -0.22118941],-0.0594786556736,[-0.23323983 -0.26296011],-1.12598,"[ 0.37390729  1.13552078  1.3523058   2.46408277  0.03794287  1.04375051
 -0.03047029  1.63476339 -0.59769801  0.21102501  0.        ]",[-0.67838994  0.21197301]
9,"[[  1.20142740e+00   1.67043917e+00   4.57832118e-03   1.19769332e-01]
 [  3.42726580e+00   1.49967039e+01   0.00000000e+00   0.00000000e+00]]",[ 0.0484755  -0.23715439],-0.0745522974693,[-0.23323983 -0.26296011],-1.24152,"[ 0.25157724  0.71663284  1.4107779   2.5108813   0.03794285  1.04374932
 -0.1121157   1.71191373 -0.81907979 -0.08120163  0.        ]",[ 0.12955178 -0.76438692]
10,"[[  1.27445364e+00   1.93702575e+00   4.57832118e-03   1.19769332e-01]
 [  3.87376309e+00   1.16730337e+01   0.00000000e+00   0.00000000e+00]]",[ 0.13472781  0.01722571],-0.0908578549236,[-0.23323983 -0.26296011],-1.31997,"[ 0.15586163  0.34692358  1.44642207  2.30496764  0.03794283  1.04374813
 -0.099127    1.24886105 -0.90297961 -0.37625711  0.        ]",[-0.90510631  0.91582825]
11,"[[  1.31521955e+00   2.20455411e+00   4.57832118e-03   1.19769332e-01]
 [  2.14968513e-01   1.50684645e+01   0.00000000e+00   0.00000000e+00]]",[ 0.62643886  0.10408099],-0.103419995318,[-0.23323983 -0.26296011],-1.48714,"[ 0.10145735  0.01229534  1.46301601  1.87581848  0.03794281  1.04374694
 -0.2055616   1.72190574 -0.87465777 -0.64755837  0.        ]",[ 0.15901849 -1.12311795]
12,"[[  1.32579997e+00   2.46320220e+00   4.57832118e-03   1.19769332e-01]
 [  8.40891314e-01   1.08105388e+01   0.00000000e+00   0.00000000e+00]]",[ 0.72323573  0.54203928],-0.112122532147,[-0.23323983 -0.26296011],-1.54424,"[ 0.08723827 -0.25418237  1.46692931  1.27756411  0.03794279  1.04374575
 -0.18735333  1.12869452 -0.76816513 -0.8646866   0.        ]",[-0.12480372  0.39586846]
13,"[[  1.33749693e+00   2.69299253e+00   4.57832118e-03   1.19769332e-01]
 [  3.30494198e-01   1.21639815e+01   0.00000000e+00   0.00000000e+00]]",[ 0.8317942   0.61410922],-0.119237518946,[-0.23323983 -0.26296011],-1.55725,"[ 0.0714749  -0.4292611   1.47106693  0.62706345  0.03794277  1.04374456
 -0.20220073  1.31725277 -0.63153497 -1.02479132  0.        ]",[ 1.1640617   0.74709177]
14,"[[  1.38376907e+00   2.96353744e+00   4.57832118e-03   1.19769332e-01]
 [  4.28357572e+00   1.48814618e+01   0.00000000e+00   0.00000000e+00]]",[ 0.71438831  0.50973505],-0.126803927061,[-0.23323983 -0.26296011],-1.53045,"[ 0.00870731 -0.54810631  1.4854876  -0.23403034  0.03794275  1.04374337
 -0.08720494  1.69584552 -0.42959166 -1.16446743  0.        ]",[ 1.3686824   0.01258863]
15,"[[  1.50830859e+00   3.10019866e+00   4.57832118e-03   1.19769332e-01]
 [  8.15751060e+00   6.27606971e-01   0.00000000e+00   0.00000000e+00]]",[ 1.21702504  1.59776175],-0.129758703061,[-0.23323983 -0.26296011],-1.51068,"[-0.16259176 -0.56948254  1.50862651 -0.68954289  0.03794272  1.04374218
  0.02548846 -0.28998351 -0.3009547  -1.20866062  0.        ]",[ 1.61983511  2.47342902]
16,"[[  1.70956196e+00   3.07928861e+00   4.57832118e-03   1.19769332e-01]
 [  1.19552118e+01  -1.76172232e+00   0.00000000e+00   0.00000000e+00]]",[ 1.35967886  1.75027382],-0.130766344636,[-0.23323983 -0.26296011],-1.50639,"[-0.44108275 -0.56793298  1.49717663 -0.61946525  0.0379427   1.04374099
  0.13596421 -0.62286157 -0.30760803 -1.2167526   0.        ]",[ 2.87279941  2.22068857]
17,"[[  1.98601651e+00   3.04641135e+00   4.57832118e-03   1.19769332e-01]
 [  1.56778431e+01  -1.38222953e+00   0.00000000e+00   0.00000000e+00]]",[ 1.41429985  1.75263429],-0.13307004387,[-0.23323983 -0.26296011],-1.57063,"[-0.80877003 -0.56423568  1.38456682 -0.50947781  0.03794268  1.04373979
  0.24425616 -0.56999065 -0.31114741 -1.23615703  0.        ]",[ 1.69985277  0.64952805]
18,"[[  2.33618437e+00   3.02466214e+00   4.57832118e-03   1.19769332e-01]
 [  1.93267816e+01  -8.04917260e-01   0.00000000e+00   0.00000000e+00]]",[ 1.45718515  1.68529582],-0.135533359751,[-0.23323983 -0.26296011],-1.60028,"[-1.21023975 -0.56094406  1.09480724 -0.43690012  0.03794266  1.0437386
  0.35040435 -0.4895598  -0.28853213 -1.25881452  0.        ]",[ 1.44640948  1.87684757]
19,"[[  2.75860618e+00   3.01328331e+00   4.57832118e-03   1.19769332e-01]
 [  2.29034786e+01  -3.79839923e-01   0.00000000e+00   0.00000000e+00]]",[ 1.44640124  1.53962314],-0.136237593164,[-0.23323983 -0.26296011],-1.63603,"[-1.53584652 -0.55895405  0.57566837 -0.39900014  0.03794264  1.04373741
  0.45445099 -0.43033818 -0.24091647 -1.26649029  0.        ]",[ 2.21997441  1.26214906]
20,"[[  3.25185144e+00   3.00803738e+00   4.57832118e-03   1.19769332e-01]
 [  2.64093638e+01  -1.70696454e-01   0.00000000e+00   0.00000000e+00]]",[ 1.3451004  1.2948277],-0.133474409634,[-0.23323983 -0.26296011],-1.64489,"[-1.62791394 -0.55797455 -0.14714779 -0.38154561  0.03794262  1.04373622
  0.55643764 -0.40120026 -0.18235302 -1.24184253  0.        ]",[ 1.29295685  1.3038589 ]
21,"[[  3.81451803e+00   3.00571541e+00   4.57832118e-03   1.19769332e-01]
 [  2.98458428e+01  -7.42573219e-02   0.00000000e+00   0.00000000e+00]]",[ 1.15856194  0.94188023],-0.126368983335,[-0.23323983 -0.26296011],-1.58929,"[-1.33394317 -0.55752833 -0.91406371 -0.37382358  0.0379426   1.04373503
  0.65640516 -0.38776421 -0.13696525 -1.17775543  0.        ]",[ 1.39320567  0.57181976]
22,"[[  4.44523160e+00   3.00426187e+00   4.57832118e-03   1.19769332e-01]
 [  3.32142887e+01  -6.29436728e-02   0.00000000e+00   0.00000000e+00]]",[ 0.91910177  0.56861603],-0.115754617052,[-0.23323983 -0.26296011],-1.49837,"[-0.61539474 -0.55724496 -1.42397712 -0.3689908   0.03794258  1.04373384
  0.75439349 -0.38618775 -0.13242045 -1.08631896  0.        ]",[ 1.54805403  1.69752706]
23,"[[  5.14264507e+00   3.00373076e+00   4.57832118e-03   1.19769332e-01]
 [  3.65160547e+01  -4.91833666e-03   0.00000000e+00   0.00000000e+00]]",[ 0.74080622  0.40658537],-0.105463171341,[-0.23323983 -0.26296011],-1.48426,"[ 0.32937095 -0.55714042 -1.34079507 -0.36722504  0.03794256  1.04373265
  0.85044195 -0.37810347 -0.18687003 -1.00298282  0.        ]",[ 0.3222341  2.0520281]
24,"[[  5.87851389e+00   3.00376572e+00   4.57832118e-03   1.19769332e-01]
 [  3.70689852e+01   4.89859469e-03   0.00000000e+00   0.00000000e+00]]",[ 0.31321144  0.34927008],-0.102579680658,[-0.23323983 -0.26296011],-1.49738,"[ 1.02588698 -0.55714689 -0.57103725 -0.36734101  0.03794254  1.04373146
  0.86652602 -0.37673555 -0.28407163 -0.97763123  0.        ]",[-0.47306712  0.14986859]
25,"[[  6.59373823e+00   3.00296173e+00   4.57832118e-03   1.19769332e-01]
 [  3.44621369e+01  -5.80259749e-02   0.00000000e+00   0.00000000e+00]]",[ 0.05011989  0.62181836],-0.109480947772,[-0.23323983 -0.26296011],-1.5699,"[ 1.07156799 -0.55698812  0.47390299 -0.3646684   0.03794252  1.04373027
  0.79069138 -0.38550192 -0.37011671 -1.02609188  0.        ]",[ 1.92278527  0.89330708]
26,"[[  7.31586082e+00   3.00269827e+00   4.57832118e-03   1.19769332e-01]
 [  3.77392007e+01   1.10922206e-02   0.00000000e+00   0.00000000e+00]]",[ 0.39250419  1.30039895],-0.12168820955,[-0.23323983 -0.26296011],-1.54951,"[ 0.46172788 -0.55693563  1.30036031 -0.3637925   0.0379425   1.04372908
  0.88602123 -0.37587218 -0.40571804 -1.12502514  0.        ]",[-0.00714826  0.44226444]
27,"[[  8.06286493e+00   3.00253285e+00   4.57832118e-03   1.19769332e-01]
 [  3.69637951e+01  -1.70308111e-02   0.00000000e+00   0.00000000e+00]]",[ 1.02308524  1.67342365],-0.132851068878,[-0.23323983 -0.26296011],-1.57237,"[-0.53685434 -0.55690247  1.47905624 -0.36324248  0.03794248  1.04372789
  0.86346363 -0.37979003 -0.36931982 -1.22764115  0.        ]",[ 1.05452581  1.24521656]
28,"[[  8.83452380e+00   3.00279670e+00   4.57832118e-03   1.19769332e-01]
 [  4.01913350e+01   2.68297726e-02   0.00000000e+00   0.00000000e+00]]",[ 1.2097193  1.5725553],-0.137507039576,[-0.23323983 -0.26296011],-1.64088,"[-1.40163344 -0.55695431  0.84893896 -0.3641192   0.03794245  1.04372669
  0.9573527  -0.37367916 -0.27426639 -1.27638197  0.        ]",[ 0.86177308  1.81413424]
