timestep,human_obs,obs,original_rewards,logstd_action_dist,rewards,avg_action_dist,actions
0,"[[ 0.02264251 -0.07417252 -0.02789615 -0.08315464]
 [ 0.0018466   0.0008472   0.          0.        ]]","[ 1.03418566  1.96885697  0.02040898 -1.14199267 -0.24363671 -0.71846968
  0.70243554 -0.3941232   1.56344981  0.62647816  0.        ]",-0.2507458167,[-0.27137741 -0.36042535],-1.8604,[-1.69320107  0.75254786],[-0.0600982   1.55346988]
1,"[[ 0.02027831 -0.03442698 -0.02789615 -0.08315464]
 [-0.23746495  3.96051048  0.          0.        ]]","[ 1.03425609  1.9717297   0.01680248 -1.02441595 -0.24363653 -0.71846891
  0.69074029  0.21192138  1.56455681  0.66286023  0.        ]",-0.252136050254,[-0.27137741 -0.36042535],-1.91657,[-1.7335856   0.53408724],[-2.64603712  0.7021857 ]
2,"[[-0.02412491  0.07190826 -0.02789615 -0.08315464]
 [-4.18969495  6.66399746  0.          0.        ]]","[ 1.03413346  1.96906389 -0.05094273 -0.70957304 -0.24363634 -0.71846814
  0.49760475  0.62570221  1.56357702  0.68517267  0.        ]",-0.252817746411,[-0.27137741 -0.36042535],-1.89357,[-1.57925367  0.52097774],[-1.73346699  0.36618826]
3,"[[-0.14678326  0.21842723 -0.02789615 -0.08315464]
 [-8.06325561  7.98348495  0.          0.        ]]","[ 1.01929407  1.94078693 -0.23729639 -0.2804222  -0.24363616 -0.71846736
  0.30831368  0.82765509  1.5540335   0.59502184  0.        ]",-0.248572816553,[-0.27137741 -0.36042535],-1.89912,[-1.33638763  0.60289156],[-1.4206074   1.16154631]
4,"[[ -0.34615494   0.41625236  -0.02789615  -0.08315464]
 [-11.86129993  11.78630946   0.           0.        ]]","[ 0.95042049  1.85850648 -0.53181846  0.275514   -0.24363598 -0.71846659
  0.12271292  1.40969273  1.51560999  0.41201676  0.        ]",-0.238587158516,[-0.27137741 -0.36042535],-1.77275,[-0.94964582  0.64710826],[ 0.09382397  0.16902292]
5,"[[ -0.57730717   0.65634724  -0.02789615  -0.08315464]
 [-11.25594545  12.22171587   0.           0.        ]]","[ 0.80469888  1.69511904 -0.84687694  0.88552093 -0.24363579 -0.71846582
  0.15229495  1.4763304   1.43352263  0.22716807  0.        ]",-0.224460697471,[-0.27137741 -0.36042535],-1.72129,[-0.65061754  0.6717878 ],[-0.40206876  0.37503989]
6,"[[ -0.81616032   0.91325389  -0.02789615  -0.08315464]
 [-12.62485583  13.46476074   0.           0.        ]]","[ 0.58783543  1.45341049 -1.12571992  1.42257697 -0.24363561 -0.71846504
  0.08539966  1.66657964  1.31085293  0.07402654  0.        ]",-0.206945663317,[-0.27137741 -0.36042535],-1.68941,[-0.34936076  0.57156497],[ 0.54017047  2.71316266]
7,"[[ -1.04472286   1.21959031  -0.02789615  -0.08315464]
 [-10.23920448  17.15662314   0.           0.        ]]","[ 0.3284679   1.0967736  -1.33363155  1.85946576 -0.24363543 -0.71846427
  0.20198041  2.23162591  1.15659106  0.02557182  0.        ]",-0.187101601644,[-0.27137741 -0.36042535],-1.53016,[-0.10801675  0.27798674],[-2.3028867  -0.30877533]
8,"[[ -1.28717889   1.54705062  -0.02789615  -0.08315464]
 [-13.99410119  15.59449541   0.           0.        ]]","[ 0.0131809   0.66919089 -1.47898335  2.03947429 -0.24363524 -0.71846349
  0.01848773  1.99252905  0.96427807  0.02188098  0.        ]",-0.162917741327,[-0.27137741 -0.36042535],-1.3002,[ 0.13457188  0.33064112],[ 0.28930033 -0.13780522]
9,"[[ -1.55280103   1.85035803  -0.02789615  -0.08315464]
 [-12.57279273  14.73914506   0.           0.        ]]","[-0.35816114  0.26912158 -1.53968965  1.92527862 -0.24363506 -0.71846272
  0.0879436   1.86160866  0.74753918  0.02191208  0.        ]",-0.135739989369,[-0.27137741 -0.36042535],-1.14269,[ 0.08044042  0.39042956],[-0.31422709  0.78240839]
