timestep,human_obs,obs,original_rewards,actions,rewards,avg_action_dist,logstd_action_dist
0,"[[-0.09247547  0.04615077  0.11219688  0.0319564 ]
 [-0.00170832  0.00090093  0.          0.        ]]","[ 1.02426529  2.38118147  0.14860637 -0.75167104  0.98327718  0.28460278
 -0.37228031 -0.37545008  0.50674275 -0.50255199  0.        ]",-0.107709596029,[-0.50990629  1.55672437],-0.608825,[-0.00933957  1.63651156],[-0.20175134 -0.11460487]
1,"[[-0.11276317  0.08590432  0.11219688  0.0319564 ]
 [-2.02033619  3.96125213  0.          0.        ]]","[ 1.021094    2.37731458  0.11778782 -0.60807238  0.98327403  0.28460228
 -0.49475052  0.16261631  0.50568151 -0.50146841  0.        ]",-0.10754047172,[ 0.94320073 -0.00816346],-0.651721,[ 0.11755916  1.48746192],[-0.20175134 -0.11460487]
2,"[[-0.11533226  0.16400351  0.11219688  0.0319564 ]
 [ 1.75087673  3.84904691  0.          0.        ]]","[ 1.02064495  2.36303791  0.1138898  -0.32760357  0.98327088  0.28460178
 -0.2659483   0.14737146  0.50469746 -0.42985845  0.        ]",-0.104227792593,[-0.94087023  1.17281572],-0.610708,[-0.30823335  1.31097579],[-0.20175134 -0.11460487]
3,"[[-0.11802084  0.27996222  0.11219688  0.0319564 ]
 [-2.00721765  7.73386818  0.          0.        ]]","[ 1.02016447  2.32564531  0.10981172  0.08167408  0.98326773  0.28460128
 -0.49395349  0.67517645  0.49371929 -0.32199316  0.        ]",-0.0991369332658,[ 0.27401257  2.03253836],-0.503473,[-0.14750192  1.05700612],[-0.20175134 -0.11460487]
4,"[[ -0.14690446   0.47282689   0.11219688   0.0319564 ]
 [ -0.88482947  11.53991916   0.           0.        ]]","[ 1.01434627  2.22196341  0.06609044  0.73002084  0.98326458  0.28460078
 -0.42585652  1.19227677  0.45494795 -0.19192224  0.        ]",-0.0916446807154,[-0.76585015  0.20585744],-0.551972,[-0.44598436  0.63271815],[-0.20175134 -0.11460487]
5,"[[ -0.19482439   0.70952194   0.11219688   0.0319564 ]
 [ -3.89717155  12.12760301   0.           0.        ]]","[ 1.0019239   2.02920139 -0.00601722  1.43983892  0.98326143  0.28460028
 -0.60861652  1.27211632  0.378955   -0.06545031  0.        ]",-0.0817088116501,[-1.33800917  0.53078903],-0.449238,[-0.27017641  0.40153053],[-0.20175134 -0.11460487]
6,"[[ -0.31169516   0.97076382   0.11219688   0.0319564 ]
 [ -7.77706205  13.99031583   0.           0.        ]]","[ 0.95730897  1.74507129 -0.17870302  2.06920072  0.98325828  0.28459978
 -0.84401066  1.5251831   0.28299916 -0.04850539  0.        ]",-0.0701069447881,[ 0.80929491 -0.76512672],-0.430923,[ 0.1065236   0.23754998],[-0.20175134 -0.11460487]
7,"[[ -0.43355523   1.21738323   0.11219688   0.0319564 ]
 [ -4.42007432  10.68270164   0.           0.        ]]","[ 0.88972194  1.42497394 -0.35192156  2.47783085  0.98325513  0.28459928
 -0.64033759  1.07579562  0.17246712 -0.05783639  0.        ]",-0.056574702807,[ 1.72459355  0.64266547],-0.469556,[-0.09314308  0.07605164],[-0.20175134 -0.11460487]
8,"[[ -0.48137904   1.45443715   0.11219688   0.0319564 ]
 [ -0.37558639  13.01496784   0.           0.        ]]","[ 0.85752463  1.08812963 -0.41743851  2.67705891  0.98325199  0.28459877
 -0.39495372  1.39265848  0.02411933  0.02203273  0.        ]",-0.0403838256731,[-0.93586534 -0.693081  ],-0.363622,[-0.52040309 -0.16883981],[-0.20175134 -0.11460487]
9,"[[ -0.5259667    1.68462312   0.11219688   0.0319564 ]
 [ -4.0710606   10.01358676   0.           0.        ]]","[ 0.82472144  0.75176665 -0.47706847  2.6780761   0.98324884  0.28459827
 -0.61916074  0.98487821 -0.13970663  0.0750942   0.        ]",-0.0261483276059,[-1.15323387 -0.25897582],-0.359218,[-0.24091332 -0.28322789],[-0.20175134 -0.11460487]
