timestep,logstd_action_dist,rewards,human_obs,obs,avg_action_dist,actions,original_rewards
0,[-0.00053572 -0.08481766],-0.912102,"[[-0.08641039 -0.05533891 -0.01582219 -0.0824127 ]
 [ 0.00061488 -0.00474231  0.          0.        ]]","[ 1.05912451  1.42576445 -0.12333263  0.37528806 -0.08095546 -0.70756161
 -0.0400199   0.23251338  1.15392976  0.44605553  0.        ]",[-0.14579867 -0.82310164],[ 1.82685351 -0.13524191],-0.231782657137
1,[-0.00053572 -0.08481766],-0.901443,"[[-0.04670559 -0.06082111 -0.01582219 -0.0824127 ]
 [ 3.95669166 -0.5416822   0.          0.        ]]","[ 1.0627711   1.42535381 -0.06259046  0.36398627 -0.080955   -0.70755566
  0.31893456  0.15975715  1.15868023  0.50148815  0.        ]",[-0.14343378 -0.81891203],[-0.18378959 -1.61269923],-0.234536589685
2,[-0.00053572 -0.08481766],-0.818784,"[[ 0.02436372 -0.11127181 -0.01582219 -0.0824127 ]
 [ 3.152911   -4.49022991  0.          0.        ]]","[ 1.06385834  1.42006563  0.046353    0.26021976 -0.08095454 -0.7075497
  0.24600133 -0.37527125  1.16061835  0.5689879   0.        ]",[-0.14766848 -0.81460011],[-0.018422    0.24514189],-0.237625024595
3,[-0.00053572 -0.08481766],-0.818328,"[[ 0.086061   -0.19044493 -0.01582219 -0.0824127 ]
 [ 3.01727035 -3.4306134   0.          0.        ]]","[ 1.05912822  1.40559793  0.1407965   0.09865502 -0.08095409 -0.70754375
  0.2336924  -0.23169046  1.15718911  0.59955714  0.        ]",[-0.14944114 -0.8207947 ],[-0.40000538 -0.18327971],-0.238509214888
4,[-0.00053572 -0.08481766],-0.850033,"[[ 0.12993361 -0.26565067 -0.01582219 -0.0824127 ]
 [ 1.37545236 -4.08777407  0.          0.        ]]","[ 1.05256298  1.38493522  0.20767038 -0.0525616  -0.08095363 -0.7075378
  0.0847185  -0.32073508  1.1514072   0.60633858  0.        ]",[-0.15138185 -0.82206059],[-0.36332085 -0.94462541],-0.237991431546
5,[-0.00053572 -0.08481766],-0.726508,"[[ 0.14276268 -0.3841165  -0.01582219 -0.0824127 ]
 [-0.08770347 -7.74661932  0.          0.        ]]","[ 1.05013405  1.33902564  0.22715797 -0.28421975 -0.08095317 -0.70753185
 -0.04804415 -0.8165109   1.13608317  0.5332912   0.        ]",[-0.15046515 -0.81126249],[-2.16653491 -1.07423176],-0.232515455108
6,[-0.00053572 -0.08481766],-0.951778,"[[  0.10134579  -0.57722328  -0.01582219  -0.0824127 ]
 [ -4.04093704 -11.55138993   0.           0.        ]]","[ 1.05710899  1.23076065  0.16412643 -0.63718707 -0.08095272 -0.7075259
 -0.40674955 -1.33204788  1.08052857  0.3300122   0.        ]",[-0.14533447 -0.79118371],[ 2.57025359 -1.47594678],-0.217215694019
7,[-0.00053572 -0.08481766],-0.639302,"[[  6.10298655e-02  -8.45698052e-01  -1.58221942e-02  -8.24127022e-02]
 [ -4.11199325e-03  -1.52836247e+01   0.00000000e+00   0.00000000e+00]]","[ 1.06162698  1.01853499  0.10251394 -1.05575492 -0.08095226 -0.70751995
 -0.04045464 -1.83772946  0.95278235  0.10405876  0.        ]",[-0.12132289 -0.74014866],[-0.57082817 -0.40610094],-0.193774904715
8,[-0.00053572 -0.08481766],-0.562836,"[[  3.82821393e-02  -1.16446135e+00  -1.58221942e-02  -8.24127022e-02]
 [ -2.26330245e+00  -1.65883771e+01   0.00000000e+00   0.00000000e+00]]","[ 1.06317895  0.69315914  0.06767616 -1.40701639 -0.0809518  -0.707514
 -0.24544945 -2.01446704  0.75471912 -0.0677951   0.        ]",[-0.09975487 -0.6917237 ],[-0.66915942 -1.61073995],-0.163585156668
9,[-0.00053572 -0.08481766],-0.460405,"[[ -3.31115469e-02  -1.53265509e+00  -1.58221942e-02  -8.24127022e-02]
 [ -4.86771748e+00  -2.02189194e+01   0.00000000e+00   0.00000000e+00]]","[ 1.06342198  0.25953766 -0.041775   -1.57359744 -0.08095135 -0.70750805
 -0.48176891 -2.50629687  0.45032706 -0.19628936  0.        ]",[-0.06513076 -0.60986423],[ 1.5166103   0.48663693],-0.12035648054
10,[-0.00053572 -0.08481766],-0.378171,"[[ -8.98158850e-02  -1.91368977e+00  -1.58221942e-02  -8.24127022e-02]
 [ -8.15867681e-01  -1.78922627e+01   0.00000000e+00   0.00000000e+00]]","[ 1.05858323 -0.19500734 -0.12854932 -1.45488239 -0.08095089 -0.70750209
 -0.11410469 -2.19097706  0.14401813 -0.16403043  0.        ]",[-0.02694397 -0.53991854],[ 0.42719438 -1.42427936],-0.0741555067284
11,[-0.00053572 -0.08481766],-0.339117,"[[ -8.90167295e-02  -2.30771002e+00  -1.58221942e-02  -8.24127022e-02]
 [  8.90106573e-01  -2.14977245e+01   0.00000000e+00   0.00000000e+00]]","[ 1.05866954 -0.60273786 -0.12732805 -1.03938588 -0.08095043 -0.70749614
  0.04069551 -2.67936311 -0.08218051  0.01881856  0.        ]",[ 0.0022811  -0.47407168],[ 1.14185843  0.30540171],-0.03457290613
12,[-0.00053572 -0.08481766],-0.305634,"[[ -3.16802878e-02  -2.72126134e+00  -1.58221942e-02  -8.24127022e-02]
 [  4.83065948e+00  -1.98628148e+01   0.00000000e+00   0.00000000e+00]]","[ 1.06344835 -0.89530097 -0.0395788  -0.35293113 -0.08094998 -0.70749019
  0.39826143 -2.45775768 -0.21622442  0.2970246   0.        ]",[ 0.01813526 -0.44597468],[-1.61726908 -0.70281892],-0.0400778234468
13,[-0.00053572 -0.08481766],-0.408572,"[[ 0.02424789 -3.08345734 -0.01582219 -0.0824127 ]
 [ 0.77605923 -8.42261143  0.          0.        ]]","[ 1.06372363 -0.9989347   0.04617129  0.3696065  -0.08094952 -0.70748424
  0.03034228 -0.90779728 -0.26237609  0.52612599  0.        ]",[ 0.02352828 -0.45365283],[ 1.19968204 -1.07014999],-0.0696966106315
14,[-0.00053572 -0.08481766],-0.352183,"[[ 0.07934569 -3.12411849 -0.01582219 -0.0824127 ]
 [ 4.72044532  1.44307902  0.          0.        ]]","[ 1.05975839 -1.00078943  0.13053583  0.45348845 -0.08094906 -0.70747829
  0.3882598   0.42883285 -0.26832513  0.60439031  0.        ]",[ 0.02731299 -0.4682745 ],[-0.207523   -0.46530623],-0.0804389180514
15,[-0.00053572 -0.08481766],-0.344597,"[[ 0.16457376 -3.08112166 -0.01582219 -0.0824127 ]
 [ 3.80538236  2.24235488  0.          0.        ]]","[ 1.04538172 -0.9987442   0.26021724  0.36478684 -0.08094861 -0.70747234
  0.30522323  0.53711772 -0.26021286  0.56217792  0.        ]",[ 0.02405743 -0.47550032],[-0.22251572 -0.6501518 ],-0.0747092174388
16,[-0.00053572 -0.08481766],-0.339817,"[[ 0.23108574 -3.04386457 -0.01582219 -0.0824127 ]
 [ 2.84900136  1.44218816  0.          0.        ]]","[ 1.02725765 -0.99515861  0.36020053  0.28810673 -0.08094815 -0.70746639
  0.21843753  0.42870499 -0.24826634  0.52935316  0.        ]",[ 0.02148669 -0.48008201],[-0.47421481 -1.76532562],-0.070389732573
17,[-0.00053572 -0.08481766],-0.32193,"[[ 0.26866138 -3.02272296 -0.01582219 -0.0824127 ]
 [ 0.91501082  0.73265938  0.          0.        ]]","[ 1.01437046 -0.99237288  0.41602596  0.24471129 -0.08094769 -0.70746044
  0.04294116  0.3325726  -0.23952685  0.51186819  0.        ]",[ 0.01903602 -0.48382974],[-1.04706165 -1.60211707],-0.0681763933945
18,[-0.00053572 -0.08481766],-0.368768,"[[ 0.24705479 -3.01238802 -0.01582219 -0.0824127 ]
 [-3.06241227  0.34419258  0.          0.        ]]","[ 1.02199415 -0.9908093   0.38398643  0.22353562 -0.08094724 -0.7074545
 -0.31798223  0.27993932 -0.23895106  0.5051139   0.        ]",[ 0.0151954  -0.48850891],[ 0.79089487 -0.36836665],-0.0672644065184
19,[-0.00053572 -0.08481766],-0.285718,"[[ 0.21783294 -3.00697092 -0.01582219 -0.0824127 ]
 [ 0.12958963  0.20052234  0.          0.        ]]","[ 1.03131024 -0.98993314  0.34037986  0.2124469  -0.08094678 -0.70744855
 -0.02832714  0.26047244 -0.24066195  0.50229611  0.        ]",[ 0.01870542 -0.48390028],[-2.1563544   0.11548444],-0.0668379713802
20,[-0.00053572 -0.08481766],-0.363814,"[[ 0.18067435 -2.99841408 -0.01582219 -0.0824127 ]
 [-3.83224454  0.65365417  0.          0.        ]]","[ 1.04149008 -0.98848363  0.28452654  0.1949486  -0.08094632 -0.7074426
 -0.38783922  0.32186384 -0.24266525  0.49743441  0.        ]",[ 0.01492469 -0.48867857],[ 0.80273668  0.07959806],-0.0661249789387
21,[-0.00053572 -0.08481766],-0.373667,"[[ 0.13667936 -2.98230712 -0.01582219 -0.0824127 ]
 [-0.57810067  0.95603215  0.          0.        ]]","[ 1.05111052 -0.98552624  0.21791206  0.16207128 -0.08094587 -0.70743665
 -0.09254169  0.36282998 -0.24423288  0.48718128  0.        ]",[ 0.0181413  -0.48537511],[ 0.08689872 -2.55764925],-0.0646826273932
22,[-0.00053572 -0.08481766],-0.382005,"[[ 0.12868248 -3.00310406 -0.01582219 -0.0824127 ]
 [-0.22273555 -2.1940299   0.          0.        ]]","[ 1.05256414 -0.98926114  0.20575544  0.20453431 -0.08094541 -0.7074307
 -0.0602936  -0.06396579 -0.24926918  0.50337677  0.        ]",[ 0.01951388 -0.47616893],[ 1.33456621 -0.04701373],-0.0667986244976
23,[-0.00053572 -0.08481766],-0.346168,"[[ 0.16399811 -3.01841143 -0.01582219 -0.0824127 ]
 [ 3.74106346  0.05008666  0.          0.        ]]","[ 1.0454159  -0.991675    0.25932919  0.23586822 -0.08094495 -0.70742475
  0.29940318  0.24008572 -0.24890157  0.51405094  0.        ]",[ 0.02212375 -0.47861013],[ 0.53238152  0.60060187],-0.0682747548012
24,[-0.00053572 -0.08481766],-0.355612,"[[ 0.25922609 -2.99355802 -0.01582219 -0.0824127 ]
 [ 5.77495186  2.4273325   0.          0.        ]]","[ 1.01769722 -0.98758428  0.40204914  0.18502349 -0.0809445  -0.7074188
  0.48396785  0.56217375 -0.23246933  0.4909256   0.        ]",[ 0.0205906  -0.48521397],[ 0.44195097 -1.27656382],-0.0654900705617
25,[-0.00053572 -0.08481766],-0.287604,"[[ 0.39113267 -2.9852204  -0.01582219 -0.0824127 ]
 [ 7.41026299 -1.5802111   0.          0.        ]]","[ 0.9593304  -0.98603842  0.59358711  0.16800637 -0.08094404 -0.70741285
  0.63236211  0.01919094 -0.21375938  0.48225133  0.        ]",[ 0.01959621 -0.48357528],[-1.61391719  0.96288919],-0.0648801125564
26,[-0.00053572 -0.08481766],-0.299288,"[[ 0.49814296 -2.97825875 -0.01582219 -0.0824127 ]
 [ 3.30444375  2.26356128  0.          0.        ]]","[ 0.89556627 -0.98468203  0.74165739  0.15381456 -0.08094358 -0.70740691
  0.25976944  0.53998326 -0.19735055  0.47755816  0.        ]",[ 0.01519788 -0.49460539],[-1.35278636 -0.42669463],-0.0648548011307
