timestep,human_obs,rewards,logstd_action_dist,obs,avg_action_dist,actions,original_rewards
0,"[[ 0.01189291 -0.08915221 -0.16417308  0.19098237]
 [ 0.00077808  0.00299166  0.          0.        ]]",-2.05546,[-0.03943601 -0.18788004],"[ 1.11623443  1.93766866  0.0390414   0.42028093 -1.41558308  1.6292159
 -0.00903074  0.3327301   2.44265581 -1.4751022   0.        ]",[-1.27386916 -1.64706218],[-3.40560274 -1.9439142 ],-0.423167788444
1,"[[-0.02776689 -0.12880539 -0.16417308  0.19098237]
 [-3.95360288 -3.95512318  0.          0.        ]]",-2.10158,[-0.03943601 -0.18788004],"[ 1.11579495  1.93198763 -0.02087239  0.3115545  -1.41557431  1.62920362
 -0.23680836 -0.21025565  2.43513032 -1.57357723  0.        ]",[-1.25065207 -1.55261981],[-0.87540838 -1.22437071],-0.428314678677
2,"[[-0.14078553 -0.24683674 -0.16417308  0.19098237]
 [-7.33703505 -7.83508005  0.          0.        ]]",-2.24213,[-0.03943601 -0.18788004],"[ 1.10266956  1.90305052 -0.19092891 -0.00811932 -1.41556555  1.62919135
 -0.43169833 -0.74251858  2.3796106  -1.85196064  0.        ]",[-1.17084527 -1.41512871],[-1.1776926  -1.85318613],-0.440509601735
3,"[[ -0.32575026  -0.44169433  -0.16417308   0.19098237]
 [-11.14687569 -11.63798987   0.           0.        ]]",-2.24708,[-0.03943601 -0.18788004],"[ 1.04375161  1.81682427 -0.46242505 -0.51328785 -1.41555678  1.62917908
 -0.65114961 -1.26420802  2.18707449 -2.26360601  0.        ]",[-1.00478446 -1.20447493],[-1.63178422 -0.37501597],-0.451566407004
4,"[[ -0.5861735   -0.68702406  -0.16417308   0.19098237]
 [-14.88318129 -12.89076614   0.           0.        ]]",-2.2666,[-0.03943601 -0.18788004],"[ 0.88596479  1.64495839 -0.81468835 -1.08364572 -1.41554802  1.62916681
 -0.86636419 -1.4360589   1.77015787 -2.67012356  0.        ]",[-0.75782669 -0.95225728],[ 1.14149668 -1.19038451],-0.449198302745
5,"[[ -0.84119323  -0.98201502  -0.16417308   0.19098237]
 [-10.63303766 -16.59597694   0.           0.        ]]",-2.02591,[-0.03943601 -0.18788004],"[ 0.65623004  1.35900718 -1.10516186 -1.62809814 -1.41553925  1.62915453
 -0.62154662 -1.94433153  1.22438975 -2.83062622  0.        ]",[-0.52944344 -0.70183754],[ 0.21024579 -0.14661835],-0.42399217802
6,"[[ -1.04341981  -1.31646154  -0.16417308   0.19098237]
 [ -9.59311181 -16.84782733   0.           0.        ]]",-1.76143,[-0.03943601 -0.18788004],"[ 0.43088926  0.96020422 -1.28447959 -2.00381563 -1.41553049  1.62914226
 -0.56164345 -1.97886086  0.74617549 -2.69676331  0.        ]",[-0.47195137 -0.5657329 ],[-0.79106891 -1.03371084],-0.380210820394
7,"[[ -1.26481046  -1.68978851  -0.16417308   0.19098237]
 [-12.53652851 -20.47278121   0.           0.        ]]",-1.30544,[-0.03943601 -0.18788004],"[ 0.15210818  0.47400573 -1.41957087 -2.07302424 -1.41552172  1.62912999
 -0.7311876  -2.47610053  0.38736568 -2.32146827  0.        ]",[-0.47031337 -0.44641107],[ 0.48634333 -0.59564476],-0.318673831067
8,"[[ -1.49377526  -2.1188378   -0.16417308   0.19098237]
 [-10.36707158 -22.42565327   0.           0.        ]]",-0.922115,[-0.03943601 -0.18788004],"[-0.15738014 -0.05419535 -1.48525998 -1.68853493 -1.41551296  1.62911772
 -0.60622088 -2.74394708  0.29897255 -1.80637738  0.        ]",[-0.46971124 -0.41880158],[ 0.15191094 -0.07775524],-0.251838240058
9,"[[ -1.69305578  -2.56598217  -0.16417308   0.19098237]
 [ -9.56340167 -22.28926005   0.           0.        ]]",-0.798544,[-0.03943601 -0.18788004],"[-0.43183562 -0.47150376 -1.4784519  -0.83563012 -1.4155042   1.62910545
 -0.55992632 -2.72518959  0.51300918 -1.42080536  0.        ]",[-0.46279764 -0.38489458],[-1.49979365 -0.30643762],-0.217688378508
10,"[[ -1.9221655   -3.01951288  -0.16417308   0.19098237]
 [-13.33460742 -19.07592153   0.           0.        ]]",-0.896296,[-0.03943601 -0.18788004],"[-0.73848064 -0.6732975  -1.39741227  0.32999545 -1.41549543  1.62909318
 -0.77715327 -2.28436662  0.87710583 -1.31472859  0.        ]",[-0.44109458 -0.3150993 ],[ 1.07811874  0.52079332],-0.235679680834
11,"[[-2.14647424 -3.15359908 -0.16417308  0.19098237]
 [-9.11052312  0.36659863  0.          0.        ]]",-1.01699,[-0.03943601 -0.18788004],"[-1.01475491 -0.68297237 -1.2462031   0.69902347 -1.41548667  1.62908091
 -0.53383537  0.38266102  0.99668619 -1.36220464  0.        ]",[-0.42897457 -0.3789084 ],[ 0.60826156 -0.94900729],-0.251407504604
12,"[[-2.30271033 -3.1111874  -0.16417308  0.19098237]
 [-6.52176456  2.74544905  0.          0.        ]]",-0.9294,[-0.03943601 -0.18788004],"[-1.1857033  -0.68245809 -1.10277961  0.582046   -1.4154779   1.62906864
 -0.38471609  0.70897831  0.97523964 -1.3437888   0.        ]",[-0.43641496 -0.40830183],[-0.19958763 -0.16999806],-0.247635834288
