timestep,logstd_action_dist,rewards,obs,original_rewards,avg_action_dist,actions,human_obs
0,[-0.70552278 -0.78481823],-1.83254,"[ 0.92922134  1.11712459  0.01268572  0.8037452  -0.32844666 -0.9394788
 -0.24593744  0.28650593  2.06069269  2.13692152  0.        ]",-0.267651483291,[-3.26545954 -2.25799036],[-3.02887552 -1.84322434],"[[ 0.00600791 -0.06208724 -0.03722117 -0.10854709]
 [-0.00093859  0.0045888   0.          0.        ]]"
1,[-0.70552278 -0.78481823],-1.83868,"[ 0.92832236  1.11289353 -0.047161    0.71730106 -0.3284466  -0.93947848
 -0.68877645 -0.49943667  2.04986627  1.92018171  0.        ]",-0.262210938568,[-2.31832504 -1.81994319],[-2.28228273 -1.74270319],"[[-0.03368582 -0.10170878 -0.03722117 -0.10854709]
 [-3.95527757 -3.95355623  0.          0.        ]]"
2,[-0.70552278 -0.78481823],-1.72254,"[ 0.9104646   1.08826093 -0.22422839  0.46245294 -0.32844653 -0.93947816
 -1.12287029 -1.26982167  1.95744485  1.28921351  0.        ]",-0.244504961653,[-0.50095272 -1.34808421],[-0.80605614 -0.90216876],"[[-0.15168257 -0.21970718 -0.03722117 -0.10854709]
 [-7.83152848 -7.83335236  0.          0.        ]]"
3,[-0.70552278 -0.78481823],-1.42537,"[ 0.83627429  1.01111891 -0.49746906  0.0656375  -0.32844646 -0.93947784
 -1.46251901 -1.94808623  1.63444142  0.37857903  0.        ]",-0.212072869587,[ 1.53597033 -0.59870541],[ 1.38410007 -0.84602506],"[[ -0.33874215  -0.41064688  -0.03722117  -0.10854709]
 [-10.8644339  -11.24921975   0.           0.        ]]"
4,[-0.70552278 -0.78481823],-1.17815,"[ 0.71769331  0.83986961 -0.73801627 -0.41477763 -0.3284464  -0.93947752
 -0.99538392 -2.56929247  1.07377444 -0.35467237  0.        ]",-0.171394889013,[ 1.63861132  0.16322601],[ 1.38860661  0.49407362],"[[ -0.51417855  -0.66702088  -0.03722117  -0.10854709]
 [ -6.69314691 -14.37774224   0.           0.        ]]"
5,[-0.70552278 -0.78481823],-0.986089,"[ 0.63694347  0.59248525 -0.8565639  -0.81809309 -0.32844633 -0.93947721
 -0.53766927 -2.124562    0.54683445 -0.62974075  0.        ]",-0.136027883507,[ 1.22186351  0.59419453],[ 1.49949074  0.9215093 ],"[[ -0.60703501  -0.93210391  -0.03722117  -0.10854709]
 [ -2.60597781 -12.13800905   0.           0.        ]]"
6,[-0.70552278 -0.78481823],-1.014,"[ 0.62572278  0.36433226 -0.87126609 -1.04581296 -0.32844627 -0.93947689
 -0.08896044 -1.35255126  0.25072973 -0.61555299  0.        ]",-0.114145322836,[ 0.1071604  0.1680634],[-0.21994992 -0.53121602],"[[-0.61895535 -1.13585492 -0.03722117 -0.10854709]
 [ 1.40077412 -8.25002315  0.          0.        ]]"
7,[-0.70552278 -0.78481823],-0.620641,"[ 0.64352389  0.13787441 -0.84776395 -1.18132386 -0.3284462  -0.93947657
 -0.18951048 -1.73773021  0.05033552 -0.50670365  0.        ]",-0.0967863943154,[ 0.59436065  1.64722896],[ 1.43728959  1.62670662],"[[ -0.59994779  -1.32031835  -0.03722117  -0.10854709]
 [  0.50291095 -10.18986246   0.           0.        ]]"
8,[-0.70552278 -0.78481823],-0.651358,"[ 0.68770704 -0.07039739 -0.78494228 -1.24108699 -0.32844614 -0.93947625
  0.25243764 -0.91160035 -0.0552064  -0.35171296  0.        ]",-0.0847073962988,[-1.034554    0.62987733],[-0.60737364  0.68551121],"[[-0.55029583 -1.4823719  -0.03722117 -0.10854709]
 [ 4.44929224 -6.02931849  0.          0.        ]]"
9,[-0.70552278 -0.78481823],-0.577226,"[ 0.73955795 -0.19053055 -0.70114767 -1.24962428 -0.32844607 -0.93947594
 -0.02666038 -0.34883279 -0.05009299 -0.23213026  0.        ]",-0.081833079818,[-0.55881339  0.16060758],[ 0.15678863 -0.03932018],"[[-0.48631492 -1.57452157 -0.03722117 -0.10854709]
 [ 1.95708361 -3.19511554  0.          0.        ]]"
10,[-0.70552278 -0.78481823],-0.582017,"[ 0.77247794 -0.27508413 -0.64049196 -1.24449636 -0.32844601 -0.93947562
  0.03849667 -0.36720137 -0.0489339  -0.14526867  0.        ]",-0.0798696516619,[-0.93874049  0.27477562],[-0.62226138 -0.18731561],"[[-0.44133571 -1.63935208 -0.03722117 -0.10854709]
 [ 2.53890406 -3.28762355  0.          0.        ]]"
11,[-0.70552278 -0.78481823],-0.490409,"[ 0.78985923 -0.36922686 -0.6054275  -1.22788384 -0.32844594 -0.9394753
 -0.24292153 -0.50147373 -0.09018206 -0.06038932  0.        ]",-0.0749379683145,[-0.06441776  1.01318026],[ 0.54599338  0.85576935],"[[-0.4157703  -1.71188917 -0.03722117 -0.10854709]
 [ 0.02597795 -3.96384474  0.          0.        ]]"
12,[-0.70552278 -0.78481823],-0.536426,"[  8.04153702e-01  -4.26528092e-01  -5.74667560e-01  -1.21204455e+00
  -3.28445876e-01  -9.39474981e-01  -1.02845686e-03   1.86881562e-01
  -1.04789700e-01  -2.80190325e-03   0.00000000e+00]",-0.0727308013728,[-0.99575317 -0.15254343],[-0.03610372 -1.27977629],"[[-0.39357919 -1.75638375 -0.03722117 -0.10854709]
 [ 2.18596342 -0.49715942  0.          0.        ]]"
13,[-0.70552278 -0.78481823],-0.517597,"[ 0.82908538 -0.4898014  -0.51588555 -1.18938388 -0.32844581 -0.93947466
 -0.02181808 -0.59738305 -0.094802    0.07198877  0.        ]",-0.0723350871712,[-1.01670384  1.17301846],[-0.67299152  1.45024616],"[[-0.3517224  -1.80595559 -0.03722117 -0.10854709]
 [ 2.00032233 -4.44686178  0.          0.        ]]"
14,[-0.70552278 -0.78481823],-0.529428,"[ 0.83621681 -0.55076254 -0.49761152 -1.16225908 -0.32844575 -0.93947435
 -0.32461061  0.20638796 -0.12860295  0.1307822   0.        ]",-0.0688654867156,[-0.12887578  0.41891778],[-0.43291131  0.5394841 ],"[[-0.3388439  -1.85427844 -0.03722117 -0.10854709]
 [-0.70346477 -0.3989226   0.          0.        ]]"
15,[-0.70552278 -0.78481823],-0.515259,"[ 0.81854532 -0.53376693 -0.54162648 -1.17035382 -0.32844568 -0.93947403
 -0.5149683   0.63215317 -0.16080097  0.10031059  0.        ]",-0.0666815427366,[ 0.64031237 -0.00309896],[ 0.75490817  0.04540497],"[[-0.36996788 -1.84074315 -0.03722117 -0.10854709]
 [-2.40326487  1.74530992  0.          0.        ]]"
16,[-0.70552278 -0.78481823],-0.541039,"[ 0.80789151 -0.48780474 -0.56629777 -1.19018177 -0.32844561 -0.93947371
 -0.17502944  0.66092124 -0.14845458  0.05140905  0.        ]",-0.0683904582878,[-0.46323001 -0.49774411],[-0.50723423 -0.96899689],"[[-0.38757706 -1.80438324 -0.03722117 -0.10854709]
 [ 0.63221866  1.89019203  0.          0.        ]]"
17,[-0.70552278 -0.78481823],-0.49153,"[ 0.80313563 -0.48915721 -0.57691875 -1.18964023 -0.32844555 -0.93947339
 -0.40120902 -0.10831232 -0.16138467  0.04891569  0.        ]",-0.0674111113786,[ 0.37876189  0.94493037],[ 1.10581271  0.84039996],"[[-0.39519663 -1.80544851 -0.03722117 -0.10854709]
 [-1.38745217 -1.98380861  0.          0.        ]]"
18,[-0.70552278 -0.78481823],-0.536378,"[ 0.81072841 -0.49664151 -0.55984898 -1.18659977 -0.32844548 -0.93947307
  0.0450702   0.56013946 -0.14892173  0.0613341   0.        ]",-0.0681974327095,[-1.19726014 -0.54677403],[-0.72911904 -0.38021131],"[[-0.38296247 -1.8113481  -0.03722117 -0.10854709]
 [ 2.59759667  1.38263658  0.          0.        ]]"
19,[-0.70552278 -0.78481823],-0.543191,"[ 0.82408912 -0.48105474 -0.5282612  -1.19284192 -0.32844542 -0.93947276
 -0.28384799  0.25584369 -0.10060488  0.05989662  0.        ]",-0.0720482030393,[-0.17474423  0.11141032],[-1.33409427  0.33086566],"[[-0.36047921 -1.79907128 -0.03722117 -0.10854709]
 [-0.3394771  -0.14985173  0.          0.        ]]"
